Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,1,0,Caen,1,10.0,2.0,20.0,0.1,0.5,19.5,0.0,0,0,1.4,1.4,0.14,-0.4,-0.4,1.0,0,1.0,100.0,1,0.4,0.4,0,0,0,0,8.0,20.0,40.0,23.0,2.0,60.9,43.9,8.0,75.0,54.3,15.0,5.0,33.3,0.0,10.8,356.0,485.0,73.4,6876.0,2506.0,148.0,172.0,86.0,147.0,194.0,75.8,53.0,96.0,55.2,1,1.3,1.1,7.0,29.0,5.0,1.0,48.0,485.0,426.0,58.0,13.0,1.0,5.0,17.0,27.0,9.0,4.0,4.0,0.0,356.0,1.0,12.0,16.0,12.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,4.0,8.0,3.0,4.0,9.0,44.4,5.0,3.0,1.0,2.0,13.0,28,23.0,0.0,52.0,586.0,37.0,136.0,324.0,134.0,15.0,586.0,23.0,8.0,34.8,15.0,65.2,266.0,1664.0,972.0,21.0,14.0,6.0,18.0,4.0,353.0,47.0,2,0,0,9.0,10.0,1.0,17.0,13.0,11.0,0.0,0.0,0,62.0,17.0,24.0,41.5,1
2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Toulouse,0,14.0,1.0,7.1,0.0,0.0,21.6,1.0,0,0,0.7,0.7,0.05,-0.7,-0.7,4.0,1,3.0,100.0,0,1.6,0.6,1,1,0,0,4.0,16.0,25.0,21.0,3.0,57.1,42.5,5.0,80.0,55.4,14.0,2.0,14.3,2.0,14.0,295.0,413.0,71.4,5475.0,2268.0,148.0,167.0,88.6,93.0,128.0,72.7,46.0,97.0,47.4,0,0.6,0.4,10.0,32.0,4.0,0.0,45.0,413.0,351.0,62.0,26.0,0.0,7.0,24.0,26.0,3.0,2.0,1.0,0.0,295.0,0.0,9.0,24.0,17.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,3.0,8.0,0.0,4.0,10.0,40.0,6.0,5.0,1.0,4.0,11.0,22,32.0,1.0,51.0,530.0,46.0,135.0,266.0,132.0,10.0,530.0,9.0,3.0,33.3,6.0,66.7,241.0,1453.0,726.0,19.0,8.0,2.0,14.0,13.0,291.0,44.0,3,0,0,12.0,24.0,0.0,24.0,11.0,8.0,0.0,1.0,0,49.0,19.0,25.0,43.2,1
2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Strasbourg,1,16.0,4.0,25.0,0.06,0.25,17.6,0.0,0,0,1.8,1.8,0.11,-0.8,-0.8,1.0,1,0.0,0.0,0,0.8,-0.2,0,0,0,0,3.0,4.0,75.0,16.0,5.0,12.5,26.2,6.0,33.3,39.5,8.0,0.0,0.0,0.0,17.0,428.0,548.0,78.1,7949.0,3308.0,196.0,229.0,85.6,167.0,210.0,79.5,57.0,86.0,66.3,1,1.8,1.3,15.0,41.0,6.0,1.0,72.0,548.0,474.0,71.0,19.0,1.0,11.0,29.0,35.0,9.0,3.0,6.0,0.0,428.0,3.0,8.0,29.0,19.0,4.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,15.0,4.0,11.0,5.0,5.0,11.0,45.5,6.0,7.0,4.0,3.0,13.0,33,18.0,0.0,55.0,667.0,37.0,142.0,363.0,168.0,21.0,667.0,16.0,8.0,50.0,8.0,50.0,319.0,2068.0,971.0,19.0,12.0,4.0,20.0,22.0,426.0,70.0,2,0,0,6.0,18.0,3.0,29.0,13.0,15.0,0.0,0.0,0,66.0,20.0,14.0,58.8,1
2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Dijon,1,11.0,2.0,18.2,0.09,0.5,19.3,0.0,0,0,1.5,1.5,0.13,-0.5,-0.5,2.0,2,0.0,0.0,0,0.9,-1.1,0,0,0,0,0.0,5.0,0.0,26.0,7.0,15.4,28.4,6.0,16.7,30.0,10.0,0.0,0.0,0.0,,379.0,474.0,80.0,7292.0,2775.0,159.0,178.0,89.3,153.0,185.0,82.7,61.0,89.0,68.5,1,1.4,1.0,9.0,15.0,5.0,4.0,34.0,474.0,410.0,63.0,18.0,0.0,9.0,20.0,32.0,4.0,0.0,2.0,0.0,379.0,1.0,13.0,20.0,13.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0,3.0,4.0,0.0,4.0,15.0,26.7,11.0,7.0,1.0,6.0,10.0,17,23.0,1.0,48.0,578.0,53.0,191.0,287.0,102.0,13.0,578.0,18.0,6.0,33.3,12.0,66.7,309.0,1635.0,838.0,16.0,18.0,4.0,27.0,7.0,375.0,34.0,2,0,0,14.0,18.0,1.0,20.0,10.0,5.0,0.0,0.0,0,56.0,15.0,8.0,65.2,1
2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,L,0,1,Nantes,0,11.0,3.0,27.3,0.0,0.0,22.9,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5,4.0,1,3.0,75.0,0,0.9,-0.1,0,0,0,0,7.0,10.0,70.0,19.0,2.0,47.4,38.8,6.0,16.7,29.2,11.0,1.0,9.1,1.0,16.5,450.0,580.0,77.6,9246.0,3342.0,172.0,200.0,86.0,191.0,240.0,79.6,79.0,115.0,68.7,0,0.5,0.7,10.0,49.0,11.0,4.0,58.0,580.0,515.0,64.0,13.0,1.0,10.0,47.0,35.0,8.0,0.0,6.0,0.0,450.0,1.0,14.0,22.0,18.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,6.0,4.0,3.0,1.0,9.0,11.1,8.0,13.0,2.0,11.0,11.0,24,18.0,0.0,61.0,691.0,32.0,133.0,359.0,200.0,17.0,691.0,22.0,13.0,59.1,9.0,40.9,332.0,1996.0,1014.0,21.0,19.0,2.0,15.0,6.0,447.0,58.0,1,1,0,7.0,12.0,1.0,47.0,11.0,11.0,0.0,0.0,0,55.0,14.0,15.0,48.3,1
2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,W,1,0,Troyes,1,8.0,3.0,37.5,0.13,0.33,16.7,1.0,0,0,1.1,1.1,0.14,-0.1,-0.1,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,11.0,19.0,57.9,30.0,9.0,46.7,35.4,10.0,50.0,44.5,14.0,2.0,14.3,0.0,9.0,443.0,546.0,81.1,8109.0,2842.0,206.0,222.0,92.8,178.0,206.0,86.4,53.0,97.0,54.6,1,1.0,1.2,6.0,33.0,6.0,4.0,40.0,546.0,485.0,57.0,19.0,2.0,2.0,15.0,21.0,6.0,3.0,2.0,0.0,443.0,4.0,3.0,14.0,9.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,11.0,10.0,11.0,2.0,5.0,10.0,50.0,5.0,10.0,1.0,9.0,21.0,44,22.0,0.0,51.0,673.0,55.0,202.0,354.0,124.0,14.0,673.0,21.0,12.0,57.1,9.0,42.9,318.0,1950.0,1023.0,18.0,11.0,1.0,21.0,5.0,440.0,40.0,3,0,0,10.0,18.0,4.0,15.0,21.0,11.0,0.0,0.0,0,45.0,20.0,14.0,58.8,1
2017-09-23,17:00 (08:00),Ligue 1,Matchweek 7,Sat,Home,D,0,0,Paris S-G,0,5.0,2.0,40.0,0.0,0.0,24.3,1.0,0,0,0.2,0.2,0.04,-0.2,-0.2,1.0,0,1.0,100.0,1,0.1,0.1,0,0,0,0,8.0,25.0,32.0,22.0,3.0,81.8,53.2,11.0,63.6,44.9,26.0,4.0,15.4,1.0,11.0,182.0,259.0,70.3,3152.0,1529.0,98.0,115.0,85.2,59.0,76.0,77.6,20.0,55.0,36.4,0,0.1,0.1,3.0,14.0,2.0,1.0,23.0,259.0,215.0,42.0,13.0,0.0,1.0,13.0,15.0,2.0,1.0,1.0,0.0,182.0,2.0,6.0,8.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,17.0,5.0,3.0,7.0,14.0,50.0,7.0,12.0,4.0,8.0,20.0,45,38.0,1.0,26.0,392.0,75.0,154.0,179.0,67.0,7.0,392.0,14.0,8.0,57.1,6.0,42.9,165.0,1023.0,550.0,11.0,9.0,4.0,9.0,12.0,178.0,23.0,2,0,0,15.0,12.0,2.0,13.0,20.0,17.0,0.0,0.0,0,46.0,9.0,13.0,40.9,1
2017-09-29,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Away,D,1,1,Monaco,1,15.0,3.0,20.0,0.07,0.33,20.3,2.0,0,0,1.1,1.1,0.07,-0.1,-0.1,1.0,1,0.0,0.0,0,0.8,-0.2,0,0,0,0,8.0,14.0,57.1,23.0,6.0,39.1,32.9,9.0,55.6,44.7,12.0,1.0,8.3,0.0,12.0,351.0,453.0,77.5,6644.0,2576.0,163.0,179.0,91.1,126.0,155.0,81.3,54.0,100.0,54.0,1,0.7,0.6,8.0,31.0,7.0,3.0,37.0,453.0,395.0,57.0,18.0,3.0,5.0,30.0,24.0,4.0,2.0,2.0,0.0,351.0,1.0,7.0,25.0,20.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,7.0,4.0,2.0,2.0,10.0,20.0,8.0,10.0,3.0,7.0,9.0,22,25.0,1.0,49.0,563.0,50.0,155.0,265.0,149.0,16.0,563.0,26.0,13.0,50.0,13.0,50.0,313.0,1721.0,896.0,13.0,16.0,1.0,12.0,12.0,349.0,37.0,1,0,0,12.0,17.0,1.0,30.0,9.0,9.0,0.0,0.0,0,51.0,14.0,13.0,51.9,1
2017-10-15,17:00 (08:00),Ligue 1,Matchweek 9,Sun,Home,W,2,0,Nice,2,14.0,4.0,28.6,0.14,0.5,18.0,2.0,0,0,1.3,1.3,0.09,0.7,0.7,8.0,0,8.0,100.0,1,1.7,1.7,0,0,0,0,12.0,17.0,70.6,12.0,2.0,75.0,41.5,9.0,88.9,54.6,11.0,1.0,9.1,0.0,8.7,277.0,358.0,77.4,5440.0,2273.0,123.0,142.0,86.6,107.0,127.0,84.3,43.0,75.0,57.3,2,1.1,0.8,10.0,24.0,6.0,5.0,31.0,358.0,314.0,44.0,16.0,1.0,4.0,17.0,14.0,4.0,1.0,2.0,0.0,277.0,0.0,7.0,25.0,16.0,2.0,3.0,1.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,17.0,13.0,8.0,8.0,1.0,7.0,21.0,33.3,14.0,7.0,2.0,5.0,20.0,37,28.0,2.0,36.0,468.0,56.0,156.0,225.0,96.0,10.0,468.0,14.0,7.0,50.0,7.0,50.0,240.0,1265.0,610.0,11.0,15.0,0.0,10.0,2.0,275.0,31.0,3,0,0,15.0,13.0,0.0,17.0,20.0,13.0,0.0,0.0,0,49.0,20.0,6.0,76.9,1
2017-10-20,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,W,1,0,Saint-Étienne,1,14.0,4.0,28.6,0.07,0.25,16.4,1.0,0,0,1.8,1.8,0.16,-0.8,-0.8,4.0,0,4.0,100.0,1,0.6,0.6,0,0,0,0,7.0,20.0,35.0,24.0,4.0,62.5,47.5,8.0,62.5,52.0,20.0,1.0,5.0,0.0,10.5,294.0,376.0,78.2,5581.0,2500.0,140.0,155.0,90.3,97.0,112.0,86.6,51.0,89.0,57.3,0,0.9,0.8,11.0,30.0,7.0,4.0,24.0,376.0,328.0,48.0,27.0,1.0,4.0,12.0,10.0,2.0,0.0,2.0,0.0,294.0,0.0,8.0,24.0,17.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,6.0,11.0,2.0,2.0,4.0,15.0,26.7,11.0,14.0,6.0,8.0,14.0,29,43.0,0.0,43.0,510.0,70.0,181.0,222.0,115.0,24.0,510.0,16.0,8.0,50.0,8.0,50.0,244.0,1467.0,647.0,14.0,11.0,3.0,12.0,4.0,291.0,24.0,3,0,0,17.0,24.0,0.0,12.0,14.0,6.0,0.0,0.0,0,50.0,22.0,12.0,64.7,1
