Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-06,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,L,0,3,Lille,0,9.0,4.0,44.4,0.0,0.0,19.5,1.0,0,0,1.3,1.3,0.14,-1.3,-1.3,5.0,3,2.0,60.0,0,2.1,-0.9,1,1,0,0,7.0,17.0,41.2,14.0,4.0,64.3,44.7,8.0,100.0,63.9,20.0,3.0,15.0,3.0,13.7,237.0,342.0,69.3,4279.0,2224.0,111.0,132.0,84.1,90.0,121.0,74.4,28.0,64.0,43.8,0,0.6,0.9,4.0,19.0,5.0,2.0,27.0,342.0,291.0,50.0,11.0,2.0,1.0,13.0,24.0,3.0,3.0,0.0,0.0,237.0,1.0,9.0,10.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17.0,11.0,9.0,3.0,8.0,22.0,36.4,14.0,12.0,5.0,7.0,16.0,39,31.0,0.0,38.0,463.0,64.0,161.0,209.0,101.0,11.0,463.0,13.0,7.0,53.8,6.0,46.2,217.0,1287.0,729.0,17.0,13.0,3.0,13.0,15.0,234.0,27.0,3,0,0,17.0,11.0,1.0,13.0,16.0,17.0,0.0,1.0,0,66.0,11.0,13.0,45.8,1
2017-08-12,17:00 (08:00),Ligue 1,Matchweek 2,Sat,Home,L,0,1,Marseille,0,14.0,3.0,21.4,0.0,0.0,16.0,0.0,0,0,1.3,1.3,0.09,-1.3,-1.3,10.0,1,9.0,90.0,0,2.1,1.1,0,0,0,0,5.0,19.0,26.3,17.0,5.0,76.5,47.4,7.0,85.7,60.7,20.0,2.0,10.0,2.0,15.3,201.0,314.0,64.0,4102.0,2143.0,79.0,100.0,79.0,79.0,110.0,71.8,39.0,91.0,42.9,0,1.1,0.8,10.0,24.0,10.0,4.0,32.0,314.0,259.0,55.0,14.0,1.0,3.0,24.0,26.0,6.0,4.0,2.0,0.0,201.0,0.0,6.0,25.0,16.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,9.0,1.0,2.0,3.0,8.0,37.5,5.0,5.0,1.0,4.0,13.0,25,21.0,0.0,38.0,408.0,53.0,147.0,143.0,120.0,19.0,408.0,11.0,7.0,63.6,4.0,36.4,152.0,882.0,495.0,15.0,8.0,3.0,15.0,11.0,199.0,32.0,1,0,0,13.0,12.0,0.0,24.0,13.0,9.0,0.0,0.0,0,42.0,6.0,18.0,25.0,1
2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,W,1,0,Troyes,1,11.0,4.0,36.4,0.09,0.25,20.0,0.0,0,0,0.9,0.9,0.08,0.1,0.1,1.0,0,1.0,100.0,1,0.0,0.0,0,0,0,0,4.0,19.0,21.1,19.0,4.0,52.6,42.4,11.0,81.8,57.7,20.0,4.0,20.0,0.0,6.2,252.0,391.0,64.5,4730.0,2194.0,114.0,147.0,77.6,87.0,113.0,77.0,44.0,99.0,44.4,1,0.8,0.8,10.0,25.0,5.0,3.0,28.0,391.0,328.0,57.0,8.0,1.0,3.0,26.0,28.0,9.0,3.0,6.0,0.0,252.0,6.0,7.0,19.0,13.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,19.0,11.0,10.0,5.0,7.0,16.0,43.8,9.0,10.0,2.0,8.0,16.0,42,22.0,0.0,36.0,499.0,56.0,140.0,219.0,147.0,18.0,499.0,16.0,9.0,56.3,7.0,43.8,225.0,1028.0,512.0,9.0,11.0,1.0,12.0,10.0,248.0,27.0,0,1,0,8.0,7.0,6.0,26.0,16.0,19.0,0.0,0.0,0,59.0,23.0,18.0,56.1,1
2017-08-26,17:15 (08:15),Ligue 1,Matchweek 4,Sat,Home,D,0,0,Lyon,0,6.0,2.0,33.3,0.0,0.0,21.4,1.0,0,0,0.3,0.3,0.06,-0.3,-0.3,3.0,0,3.0,100.0,1,0.7,0.7,0,0,0,0,6.0,17.0,35.3,19.0,4.0,31.6,36.6,11.0,100.0,63.5,17.0,1.0,5.9,0.0,8.4,293.0,408.0,71.8,5519.0,2345.0,124.0,148.0,83.8,109.0,143.0,76.2,48.0,92.0,52.2,0,0.2,1.0,4.0,19.0,6.0,3.0,38.0,408.0,365.0,41.0,11.0,0.0,6.0,11.0,17.0,1.0,0.0,1.0,0.0,293.0,2.0,5.0,11.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,18.0,9.0,2.0,9.0,22.0,40.9,13.0,16.0,4.0,12.0,11.0,40,25.0,0.0,38.0,515.0,64.0,181.0,243.0,97.0,9.0,515.0,8.0,4.0,50.0,4.0,50.0,240.0,1172.0,657.0,12.0,10.0,0.0,15.0,13.0,288.0,37.0,1,0,0,13.0,10.0,2.0,11.0,11.0,19.0,0.0,0.0,0,58.0,17.0,22.0,43.6,1
2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,W,1,0,Montpellier,1,12.0,4.0,33.3,0.08,0.25,19.4,2.0,0,0,0.7,0.7,0.06,0.3,0.3,3.0,0,3.0,100.0,1,0.8,0.8,0,0,0,0,8.0,18.0,44.4,18.0,7.0,50.0,38.2,11.0,81.8,60.1,33.0,4.0,12.1,0.0,7.4,258.0,378.0,68.3,4797.0,2307.0,122.0,149.0,81.9,87.0,117.0,74.4,40.0,84.0,47.6,0,0.6,0.4,10.0,20.0,4.0,2.0,34.0,378.0,335.0,42.0,5.0,0.0,1.0,11.0,22.0,3.0,2.0,1.0,0.0,258.0,1.0,11.0,22.0,15.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,10.0,8.0,7.0,0.0,9.0,22.0,40.9,13.0,10.0,3.0,7.0,9.0,24,46.0,0.0,39.0,505.0,74.0,190.0,212.0,104.0,8.0,505.0,9.0,8.0,88.9,1.0,11.1,239.0,1059.0,521.0,10.0,8.0,1.0,18.0,12.0,256.0,34.0,2,0,0,12.0,7.0,1.0,11.0,9.0,10.0,0.0,0.0,0,56.0,15.0,14.0,51.7,1
2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,1,0,Caen,1,8.0,4.0,50.0,0.13,0.25,19.8,1.0,0,0,0.4,0.4,0.05,0.6,0.6,1.0,0,1.0,100.0,1,0.3,0.3,0,0,0,0,8.0,15.0,53.3,20.0,5.0,25.0,28.4,10.0,100.0,61.5,16.0,1.0,6.3,0.0,6.5,320.0,443.0,72.2,6028.0,2800.0,148.0,179.0,82.7,116.0,152.0,76.3,45.0,83.0,54.2,1,0.3,1.0,4.0,34.0,9.0,3.0,43.0,443.0,392.0,49.0,11.0,0.0,6.0,16.0,23.0,4.0,1.0,1.0,0.0,320.0,2.0,13.0,13.0,7.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,8.0,8.0,1.0,3.0,10.0,30.0,7.0,10.0,2.0,8.0,11.0,28,22.0,0.0,45.0,548.0,52.0,182.0,230.0,142.0,22.0,548.0,15.0,11.0,73.3,4.0,26.7,269.0,1297.0,674.0,12.0,6.0,4.0,19.0,8.0,315.0,43.0,0,0,0,12.0,11.0,2.0,16.0,11.0,12.0,0.0,0.0,0,65.0,19.0,13.0,59.4,1
2017-09-24,17:00 (08:00),Ligue 1,Matchweek 7,Sun,Away,W,2,1,Strasbourg,2,12.0,4.0,33.3,0.17,0.5,21.8,0.0,0,0,0.5,0.5,0.04,1.5,1.5,4.0,1,3.0,75.0,0,0.7,-0.3,0,0,0,0,7.0,30.0,23.3,23.0,6.0,65.2,46.7,16.0,93.8,60.0,34.0,1.0,2.9,1.0,13.0,194.0,309.0,62.8,3384.0,1887.0,107.0,133.0,80.5,59.0,79.0,74.7,25.0,77.0,32.5,1,0.4,0.3,9.0,15.0,2.0,2.0,23.0,309.0,257.0,51.0,9.0,1.0,0.0,11.0,21.0,3.0,1.0,1.0,0.0,194.0,1.0,11.0,20.0,15.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0,20.0,21.0,10.0,0.0,21.0,31.0,67.7,10.0,13.0,6.0,7.0,14.0,45,43.0,0.0,32.0,450.0,87.0,207.0,156.0,90.0,9.0,450.0,12.0,9.0,75.0,3.0,25.0,191.0,954.0,562.0,7.0,8.0,1.0,17.0,13.0,191.0,22.0,1,0,0,5.0,7.0,1.0,11.0,14.0,20.0,0.0,0.0,0,49.0,15.0,21.0,41.7,1
2017-09-30,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,W,1,0,Metz,1,15.0,6.0,40.0,0.07,0.17,17.3,0.0,0,0,1.9,1.9,0.15,-0.9,-0.9,1.0,0,1.0,100.0,1,0.2,0.2,1,0,0,1,4.0,12.0,33.3,21.0,6.0,19.0,27.5,11.0,72.7,51.6,17.0,1.0,5.9,0.0,6.5,433.0,528.0,82.0,7526.0,2768.0,183.0,203.0,90.1,196.0,216.0,90.7,36.0,74.0,48.6,0,1.3,0.9,10.0,27.0,5.0,1.0,46.0,528.0,480.0,47.0,10.0,0.0,3.0,21.0,21.0,4.0,4.0,0.0,0.0,433.0,1.0,14.0,28.0,21.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,12.0,10.0,6.0,2.0,9.0,19.0,47.4,10.0,14.0,4.0,10.0,12.0,30,18.0,0.0,53.0,644.0,57.0,199.0,302.0,150.0,22.0,644.0,16.0,12.0,75.0,4.0,25.0,383.0,1945.0,1156.0,22.0,16.0,8.0,16.0,16.0,433.0,46.0,2,0,0,14.0,9.0,1.0,21.0,12.0,12.0,0.0,1.0,0,53.0,8.0,12.0,40.0,1
2017-10-15,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,D,1,1,Bordeaux,1,14.0,4.0,28.6,0.07,0.25,20.9,2.0,0,0,1.1,1.1,0.08,-0.1,-0.1,3.0,1,2.0,66.7,0,0.7,-0.3,0,0,0,0,6.0,25.0,24.0,20.0,3.0,70.0,47.4,11.0,100.0,64.4,13.0,2.0,15.4,0.0,6.0,281.0,378.0,74.3,4762.0,2337.0,141.0,154.0,91.6,96.0,127.0,75.6,31.0,74.0,41.9,0,0.5,0.5,11.0,27.0,5.0,4.0,39.0,378.0,328.0,50.0,13.0,0.0,1.0,17.0,22.0,2.0,0.0,2.0,0.0,281.0,0.0,6.0,25.0,18.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,9.0,9.0,5.0,1.0,5.0,13.0,38.5,8.0,18.0,5.0,13.0,4.0,19,33.0,1.0,44.0,495.0,66.0,151.0,217.0,133.0,9.0,495.0,17.0,11.0,64.7,6.0,35.3,271.0,1205.0,580.0,14.0,17.0,1.0,12.0,19.0,275.0,37.0,2,0,0,15.0,13.0,0.0,17.0,4.0,9.0,0.0,0.0,0,47.0,15.0,21.0,41.7,1
2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,2,1,Guingamp,2,9.0,3.0,33.3,0.22,0.67,19.5,1.0,0,0,0.7,0.7,0.08,1.3,1.3,4.0,1,3.0,75.0,0,1.3,0.3,0,0,0,0,3.0,10.0,30.0,22.0,9.0,18.2,31.1,7.0,85.7,58.6,18.0,3.0,16.7,0.0,4.8,335.0,471.0,71.1,5656.0,2507.0,170.0,207.0,82.1,117.0,151.0,77.5,35.0,75.0,46.7,2,0.6,0.4,8.0,22.0,2.0,1.0,34.0,471.0,401.0,63.0,13.0,0.0,1.0,16.0,38.0,3.0,0.0,3.0,0.0,335.0,7.0,11.0,17.0,10.0,2.0,3.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,18.0,8.0,11.0,7.0,0.0,3.0,11.0,27.3,8.0,8.0,2.0,6.0,18.0,36,23.0,1.0,45.0,580.0,56.0,184.0,293.0,107.0,9.0,580.0,11.0,9.0,81.8,2.0,18.2,291.0,1580.0,810.0,22.0,16.0,3.0,16.0,13.0,332.0,33.0,3,0,0,13.0,12.0,7.0,16.0,18.0,8.0,0.0,0.0,0,52.0,23.0,20.0,53.5,1
