Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-05,17:15 (08:15),Ligue 1,Matchweek 1,Sat,Home,W,2,0,Amiens,2,16.0,5.0,31.3,0.13,0.4,17.0,0.0,0,0,2.6,2.6,0.16,-0.6,-0.6,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0,0,0,0,1.0,3.0,33.3,36.0,8.0,5.6,19.7,4.0,25.0,31.3,10.0,2.0,20.0,6.0,19.7,688.0,780.0,88.2,10014.0,3698.0,374.0,400.0,93.5,227.0,256.0,88.7,40.0,57.0,70.2,2,2.4,2.0,14.0,47.0,20.0,2.0,63.0,780.0,730.0,47.0,12.0,9.0,3.0,17.0,22.0,8.0,1.0,4.0,1.0,688.0,3.0,11.0,28.0,21.0,4.0,1.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,20.0,10.0,8.0,8.0,4.0,8.0,15.0,53.3,7.0,9.0,2.0,7.0,13.0,33,11.0,0.0,68.0,878.0,53.0,210.0,450.0,224.0,36.0,878.0,16.0,9.0,56.3,7.0,43.8,541.0,2910.0,1672.0,28.0,19.0,3.0,15.0,11.0,685.0,63.0,0,0,0,9.0,11.0,3.0,17.0,13.0,10.0,0.0,0.0,0,63.0,6.0,5.0,54.5,1.0
2017-08-13,21:00 (12:00),Ligue 1,Matchweek 2,Sun,Away,W,3,0,Guingamp,2,21.0,8.0,38.1,0.1,0.25,19.0,1.0,0,0,2.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0,0,0,1.0,1.0,100.0,15.0,3.0,6.7,25.6,6.0,0.0,24.3,8.0,1.0,12.5,4.0,17.3,760.0,843.0,90.2,11269.0,3773.0,386.0,416.0,92.8,244.0,268.0,91.0,61.0,75.0,81.3,2,2.0,2.3,19.0,63.0,17.0,0.0,81.0,843.0,796.0,45.0,8.0,7.0,2.0,17.0,25.0,5.0,1.0,1.0,0.0,760.0,2.0,7.0,40.0,30.0,1.0,5.0,2.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,18.0,15.0,9.0,6.0,3.0,8.0,14.0,57.1,6.0,12.0,1.0,11.0,8.0,26,13.0,1.0,73.0,947.0,40.0,184.0,510.0,258.0,36.0,947.0,22.0,17.0,77.3,5.0,22.7,579.0,3140.0,1824.0,32.0,24.0,8.0,16.0,11.0,758.0,80.0,2,0,0,13.0,9.0,2.0,17.0,8.0,15.0,0.0,0.0,0,60.0,5.0,4.0,55.6,1.0
2017-08-20,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Home,W,6,2,Toulouse,6,22.0,13.0,59.1,0.23,0.38,21.5,0.0,1,1,2.6,2.0,0.09,3.4,3.0,1.0,2.0,0.0,-100.0,0.0,0.0,-1.0,0,0,0,0,0.0,3.0,0.0,13.0,5.0,0.0,17.9,6.0,50.0,46.5,9.0,2.0,22.2,0.0,8.0,600.0,703.0,85.3,8675.0,3171.0,333.0,367.0,90.7,170.0,190.0,89.5,43.0,56.0,76.8,3,1.4,1.7,17.0,51.0,23.0,3.0,69.0,703.0,633.0,63.0,22.0,10.0,7.0,27.0,25.0,7.0,0.0,1.0,1.0,600.0,7.0,16.0,43.0,34.0,2.0,3.0,2.0,2.0,0.0,11.0,6.0,1.0,2.0,1.0,1.0,0.0,26.0,16.0,11.0,13.0,2.0,6.0,18.0,33.3,12.0,11.0,2.0,9.0,12.0,38,20.0,0.0,72.0,826.0,43.0,163.0,394.0,274.0,47.0,825.0,28.0,22.0,78.6,6.0,21.4,446.0,2559.0,1418.0,39.0,30.0,12.0,13.0,10.0,597.0,69.0,2,1,1,8.0,17.0,7.0,27.0,12.0,16.0,1.0,0.0,1,52.0,13.0,9.0,59.1,1.0
2017-08-25,20:45 (11:45),Ligue 1,Matchweek 4,Fri,Home,W,3,0,Saint-Étienne,3,13.0,3.0,23.1,0.15,0.67,20.8,1.0,1,1,2.2,1.4,0.11,0.8,0.6,2.0,0.0,2.0,100.0,1.0,0.8,0.8,0,0,0,0,3.0,4.0,75.0,18.0,4.0,16.7,23.8,6.0,16.7,27.7,12.0,1.0,8.3,3.0,17.3,582.0,655.0,88.9,9451.0,2970.0,287.0,300.0,95.7,207.0,232.0,89.2,53.0,67.0,79.1,2,1.0,2.3,8.0,45.0,7.0,1.0,49.0,655.0,599.0,56.0,11.0,7.0,10.0,20.0,30.0,8.0,1.0,1.0,0.0,582.0,0.0,13.0,23.0,16.0,2.0,1.0,2.0,2.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,16.0,11.0,6.0,7.0,3.0,4.0,20.0,20.0,16.0,10.0,4.0,6.0,9.0,25,10.0,0.0,61.0,738.0,38.0,142.0,396.0,208.0,21.0,737.0,21.0,15.0,71.4,6.0,28.6,484.0,2968.0,1634.0,23.0,28.0,5.0,15.0,18.0,579.0,48.0,2,0,0,20.0,12.0,0.0,20.0,9.0,11.0,1.0,0.0,0,48.0,5.0,3.0,62.5,1.0
2017-09-08,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Away,W,5,1,Metz,5,23.0,11.0,47.8,0.22,0.45,14.2,0.0,0,0,4.8,4.8,0.23,0.2,0.2,1.0,1.0,0.0,0.0,0.0,0.6,-0.4,0,0,0,0,2.0,2.0,100.0,19.0,2.0,0.0,21.4,5.0,40.0,40.0,8.0,0.0,0.0,0.0,12.2,635.0,720.0,88.2,10490.0,3518.0,285.0,307.0,92.8,247.0,274.0,90.1,62.0,74.0,83.8,3,3.5,2.9,18.0,67.0,18.0,3.0,79.0,720.0,667.0,48.0,13.0,8.0,3.0,24.0,21.0,7.0,0.0,4.0,0.0,635.0,5.0,6.0,41.0,33.0,2.0,4.0,2.0,0.0,0.0,9.0,7.0,0.0,1.0,1.0,0.0,0.0,14.0,13.0,8.0,4.0,2.0,6.0,11.0,54.5,5.0,4.0,2.0,2.0,12.0,26,13.0,1.0,72.0,806.0,37.0,142.0,419.0,254.0,41.0,806.0,27.0,20.0,74.1,7.0,25.9,540.0,3017.0,1716.0,26.0,28.0,6.0,7.0,12.0,634.0,79.0,1,0,0,8.0,10.0,5.0,24.0,12.0,13.0,0.0,0.0,0,56.0,5.0,5.0,50.0,1.0
2017-09-12,19:45 (11:45),Champions Lg,Group stage,Tue,Away,W,5,0,sct Celtic,4,9.0,5.0,55.6,0.33,0.6,16.9,0.0,1,1,2.5,1.7,0.2,1.5,1.3,4.0,0.0,4.0,100.0,1.0,0.8,0.8,0,0,0,0,3.0,6.0,50.0,12.0,5.0,8.3,22.3,8.0,62.5,45.5,8.0,2.0,25.0,1.0,10.8,802.0,897.0,89.4,11346.0,3469.0,443.0,470.0,94.3,235.0,260.0,90.4,53.0,72.0,73.6,3,1.8,1.4,9.0,42.0,12.0,2.0,57.0,897.0,861.0,35.0,6.0,9.0,5.0,15.0,16.0,4.0,1.0,0.0,0.0,802.0,1.0,12.0,19.0,17.0,1.0,0.0,0.0,1.0,0.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,22.0,15.0,11.0,9.0,2.0,12.0,25.0,48.0,13.0,6.0,1.0,5.0,12.0,34,8.0,1.0,68.0,979.0,47.0,201.0,580.0,210.0,28.0,978.0,28.0,18.0,64.3,10.0,35.7,619.0,2817.0,1511.0,24.0,28.0,5.0,14.0,13.0,800.0,57.0,1,0,0,5.0,5.0,1.0,15.0,12.0,15.0,1.0,0.0,0,65.0,5.0,4.0,55.6,2.0
2017-09-17,21:00 (12:00),Ligue 1,Matchweek 6,Sun,Home,W,2,0,Lyon,0,13.0,4.0,30.8,0.0,0.0,15.8,2.0,0,1,2.0,1.2,0.1,-2.0,-1.2,5.0,0.0,5.0,100.0,1.0,0.5,0.5,0,0,0,0,0.0,0.0,,15.0,4.0,0.0,19.5,5.0,0.0,29.4,7.0,0.0,0.0,0.0,4.0,653.0,737.0,88.6,10858.0,3354.0,309.0,340.0,90.9,248.0,270.0,91.9,65.0,84.0,77.4,0,1.1,1.9,10.0,55.0,15.0,4.0,68.0,737.0,691.0,46.0,15.0,4.0,3.0,31.0,16.0,9.0,5.0,1.0,1.0,653.0,0.0,14.0,27.0,17.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,9.0,9.0,6.0,8.0,24.0,33.3,16.0,8.0,2.0,6.0,6.0,30,13.0,0.0,69.0,828.0,47.0,142.0,456.0,234.0,32.0,827.0,19.0,13.0,68.4,6.0,31.6,553.0,2732.0,1398.0,18.0,28.0,6.0,16.0,13.0,650.0,68.0,3,0,0,11.0,15.0,0.0,31.0,6.0,18.0,1.0,0.0,0,51.0,9.0,3.0,75.0,1.0
2017-09-23,17:00 (08:00),Ligue 1,Matchweek 7,Sat,Away,D,0,0,Montpellier,0,10.0,1.0,10.0,0.0,0.0,15.6,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,2.0,0.0,2.0,100.0,1.0,0.2,0.2,0,0,0,0,0.0,2.0,0.0,17.0,7.0,5.9,22.3,1.0,100.0,56.0,9.0,1.0,11.1,0.0,11.8,641.0,740.0,86.6,11155.0,3189.0,276.0,304.0,90.8,254.0,280.0,90.7,74.0,104.0,71.2,0,0.7,1.3,7.0,50.0,14.0,3.0,62.0,740.0,684.0,55.0,17.0,2.0,11.0,30.0,25.0,11.0,4.0,4.0,1.0,641.0,1.0,10.0,19.0,13.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,9.0,8.0,1.0,6.0,14.0,42.9,8.0,7.0,3.0,4.0,7.0,25,17.0,0.0,74.0,818.0,31.0,127.0,517.0,176.0,27.0,818.0,14.0,7.0,50.0,7.0,50.0,541.0,2877.0,1485.0,23.0,13.0,7.0,8.0,18.0,639.0,62.0,2,0,0,13.0,15.0,1.0,30.0,7.0,11.0,0.0,0.0,0,46.0,13.0,9.0,59.1,1.0
2017-09-27,20:45 (11:45),Champions Lg,Group stage,Wed,Home,W,3,0,de Bayern Munich,3,12.0,5.0,41.7,0.25,0.6,19.2,3.0,0,0,2.0,2.0,0.18,1.0,1.0,6.0,0.0,6.0,100.0,1.0,1.7,1.7,0,0,0,0,6.0,13.0,46.2,20.0,4.0,20.0,26.0,12.0,75.0,46.6,37.0,3.0,8.1,1.0,10.7,320.0,389.0,82.3,5318.0,2101.0,166.0,181.0,91.7,99.0,120.0,82.5,35.0,57.0,61.4,2,1.2,0.5,7.0,17.0,5.0,1.0,25.0,389.0,349.0,39.0,16.0,3.0,7.0,5.0,9.0,1.0,0.0,1.0,0.0,320.0,1.0,9.0,20.0,13.0,0.0,3.0,1.0,3.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,12.0,9.0,7.0,5.0,0.0,4.0,8.0,50.0,4.0,11.0,2.0,9.0,9.0,21,56.0,0.0,37.0,516.0,98.0,238.0,211.0,82.0,15.0,516.0,16.0,12.0,75.0,4.0,25.0,252.0,1276.0,773.0,22.0,12.0,5.0,13.0,12.0,319.0,25.0,1,0,0,10.0,15.0,1.0,5.0,9.0,9.0,0.0,0.0,0,50.0,14.0,11.0,56.0,2.0
2017-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Home,W,6,2,Bordeaux,6,10.0,8.0,80.0,0.5,0.63,18.0,2.0,1,1,2.0,1.3,0.13,4.0,3.7,6.0,2.0,4.0,83.3,0.0,1.4,-0.6,1,1,0,0,0.0,0.0,,14.0,4.0,0.0,18.2,9.0,0.0,27.7,15.0,0.0,0.0,0.0,11.3,636.0,699.0,91.0,9844.0,3196.0,331.0,355.0,93.2,214.0,231.0,92.6,51.0,61.0,83.6,4,1.2,1.3,8.0,28.0,8.0,1.0,42.0,699.0,653.0,45.0,17.0,6.0,3.0,9.0,15.0,1.0,1.0,0.0,0.0,636.0,1.0,4.0,20.0,14.0,1.0,1.0,1.0,3.0,0.0,11.0,8.0,0.0,1.0,1.0,1.0,0.0,10.0,8.0,5.0,3.0,2.0,2.0,14.0,14.3,12.0,7.0,2.0,5.0,9.0,19,27.0,0.0,59.0,783.0,66.0,218.0,451.0,124.0,19.0,782.0,23.0,15.0,65.2,8.0,34.8,493.0,2416.0,1448.0,24.0,18.0,5.0,12.0,16.0,635.0,42.0,1,0,0,10.0,17.0,1.0,9.0,9.0,8.0,0.0,1.0,0,47.0,4.0,6.0,40.0,1.0
