Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-12,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,L,0,2,Lyon,0,10.0,1.0,10.0,0.0,0.0,25.1,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,7.0,2,5.0,71.4,0,2.4,0.4,0,0,0,0,6.0,18.0,33.3,21.0,5.0,57.1,42.0,6.0,100.0,60.2,12.0,1.0,8.3,0.0,6.5,216.0,301.0,71.8,3869.0,1596.0,101.0,125.0,80.8,84.0,100.0,84.0,24.0,61.0,39.3,0,0.3,0.1,7.0,18.0,2.0,0.0,26.0,301.0,256.0,43.0,10.0,1.0,1.0,9.0,23.0,1.0,0.0,0.0,0.0,216.0,2.0,9.0,16.0,9.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,14.0,7.0,2.0,12.0,28.0,42.9,16.0,17.0,5.0,12.0,14.0,37,17.0,0.0,33.0,414.0,49.0,152.0,195.0,73.0,6.0,414.0,13.0,8.0,61.5,5.0,38.5,198.0,1296.0,710.0,14.0,10.0,2.0,14.0,8.0,211.0,25.0,2,0,0,17.0,9.0,2.0,9.0,14.0,8.0,0.0,0.0,0,41.0,12.0,8.0,60.0,1
2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,L,1,2,Montpellier,1,10.0,1.0,10.0,0.0,0.0,24.2,2.0,1,1,1.2,0.4,0.05,-0.2,-0.4,3.0,2,1.0,33.3,0,1.1,-0.9,0,0,0,0,0.0,5.0,0.0,11.0,3.0,9.1,32.0,9.0,44.4,42.8,12.0,0.0,0.0,0.0,15.0,415.0,524.0,79.2,7521.0,2499.0,155.0,177.0,87.6,215.0,252.0,85.3,38.0,74.0,51.4,0,0.3,0.5,5.0,34.0,4.0,1.0,38.0,524.0,469.0,54.0,13.0,1.0,1.0,25.0,23.0,6.0,2.0,4.0,0.0,415.0,1.0,5.0,19.0,10.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,9.0,4.0,1.0,4.0,10.0,40.0,6.0,2.0,1.0,1.0,13.0,27,19.0,0.0,57.0,609.0,35.0,156.0,329.0,130.0,19.0,608.0,8.0,7.0,87.5,1.0,12.5,388.0,2447.0,1283.0,34.0,10.0,2.0,11.0,13.0,411.0,37.0,1,0,0,15.0,14.0,1.0,25.0,13.0,7.0,0.0,0.0,0,41.0,16.0,18.0,47.1,1
2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,W,4,1,Reims,4,14.0,8.0,57.1,0.29,0.5,18.5,1.0,0,0,1.6,1.6,0.12,2.4,2.4,3.0,1,2.0,66.7,0,0.9,-0.1,0,0,0,0,4.0,12.0,33.3,24.0,1.0,33.3,33.1,5.0,80.0,57.4,6.0,0.0,0.0,0.0,11.0,489.0,581.0,84.2,8724.0,3063.0,230.0,243.0,94.7,199.0,225.0,88.4,52.0,91.0,57.1,4,1.5,1.5,11.0,32.0,9.0,4.0,47.0,581.0,533.0,48.0,19.0,0.0,5.0,19.0,18.0,4.0,1.0,2.0,0.0,489.0,0.0,8.0,25.0,22.0,0.0,1.0,0.0,1.0,1.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,14.0,7.0,4.0,5.0,5.0,9.0,17.0,52.9,8.0,1.0,0.0,1.0,7.0,21,6.0,0.0,58.0,658.0,37.0,179.0,340.0,147.0,19.0,658.0,13.0,8.0,61.5,5.0,38.5,431.0,2343.0,1200.0,30.0,18.0,5.0,21.0,10.0,488.0,47.0,1,0,0,18.0,17.0,0.0,19.0,7.0,7.0,0.0,0.0,0,60.0,11.0,13.0,45.8,1
2018-09-02,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,D,0,0,Saint-Étienne,0,9.0,2.0,22.2,0.0,0.0,22.9,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,5.0,0,5.0,100.0,1,0.3,0.3,0,0,0,0,2.0,22.0,9.1,21.0,4.0,71.4,48.1,7.0,100.0,66.3,24.0,0.0,0.0,0.0,8.0,232.0,327.0,70.9,4091.0,1782.0,116.0,135.0,85.9,87.0,110.0,79.1,28.0,72.0,38.9,0,0.4,0.2,9.0,29.0,3.0,0.0,25.0,327.0,284.0,40.0,15.0,0.0,4.0,6.0,16.0,1.0,0.0,1.0,0.0,232.0,3.0,5.0,17.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,1.0,1.0,1.0,7.0,14.3,6.0,14.0,8.0,6.0,14.0,20,47.0,0.0,37.0,454.0,75.0,197.0,181.0,82.0,10.0,454.0,12.0,6.0,50.0,6.0,50.0,211.0,1247.0,672.0,14.0,7.0,3.0,9.0,10.0,229.0,25.0,2,0,0,12.0,11.0,3.0,6.0,14.0,3.0,0.0,0.0,0,46.0,9.0,18.0,33.3,1
2018-09-15,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,L,2,3,Lille,2,7.0,3.0,42.9,0.29,0.67,21.1,1.0,0,1,1.6,0.8,0.11,0.4,1.2,9.0,3,6.0,88.9,0,3.4,0.4,2,2,0,0,10.0,25.0,40.0,27.0,4.0,55.6,41.4,10.0,100.0,65.9,10.0,0.0,0.0,0.0,19.0,308.0,434.0,71.0,5668.0,2444.0,140.0,167.0,83.8,134.0,173.0,77.5,28.0,69.0,40.6,1,0.7,0.6,6.0,17.0,6.0,1.0,32.0,434.0,373.0,56.0,20.0,2.0,1.0,12.0,20.0,3.0,1.0,2.0,0.0,308.0,5.0,11.0,14.0,10.0,1.0,1.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,19.0,14.0,11.0,6.0,2.0,7.0,12.0,58.3,5.0,9.0,2.0,7.0,9.0,28,14.0,0.0,47.0,521.0,53.0,178.0,274.0,73.0,10.0,520.0,5.0,4.0,80.0,1.0,20.0,253.0,1327.0,655.0,11.0,2.0,2.0,13.0,13.0,303.0,31.0,1,0,0,12.0,21.0,5.0,12.0,9.0,14.0,1.0,2.0,0,46.0,23.0,19.0,54.8,1
2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,L,1,3,Strasbourg,1,8.0,3.0,37.5,0.13,0.33,17.9,0.0,0,0,0.7,0.7,0.08,0.3,0.3,6.0,3,4.0,50.0,0,1.5,-0.5,0,0,0,0,3.0,13.0,23.1,13.0,1.0,46.2,40.3,9.0,77.8,56.1,13.0,0.0,0.0,0.0,,347.0,450.0,77.1,5874.0,2059.0,162.0,183.0,88.5,137.0,176.0,77.8,34.0,63.0,54.0,1,0.5,0.5,5.0,31.0,2.0,0.0,19.0,450.0,394.0,56.0,19.0,0.0,4.0,13.0,23.0,1.0,0.0,1.0,0.0,347.0,0.0,5.0,16.0,11.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,19.0,13.0,11.0,7.0,1.0,5.0,12.0,41.7,7.0,8.0,3.0,5.0,16.0,35,21.0,1.0,47.0,555.0,46.0,152.0,308.0,96.0,12.0,555.0,11.0,4.0,36.4,7.0,63.6,254.0,1608.0,865.0,22.0,13.0,3.0,16.0,13.0,345.0,19.0,4,0,0,13.0,15.0,0.0,13.0,16.0,13.0,0.0,0.0,1,42.0,12.0,13.0,48.0,1
2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,W,2,1,Rennes,2,12.0,3.0,25.0,0.17,0.67,21.0,2.0,0,0,0.7,0.7,0.06,1.3,1.3,2.0,1,1.0,50.0,0,1.1,0.1,0,0,0,0,12.0,23.0,52.2,16.0,0.0,56.3,38.6,16.0,87.5,58.1,13.0,0.0,0.0,0.0,,277.0,390.0,71.0,5299.0,2585.0,124.0,144.0,86.1,104.0,141.0,73.8,39.0,79.0,49.4,2,0.4,0.5,6.0,19.0,2.0,1.0,25.0,390.0,322.0,68.0,16.0,1.0,2.0,18.0,24.0,10.0,3.0,5.0,0.0,277.0,0.0,13.0,19.0,11.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,18.0,9.0,9.0,8.0,1.0,5.0,18.0,27.8,13.0,9.0,1.0,8.0,9.0,27,25.0,2.0,49.0,498.0,53.0,169.0,241.0,94.0,12.0,498.0,10.0,5.0,50.0,5.0,50.0,244.0,1187.0,528.0,10.0,5.0,5.0,12.0,6.0,274.0,25.0,0,0,0,11.0,16.0,0.0,18.0,9.0,9.0,0.0,0.0,0,40.0,28.0,25.0,52.8,1
2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,L,0,1,Caen,0,7.0,2.0,28.6,0.0,0.0,23.1,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,4.0,1,3.0,100.0,0,1.4,0.4,1,1,0,0,6.0,23.0,26.1,25.0,4.0,64.0,48.6,9.0,77.8,57.7,28.0,1.0,3.6,0.0,9.7,326.0,454.0,71.8,6184.0,2262.0,135.0,160.0,84.4,152.0,191.0,79.6,36.0,83.0,43.4,0,0.3,0.5,6.0,32.0,6.0,3.0,36.0,454.0,390.0,61.0,16.0,0.0,4.0,23.0,30.0,4.0,3.0,1.0,0.0,326.0,3.0,10.0,12.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,5.0,1.0,2.0,3.0,9.0,33.3,6.0,10.0,4.0,6.0,12.0,20,40.0,0.0,49.0,559.0,65.0,185.0,244.0,141.0,12.0,559.0,12.0,8.0,66.7,4.0,33.3,285.0,1630.0,864.0,17.0,16.0,0.0,17.0,6.0,324.0,35.0,2,1,1,11.0,15.0,3.0,23.0,12.0,6.0,0.0,1.0,0,41.0,22.0,20.0,52.4,1
2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,W,1,0,Dijon,1,8.0,2.0,25.0,0.13,0.5,25.0,1.0,0,0,0.3,0.3,0.04,0.7,0.7,3.0,0,3.0,100.0,1,0.3,0.3,0,0,0,0,9.0,20.0,45.0,28.0,2.0,53.6,42.5,5.0,100.0,66.4,7.0,0.0,0.0,0.0,,304.0,422.0,72.0,5874.0,2430.0,121.0,145.0,83.4,140.0,176.0,79.5,38.0,79.0,48.1,1,0.2,0.3,5.0,18.0,2.0,1.0,29.0,422.0,358.0,61.0,16.0,0.0,1.0,11.0,33.0,6.0,2.0,2.0,0.0,304.0,3.0,5.0,13.0,6.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,7.0,3.0,8.0,1.0,4.0,14.0,28.6,10.0,5.0,3.0,2.0,8.0,20,16.0,0.0,43.0,508.0,48.0,172.0,239.0,99.0,10.0,508.0,12.0,3.0,25.0,9.0,75.0,275.0,1483.0,733.0,9.0,12.0,0.0,19.0,4.0,303.0,29.0,0,0,0,19.0,18.0,3.0,11.0,8.0,7.0,0.0,0.0,0,56.0,14.0,14.0,50.0,1
2018-10-20,17:00 (08:00),Ligue 1,Matchweek 10,Sat,Away,L,0,5,Paris S-G,0,8.0,2.0,25.0,0.0,0.0,17.7,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7,8.0,5,3.0,37.5,0,3.4,-1.6,0,0,0,0,6.0,18.0,33.3,16.0,1.0,62.5,41.6,11.0,72.7,49.8,15.0,0.0,0.0,0.0,8.3,355.0,429.0,82.8,5796.0,2155.0,189.0,204.0,92.6,128.0,147.0,87.1,28.0,57.0,49.1,0,0.3,0.4,5.0,25.0,1.0,0.0,34.0,429.0,372.0,53.0,14.0,0.0,2.0,16.0,17.0,5.0,1.0,4.0,0.0,355.0,4.0,10.0,14.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,8.0,6.0,2.0,7.0,19.0,36.8,12.0,6.0,2.0,4.0,10.0,26,22.0,0.0,42.0,528.0,57.0,152.0,264.0,118.0,9.0,528.0,13.0,3.0,23.1,10.0,76.9,304.0,1828.0,869.0,19.0,14.0,5.0,14.0,13.0,353.0,34.0,0,0,0,10.0,12.0,4.0,16.0,10.0,12.0,0.0,0.0,0,40.0,11.0,12.0,47.8,1
