Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,2,Saint-Étienne,1,10.0,4.0,40.0,0.0,0.0,18.4,0.0,1,1,1.6,0.8,0.08,-0.6,-0.8,6.0,2,4.0,66.7,0,1.6,-0.4,0,0,0,0,11.0,24.0,45.8,35.0,10.0,51.4,42.4,7.0,85.7,61.9,21.0,2.0,9.5,0.0,6.8,399.0,529.0,75.4,7173.0,2855.0,185.0,217.0,85.3,148.0,189.0,78.3,50.0,85.0,58.8,0,0.7,0.6,9.0,28.0,5.0,2.0,46.0,529.0,473.0,55.0,15.0,1.0,4.0,22.0,21.0,9.0,1.0,8.0,0.0,399.0,1.0,11.0,18.0,11.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,7.0,3.0,5.0,2.0,2.0,5.0,40.0,3.0,15.0,3.0,12.0,5.0,15,23.0,0.0,57.0,623.0,63.0,151.0,348.0,131.0,22.0,622.0,13.0,8.0,61.5,5.0,38.5,317.0,1996.0,869.0,23.0,17.0,3.0,11.0,12.0,399.0,46.0,1,0,0,11.0,14.0,1.0,22.0,5.0,7.0,1.0,0.0,0,47.0,28.0,21.0,57.1,1
2018-08-18,17:00 (08:00),Ligue 1,Matchweek 2,Sat,Home,L,1,3,Paris S-G,1,11.0,3.0,27.3,0.09,0.33,19.7,0.0,0,0,1.1,1.1,0.11,-0.1,-0.1,6.0,3,3.0,66.7,0,2.9,-0.1,1,1,0,0,7.0,16.0,43.8,11.0,3.0,63.6,47.9,10.0,90.0,59.8,9.0,0.0,0.0,0.0,6.0,246.0,344.0,71.5,4154.0,1994.0,131.0,152.0,86.2,69.0,100.0,69.0,31.0,61.0,50.8,1,1.1,0.8,8.0,15.0,8.0,2.0,17.0,344.0,287.0,55.0,16.0,1.0,2.0,13.0,21.0,4.0,2.0,1.0,0.0,246.0,2.0,8.0,18.0,13.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,7.0,6.0,2.0,4.0,18.0,22.2,14.0,14.0,4.0,10.0,14.0,29,24.0,0.0,35.0,464.0,49.0,175.0,185.0,111.0,20.0,464.0,23.0,11.0,47.8,12.0,52.2,234.0,1286.0,642.0,15.0,14.0,3.0,17.0,18.0,242.0,16.0,0,0,0,15.0,14.0,2.0,13.0,14.0,9.0,0.0,1.0,0,63.0,14.0,15.0,48.3,1
2018-08-26,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,0,3,Lille,0,12.0,4.0,33.3,0.0,0.0,19.6,2.0,0,0,0.7,0.7,0.06,-0.7,-0.7,7.0,3,4.0,57.1,0,2.9,-0.1,0,0,0,0,8.0,13.0,61.5,20.0,4.0,40.0,34.8,6.0,83.3,62.2,5.0,0.0,0.0,1.0,16.0,382.0,489.0,78.1,7369.0,2822.0,160.0,187.0,85.6,166.0,196.0,84.7,51.0,82.0,62.2,0,0.5,0.5,8.0,27.0,2.0,0.0,49.0,489.0,434.0,53.0,14.0,0.0,8.0,19.0,25.0,4.0,0.0,4.0,0.0,382.0,2.0,11.0,24.0,15.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,7.0,6.0,2.0,5.0,14.0,35.7,9.0,11.0,2.0,9.0,14.0,29,15.0,0.0,52.0,590.0,47.0,149.0,320.0,130.0,18.0,590.0,12.0,9.0,75.0,3.0,25.0,260.0,1557.0,843.0,20.0,11.0,4.0,16.0,6.0,380.0,49.0,1,1,0,13.0,12.0,2.0,19.0,14.0,8.0,0.0,0.0,0,54.0,25.0,13.0,65.8,1
2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,1,2,Toulouse,1,23.0,5.0,21.7,0.04,0.2,19.2,2.0,0,0,1.7,1.7,0.08,-0.7,-0.7,4.0,2,2.0,50.0,0,1.4,-0.6,0,0,0,0,6.0,7.0,85.7,11.0,2.0,45.5,38.9,2.0,100.0,51.5,7.0,1.0,14.3,1.0,13.5,428.0,545.0,78.5,7908.0,2727.0,185.0,216.0,85.6,181.0,215.0,84.2,48.0,77.0,62.3,1,1.3,1.1,17.0,40.0,9.0,5.0,66.0,545.0,484.0,60.0,13.0,0.0,6.0,45.0,31.0,11.0,2.0,3.0,1.0,428.0,1.0,20.0,42.0,29.0,4.0,2.0,3.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,15.0,8.0,12.0,3.0,10.0,19.0,52.6,9.0,1.0,0.0,1.0,6.0,29,14.0,0.0,60.0,650.0,27.0,87.0,328.0,241.0,32.0,650.0,14.0,7.0,50.0,7.0,50.0,336.0,2031.0,1050.0,30.0,23.0,7.0,9.0,13.0,424.0,64.0,3,0,0,12.0,12.0,1.0,45.0,6.0,15.0,0.0,0.0,0,55.0,18.0,14.0,56.3,1
2018-09-16,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,L,0,4,Marseille,0,2.0,0.0,0.0,0.0,,14.9,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,6.0,4,2.0,33.3,0,2.5,-1.5,0,0,0,0,10.0,21.0,47.6,14.0,1.0,78.6,49.6,12.0,83.3,54.5,18.0,0.0,0.0,0.0,10.0,294.0,392.0,75.0,5535.0,2292.0,128.0,148.0,86.5,117.0,148.0,79.1,40.0,71.0,56.3,0,0.2,0.2,2.0,16.0,0.0,0.0,30.0,392.0,340.0,52.0,9.0,0.0,7.0,7.0,25.0,1.0,1.0,0.0,0.0,294.0,0.0,9.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,10.0,5.0,2.0,4.0,9.0,44.4,5.0,8.0,4.0,4.0,5.0,22,26.0,0.0,39.0,488.0,57.0,156.0,258.0,79.0,6.0,488.0,22.0,15.0,68.2,7.0,31.8,221.0,1532.0,809.0,15.0,18.0,3.0,16.0,14.0,292.0,30.0,1,0,0,9.0,8.0,0.0,7.0,5.0,11.0,0.0,0.0,0,44.0,17.0,12.0,58.6,1
2018-09-23,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Bordeaux,1,17.0,4.0,23.5,0.0,0.0,18.5,1.0,1,1,1.9,1.1,0.07,-0.9,-1.1,6.0,3,3.0,50.0,0,2.1,-0.9,0,0,0,0,7.0,17.0,41.2,19.0,1.0,68.4,47.8,5.0,80.0,55.2,7.0,0.0,0.0,1.0,13.0,291.0,399.0,72.9,5576.0,2353.0,122.0,147.0,83.0,103.0,131.0,78.6,51.0,90.0,56.7,0,0.7,0.6,12.0,35.0,5.0,3.0,34.0,399.0,343.0,55.0,16.0,0.0,5.0,23.0,24.0,6.0,4.0,2.0,0.0,291.0,1.0,9.0,31.0,20.0,5.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,10.0,9.0,9.0,0.0,7.0,11.0,63.6,4.0,15.0,1.0,14.0,15.0,33,18.0,2.0,44.0,513.0,38.0,113.0,260.0,144.0,16.0,512.0,10.0,9.0,90.0,1.0,10.0,200.0,1319.0,640.0,16.0,8.0,2.0,12.0,10.0,286.0,33.0,1,0,0,14.0,16.0,1.0,23.0,15.0,10.0,1.0,0.0,0,52.0,12.0,23.0,34.3,1
2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,D,0,0,Nîmes,0,9.0,3.0,33.3,0.0,0.0,20.4,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,2.0,0,2.0,100.0,1,0.2,0.2,1,0,0,1,7.0,23.0,30.4,20.0,3.0,75.0,49.4,8.0,100.0,60.9,13.0,0.0,0.0,1.0,15.3,202.0,359.0,56.3,3911.0,1748.0,81.0,116.0,69.8,74.0,135.0,54.8,35.0,81.0,43.2,0,0.3,0.5,7.0,20.0,7.0,4.0,32.0,359.0,297.0,61.0,11.0,2.0,5.0,15.0,38.0,3.0,3.0,0.0,0.0,202.0,1.0,7.0,15.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,8.0,9.0,1.0,5.0,11.0,45.5,6.0,10.0,1.0,9.0,10.0,28,30.0,0.0,42.0,503.0,52.0,142.0,217.0,147.0,19.0,503.0,18.0,8.0,44.4,10.0,55.6,175.0,1149.0,437.0,10.0,8.0,3.0,24.0,13.0,200.0,31.0,3,0,0,12.0,11.0,1.0,15.0,10.0,13.0,0.0,1.0,0,56.0,29.0,40.0,42.0,1
2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,W,1,0,Angers,1,11.0,5.0,45.5,0.09,0.2,14.0,0.0,0,0,1.5,1.5,0.14,-0.5,-0.5,4.0,0,4.0,100.0,1,0.3,0.3,0,0,0,0,11.0,28.0,39.3,25.0,4.0,72.0,44.8,10.0,100.0,66.5,18.0,1.0,5.6,0.0,9.0,267.0,398.0,67.1,5097.0,2497.0,106.0,133.0,79.7,107.0,144.0,74.3,40.0,76.0,52.6,1,1.4,0.5,9.0,21.0,6.0,1.0,29.0,398.0,337.0,59.0,18.0,0.0,1.0,12.0,26.0,4.0,2.0,0.0,0.0,267.0,2.0,17.0,21.0,11.0,6.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,7.0,1.0,1.0,3.0,9.0,33.3,6.0,10.0,3.0,7.0,12.0,21,49.0,0.0,40.0,535.0,67.0,216.0,226.0,98.0,18.0,535.0,11.0,4.0,36.4,7.0,63.6,219.0,1252.0,697.0,11.0,8.0,2.0,26.0,6.0,263.0,29.0,3,0,0,13.0,13.0,2.0,12.0,12.0,7.0,0.0,0.0,0,61.0,33.0,34.0,49.3,1
2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,1,1,Montpellier,1,7.0,2.0,28.6,0.14,0.5,23.6,2.0,0,0,0.8,0.8,0.11,0.2,0.2,5.0,1,4.0,80.0,0,1.0,0.0,0,0,0,0,6.0,21.0,28.6,29.0,6.0,44.8,39.0,10.0,80.0,57.1,13.0,0.0,0.0,0.0,12.5,318.0,435.0,73.1,5470.0,2195.0,137.0,169.0,81.1,125.0,155.0,80.6,33.0,68.0,48.5,1,0.7,0.6,5.0,24.0,4.0,1.0,32.0,435.0,381.0,53.0,16.0,0.0,1.0,13.0,22.0,3.0,0.0,2.0,0.0,318.0,1.0,11.0,13.0,9.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,9.0,7.0,1.0,7.0,9.0,77.8,2.0,7.0,1.0,6.0,11.0,28,19.0,0.0,42.0,528.0,59.0,169.0,254.0,107.0,8.0,528.0,10.0,6.0,60.0,4.0,40.0,227.0,1514.0,676.0,11.0,9.0,3.0,8.0,12.0,315.0,32.0,0,1,0,11.0,16.0,1.0,13.0,11.0,14.0,0.0,0.0,0,48.0,14.0,22.0,38.9,1
2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Away,D,0,0,Caen,0,7.0,2.0,28.6,0.0,0.0,19.1,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,1.0,0,1.0,100.0,1,0.1,0.1,0,0,0,0,7.0,29.0,24.1,27.0,2.0,88.9,55.0,5.0,100.0,60.6,16.0,1.0,6.3,0.0,13.0,298.0,427.0,69.8,5304.0,2097.0,129.0,163.0,79.1,126.0,155.0,81.3,33.0,83.0,39.8,0,0.3,0.4,5.0,16.0,6.0,1.0,28.0,427.0,368.0,58.0,18.0,0.0,3.0,11.0,32.0,2.0,1.0,1.0,0.0,298.0,1.0,7.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,5.0,5.0,2.0,2.0,7.0,28.6,5.0,8.0,3.0,5.0,13.0,25,22.0,0.0,41.0,522.0,45.0,156.0,264.0,108.0,13.0,522.0,9.0,6.0,66.7,3.0,33.3,230.0,1565.0,727.0,10.0,16.0,4.0,13.0,24.0,297.0,27.0,0,0,0,5.0,16.0,1.0,11.0,13.0,8.0,0.0,0.0,0,51.0,19.0,32.0,37.3,1
