Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,3,1,Rennes,3,15.0,6.0,40.0,0.2,0.5,19.2,1.0,0,0,1.7,1.7,0.11,1.3,1.3,2.0,1,1.0,50.0,0,1.1,0.1,0,0,0,0,4.0,10.0,40.0,21.0,5.0,28.6,32.1,7.0,57.1,45.9,14.0,1.0,7.1,1.0,18.0,427.0,524.0,81.5,6906.0,2647.0,187.0,209.0,89.5,161.0,194.0,83.0,40.0,64.0,62.5,3,1.6,1.1,11.0,26.0,12.0,3.0,37.0,524.0,473.0,50.0,13.0,2.0,6.0,10.0,26.0,2.0,0.0,2.0,0.0,427.0,1.0,12.0,30.0,25.0,1.0,1.0,1.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,7.0,8.0,0.0,5.0,10.0,50.0,5.0,8.0,5.0,3.0,18.0,33,19.0,1.0,56.0,629.0,49.0,193.0,304.0,135.0,30.0,629.0,13.0,10.0,76.9,3.0,23.1,344.0,1850.0,997.0,21.0,16.0,6.0,14.0,10.0,421.0,36.0,1,0,0,12.0,12.0,1.0,10.0,18.0,10.0,0.0,0.0,0,50.0,10.0,10.0,50.0,1
2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,D,0,0,Monaco,0,13.0,4.0,30.8,0.0,0.0,21.3,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,1.0,0,0.0,100.0,1,1.0,1.0,1,0,1,0,13.0,21.0,61.9,22.0,6.0,54.5,38.7,11.0,81.8,59.5,20.0,3.0,15.0,0.0,8.5,355.0,456.0,77.9,6414.0,2710.0,177.0,209.0,84.7,109.0,134.0,81.3,55.0,75.0,73.3,0,0.6,0.7,12.0,35.0,7.0,2.0,38.0,456.0,402.0,52.0,11.0,2.0,8.0,15.0,25.0,4.0,1.0,3.0,0.0,355.0,2.0,8.0,26.0,20.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,3.0,8.0,1.0,7.0,16.0,43.8,9.0,10.0,4.0,6.0,5.0,17,20.0,0.0,52.0,539.0,53.0,153.0,257.0,135.0,21.0,539.0,13.0,5.0,38.5,8.0,61.5,378.0,2025.0,1050.0,19.0,14.0,7.0,11.0,13.0,351.0,38.0,3,0,0,14.0,9.0,2.0,15.0,5.0,9.0,0.0,1.0,0,57.0,11.0,14.0,44.0,1
2018-08-26,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,W,3,0,Guingamp,3,13.0,7.0,53.8,0.23,0.43,18.5,0.0,0,0,2.1,2.1,0.17,0.9,0.9,4.0,0,4.0,100.0,1,0.4,0.4,0,0,0,0,3.0,15.0,20.0,27.0,7.0,37.0,37.0,5.0,100.0,65.6,13.0,0.0,0.0,0.0,,364.0,460.0,79.1,6190.0,2267.0,169.0,191.0,88.5,146.0,168.0,86.9,34.0,63.0,54.0,2,1.2,0.7,10.0,25.0,8.0,0.0,27.0,460.0,416.0,41.0,15.0,4.0,1.0,9.0,16.0,4.0,0.0,3.0,0.0,364.0,3.0,12.0,20.0,12.0,3.0,2.0,2.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,9.0,8.0,5.0,4.0,0.0,3.0,12.0,25.0,9.0,9.0,2.0,7.0,4.0,13,43.0,0.0,48.0,574.0,64.0,183.0,288.0,111.0,21.0,574.0,14.0,9.0,64.3,5.0,35.7,320.0,1968.0,1145.0,26.0,16.0,6.0,16.0,10.0,362.0,27.0,2,0,0,13.0,13.0,3.0,9.0,4.0,8.0,0.0,0.0,0,56.0,13.0,25.0,34.2,1
2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,0,1,Angers,0,16.0,2.0,12.5,0.0,0.0,21.4,1.0,0,1,1.5,0.7,0.04,-1.5,-0.7,3.0,1,2.0,66.7,0,0.8,-0.2,0,0,0,0,3.0,6.0,50.0,18.0,4.0,22.2,27.8,4.0,50.0,42.8,8.0,1.0,12.5,4.0,23.4,557.0,651.0,85.6,8993.0,2766.0,261.0,282.0,92.6,222.0,247.0,89.9,45.0,73.0,61.6,0,0.6,0.5,13.0,53.0,7.0,3.0,56.0,651.0,597.0,52.0,15.0,2.0,3.0,16.0,26.0,5.0,2.0,2.0,0.0,557.0,2.0,10.0,31.0,23.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,6.0,1.0,7.0,14.0,50.0,7.0,9.0,2.0,7.0,9.0,23,23.0,0.0,67.0,745.0,41.0,129.0,442.0,182.0,16.0,744.0,9.0,5.0,55.6,4.0,44.4,509.0,2884.0,1647.0,28.0,31.0,3.0,8.0,13.0,552.0,56.0,1,0,0,8.0,13.0,2.0,16.0,9.0,7.0,0.0,0.0,0,47.0,16.0,14.0,53.3,1
2018-09-15,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,W,3,2,Amiens,3,16.0,7.0,43.8,0.06,0.14,21.8,0.0,2,2,3.0,1.5,0.09,0.0,-0.5,4.0,2,1.0,50.0,0,2.4,0.4,1,0,1,0,4.0,16.0,25.0,26.0,3.0,57.7,44.6,1.0,100.0,74.0,8.0,1.0,12.5,3.0,21.0,385.0,483.0,79.7,6390.0,2454.0,193.0,215.0,89.8,147.0,174.0,84.5,35.0,71.0,49.3,1,1.3,0.9,13.0,27.0,7.0,2.0,47.0,483.0,439.0,43.0,15.0,4.0,2.0,11.0,21.0,3.0,1.0,2.0,0.0,385.0,1.0,8.0,30.0,18.0,3.0,1.0,3.0,4.0,1.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,14.0,10.0,4.0,9.0,1.0,1.0,5.0,20.0,4.0,12.0,2.0,10.0,17.0,31,16.0,0.0,53.0,597.0,36.0,142.0,323.0,138.0,18.0,595.0,12.0,5.0,41.7,7.0,58.3,304.0,1597.0,852.0,13.0,14.0,4.0,16.0,12.0,384.0,46.0,2,0,0,21.0,12.0,1.0,11.0,17.0,10.0,2.0,1.0,0,56.0,19.0,23.0,45.2,1
2018-09-22,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,W,2,1,Nantes,2,11.0,8.0,72.7,0.18,0.25,19.6,0.0,0,0,0.8,0.8,0.07,1.2,1.2,4.0,1,3.0,75.0,0,1.1,0.1,0,0,0,0,6.0,34.0,17.6,27.0,3.0,74.1,50.7,16.0,87.5,63.1,15.0,1.0,6.7,1.0,13.0,278.0,395.0,70.4,4970.0,2252.0,136.0,177.0,76.8,101.0,118.0,85.6,32.0,77.0,41.6,2,0.3,0.5,7.0,28.0,9.0,2.0,44.0,395.0,334.0,60.0,15.0,0.0,3.0,9.0,23.0,4.0,0.0,2.0,0.0,278.0,1.0,7.0,18.0,12.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,15.0,8.0,4.0,10.0,1.0,2.0,6.0,33.3,4.0,12.0,2.0,10.0,19.0,34,17.0,0.0,43.0,525.0,54.0,139.0,251.0,140.0,23.0,525.0,27.0,10.0,37.0,17.0,63.0,208.0,1174.0,590.0,10.0,7.0,7.0,23.0,15.0,277.0,43.0,3,0,0,15.0,11.0,1.0,9.0,19.0,8.0,0.0,0.0,0,64.0,13.0,20.0,39.4,1
2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,0,1,Bordeaux,0,16.0,7.0,43.8,0.0,0.0,21.2,2.0,0,0,1.9,1.9,0.12,-1.9,-1.9,3.0,1,2.0,66.7,0,1.1,0.1,0,0,0,0,3.0,13.0,23.1,22.0,4.0,50.0,37.1,5.0,40.0,46.4,6.0,0.0,0.0,5.0,24.6,450.0,559.0,80.5,7545.0,2441.0,196.0,217.0,90.3,183.0,221.0,82.8,44.0,79.0,55.7,0,1.0,0.9,12.0,38.0,6.0,3.0,50.0,559.0,505.0,53.0,14.0,1.0,5.0,20.0,28.0,4.0,4.0,0.0,0.0,450.0,1.0,6.0,29.0,23.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,12.0,7.0,5.0,8.0,14.0,57.1,6.0,10.0,0.0,10.0,11.0,35,12.0,0.0,64.0,670.0,32.0,133.0,363.0,177.0,17.0,670.0,12.0,5.0,41.7,7.0,58.3,402.0,2124.0,1041.0,16.0,21.0,3.0,17.0,19.0,447.0,50.0,3,1,1,19.0,13.0,1.0,20.0,11.0,15.0,0.0,0.0,0,63.0,16.0,18.0,47.1,1
2018-09-30,21:00 (12:00),Ligue 1,Matchweek 8,Sun,Home,W,3,0,Marseille,3,14.0,2.0,14.3,0.07,0.5,25.0,1.0,2,2,2.8,1.3,0.09,0.2,-0.3,3.0,0,3.0,100.0,1,0.9,0.9,0,0,0,0,6.0,17.0,35.3,23.0,3.0,47.8,36.7,10.0,60.0,45.7,8.0,0.0,0.0,1.0,21.0,345.0,471.0,73.2,5938.0,2587.0,160.0,193.0,82.9,119.0,161.0,73.9,38.0,72.0,52.8,1,1.1,1.2,10.0,33.0,6.0,0.0,59.0,471.0,424.0,46.0,11.0,0.0,5.0,19.0,19.0,5.0,1.0,4.0,0.0,345.0,1.0,11.0,30.0,25.0,2.0,0.0,0.0,3.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,11.0,4.0,7.0,3.0,1.0,6.0,12.0,50.0,6.0,7.0,1.0,6.0,9.0,20,8.0,1.0,50.0,561.0,50.0,155.0,251.0,160.0,21.0,559.0,11.0,5.0,45.5,6.0,54.5,319.0,1818.0,978.0,30.0,18.0,8.0,21.0,18.0,344.0,59.0,1,0,0,8.0,14.0,1.0,19.0,9.0,4.0,2.0,0.0,0,58.0,21.0,14.0,60.0,1
2018-10-06,17:00 (08:00),Ligue 1,Matchweek 9,Sat,Home,W,3,1,Saint-Étienne,3,12.0,5.0,41.7,0.25,0.6,21.2,0.0,0,0,0.8,0.8,0.07,2.2,2.2,2.0,1,1.0,100.0,0,1.1,0.1,1,1,0,0,4.0,14.0,28.6,20.0,3.0,50.0,40.9,6.0,66.7,46.0,21.0,0.0,0.0,2.0,21.8,343.0,443.0,77.4,5921.0,1938.0,154.0,171.0,90.1,130.0,157.0,82.8,38.0,77.0,49.4,3,0.7,0.8,9.0,25.0,3.0,0.0,38.0,443.0,397.0,45.0,13.0,1.0,6.0,9.0,23.0,1.0,0.0,1.0,0.0,343.0,1.0,7.0,20.0,16.0,2.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,10.0,3.0,1.0,2.0,4.0,50.0,2.0,5.0,2.0,3.0,6.0,20,31.0,0.0,47.0,551.0,61.0,159.0,253.0,145.0,15.0,551.0,10.0,5.0,50.0,5.0,50.0,262.0,1524.0,801.0,17.0,11.0,5.0,13.0,10.0,338.0,37.0,2,0,0,8.0,9.0,1.0,9.0,6.0,8.0,0.0,1.0,0,48.0,13.0,18.0,41.9,1
2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Away,W,2,1,Dijon,2,7.0,2.0,28.6,0.14,0.5,21.7,0.0,1,1,2.0,1.2,0.18,0.0,-0.2,7.0,1,6.0,100.0,0,2.0,1.0,1,1,0,0,7.0,25.0,28.0,35.0,5.0,60.0,43.4,4.0,100.0,62.3,20.0,2.0,10.0,0.0,13.2,288.0,390.0,73.8,5589.0,2060.0,98.0,121.0,81.0,137.0,167.0,82.0,39.0,80.0,48.8,1,0.8,0.4,4.0,22.0,2.0,0.0,28.0,390.0,333.0,57.0,21.0,2.0,2.0,12.0,25.0,5.0,2.0,2.0,0.0,288.0,0.0,5.0,13.0,8.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0,13.0,4.0,11.0,1.0,9.0,17.0,52.9,8.0,9.0,6.0,3.0,9.0,25,23.0,1.0,43.0,481.0,61.0,167.0,228.0,91.0,12.0,480.0,12.0,10.0,83.3,2.0,16.7,233.0,1387.0,815.0,15.0,15.0,3.0,17.0,10.0,284.0,27.0,1,0,0,13.0,19.0,0.0,12.0,9.0,13.0,0.0,1.0,0,47.0,15.0,12.0,55.6,1
