Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,W,4,3,Angers,3,14.0,4.0,28.6,0.21,0.75,23.0,1.0,0,0,1.5,1.5,0.1,1.5,1.5,7.0,3,4.0,57.1,0,2.2,-0.8,0,0,0,0,9.0,22.0,40.9,22.0,2.0,63.6,44.7,8.0,100.0,60.6,11.0,2.0,18.2,0.0,10.3,262.0,376.0,69.7,4750.0,2104.0,131.0,155.0,84.5,84.0,109.0,77.1,37.0,90.0,41.1,3,1.3,1.0,10.0,21.0,6.0,4.0,25.0,376.0,325.0,50.0,20.0,2.0,10.0,13.0,17.0,1.0,1.0,0.0,0.0,262.0,1.0,9.0,23.0,15.0,3.0,3.0,0.0,2.0,0.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,21.0,15.0,13.0,8.0,0.0,9.0,22.0,40.9,13.0,13.0,5.0,8.0,15.0,36,25.0,0.0,43.0,506.0,56.0,171.0,245.0,96.0,12.0,506.0,18.0,8.0,44.4,10.0,55.6,222.0,1150.0,599.0,11.0,5.0,2.0,19.0,9.0,256.0,25.0,2,1,1,12.0,19.0,1.0,13.0,15.0,15.0,0.0,0.0,0,57.0,26.0,21.0,55.3,1
2018-08-19,21:00 (12:00),Ligue 1,Matchweek 2,Sun,Home,W,3,1,Marseille,3,14.0,7.0,50.0,0.21,0.43,17.9,0.0,0,0,1.4,1.4,0.1,1.6,1.6,6.0,1,5.0,83.3,0,1.0,0.0,0,0,0,0,10.0,22.0,45.5,17.0,2.0,82.4,50.6,9.0,88.9,58.4,19.0,0.0,0.0,0.0,,206.0,308.0,66.9,4399.0,2167.0,89.0,120.0,74.2,68.0,90.0,75.6,45.0,85.0,52.9,1,0.6,0.5,9.0,23.0,2.0,1.0,26.0,308.0,254.0,54.0,13.0,0.0,5.0,21.0,24.0,6.0,2.0,4.0,0.0,206.0,0.0,4.0,24.0,14.0,6.0,2.0,1.0,0.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,23.0,18.0,9.0,13.0,1.0,13.0,22.0,59.1,9.0,6.0,1.0,5.0,8.0,31,26.0,0.0,39.0,423.0,52.0,130.0,197.0,106.0,17.0,423.0,13.0,9.0,69.2,4.0,30.8,209.0,1444.0,665.0,18.0,12.0,4.0,21.0,19.0,203.0,26.0,3,0,0,11.0,11.0,0.0,21.0,8.0,18.0,0.0,0.0,0,52.0,21.0,24.0,46.7,1
2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,1,Toulouse,0,9.0,0.0,0.0,0.0,,15.7,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,4.0,1,2.0,100.0,0,2.2,1.2,2,1,1,0,9.0,26.0,34.6,27.0,4.0,74.1,49.1,7.0,85.7,51.3,11.0,1.0,9.1,0.0,9.7,250.0,361.0,69.3,4755.0,2145.0,117.0,138.0,84.8,91.0,121.0,75.2,34.0,80.0,42.5,0,0.4,0.7,6.0,19.0,4.0,1.0,27.0,361.0,294.0,67.0,19.0,0.0,5.0,18.0,36.0,3.0,2.0,1.0,0.0,250.0,0.0,10.0,15.0,9.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,10.0,10.0,3.0,8.0,19.0,42.1,11.0,10.0,2.0,8.0,14.0,37,21.0,1.0,39.0,475.0,47.0,141.0,211.0,125.0,19.0,475.0,10.0,4.0,40.0,6.0,60.0,206.0,1020.0,534.0,12.0,6.0,5.0,24.0,9.0,249.0,27.0,3,0,0,21.0,15.0,0.0,18.0,14.0,14.0,0.0,2.0,0,44.0,22.0,25.0,46.8,1
2018-09-01,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,L,2,4,Paris S-G,2,13.0,5.0,38.5,0.08,0.2,23.6,1.0,1,1,1.3,0.5,0.04,0.7,0.5,5.0,4,1.0,20.0,0,2.9,-1.1,0,0,0,0,3.0,7.0,42.9,16.0,5.0,37.5,33.2,2.0,50.0,38.0,8.0,0.0,0.0,0.0,10.0,280.0,372.0,75.3,4586.0,1969.0,152.0,174.0,87.4,83.0,108.0,76.9,30.0,60.0,50.0,1,0.4,0.4,11.0,25.0,5.0,2.0,28.0,372.0,311.0,60.0,11.0,0.0,1.0,21.0,39.0,3.0,0.0,2.0,0.0,280.0,1.0,12.0,26.0,16.0,4.0,1.0,1.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,21.0,16.0,5.0,14.0,2.0,11.0,21.0,52.4,10.0,7.0,1.0,6.0,13.0,34,24.0,0.0,40.0,496.0,35.0,146.0,192.0,161.0,15.0,495.0,14.0,8.0,57.1,6.0,42.9,239.0,1183.0,606.0,16.0,13.0,5.0,20.0,18.0,276.0,28.0,1,1,0,12.0,11.0,1.0,21.0,13.0,16.0,1.0,0.0,0,57.0,6.0,6.0,50.0,1
2018-09-16,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Away,D,3,3,Bordeaux,3,15.0,5.0,33.3,0.2,0.6,21.0,3.0,0,0,1.6,1.6,0.11,1.4,1.4,4.0,3,1.0,25.0,0,2.0,-1.0,0,0,0,0,12.0,22.0,54.5,28.0,2.0,53.6,36.1,8.0,87.5,60.0,11.0,1.0,9.1,1.0,13.0,347.0,477.0,72.7,6248.0,2934.0,167.0,210.0,79.5,140.0,168.0,83.3,32.0,75.0,42.7,2,1.3,1.3,8.0,37.0,9.0,1.0,46.0,477.0,429.0,48.0,9.0,1.0,2.0,15.0,24.0,3.0,2.0,1.0,0.0,347.0,0.0,10.0,24.0,18.0,1.0,0.0,2.0,3.0,0.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,21.0,10.0,7.0,9.0,5.0,8.0,13.0,61.5,5.0,13.0,6.0,7.0,9.0,30,20.0,0.0,50.0,608.0,51.0,188.0,254.0,174.0,20.0,608.0,13.0,6.0,46.2,7.0,53.8,341.0,1739.0,857.0,19.0,16.0,2.0,25.0,17.0,345.0,46.0,0,0,0,9.0,12.0,0.0,15.0,9.0,10.0,0.0,0.0,0,55.0,29.0,34.0,46.0,1
2018-09-21,20:45 (11:45),Ligue 1,Matchweek 6,Fri,Away,D,1,1,Monaco,1,8.0,2.0,25.0,0.13,0.5,19.6,1.0,0,0,0.6,0.6,0.08,0.4,0.4,4.0,1,3.0,75.0,0,1.1,0.1,0,0,0,0,7.0,25.0,28.0,20.0,4.0,70.0,45.2,12.0,91.7,52.8,23.0,3.0,13.0,0.0,5.2,262.0,383.0,68.4,4491.0,2068.0,143.0,170.0,84.1,82.0,112.0,73.2,32.0,79.0,40.5,1,0.5,1.0,6.0,20.0,1.0,0.0,22.0,383.0,320.0,60.0,14.0,0.0,1.0,19.0,27.0,5.0,2.0,3.0,0.0,262.0,3.0,5.0,14.0,4.0,4.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,24.0,14.0,13.0,6.0,5.0,11.0,20.0,55.0,9.0,9.0,1.0,8.0,6.0,30,24.0,0.0,43.0,507.0,48.0,185.0,227.0,99.0,10.0,507.0,18.0,10.0,55.6,8.0,44.4,227.0,1211.0,618.0,11.0,6.0,0.0,19.0,9.0,257.0,22.0,2,0,0,15.0,16.0,3.0,19.0,6.0,14.0,0.0,0.0,0,59.0,19.0,24.0,44.2,1
2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,D,0,0,Guingamp,0,6.0,2.0,33.3,0.0,0.0,31.0,1.0,0,1,1.0,0.2,0.03,-1.0,-0.2,3.0,0,3.0,100.0,1,0.8,0.8,0,0,0,0,8.0,15.0,53.3,21.0,4.0,52.4,41.5,7.0,57.1,42.4,12.0,1.0,8.3,1.0,12.3,347.0,500.0,69.4,6420.0,2742.0,152.0,183.0,83.1,148.0,193.0,76.7,41.0,93.0,44.1,0,0.1,0.3,3.0,27.0,3.0,1.0,36.0,500.0,437.0,63.0,11.0,0.0,1.0,14.0,40.0,4.0,2.0,2.0,0.0,347.0,0.0,11.0,12.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,18.0,15.0,6.0,2.0,10.0,18.0,55.6,8.0,6.0,1.0,5.0,11.0,34,33.0,0.0,58.0,630.0,53.0,219.0,302.0,114.0,11.0,629.0,11.0,6.0,54.5,5.0,45.5,291.0,1509.0,824.0,11.0,6.0,3.0,29.0,13.0,343.0,36.0,3,0,0,11.0,11.0,0.0,14.0,11.0,18.0,1.0,0.0,0,53.0,40.0,29.0,58.0,1
2018-09-30,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Away,L,0,3,Montpellier,0,11.0,3.0,27.3,0.0,0.0,18.7,0.0,0,0,1.0,1.0,0.1,-1.0,-1.0,6.0,3,3.0,66.7,0,2.7,-0.3,1,1,0,0,9.0,15.0,60.0,16.0,3.0,43.8,40.0,10.0,80.0,50.7,15.0,3.0,20.0,1.0,8.8,238.0,343.0,69.4,4362.0,2100.0,110.0,143.0,76.9,85.0,109.0,78.0,31.0,63.0,49.2,0,1.0,0.3,8.0,15.0,5.0,2.0,24.0,343.0,290.0,52.0,16.0,0.0,3.0,17.0,21.0,1.0,1.0,0.0,0.0,238.0,1.0,6.0,20.0,15.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,16.0,9.0,0.0,9.0,18.0,50.0,9.0,15.0,5.0,10.0,15.0,40,30.0,1.0,42.0,480.0,56.0,187.0,206.0,91.0,15.0,480.0,19.0,9.0,47.4,10.0,52.6,226.0,1244.0,649.0,14.0,11.0,6.0,13.0,9.0,235.0,24.0,3,0,0,18.0,14.0,1.0,17.0,15.0,12.0,0.0,1.0,0,42.0,24.0,20.0,54.5,1
2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,D,0,0,Reims,0,17.0,5.0,29.4,0.0,0.0,20.1,0.0,0,0,0.9,0.9,0.05,-0.9,-0.9,3.0,0,3.0,100.0,1,0.4,0.4,0,0,0,0,9.0,21.0,42.9,26.0,2.0,65.4,44.2,4.0,100.0,65.8,9.0,0.0,0.0,0.0,5.7,399.0,545.0,73.2,7664.0,3150.0,173.0,211.0,82.0,145.0,190.0,76.3,64.0,108.0,59.3,0,0.7,0.6,10.0,40.0,5.0,4.0,39.0,545.0,478.0,65.0,16.0,0.0,5.0,35.0,35.0,9.0,2.0,7.0,0.0,399.0,2.0,14.0,30.0,24.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,6.0,9.0,0.0,10.0,16.0,62.5,6.0,5.0,0.0,5.0,10.0,25,17.0,0.0,63.0,650.0,35.0,193.0,303.0,159.0,11.0,650.0,9.0,2.0,22.2,7.0,77.8,306.0,1604.0,790.0,18.0,8.0,2.0,20.0,10.0,393.0,38.0,1,0,0,13.0,9.0,2.0,35.0,10.0,8.0,0.0,0.0,0,58.0,38.0,39.0,49.4,1
2018-10-19,20:45 (11:45),Ligue 1,Matchweek 10,Fri,Away,L,0,2,Lyon,0,23.0,6.0,26.1,0.0,0.0,20.7,0.0,0,0,1.4,1.4,0.06,-1.4,-1.4,5.0,2,3.0,60.0,0,2.2,0.2,0,0,0,0,5.0,15.0,33.3,17.0,6.0,52.9,38.6,7.0,85.7,56.7,14.0,1.0,7.1,0.0,11.3,311.0,407.0,76.4,4942.0,2058.0,186.0,209.0,89.0,73.0,97.0,75.3,34.0,64.0,53.1,0,1.3,1.1,20.0,22.0,6.0,3.0,41.0,407.0,359.0,48.0,13.0,1.0,5.0,25.0,18.0,7.0,3.0,3.0,1.0,311.0,0.0,13.0,42.0,33.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,13.0,7.0,4.0,8.0,21.0,38.1,13.0,11.0,3.0,8.0,13.0,37,21.0,0.0,40.0,542.0,45.0,159.0,223.0,167.0,23.0,542.0,12.0,5.0,41.7,7.0,58.3,270.0,1678.0,1024.0,27.0,18.0,4.0,14.0,11.0,306.0,40.0,2,0,0,11.0,10.0,0.0,25.0,13.0,15.0,0.0,0.0,0,59.0,13.0,14.0,48.1,1
