Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,L,1,3,Lille,1,8.0,2.0,25.0,0.13,0.5,23.0,1.0,0,0,0.5,0.5,0.06,0.5,0.5,6.0,3,3.0,50.0,0,2.3,-0.7,0,0,0,0,6.0,12.0,50.0,15.0,4.0,46.7,36.9,9.0,55.6,46.9,9.0,1.0,11.1,0.0,3.5,301.0,404.0,74.5,5740.0,2451.0,126.0,153.0,82.4,134.0,162.0,82.7,36.0,74.0,48.6,1,0.4,0.4,6.0,29.0,10.0,1.0,47.0,404.0,353.0,50.0,12.0,1.0,6.0,19.0,20.0,6.0,4.0,1.0,0.0,301.0,1.0,6.0,16.0,11.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,9.0,6.0,4.0,3.0,3.0,13.0,23.1,10.0,16.0,4.0,12.0,10.0,23,10.0,0.0,44.0,490.0,43.0,135.0,226.0,139.0,17.0,490.0,10.0,5.0,50.0,5.0,50.0,280.0,1679.0,828.0,14.0,12.0,6.0,16.0,10.0,299.0,46.0,0,0,0,13.0,12.0,1.0,19.0,10.0,9.0,0.0,0.0,0,53.0,10.0,10.0,50.0,1
2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,W,1,0,Angers,1,5.0,2.0,40.0,0.2,0.5,22.2,1.0,0,0,0.3,0.3,0.06,0.7,0.7,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,2.0,6.0,33.3,15.0,3.0,26.7,32.1,7.0,28.6,34.1,5.0,0.0,0.0,1.0,28.0,426.0,558.0,76.3,8021.0,2594.0,170.0,206.0,82.5,193.0,223.0,86.5,51.0,94.0,54.3,1,0.2,0.4,3.0,45.0,5.0,1.0,61.0,558.0,509.0,47.0,11.0,2.0,10.0,17.0,25.0,3.0,1.0,2.0,0.0,426.0,2.0,10.0,7.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,7.0,3.0,8.0,2.0,9.0,21.0,42.9,12.0,9.0,1.0,8.0,5.0,18,14.0,0.0,58.0,639.0,27.0,128.0,378.0,140.0,17.0,639.0,15.0,11.0,73.3,4.0,26.7,322.0,2010.0,1219.0,25.0,8.0,10.0,19.0,10.0,423.0,60.0,1,0,0,8.0,11.0,2.0,17.0,5.0,7.0,0.0,0.0,0,56.0,24.0,10.0,70.6,1
2018-08-26,21:00 (12:00),Ligue 1,Matchweek 3,Sun,Away,D,2,2,Marseille,2,6.0,1.0,16.7,0.17,1.0,21.3,2.0,1,1,2.0,1.2,0.2,0.0,-0.2,3.0,2,2.0,33.3,0,1.2,0.2,0,0,0,0,7.0,28.0,25.0,23.0,2.0,69.6,48.6,12.0,100.0,66.8,26.0,0.0,0.0,0.0,7.0,209.0,321.0,65.1,4362.0,1856.0,78.0,98.0,79.6,89.0,117.0,76.1,38.0,93.0,40.9,0,0.2,0.2,3.0,20.0,2.0,1.0,20.0,321.0,266.0,53.0,14.0,0.0,6.0,15.0,20.0,4.0,1.0,1.0,0.0,209.0,2.0,6.0,13.0,5.0,1.0,2.0,0.0,4.0,1.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,16.0,10.0,9.0,6.0,1.0,4.0,12.0,33.3,8.0,6.0,1.0,5.0,11.0,27,33.0,0.0,36.0,436.0,67.0,179.0,181.0,78.0,8.0,435.0,12.0,5.0,41.7,7.0,58.3,206.0,1047.0,459.0,10.0,8.0,2.0,16.0,9.0,206.0,19.0,1,0,0,15.0,14.0,2.0,15.0,11.0,10.0,1.0,0.0,1,49.0,17.0,23.0,42.5,1
2018-09-02,17:00 (08:00),Ligue 1,Matchweek 4,Sun,Home,W,2,0,Bordeaux,2,16.0,7.0,43.8,0.13,0.29,15.2,0.0,0,0,2.3,2.3,0.14,-0.3,-0.3,1.0,0,1.0,100.0,1,0.4,0.4,0,0,0,0,4.0,14.0,28.6,19.0,2.0,36.8,34.4,8.0,87.5,62.5,10.0,0.0,0.0,2.0,26.0,314.0,420.0,74.8,5604.0,2274.0,144.0,172.0,83.7,131.0,166.0,78.9,34.0,66.0,51.5,2,1.5,1.2,13.0,24.0,9.0,5.0,32.0,420.0,376.0,44.0,14.0,0.0,3.0,17.0,15.0,6.0,3.0,3.0,0.0,314.0,0.0,5.0,27.0,17.0,5.0,4.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,25.0,17.0,13.0,11.0,1.0,14.0,25.0,56.0,11.0,11.0,2.0,9.0,12.0,37,29.0,0.0,46.0,545.0,43.0,148.0,271.0,137.0,24.0,545.0,22.0,12.0,54.5,10.0,45.5,307.0,1719.0,1009.0,21.0,10.0,4.0,12.0,10.0,313.0,32.0,0,0,0,12.0,13.0,0.0,17.0,12.0,17.0,0.0,0.0,0,68.0,11.0,19.0,36.7,1
2018-09-14,19:00 (10:00),Ligue 1,Matchweek 5,Fri,Away,L,1,2,Nice,0,8.0,1.0,12.5,0.0,0.0,27.4,2.0,0,1,1.1,0.3,0.04,-1.1,-0.3,4.0,2,2.0,50.0,0,1.6,-0.4,0,0,0,0,8.0,22.0,36.4,22.0,2.0,54.5,40.1,11.0,90.9,55.6,17.0,0.0,0.0,4.0,22.0,284.0,380.0,74.7,4945.0,1936.0,135.0,163.0,82.8,96.0,111.0,86.5,38.0,72.0,52.8,0,0.1,0.4,5.0,19.0,5.0,2.0,25.0,380.0,331.0,47.0,7.0,1.0,6.0,12.0,24.0,2.0,2.0,0.0,0.0,284.0,2.0,12.0,14.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,13.0,10.0,2.0,14.0,30.0,46.7,16.0,8.0,3.0,5.0,14.0,39,24.0,0.0,42.0,503.0,62.0,147.0,269.0,95.0,15.0,502.0,23.0,6.0,26.1,17.0,73.9,244.0,1651.0,809.0,15.0,15.0,3.0,15.0,6.0,284.0,25.0,1,0,0,19.0,9.0,2.0,12.0,14.0,12.0,1.0,0.0,0,61.0,11.0,12.0,47.8,1
2018-09-20,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,2,1,cz Jablonec,2,16.0,5.0,31.3,0.06,0.2,20.4,1.0,1,1,1.5,0.8,0.05,0.5,0.2,1.0,1,0.0,0.0,0,0.2,-0.8,0,0,0,0,8.0,22.0,36.4,32.0,1.0,43.8,38.3,9.0,88.9,62.4,9.0,0.0,0.0,3.0,24.5,413.0,529.0,78.1,7500.0,2816.0,168.0,198.0,84.8,199.0,230.0,86.5,35.0,77.0,45.5,1,0.5,0.8,10.0,25.0,7.0,1.0,38.0,529.0,473.0,55.0,10.0,0.0,1.0,16.0,29.0,5.0,3.0,2.0,0.0,413.0,1.0,8.0,30.0,19.0,4.0,2.0,3.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,20.0,14.0,10.0,7.0,3.0,8.0,10.0,80.0,2.0,9.0,2.0,7.0,16.0,36,20.0,0.0,60.0,652.0,45.0,219.0,310.0,132.0,22.0,651.0,14.0,5.0,35.7,9.0,64.3,352.0,1844.0,806.0,11.0,9.0,3.0,23.0,12.0,409.0,38.0,1,0,0,11.0,10.0,1.0,16.0,16.0,14.0,1.0,0.0,0,59.0,27.0,21.0,56.3,2
2018-09-23,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,1,3,Paris S-G,0,14.0,4.0,28.6,0.0,0.0,17.3,1.0,0,0,1.3,1.3,0.09,-1.3,-1.3,4.0,3,1.0,25.0,0,1.4,-1.6,0,0,0,0,8.0,19.0,42.1,23.0,3.0,52.2,40.4,8.0,87.5,60.1,8.0,0.0,0.0,2.0,18.4,294.0,368.0,79.9,6016.0,2381.0,108.0,123.0,87.8,133.0,150.0,88.7,50.0,80.0,62.5,0,0.9,0.5,11.0,24.0,5.0,0.0,30.0,368.0,313.0,50.0,18.0,1.0,2.0,18.0,11.0,9.0,3.0,4.0,0.0,294.0,5.0,3.0,24.0,17.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,6.0,7.0,2.0,5.0,15.0,33.3,10.0,11.0,4.0,7.0,12.0,27,23.0,0.0,39.0,479.0,59.0,174.0,198.0,110.0,16.0,479.0,12.0,5.0,41.7,7.0,58.3,246.0,1312.0,749.0,18.0,12.0,5.0,10.0,5.0,291.0,30.0,2,0,0,11.0,16.0,5.0,18.0,12.0,10.0,0.0,0.0,0,53.0,4.0,6.0,40.0,1
2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Amiens,1,16.0,2.0,12.5,0.06,0.5,15.0,0.0,0,0,2.0,2.0,0.13,-1.0,-1.0,3.0,2,1.0,33.3,0,1.4,-0.6,0,0,0,0,4.0,16.0,25.0,23.0,6.0,43.5,38.2,7.0,85.7,54.6,14.0,0.0,0.0,1.0,16.0,304.0,408.0,74.5,5159.0,2083.0,149.0,170.0,87.6,105.0,132.0,79.5,37.0,76.0,48.7,1,1.3,0.6,13.0,21.0,4.0,2.0,31.0,408.0,351.0,57.0,11.0,1.0,2.0,16.0,30.0,6.0,5.0,1.0,0.0,304.0,0.0,11.0,28.0,17.0,5.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,7.0,6.0,4.0,1.0,5.0,10.0,50.0,5.0,15.0,5.0,10.0,9.0,20,20.0,1.0,51.0,524.0,49.0,149.0,250.0,129.0,19.0,524.0,18.0,13.0,72.2,5.0,27.8,229.0,1319.0,634.0,16.0,6.0,5.0,20.0,13.0,300.0,31.0,2,1,0,18.0,11.0,0.0,16.0,9.0,7.0,0.0,0.0,0,50.0,25.0,28.0,47.2,1
2018-09-30,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Toulouse,1,21.0,6.0,28.6,0.0,0.0,21.7,2.0,1,1,2.7,1.9,0.09,-1.7,-1.9,2.0,1,1.0,50.0,0,0.6,-0.4,0,0,0,0,2.0,4.0,50.0,18.0,4.0,16.7,28.4,5.0,20.0,28.8,7.0,1.0,14.3,0.0,8.5,473.0,573.0,82.5,8305.0,2925.0,193.0,210.0,91.9,209.0,232.0,90.1,49.0,79.0,62.0,0,1.7,1.3,16.0,35.0,11.0,4.0,61.0,573.0,511.0,60.0,12.0,5.0,6.0,28.0,34.0,7.0,1.0,2.0,1.0,473.0,2.0,16.0,42.0,34.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,11.0,7.0,6.0,4.0,3.0,9.0,33.3,6.0,5.0,1.0,4.0,4.0,21,11.0,0.0,65.0,682.0,32.0,137.0,334.0,218.0,28.0,681.0,18.0,10.0,55.6,8.0,44.4,368.0,2136.0,1201.0,33.0,27.0,8.0,18.0,8.0,471.0,61.0,1,0,0,17.0,14.0,2.0,28.0,4.0,11.0,1.0,0.0,0,49.0,14.0,14.0,50.0,1
2018-10-04,20:50 (07:50),Europa Lg,Group stage,Thu,Away,L,0,2,kz Astana FK,0,15.0,3.0,20.0,0.0,0.0,22.9,1.0,0,0,0.9,0.9,0.07,-0.9,-0.9,2.0,2,0.0,0.0,0,0.5,-1.5,0,0,0,0,2.0,5.0,40.0,16.0,5.0,18.8,28.1,4.0,50.0,39.0,13.0,1.0,7.7,0.0,11.0,525.0,651.0,80.6,9600.0,3168.0,221.0,252.0,87.7,241.0,276.0,87.3,55.0,91.0,60.4,0,0.5,0.3,11.0,39.0,5.0,1.0,52.0,651.0,602.0,47.0,15.0,0.0,7.0,23.0,24.0,1.0,1.0,0.0,0.0,525.0,2.0,10.0,24.0,20.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,7.0,9.0,1.0,9.0,13.0,69.2,4.0,10.0,2.0,8.0,11.0,28,21.0,0.0,59.0,759.0,37.0,176.0,430.0,161.0,9.0,759.0,10.0,7.0,70.0,3.0,30.0,408.0,2107.0,1154.0,16.0,14.0,2.0,16.0,11.0,522.0,51.0,2,0,0,6.0,11.0,2.0,23.0,11.0,11.0,0.0,0.0,0,65.0,25.0,15.0,62.5,2
