Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,W,2,1,Guingamp,2,11.0,6.0,54.5,0.18,0.33,15.3,0.0,0,0,0.8,0.8,0.08,1.2,1.2,5.0,1,4.0,100.0,0,1.3,0.3,1,1,0,0,5.0,20.0,25.0,19.0,5.0,52.6,39.7,10.0,100.0,61.1,19.0,0.0,0.0,0.0,16.0,287.0,398.0,72.1,5651.0,2195.0,110.0,130.0,84.6,133.0,164.0,81.1,41.0,86.0,47.7,2,0.6,0.9,9.0,22.0,7.0,2.0,36.0,398.0,343.0,53.0,12.0,0.0,2.0,22.0,23.0,6.0,2.0,4.0,0.0,287.0,2.0,13.0,19.0,12.0,4.0,0.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,11.0,5.0,1.0,5.0,13.0,38.5,8.0,10.0,0.0,10.0,12.0,29,32.0,0.0,43.0,519.0,59.0,205.0,221.0,99.0,14.0,519.0,5.0,3.0,60.0,2.0,40.0,226.0,1258.0,729.0,12.0,11.0,3.0,13.0,8.0,285.0,36.0,3,0,0,14.0,10.0,2.0,22.0,12.0,12.0,0.0,1.0,0,44.0,21.0,28.0,42.9,1
2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,D,1,1,Strasbourg,1,9.0,2.0,22.2,0.11,0.5,23.8,1.0,0,0,0.4,0.4,0.04,0.6,0.6,5.0,1,4.0,80.0,0,1.1,0.1,0,0,0,0,1.0,14.0,7.1,35.0,6.0,25.7,29.9,11.0,45.5,38.8,20.0,1.0,5.0,0.0,8.6,343.0,426.0,80.5,6048.0,2109.0,159.0,175.0,90.9,134.0,151.0,88.7,43.0,76.0,56.6,1,0.2,0.2,5.0,16.0,3.0,2.0,22.0,426.0,383.0,42.0,11.0,2.0,5.0,7.0,16.0,2.0,0.0,1.0,0.0,343.0,1.0,12.0,14.0,10.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,6.0,3.0,0.0,5.0,13.0,38.5,8.0,8.0,0.0,8.0,10.0,19,35.0,0.0,42.0,533.0,86.0,254.0,225.0,57.0,11.0,533.0,7.0,4.0,57.1,3.0,42.9,301.0,1614.0,851.0,15.0,8.0,5.0,15.0,8.0,339.0,22.0,2,1,0,7.0,10.0,1.0,7.0,10.0,4.0,0.0,0.0,0,38.0,12.0,17.0,41.4,1
2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,D,0,0,Montpellier,0,9.0,2.0,22.2,0.0,0.0,28.9,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,1.0,0,1.0,100.0,1,0.0,0.0,0,0,0,0,1.0,7.0,14.3,13.0,4.0,15.4,29.6,9.0,55.6,42.2,17.0,1.0,5.9,0.0,14.3,468.0,569.0,82.2,8445.0,2845.0,209.0,235.0,88.9,197.0,223.0,88.3,53.0,82.0,64.6,0,0.3,0.4,8.0,24.0,6.0,1.0,37.0,569.0,522.0,46.0,15.0,2.0,8.0,11.0,18.0,3.0,1.0,1.0,0.0,468.0,1.0,15.0,14.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,8.0,4.0,3.0,5.0,14.0,35.7,9.0,13.0,6.0,7.0,9.0,24,28.0,0.0,54.0,678.0,53.0,209.0,364.0,110.0,5.0,678.0,18.0,11.0,61.1,7.0,38.9,367.0,2061.0,1019.0,23.0,14.0,1.0,12.0,19.0,466.0,37.0,0,0,0,14.0,12.0,1.0,11.0,9.0,9.0,0.0,0.0,0,55.0,13.0,18.0,41.9,1
2018-09-02,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,D,0,0,Amiens,0,19.0,5.0,26.3,0.0,0.0,21.2,0.0,0,0,1.2,1.2,0.06,-1.2,-1.2,2.0,0,2.0,100.0,1,0.2,0.2,0,0,0,0,5.0,8.0,62.5,20.0,7.0,20.0,27.7,9.0,44.4,37.9,4.0,0.0,0.0,1.0,15.8,434.0,556.0,78.1,8614.0,3037.0,168.0,201.0,83.6,206.0,239.0,86.2,59.0,97.0,60.8,0,0.8,1.0,15.0,38.0,10.0,5.0,49.0,556.0,490.0,62.0,15.0,1.0,3.0,37.0,23.0,14.0,4.0,7.0,0.0,434.0,4.0,10.0,36.0,26.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,4.0,8.0,4.0,6.0,12.0,50.0,6.0,4.0,0.0,4.0,8.0,24,6.0,1.0,63.0,640.0,37.0,155.0,291.0,199.0,31.0,640.0,7.0,6.0,85.7,1.0,14.3,344.0,1880.0,1106.0,25.0,18.0,8.0,18.0,5.0,430.0,48.0,3,0,0,11.0,11.0,4.0,37.0,8.0,12.0,0.0,0.0,0,43.0,18.0,9.0,66.7,1
2018-09-14,20:45 (11:45),Ligue 1,Matchweek 5,Fri,Away,L,0,4,Paris S-G,0,11.0,2.0,18.2,0.0,0.0,19.5,1.0,0,0,1.0,1.0,0.09,-1.0,-1.0,9.0,4,5.0,66.7,0,4.0,0.0,1,1,0,0,5.0,18.0,27.8,25.0,5.0,48.0,37.0,10.0,60.0,39.1,11.0,0.0,0.0,1.0,18.3,311.0,395.0,78.7,5662.0,2142.0,154.0,174.0,88.5,116.0,135.0,85.9,40.0,80.0,50.0,0,0.7,0.7,8.0,26.0,5.0,2.0,33.0,395.0,354.0,41.0,12.0,0.0,1.0,23.0,10.0,4.0,1.0,3.0,0.0,311.0,0.0,1.0,21.0,10.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,6.0,5.0,1.0,1.0,5.0,20.0,4.0,6.0,2.0,4.0,15.0,27,17.0,1.0,36.0,497.0,66.0,194.0,206.0,105.0,18.0,497.0,10.0,7.0,70.0,3.0,30.0,271.0,1390.0,793.0,17.0,16.0,2.0,14.0,6.0,307.0,33.0,1,0,0,13.0,11.0,0.0,23.0,15.0,8.0,0.0,1.0,0,44.0,4.0,16.0,20.0,1
2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,2,1,Caen,2,22.0,6.0,27.3,0.05,0.17,16.2,1.0,1,1,3.5,2.7,0.15,-1.5,-1.7,2.0,1,1.0,50.0,0,0.4,-0.6,0,0,0,0,8.0,18.0,44.4,23.0,3.0,56.5,39.0,7.0,71.4,48.4,15.0,0.0,0.0,0.0,7.8,347.0,480.0,72.3,6610.0,2610.0,151.0,180.0,83.9,145.0,187.0,77.5,45.0,93.0,48.4,0,2.0,1.4,16.0,31.0,10.0,1.0,56.0,480.0,418.0,59.0,18.0,2.0,2.0,26.0,23.0,9.0,2.0,4.0,0.0,347.0,3.0,6.0,35.0,19.0,3.0,3.0,8.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,23.0,14.0,8.0,12.0,3.0,9.0,16.0,56.3,7.0,12.0,2.0,10.0,17.0,40,29.0,1.0,54.0,618.0,45.0,201.0,248.0,178.0,34.0,617.0,19.0,10.0,52.6,9.0,47.4,272.0,1421.0,732.0,19.0,8.0,8.0,9.0,15.0,345.0,56.0,2,0,0,3.0,19.0,3.0,26.0,17.0,14.0,1.0,0.0,0,63.0,17.0,29.0,37.0,1
2018-09-25,21:00 (12:00),Ligue 1,Matchweek 7,Tue,Away,W,3,2,Toulouse,3,14.0,8.0,57.1,0.21,0.38,17.8,0.0,0,0,2.3,2.3,0.16,0.7,0.7,6.0,2,4.0,66.7,0,2.4,0.4,0,0,0,0,8.0,41.0,19.5,28.0,2.0,85.7,48.3,17.0,100.0,56.1,20.0,0.0,0.0,0.0,4.0,276.0,388.0,71.1,5212.0,2254.0,122.0,135.0,90.4,112.0,140.0,80.0,36.0,93.0,38.7,3,2.2,0.6,13.0,26.0,6.0,0.0,38.0,388.0,333.0,55.0,14.0,1.0,2.0,8.0,19.0,2.0,1.0,1.0,0.0,276.0,0.0,6.0,23.0,17.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,25.0,13.0,13.0,9.0,3.0,11.0,20.0,55.0,9.0,9.0,1.0,8.0,6.0,31,33.0,0.0,43.0,512.0,73.0,203.0,222.0,93.0,16.0,512.0,9.0,5.0,55.6,4.0,44.4,209.0,1251.0,633.0,12.0,6.0,2.0,13.0,14.0,273.0,38.0,2,0,0,14.0,13.0,0.0,8.0,6.0,13.0,0.0,0.0,0,47.0,17.0,21.0,44.7,1
2018-09-28,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Home,W,2,0,Monaco,2,16.0,5.0,31.3,0.13,0.4,21.1,1.0,0,0,1.6,1.6,0.1,0.4,0.4,6.0,0,6.0,100.0,1,0.6,0.6,0,0,0,0,5.0,19.0,26.3,26.0,2.0,53.8,39.5,11.0,45.5,40.0,10.0,0.0,0.0,1.0,18.0,395.0,508.0,77.8,7427.0,2646.0,170.0,194.0,87.6,158.0,187.0,84.5,57.0,103.0,55.3,2,1.2,0.8,12.0,36.0,10.0,1.0,44.0,508.0,456.0,50.0,10.0,2.0,7.0,19.0,22.0,6.0,0.0,3.0,0.0,395.0,2.0,9.0,27.0,21.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,6.0,7.0,4.0,7.0,11.0,63.6,4.0,16.0,5.0,11.0,15.0,32,16.0,1.0,49.0,621.0,56.0,191.0,293.0,147.0,20.0,621.0,16.0,12.0,75.0,4.0,25.0,323.0,1861.0,1042.0,21.0,15.0,2.0,14.0,12.0,394.0,44.0,0,0,0,8.0,9.0,2.0,19.0,15.0,11.0,0.0,0.0,0,60.0,15.0,16.0,48.4,1
2018-10-06,17:00 (08:00),Ligue 1,Matchweek 9,Sat,Away,L,1,3,Lille,1,6.0,1.0,16.7,0.0,0.0,19.5,0.0,1,1,1.3,0.6,0.09,-0.3,-0.6,5.0,3,2.0,40.0,0,2.2,-0.8,0,0,0,0,5.0,13.0,38.5,24.0,3.0,25.0,28.7,10.0,70.0,42.4,6.0,0.0,0.0,0.0,12.6,399.0,500.0,79.8,7698.0,3056.0,148.0,169.0,87.6,185.0,212.0,87.3,56.0,92.0,60.9,0,0.5,0.5,5.0,32.0,5.0,1.0,48.0,500.0,455.0,42.0,8.0,0.0,3.0,25.0,16.0,4.0,2.0,1.0,0.0,399.0,3.0,6.0,12.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,10.0,5.0,8.0,2.0,5.0,10.0,50.0,5.0,11.0,4.0,7.0,11.0,26,14.0,1.0,53.0,598.0,62.0,188.0,301.0,114.0,13.0,597.0,4.0,2.0,50.0,2.0,50.0,292.0,1832.0,926.0,17.0,17.0,3.0,20.0,12.0,394.0,48.0,1,0,0,10.0,8.0,3.0,25.0,11.0,10.0,1.0,0.0,0,51.0,18.0,13.0,58.1,1
2018-10-21,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Rennes,1,8.0,1.0,12.5,0.0,0.0,18.4,0.0,1,1,1.8,1.1,0.13,-0.8,-1.1,5.0,1,4.0,80.0,0,1.7,0.7,1,0,0,1,5.0,17.0,29.4,23.0,2.0,39.1,37.2,12.0,66.7,41.5,13.0,0.0,0.0,0.0,6.0,427.0,540.0,79.1,8046.0,2728.0,177.0,211.0,83.9,174.0,201.0,86.6,63.0,104.0,60.6,0,1.0,0.7,7.0,31.0,10.0,5.0,45.0,540.0,477.0,63.0,12.0,1.0,5.0,16.0,35.0,2.0,0.0,2.0,0.0,427.0,0.0,8.0,15.0,10.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,14.0,7.0,10.0,4.0,9.0,14.0,64.3,5.0,7.0,2.0,5.0,13.0,34,12.0,3.0,54.0,648.0,55.0,184.0,349.0,122.0,15.0,647.0,25.0,13.0,52.0,12.0,48.0,393.0,1945.0,893.0,15.0,11.0,3.0,14.0,20.0,422.0,45.0,1,0,0,13.0,10.0,0.0,16.0,13.0,14.0,1.0,1.0,0,60.0,16.0,14.0,53.3,1
