Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-08-23,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,L,0,4,Nîmes,0,10,3,30.0,0.0,0.0,15.4,1.0,0,0,0.8,0.8,0.08,-0.8,-0.8,5,4,1,20.0,0,2.5,-1.5,0,0,0,0,5.0,7.0,71.4,19.0,1.0,31.6,32.5,9.0,11.1,20.9,11.0,0.0,0.0,1.0,19.0,350.0,469.0,74.6,6872.0,2494.0,132.0,158.0,83.5,162.0,197.0,82.2,47.0,86.0,54.7,0,0.8,0.7,8.0,19.0,3.0,1.0,25.0,469.0,404.0,62.0,13.0,0.0,6.0,16,31.0,4.0,2.0,2.0,0.0,350.0,3.0,9.0,17.0,6.0,5.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11,8.0,9.0,1.0,9.0,14.0,64.3,5.0,9.0,2.0,7.0,8,26,11.0,0.0,56.0,563.0,45.0,193.0,257.0,120.0,18.0,563.0,21.0,14.0,66.7,7.0,33.3,348.0,1826.0,895.0,13.0,13.0,1.0,13.0,11.0,346.0,25.0,3,1,0,17,12,3,16,8,11,0.0,0.0,0,43.0,18.0,15.0,54.5,1
2020-08-30,21:00 (12:00),Ligue 1,Matchweek 2,Sun,Home,L,2,3,Marseille,2,19,4,21.1,0.11,0.5,13.3,0.0,0,0,2.6,2.6,0.14,-0.6,-0.6,4,3,1,25.0,0,1.2,-1.8,0,0,0,0,1.0,6.0,16.7,33.0,7.0,18.2,28.2,4.0,0.0,20.3,9.0,0.0,0.0,1.0,24.0,451.0,575.0,78.4,8658.0,3319.0,168.0,194.0,86.6,219.0,255.0,85.9,57.0,96.0,59.4,2,2.1,1.9,15.0,45.0,19.0,7.0,48.0,575.0,501.0,71.0,15.0,2.0,5.0,37,38.0,10.0,3.0,3.0,0.0,451.0,3.0,12.0,30.0,22.0,5.0,2.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,15,11.0,5.0,5.0,10.0,19.0,52.6,9.0,5.0,1.0,4.0,9,30,9.0,0.0,59.0,685.0,52.0,183.0,299.0,209.0,36.0,685.0,13.0,10.0,76.9,3.0,23.1,459.0,2150.0,1061.0,13.0,18.0,2.0,22.0,9.0,445.0,46.0,2,0,0,17,12,3,37,9,15,0.0,0.0,0,56.0,13.0,15.0,46.4,1
2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,W,2,0,Dijon,2,19,5,26.3,0.11,0.4,18.5,2.0,0,0,1.9,1.9,0.1,0.1,0.1,3,0,3,100.0,1,0.5,0.5,0,0,0,0,2.0,9.0,22.2,22.0,3.0,27.3,30.4,6.0,50.0,53.3,15.0,0.0,0.0,0.0,,396.0,485.0,81.6,7690.0,2789.0,152.0,174.0,87.4,179.0,206.0,86.9,56.0,86.0,65.1,2,1.7,1.0,15.0,32.0,13.0,7.0,41.0,485.0,434.0,49.0,15.0,0.0,4.0,22,20.0,7.0,4.0,1.0,0.0,396.0,2.0,5.0,33.0,23.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,16,10.0,11.0,3.0,10.0,16.0,62.5,6.0,8.0,2.0,6.0,14,38,22.0,0.0,50.0,604.0,57.0,166.0,288.0,157.0,23.0,604.0,21.0,14.0,66.7,7.0,33.3,373.0,1763.0,860.0,17.0,15.0,0.0,12.0,9.0,394.0,41.0,0,0,0,16,14,2,22,14,16,0.0,0.0,0,44.0,17.0,12.0,58.6,1
2020-09-20,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,W,3,2,Lorient,3,14,6,42.9,0.21,0.5,18.3,0.0,0,0,1.1,1.1,0.08,1.9,1.9,4,2,3,50.0,0,1.1,0.1,0,0,0,0,9.0,14.0,64.3,31.0,7.0,41.9,36.6,6.0,16.7,26.7,14.0,0.0,0.0,0.0,11.7,458.0,559.0,81.9,9521.0,3815.0,156.0,192.0,81.3,235.0,262.0,89.7,64.0,86.0,74.4,2,1.0,1.0,12.0,43.0,7.0,3.0,46.0,559.0,502.0,55.0,13.0,0.0,5.0,17,29.0,4.0,1.0,1.0,0.0,458.0,2.0,11.0,26.0,21.0,1.0,3.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,11,6.0,11.0,1.0,9.0,15.0,60.0,6.0,6.0,1.0,5.0,13,31,18.0,1.0,57.0,660.0,59.0,198.0,299.0,170.0,24.0,660.0,12.0,11.0,91.7,1.0,8.3,387.0,2061.0,1102.0,26.0,12.0,8.0,16.0,18.0,454.0,45.0,2,0,0,20,12,2,17,13,11,0.0,0.0,1,54.0,25.0,7.0,78.1,1
2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,L,2,3,Angers,2,13,5,38.5,0.08,0.2,14.4,0.0,1,1,3.0,2.2,0.17,-1.0,-1.2,4,3,1,25.0,0,1.0,-2.0,0,0,0,0,7.0,18.0,38.9,30.0,3.0,46.7,39.0,5.0,80.0,53.6,16.0,0.0,0.0,1.0,17.5,385.0,501.0,76.8,7496.0,3022.0,155.0,191.0,81.2,164.0,194.0,84.5,61.0,99.0,61.6,1,1.6,1.6,9.0,38.0,9.0,5.0,38.0,501.0,455.0,45.0,21.0,0.0,3.0,12,14.0,1.0,0.0,1.0,0.0,385.0,1.0,5.0,24.0,17.0,1.0,2.0,3.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,29.0,19,15.0,10.0,4.0,7.0,18.0,38.9,11.0,17.0,4.0,13.0,16,45,19.0,0.0,47.0,632.0,65.0,222.0,273.0,144.0,28.0,631.0,17.0,7.0,41.2,10.0,58.8,257.0,1449.0,813.0,12.0,9.0,4.0,12.0,6.0,383.0,38.0,2,0,0,21,15,1,12,16,19,1.0,0.0,0,68.0,26.0,14.0,65.0,1
2020-10-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,W,1,0,Monaco,1,7,5,71.4,0.14,0.2,13.3,0.0,0,0,0.6,0.6,0.08,0.4,0.4,2,0,2,100.0,1,0.1,0.1,0,0,0,0,9.0,25.0,36.0,23.0,5.0,69.6,45.0,13.0,69.2,47.2,27.0,0.0,0.0,0.0,3.5,184.0,293.0,62.8,3784.0,1816.0,77.0,97.0,79.4,69.0,97.0,71.1,35.0,87.0,40.2,0,0.4,0.3,5.0,12.0,5.0,2.0,16.0,293.0,239.0,53.0,17.0,2.0,2.0,10,21.0,1.0,0.0,1.0,0.0,184.0,1.0,3.0,11.0,5.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,11,11.0,11.0,1.0,4.0,16.0,25.0,12.0,14.0,5.0,9.0,18,41,26.0,0.0,29.0,415.0,85.0,211.0,140.0,73.0,10.0,415.0,15.0,13.0,86.7,2.0,13.3,190.0,1114.0,444.0,11.0,7.0,2.0,17.0,9.0,183.0,16.0,3,0,0,10,16,1,10,18,11,0.0,0.0,0,53.0,20.0,23.0,46.5,1
2020-10-18,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Away,L,1,3,Nantes,1,14,5,35.7,0.07,0.2,18.7,2.0,0,0,1.1,1.1,0.08,-0.1,-0.1,8,3,5,62.5,0,2.1,-0.9,0,0,0,0,3.0,9.0,33.3,35.0,5.0,20.0,31.8,3.0,66.7,47.0,6.0,0.0,0.0,0.0,,457.0,575.0,79.5,9155.0,3355.0,167.0,199.0,83.9,190.0,224.0,84.8,85.0,125.0,68.0,0,1.0,0.6,13.0,44.0,7.0,5.0,38.0,575.0,513.0,59.0,19.0,0.0,3.0,20,27.0,6.0,2.0,3.0,0.0,457.0,3.0,4.0,28.0,20.0,4.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,9,4.0,8.0,5.0,8.0,22.0,36.4,14.0,10.0,1.0,9.0,15,32,5.0,0.0,60.0,685.0,47.0,228.0,312.0,149.0,17.0,685.0,23.0,10.0,43.5,13.0,56.5,325.0,1725.0,909.0,21.0,9.0,4.0,18.0,7.0,450.0,37.0,2,0,0,15,14,3,20,15,9,0.0,0.0,0,49.0,29.0,27.0,51.8,1
2020-10-25,15:00 (07:00),Ligue 1,Matchweek 8,Sun,Home,L,0,3,Strasbourg,0,14,4,28.6,0.0,0.0,17.5,1.0,0,0,0.9,0.9,0.06,-0.9,-0.9,5,3,2,60.0,0,1.8,-1.2,1,1,0,0,2.0,3.0,66.7,25.0,8.0,8.0,23.8,4.0,25.0,27.8,8.0,0.0,0.0,1.0,18.5,524.0,645.0,81.2,9542.0,3362.0,213.0,247.0,86.2,239.0,268.0,89.2,58.0,96.0,60.4,0,0.8,1.7,12.0,47.0,12.0,7.0,59.0,645.0,588.0,54.0,11.0,0.0,9.0,35,23.0,12.0,8.0,2.0,0.0,524.0,3.0,6.0,26.0,20.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3,4.0,1.0,0.0,4.0,13.0,30.8,9.0,8.0,1.0,7.0,15,20,3.0,0.0,63.0,736.0,48.0,163.0,379.0,201.0,30.0,736.0,10.0,6.0,60.0,4.0,40.0,481.0,2744.0,1542.0,34.0,18.0,7.0,15.0,13.0,522.0,58.0,1,0,0,8,10,3,35,15,3,0.0,1.0,0,58.0,21.0,20.0,51.2,1
2020-10-31,17:00 (09:00),Ligue 1,Matchweek 9,Sat,Away,L,1,2,Rennes,1,9,4,44.4,0.11,0.25,17.2,0.0,0,0,1.1,1.1,0.12,-0.1,-0.1,8,2,6,75.0,0,1.3,-0.7,0,0,0,0,3.0,7.0,42.9,21.0,4.0,23.8,34.8,7.0,28.6,36.1,25.0,0.0,0.0,0.0,8.5,303.0,399.0,75.9,6140.0,1907.0,111.0,132.0,84.1,130.0,156.0,83.3,59.0,92.0,64.1,1,0.7,0.7,5.0,19.0,7.0,5.0,27.0,399.0,366.0,30.0,2.0,0.0,6.0,10,17.0,1.0,1.0,0.0,0.0,303.0,3.0,9.0,14.0,12.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,8,7.0,4.0,0.0,7.0,13.0,53.8,6.0,17.0,8.0,9.0,20,31,21.0,0.0,32.0,508.0,83.0,238.0,203.0,72.0,17.0,508.0,6.0,5.0,83.3,1.0,16.7,259.0,1736.0,948.0,14.0,10.0,1.0,13.0,5.0,303.0,27.0,3,0,0,12,2,3,10,20,8,0.0,0.0,0,48.0,15.0,17.0,46.9,1
2020-11-08,13:00 (04:00),Ligue 1,Matchweek 10,Sun,Home,W,3,2,Lille,3,12,8,66.7,0.25,0.38,12.3,0.0,0,0,1.3,1.3,0.11,1.7,1.7,7,2,5,85.7,0,2.6,0.6,1,1,0,0,9.0,29.0,31.0,35.0,4.0,62.9,47.8,13.0,53.8,40.2,22.0,2.0,9.1,0.0,6.0,260.0,352.0,73.9,5539.0,2416.0,102.0,121.0,84.3,108.0,123.0,87.8,45.0,94.0,47.9,3,1.3,1.2,11.0,17.0,11.0,5.0,19.0,352.0,300.0,51.0,20.0,0.0,3.0,18,13.0,3.0,3.0,0.0,0.0,260.0,1.0,4.0,24.0,19.0,2.0,1.0,1.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,9,7.0,5.0,0.0,5.0,19.0,26.3,14.0,10.0,7.0,3.0,12,24,25.0,0.0,37.0,457.0,101.0,257.0,117.0,91.0,23.0,457.0,15.0,8.0,53.3,7.0,46.7,244.0,1104.0,516.0,7.0,8.0,3.0,11.0,4.0,259.0,19.0,4,0,0,13,15,1,18,12,9,0.0,1.0,0,40.0,12.0,26.0,31.6,1
