Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-08-23,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,L,1,2,Nice,1,15,3,20.0,0.0,0.0,16.9,3.0,1,1,3.1,2.3,0.15,-2.1,-2.3,2,2,0,0.0,0,0.9,-1.1,0,0,0,0,5.0,12.0,41.7,17.0,3.0,58.8,37.4,3.0,66.7,42.7,3.0,2.0,66.7,0.0,7.0,328.0,412.0,79.6,6523.0,2301.0,123.0,140.0,87.9,138.0,156.0,88.5,54.0,91.0,59.3,0,2.1,1.4,10.0,26.0,11.0,6.0,26.0,412.0,359.0,52.0,13.0,0.0,7.0,29,26.0,7.0,2.0,5.0,0.0,328.0,1.0,7.0,29.0,20.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2,1.0,5.0,0.0,1.0,9.0,11.1,8.0,10.0,2.0,8.0,18,24,6.0,1.0,43.0,500.0,37.0,124.0,268.0,118.0,20.0,499.0,15.0,11.0,73.3,4.0,26.7,265.0,1424.0,761.0,9.0,6.0,1.0,16.0,8.0,327.0,26.0,3,0,0,18,16,1,29,18,2,0.0,0.0,0,48.0,14.0,9.0,60.9,1
2020-09-10,21:00 (12:00),Ligue 1,Matchweek 2,Thu,Home,W,1,0,Paris S-G,1,7,3,42.9,0.14,0.33,12.6,0.0,0,0,1.5,1.5,0.22,-0.5,-0.5,1,0,1,100.0,1,0.0,0.0,0,0,0,0,9.0,24.0,37.5,22.0,4.0,77.3,50.4,9.0,77.8,55.8,10.0,3.0,30.0,0.0,9.8,182.0,272.0,66.9,3523.0,1729.0,84.0,100.0,84.0,67.0,83.0,80.7,28.0,66.0,42.4,0,1.2,1.1,5.0,14.0,5.0,2.0,18.0,272.0,229.0,40.0,13.0,0.0,1.0,16,13.0,4.0,3.0,1.0,0.0,182.0,3.0,9.0,11.0,6.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,14,13.0,7.0,4.0,11.0,26.0,42.3,15.0,13.0,2.0,11.0,23,47,22.0,0.0,22.0,382.0,57.0,152.0,155.0,77.0,17.0,382.0,15.0,11.0,73.3,4.0,26.7,170.0,1025.0,494.0,9.0,10.0,1.0,7.0,13.0,181.0,18.0,2,0,0,21,8,3,16,23,14,0.0,0.0,0,48.0,12.0,6.0,66.7,1
2020-09-13,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,W,3,2,Lorient,3,11,5,45.5,0.18,0.4,19.3,1.0,1,1,2.0,1.2,0.11,1.0,0.8,3,2,1,66.7,0,1.7,-0.3,1,1,0,0,7.0,20.0,35.0,22.0,3.0,77.3,49.3,4.0,75.0,49.5,14.0,1.0,7.1,5.0,22.7,350.0,457.0,76.6,6626.0,2613.0,146.0,162.0,90.1,149.0,178.0,83.7,45.0,89.0,50.6,2,1.0,0.8,6.0,26.0,6.0,2.0,39.0,457.0,406.0,51.0,18.0,3.0,8.0,23,24.0,2.0,1.0,1.0,0.0,350.0,0.0,11.0,21.0,11.0,3.0,3.0,0.0,4.0,0.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,15.0,14,10.0,4.0,1.0,5.0,15.0,33.3,10.0,11.0,1.0,10.0,12,27,16.0,0.0,53.0,564.0,41.0,164.0,265.0,141.0,18.0,563.0,19.0,13.0,68.4,6.0,31.6,382.0,1542.0,783.0,12.0,12.0,2.0,16.0,18.0,346.0,39.0,3,1,1,16,20,0,23,12,14,1.0,1.0,0,55.0,21.0,16.0,56.8,1
2020-09-19,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,W,2,1,Bordeaux,2,18,4,22.2,0.06,0.25,15.8,0.0,1,1,3.1,2.4,0.14,-1.1,-1.4,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,8.0,24.0,33.3,30.0,3.0,63.3,46.3,7.0,71.4,51.1,6.0,0.0,0.0,0.0,14.0,489.0,591.0,82.7,8532.0,2763.0,233.0,250.0,93.2,204.0,232.0,87.9,43.0,85.0,50.6,0,1.7,1.4,14.0,29.0,7.0,0.0,33.0,591.0,538.0,52.0,15.0,0.0,5.0,20,21.0,7.0,4.0,2.0,0.0,489.0,1.0,9.0,35.0,15.0,4.0,5.0,7.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,14.0,11,5.0,8.0,1.0,3.0,12.0,25.0,9.0,8.0,0.0,8.0,13,27,10.0,0.0,59.0,677.0,41.0,158.0,373.0,148.0,27.0,676.0,14.0,11.0,78.6,3.0,21.4,299.0,1633.0,941.0,21.0,17.0,6.0,9.0,12.0,486.0,33.0,5,0,0,15,15,1,20,13,11,1.0,0.0,0,46.0,16.0,24.0,40.0,1
2020-09-27,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,D,1,1,Nîmes,1,15,5,33.3,0.07,0.2,18.3,1.0,0,0,1.3,1.3,0.09,-0.3,-0.3,4,1,3,75.0,0,0.2,-0.8,0,0,0,0,14.0,21.0,66.7,27.0,3.0,66.7,44.3,6.0,50.0,37.7,15.0,0.0,0.0,2.0,19.7,341.0,472.0,72.2,6474.0,2891.0,151.0,197.0,76.6,138.0,168.0,82.1,46.0,85.0,54.1,1,1.1,1.3,10.0,33.0,6.0,2.0,40.0,472.0,420.0,51.0,11.0,0.0,3.0,21,25.0,7.0,6.0,1.0,0.0,341.0,1.0,9.0,23.0,16.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,8,3.0,8.0,1.0,4.0,9.0,44.4,5.0,13.0,5.0,8.0,13,25,25.0,0.0,49.0,626.0,54.0,189.0,293.0,148.0,20.0,626.0,21.0,12.0,57.1,9.0,42.9,313.0,1866.0,850.0,24.0,11.0,5.0,23.0,9.0,338.0,40.0,3,0,0,16,9,1,21,13,8,0.0,0.0,0,58.0,28.0,22.0,56.0,1
2020-10-03,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,W,2,0,Saint-Étienne,2,12,4,33.3,0.08,0.25,20.1,0.0,1,1,2.1,1.3,0.11,-0.1,-0.3,1,0,1,100.0,1,0.1,0.1,0,0,0,0,1.0,11.0,9.1,22.0,3.0,45.5,37.5,3.0,33.3,32.7,5.0,1.0,20.0,0.0,14.0,485.0,587.0,82.6,9553.0,2982.0,157.0,178.0,88.2,251.0,268.0,93.7,63.0,106.0,59.4,1,0.7,0.8,10.0,41.0,6.0,1.0,48.0,587.0,540.0,45.0,8.0,0.0,13.0,28,21.0,12.0,6.0,3.0,0.0,485.0,2.0,15.0,19.0,15.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,25.0,15,4.0,8.0,13.0,9.0,29.0,31.0,20.0,6.0,0.0,6.0,5,30,8.0,0.0,66.0,687.0,34.0,156.0,334.0,198.0,23.0,686.0,13.0,6.0,46.2,7.0,53.8,331.0,1992.0,1062.0,16.0,11.0,5.0,17.0,6.0,478.0,47.0,1,0,0,23,9,2,28,5,15,1.0,0.0,0,52.0,26.0,14.0,65.0,1
2020-10-18,21:00 (12:00),Ligue 1,Matchweek 7,Sun,Away,L,0,4,Lille,0,7,2,28.6,0.0,0.0,16.9,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,6,4,2,33.3,0,3.3,-0.7,0,0,0,0,4.0,18.0,22.2,24.0,2.0,66.7,43.8,5.0,40.0,38.2,8.0,0.0,0.0,0.0,14.0,311.0,421.0,73.9,5714.0,1720.0,114.0,139.0,82.0,138.0,165.0,83.6,41.0,76.0,53.9,0,0.4,0.2,6.0,11.0,2.0,1.0,18.0,421.0,378.0,42.0,14.0,0.0,7.0,9,16.0,2.0,0.0,2.0,0.0,311.0,1.0,11.0,11.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14,11.0,10.0,2.0,9.0,21.0,42.9,12.0,16.0,6.0,10.0,10,33,9.0,0.0,43.0,520.0,56.0,198.0,255.0,77.0,11.0,520.0,13.0,8.0,61.5,5.0,38.5,308.0,1611.0,779.0,11.0,10.0,3.0,12.0,6.0,310.0,18.0,3,2,1,16,13,1,9,10,14,0.0,0.0,0,62.0,14.0,13.0,51.9,1
2020-11-08,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,D,4,4,Reims,3,14,5,35.7,0.21,0.6,17.3,0.0,0,0,1.6,1.6,0.11,1.4,1.4,6,4,3,33.3,0,1.2,-1.8,0,0,0,0,6.0,15.0,40.0,28.0,5.0,50.0,36.4,1.0,100.0,57.0,2.0,1.0,50.0,2.0,12.9,518.0,633.0,81.8,9686.0,2978.0,209.0,231.0,90.5,240.0,288.0,83.3,62.0,98.0,63.3,3,1.5,1.8,13.0,41.0,14.0,8.0,66.0,633.0,591.0,41.0,8.0,0.0,15.0,37,18.0,9.0,2.0,6.0,0.0,518.0,1.0,7.0,27.0,22.0,2.0,3.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,18.0,13,4.0,9.0,5.0,11.0,18.0,61.1,7.0,7.0,0.0,7.0,13,31,6.0,2.0,62.0,724.0,39.0,193.0,357.0,179.0,25.0,724.0,13.0,6.0,46.2,7.0,53.8,433.0,2831.0,1689.0,31.0,19.0,4.0,13.0,9.0,512.0,65.0,3,0,0,12,7,1,37,13,13,0.0,0.0,1,65.0,18.0,14.0,56.3,1
2020-11-22,15:00 (06:00),Ligue 1,Matchweek 11,Sun,Away,W,1,0,Dijon,1,8,4,50.0,0.13,0.25,13.6,1.0,0,0,1.5,1.5,0.19,-0.5,-0.5,2,0,2,100.0,1,0.3,0.3,0,0,0,0,12.0,21.0,57.1,23.0,2.0,82.6,52.4,4.0,50.0,45.0,19.0,1.0,5.3,0.0,16.7,389.0,501.0,77.6,7682.0,2867.0,149.0,173.0,86.1,187.0,224.0,83.5,50.0,87.0,57.5,0,0.4,0.5,5.0,29.0,6.0,2.0,34.0,501.0,457.0,43.0,15.0,0.0,3.0,19,17.0,6.0,1.0,5.0,0.0,389.0,1.0,10.0,12.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16,12.0,6.0,1.0,11.0,16.0,68.8,5.0,12.0,4.0,8.0,23,42,22.0,0.0,47.0,628.0,63.0,204.0,328.0,105.0,17.0,628.0,23.0,12.0,52.2,11.0,47.8,348.0,1829.0,907.0,20.0,11.0,6.0,20.0,8.0,387.0,34.0,0,0,0,7,15,1,19,23,16,0.0,0.0,0,63.0,23.0,21.0,52.3,1
2020-11-25,19:00 (10:00),Ligue 1,Matchweek 8,Wed,Home,D,1,1,Nantes,1,7,1,14.3,0.14,1.0,23.0,1.0,0,0,0.9,0.9,0.13,0.1,0.1,3,1,2,100.0,0,1.0,0.0,1,1,0,0,13.0,31.0,41.9,31.0,0.0,87.1,53.0,8.0,50.0,42.9,8.0,0.0,0.0,0.0,13.0,348.0,481.0,72.3,7081.0,2678.0,123.0,159.0,77.4,171.0,204.0,83.8,51.0,96.0,53.1,1,0.7,0.8,3.0,31.0,5.0,1.0,32.0,481.0,422.0,58.0,17.0,0.0,2.0,16,25.0,6.0,4.0,2.0,0.0,348.0,1.0,9.0,13.0,9.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,16,10.0,12.0,1.0,7.0,23.0,30.4,16.0,10.0,5.0,5.0,9,32,11.0,0.0,49.0,578.0,60.0,201.0,271.0,111.0,11.0,578.0,15.0,10.0,66.7,5.0,33.3,303.0,1403.0,685.0,10.0,10.0,2.0,14.0,4.0,340.0,30.0,4,0,0,14,17,1,16,9,16,0.0,1.0,0,55.0,30.0,21.0,58.8,1
