Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-08-28,21:00 (12:00),Ligue 1,Matchweek 2,Fri,Home,W,4,1,Dijon,3,25,10,40.0,0.04,0.1,15.6,0.0,2,2,4.6,3.0,0.12,-1.6,-2.0,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,3.0,3.0,100.0,25.0,4.0,12.0,23.4,3.0,0.0,18.3,5.0,0.0,0.0,2.0,36.0,511.0,608.0,84.0,9175.0,3319.0,240.0,262.0,91.6,202.0,240.0,84.2,60.0,82.0,73.2,0,2.1,2.6,18.0,60.0,15.0,2.0,84.0,608.0,560.0,48.0,9.0,0.0,7.0,45,21.0,13.0,3.0,7.0,0.0,511.0,0.0,5.0,47.0,35.0,4.0,1.0,2.0,3.0,2.0,6.0,3.0,0.0,1.0,0.0,2.0,0.0,13.0,7,5.0,5.0,3.0,2.0,12.0,16.7,10.0,8.0,3.0,5.0,13,26,5.0,0.0,63.0,715.0,39.0,127.0,330.0,263.0,52.0,713.0,29.0,17.0,58.6,12.0,41.4,467.0,2790.0,1628.0,42.0,32.0,14.0,13.0,11.0,507.0,83.0,3,0,0,12,5,0,45,13,7,2.0,0.0,0,58.0,24.0,6.0,80.0,1
2020-09-11,21:00 (12:00),Ligue 1,Matchweek 3,Fri,Away,D,0,0,Bordeaux,0,20,3,15.0,0.0,0.0,19.1,3.0,0,0,2.0,2.0,0.1,-2.0,-2.0,0,0,0,,1,0.0,0.0,0,0,0,0,3.0,8.0,37.5,20.0,3.0,35.0,33.3,7.0,14.3,30.3,16.0,0.0,0.0,0.0,5.0,405.0,504.0,80.4,7457.0,2721.0,167.0,195.0,85.6,178.0,208.0,85.6,48.0,77.0,62.3,0,1.4,1.6,13.0,37.0,11.0,2.0,48.0,504.0,460.0,44.0,8.0,0.0,4.0,22,23.0,5.0,2.0,3.0,0.0,405.0,0.0,9.0,37.0,25.0,2.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,18,5.0,14.0,4.0,9.0,16.0,56.3,7.0,5.0,1.0,4.0,14,37,19.0,0.0,54.0,631.0,57.0,198.0,241.0,195.0,36.0,631.0,9.0,7.0,77.8,2.0,22.2,314.0,1894.0,999.0,25.0,11.0,7.0,15.0,9.0,403.0,48.0,3,0,0,19,12,0,22,14,18,0.0,0.0,0,54.0,8.0,10.0,44.4,1
2020-09-15,21:00 (12:00),Ligue 1,Matchweek 1,Tue,Away,L,1,2,Montpellier,1,18,6,33.3,0.0,0.0,18.0,1.0,1,1,2.3,1.5,0.09,-1.3,-1.5,3,2,1,66.7,0,1.2,-0.8,1,1,0,0,2.0,7.0,28.6,14.0,3.0,14.3,26.6,9.0,55.6,43.8,12.0,0.0,0.0,0.0,13.0,445.0,538.0,82.7,7942.0,2660.0,239.0,257.0,93.0,148.0,179.0,82.7,57.0,84.0,67.9,0,1.4,1.6,14.0,38.0,11.0,2.0,48.0,538.0,481.0,57.0,13.0,0.0,10.0,26,21.0,11.0,2.0,7.0,0.0,445.0,0.0,12.0,35.0,16.0,6.0,4.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,9,6.0,9.0,2.0,6.0,10.0,60.0,4.0,7.0,3.0,4.0,7,24,15.0,0.0,56.0,643.0,45.0,171.0,307.0,175.0,33.0,642.0,28.0,24.0,85.7,4.0,14.3,441.0,2156.0,1264.0,26.0,18.0,8.0,19.0,8.0,441.0,47.0,2,1,0,13,11,0,26,7,9,1.0,1.0,0,39.0,18.0,19.0,48.6,1
2020-09-18,21:00 (12:00),Ligue 1,Matchweek 4,Fri,Home,D,0,0,Nîmes,0,16,3,18.8,0.0,0.0,18.4,0.0,0,0,1.4,1.4,0.09,-1.4,-1.4,3,0,3,100.0,1,0.9,0.9,0,0,0,0,4.0,7.0,57.1,28.0,7.0,25.0,28.3,5.0,0.0,21.6,7.0,0.0,0.0,3.0,19.5,590.0,705.0,83.7,9830.0,3537.0,282.0,312.0,90.4,230.0,268.0,85.8,55.0,83.0,66.3,0,0.9,1.0,13.0,61.0,15.0,5.0,89.0,705.0,655.0,50.0,12.0,0.0,1.0,36,23.0,9.0,2.0,4.0,0.0,590.0,0.0,6.0,29.0,16.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16,11.0,5.0,4.0,7.0,25.0,28.0,18.0,8.0,3.0,5.0,5,25,11.0,0.0,73.0,830.0,47.0,142.0,442.0,253.0,36.0,830.0,37.0,25.0,67.6,12.0,32.4,610.0,3114.0,1712.0,24.0,22.0,11.0,21.0,17.0,588.0,89.0,3,0,0,18,12,0,36,5,16,0.0,0.0,0,59.0,21.0,16.0,56.8,1
2020-09-27,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Away,D,1,1,Lorient,1,19,6,31.6,0.05,0.17,21.2,1.0,0,0,1.0,1.0,0.05,0.0,0.0,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,3.0,3.0,100.0,20.0,3.0,15.0,22.5,4.0,0.0,23.5,7.0,0.0,0.0,5.0,24.2,650.0,733.0,88.7,11824.0,3272.0,277.0,299.0,92.6,292.0,317.0,92.1,71.0,94.0,75.5,1,0.9,1.2,15.0,72.0,10.0,2.0,79.0,733.0,675.0,58.0,19.0,0.0,2.0,30,28.0,5.0,2.0,2.0,0.0,650.0,0.0,11.0,33.0,23.0,4.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,3,1.0,3.0,1.0,3.0,5.0,60.0,2.0,7.0,1.0,6.0,9,14,3.0,0.0,69.0,832.0,26.0,111.0,465.0,262.0,29.0,832.0,32.0,15.0,46.9,17.0,53.1,469.0,2758.0,1704.0,38.0,31.0,4.0,19.0,9.0,648.0,78.0,0,0,0,7,17,0,30,9,3,0.0,0.0,0,56.0,9.0,13.0,40.9,1
2020-10-04,21:00 (12:00),Ligue 1,Matchweek 6,Sun,Home,D,1,1,Marseille,1,23,2,8.7,0.0,0.0,16.4,0.0,1,1,3.2,2.4,0.11,-2.2,-2.4,1,1,0,0.0,0,0.7,-0.3,0,0,0,0,4.0,6.0,66.7,20.0,6.0,25.0,28.0,3.0,33.3,35.7,8.0,0.0,0.0,1.0,59.0,504.0,610.0,82.6,9289.0,3155.0,192.0,221.0,86.9,235.0,266.0,88.3,60.0,89.0,67.4,0,1.8,1.4,13.0,69.0,15.0,5.0,81.0,610.0,555.0,54.0,9.0,1.0,2.0,51,21.0,19.0,2.0,6.0,0.0,504.0,1.0,12.0,42.0,31.0,5.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,10,6.0,11.0,0.0,7.0,11.0,63.6,4.0,6.0,0.0,6.0,8,25,13.0,0.0,68.0,709.0,33.0,104.0,310.0,297.0,49.0,708.0,14.0,7.0,50.0,7.0,50.0,485.0,2309.0,1236.0,34.0,24.0,12.0,15.0,6.0,502.0,81.0,1,0,0,14,10,1,51,8,10,1.0,0.0,0,48.0,20.0,12.0,62.5,1
2020-10-18,13:00 (04:00),Ligue 1,Matchweek 7,Sun,Away,W,3,2,Strasbourg,3,14,6,42.9,0.21,0.5,12.6,1.0,0,0,3.9,3.9,0.28,-0.9,-0.9,8,2,6,75.0,0,2.4,0.4,0,0,0,0,7.0,16.0,43.8,18.0,6.0,44.4,40.0,9.0,88.9,55.2,22.0,1.0,4.5,0.0,4.5,283.0,384.0,73.7,5059.0,2265.0,131.0,168.0,78.0,98.0,119.0,82.4,40.0,72.0,55.6,3,3.5,2.8,11.0,12.0,7.0,1.0,26.0,384.0,330.0,52.0,15.0,0.0,0.0,8,23.0,2.0,2.0,0.0,0.0,283.0,2.0,6.0,25.0,16.0,3.0,3.0,1.0,2.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,12.0,5,4.0,7.0,1.0,6.0,14.0,42.9,8.0,8.0,0.0,8.0,13,25,35.0,0.0,47.0,501.0,63.0,190.0,243.0,73.0,22.0,501.0,12.0,10.0,83.3,2.0,16.7,189.0,1274.0,745.0,15.0,9.0,5.0,8.0,14.0,282.0,26.0,3,0,0,8,12,2,8,13,5,0.0,0.0,0,53.0,16.0,23.0,41.0,1
2020-10-25,21:00 (13:00),Ligue 1,Matchweek 8,Sun,Home,W,4,1,Monaco,4,14,5,35.7,0.21,0.6,21.7,2.0,1,1,3.3,2.6,0.18,0.7,0.4,5,1,4,100.0,0,1.4,0.4,1,1,0,0,10.0,19.0,52.6,31.0,7.0,48.4,43.7,7.0,57.1,37.6,23.0,0.0,0.0,2.0,21.3,254.0,330.0,77.0,4993.0,2225.0,109.0,123.0,88.6,96.0,117.0,82.1,43.0,67.0,64.2,2,2.2,1.0,11.0,18.0,7.0,2.0,24.0,330.0,287.0,40.0,11.0,2.0,4.0,11,18.0,2.0,1.0,0.0,0.0,254.0,3.0,7.0,27.0,18.0,1.0,5.0,0.0,3.0,0.0,7.0,4.0,0.0,2.0,0.0,1.0,0.0,15.0,10,8.0,6.0,1.0,12.0,27.0,44.4,15.0,12.0,6.0,6.0,16,31,29.0,0.0,35.0,473.0,85.0,208.0,180.0,87.0,28.0,472.0,24.0,14.0,58.3,10.0,41.7,257.0,1252.0,656.0,17.0,5.0,8.0,20.0,6.0,252.0,24.0,3,1,0,12,15,3,11,16,10,1.0,1.0,0,49.0,7.0,12.0,36.8,1
2020-11-01,21:00 (12:00),Ligue 1,Matchweek 9,Sun,Away,D,1,1,Lille,0,8,1,12.5,0.0,0.0,17.3,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,6,1,5,83.3,0,1.2,0.2,0,0,0,0,6.0,20.0,30.0,32.0,6.0,40.6,35.4,9.0,77.8,54.4,19.0,0.0,0.0,2.0,14.0,354.0,438.0,80.8,6490.0,2494.0,161.0,179.0,89.9,143.0,173.0,82.7,43.0,75.0,57.3,0,0.5,0.4,6.0,26.0,7.0,2.0,30.0,438.0,389.0,49.0,14.0,1.0,4.0,12,20.0,4.0,2.0,2.0,0.0,354.0,0.0,4.0,14.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11,14.0,4.0,1.0,4.0,16.0,25.0,12.0,11.0,5.0,6.0,15,34,27.0,0.0,40.0,554.0,77.0,228.0,232.0,99.0,15.0,554.0,20.0,10.0,50.0,10.0,50.0,259.0,1297.0,754.0,13.0,12.0,4.0,18.0,9.0,353.0,30.0,3,1,1,10,13,0,12,15,11,0.0,0.0,0,48.0,18.0,13.0,58.1,1
2020-11-08,21:00 (12:00),Ligue 1,Matchweek 10,Sun,Home,W,2,1,Saint-Étienne,2,18,6,33.3,0.11,0.33,16.0,2.0,0,0,2.8,2.8,0.16,-0.8,-0.8,4,1,4,75.0,0,0.4,0.4,1,0,0,1,1.0,4.0,25.0,27.0,6.0,7.4,23.1,4.0,50.0,38.3,13.0,1.0,7.7,4.0,21.9,397.0,498.0,79.7,6599.0,2658.0,201.0,236.0,85.2,158.0,185.0,85.4,29.0,45.0,64.4,2,2.6,1.4,14.0,30.0,7.0,1.0,48.0,498.0,435.0,60.0,16.0,0.0,3.0,7,35.0,3.0,0.0,3.0,0.0,397.0,3.0,7.0,35.0,22.0,4.0,5.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,20.0,13,8.0,10.0,2.0,9.0,22.0,40.9,13.0,15.0,8.0,7.0,10,30,18.0,0.0,60.0,642.0,49.0,175.0,335.0,142.0,27.0,642.0,25.0,11.0,44.0,14.0,56.0,428.0,2186.0,1209.0,15.0,20.0,5.0,15.0,17.0,395.0,47.0,5,0,0,19,19,3,7,10,13,0.0,1.0,1,64.0,24.0,9.0,72.7,1
