Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-08-23,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Home,W,2,1,Lens,2,4,2,50.0,0.5,1.0,25.2,1.0,0,0,0.2,0.2,0.04,1.8,1.8,4,1,3,100.0,0,1.7,0.7,1,1,0,0,6.0,11.0,54.5,31.0,4.0,32.3,28.3,8.0,12.5,18.9,22.0,1.0,4.5,1.0,14.5,457.0,540.0,84.6,7234.0,2168.0,237.0,263.0,90.1,167.0,188.0,88.8,36.0,59.0,61.0,2,0.1,0.2,3.0,11.0,1.0,0.0,19.0,540.0,495.0,45.0,18.0,0.0,6.0,5,16.0,1.0,1.0,0.0,0.0,457.0,0.0,8.0,7.0,4.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,5,5.0,4.0,3.0,4.0,15.0,26.7,11.0,8.0,3.0,5.0,11,23,19.0,1.0,57.0,631.0,74.0,241.0,329.0,64.0,9.0,631.0,9.0,8.0,88.9,1.0,11.1,421.0,2333.0,1227.0,26.0,10.0,4.0,19.0,5.0,457.0,19.0,2,0,0,17,16,0,5,11,5,0.0,1.0,0,42.0,9.0,14.0,39.1,1
2020-08-29,21:00 (12:00),Ligue 1,Matchweek 2,Sat,Away,W,2,0,Strasbourg,2,2,1,50.0,0.5,1.0,18.4,0.0,1,1,1.3,0.5,0.25,0.7,0.5,0,0,0,,1,0.0,0.0,0,0,0,0,2.0,11.0,18.2,42.0,6.0,23.8,26.8,12.0,8.3,24.7,15.0,4.0,26.7,0.0,8.0,513.0,601.0,85.4,8807.0,2566.0,231.0,252.0,91.7,217.0,245.0,88.6,44.0,78.0,56.4,0,0.0,0.2,1.0,19.0,3.0,2.0,30.0,601.0,561.0,39.0,14.0,0.0,9.0,10,11.0,1.0,1.0,0.0,0.0,513.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,11,6.0,10.0,3.0,12.0,16.0,75.0,4.0,11.0,0.0,11.0,11,30,13.0,0.0,55.0,695.0,74.0,235.0,384.0,84.0,7.0,694.0,16.0,13.0,81.3,3.0,18.8,450.0,2319.0,1299.0,21.0,13.0,2.0,13.0,7.0,511.0,30.0,6,0,0,11,12,1,10,11,11,1.0,0.0,0,40.0,16.0,10.0,61.5,1
2020-09-12,17:00 (08:00),Ligue 1,Matchweek 3,Sat,Away,L,1,3,Montpellier,1,9,1,11.1,0.11,1.0,17.6,1.0,0,0,0.7,0.7,0.08,0.3,0.3,13,3,10,76.9,0,2.0,-1.0,0,0,0,0,0.0,7.0,0.0,18.0,4.0,22.2,28.8,8.0,37.5,30.8,16.0,1.0,6.3,1.0,18.0,436.0,524.0,83.2,7486.0,2197.0,209.0,230.0,90.9,167.0,194.0,86.1,48.0,78.0,61.5,1,0.7,0.8,7.0,26.0,3.0,2.0,28.0,524.0,473.0,51.0,18.0,1.0,7.0,25,12.0,9.0,4.0,3.0,0.0,436.0,0.0,6.0,16.0,7.0,4.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,5,5.0,4.0,1.0,3.0,12.0,25.0,9.0,9.0,4.0,5.0,13,23,17.0,0.0,61.0,633.0,61.0,174.0,350.0,115.0,10.0,633.0,13.0,8.0,61.5,5.0,38.5,376.0,2238.0,1271.0,25.0,16.0,2.0,16.0,8.0,435.0,28.0,2,0,0,16,17,0,25,13,5,0.0,0.0,0,49.0,19.0,19.0,50.0,1
2020-09-20,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Home,L,0,3,Paris S-G,0,14,5,35.7,0.0,0.0,22.0,2.0,0,0,1.0,1.0,0.07,-1.0,-1.0,6,3,3,66.7,0,3.3,0.3,1,1,0,0,2.0,5.0,40.0,30.0,5.0,13.3,25.8,6.0,16.7,24.3,19.0,0.0,0.0,0.0,3.0,526.0,587.0,89.6,8856.0,2618.0,261.0,275.0,94.9,200.0,217.0,92.2,54.0,72.0,75.0,0,0.8,1.1,10.0,31.0,10.0,4.0,40.0,587.0,549.0,38.0,9.0,2.0,3.0,16,15.0,4.0,3.0,0.0,0.0,526.0,0.0,9.0,26.0,22.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3,5.0,3.0,0.0,5.0,19.0,26.3,14.0,12.0,5.0,7.0,5,13,16.0,0.0,50.0,674.0,99.0,275.0,250.0,155.0,16.0,674.0,19.0,12.0,63.2,7.0,36.8,346.0,2337.0,1472.0,32.0,20.0,6.0,11.0,7.0,525.0,40.0,1,0,0,9,9,0,16,5,3,0.0,1.0,0,40.0,3.0,2.0,60.0,1
2020-09-27,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Away,D,0,0,Bordeaux,0,13,2,15.4,0.0,0.0,20.9,1.0,0,0,0.8,0.8,0.06,-0.8,-0.8,5,0,5,100.0,1,0.6,0.6,0,0,0,0,1.0,3.0,33.3,34.0,7.0,5.9,20.3,9.0,11.1,23.1,16.0,2.0,12.5,0.0,8.8,506.0,602.0,84.1,8413.0,2874.0,226.0,253.0,89.3,241.0,269.0,89.6,27.0,53.0,50.9,0,0.7,0.7,10.0,48.0,8.0,0.0,56.0,602.0,564.0,38.0,9.0,2.0,4.0,22,12.0,7.0,5.0,1.0,0.0,506.0,0.0,8.0,23.0,18.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10,7.0,11.0,0.0,5.0,13.0,38.5,8.0,9.0,6.0,3.0,16,34,16.0,0.0,54.0,704.0,73.0,223.0,341.0,148.0,20.0,704.0,21.0,11.0,52.4,10.0,47.6,452.0,2793.0,1660.0,28.0,14.0,5.0,10.0,7.0,501.0,56.0,1,0,0,15,9,0,22,16,10,0.0,0.0,0,60.0,11.0,11.0,50.0,1
2020-10-03,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Home,W,2,1,Nantes,2,19,8,42.1,0.11,0.25,17.0,1.0,0,0,1.6,1.6,0.09,0.4,0.4,1,1,0,100.0,0,1.0,0.0,1,1,0,0,0.0,0.0,,16.0,3.0,0.0,16.6,7.0,0.0,17.9,6.0,0.0,0.0,3.0,21.8,716.0,819.0,87.4,11682.0,3661.0,318.0,346.0,91.9,331.0,358.0,92.5,40.0,63.0,63.5,1,1.3,1.8,12.0,66.0,11.0,3.0,74.0,819.0,761.0,56.0,9.0,1.0,5.0,27,29.0,9.0,8.0,0.0,0.0,716.0,2.0,8.0,34.0,23.0,2.0,5.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,15.0,11,5.0,9.0,1.0,4.0,18.0,22.2,14.0,11.0,3.0,8.0,18,33,4.0,0.0,73.0,931.0,46.0,180.0,503.0,251.0,32.0,931.0,29.0,15.0,51.7,14.0,48.3,583.0,3228.0,1766.0,28.0,22.0,8.0,19.0,4.0,713.0,74.0,2,0,0,13,8,2,27,18,11,0.0,1.0,0,54.0,10.0,8.0,55.6,1
2020-10-18,17:00 (08:00),Ligue 1,Matchweek 7,Sun,Away,W,3,1,Saint-Étienne,3,10,5,50.0,0.3,0.6,14.1,1.0,0,0,2.3,2.3,0.24,0.7,0.7,4,1,3,75.0,0,1.2,0.2,0,0,0,0,1.0,11.0,9.1,42.0,5.0,16.7,27.3,10.0,40.0,39.5,24.0,1.0,4.2,1.0,11.5,459.0,568.0,80.8,7733.0,2724.0,215.0,237.0,90.7,189.0,209.0,90.4,38.0,80.0,47.5,1,0.9,1.1,3.0,19.0,6.0,2.0,23.0,568.0,509.0,58.0,16.0,0.0,1.0,10,27.0,3.0,3.0,0.0,0.0,459.0,1.0,14.0,15.0,10.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,19,17.0,8.0,2.0,10.0,24.0,41.7,14.0,9.0,5.0,4.0,10,37,24.0,1.0,54.0,681.0,94.0,322.0,261.0,101.0,16.0,681.0,22.0,15.0,68.2,7.0,31.8,421.0,1901.0,929.0,20.0,9.0,2.0,18.0,11.0,454.0,22.0,5,0,0,10,15,1,10,10,19,0.0,0.0,0,52.0,5.0,10.0,33.3,1
2020-10-22,18:55 (09:55),Europa Lg,Group stage,Thu,Away,L,2,6,de Leverkusen,2,10,3,30.0,0.2,0.67,17.8,0.0,0,0,0.7,0.7,0.07,1.3,1.3,9,6,3,33.3,0,3.5,-2.5,0,0,0,0,2.0,4.0,50.0,34.0,3.0,11.8,24.8,5.0,0.0,24.2,5.0,0.0,0.0,2.0,17.6,427.0,518.0,82.4,7208.0,2303.0,210.0,234.0,89.7,158.0,184.0,85.9,41.0,63.0,65.1,2,0.6,0.4,8.0,20.0,4.0,1.0,29.0,518.0,470.0,48.0,15.0,0.0,4.0,13,19.0,2.0,1.0,1.0,0.0,427.0,0.0,8.0,19.0,15.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,19.0,13,7.0,6.0,6.0,9.0,16.0,56.3,7.0,11.0,1.0,10.0,10,29,7.0,1.0,43.0,633.0,56.0,217.0,305.0,116.0,18.0,633.0,32.0,8.0,25.0,24.0,75.0,295.0,1623.0,758.0,13.0,13.0,4.0,18.0,8.0,423.0,29.0,2,0,0,8,12,0,13,10,13,0.0,0.0,0,51.0,13.0,6.0,68.4,2
2020-10-25,17:00 (09:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Lille,1,8,3,37.5,0.13,0.33,12.9,0.0,0,0,1.2,1.2,0.16,-0.2,-0.2,4,1,3,75.0,0,0.7,-0.3,0,0,0,0,4.0,13.0,30.8,21.0,1.0,38.1,30.4,11.0,45.5,33.9,7.0,0.0,0.0,0.0,19.0,510.0,592.0,86.1,8975.0,2782.0,252.0,272.0,92.6,190.0,206.0,92.2,57.0,87.0,65.5,1,1.1,0.6,6.0,22.0,2.0,1.0,25.0,592.0,537.0,54.0,22.0,0.0,7.0,17,14.0,5.0,2.0,3.0,0.0,510.0,1.0,7.0,14.0,4.0,4.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,10,5.0,5.0,3.0,6.0,24.0,25.0,18.0,12.0,2.0,10.0,9,22,7.0,0.0,53.0,669.0,57.0,231.0,342.0,102.0,14.0,669.0,20.0,12.0,60.0,8.0,40.0,460.0,2003.0,934.0,15.0,13.0,3.0,13.0,7.0,507.0,25.0,1,0,0,13,18,1,17,9,10,0.0,0.0,0,48.0,4.0,4.0,50.0,1
2020-10-29,21:00 (13:00),Europa Lg,Group stage,Thu,Home,W,1,0,il Be'er Sheva,1,11,4,36.4,0.09,0.25,20.5,1.0,0,0,1.6,1.6,0.15,-0.6,-0.6,2,0,2,100.0,1,0.9,0.9,0,0,0,0,2.0,7.0,28.6,26.0,0.0,19.2,23.8,7.0,28.6,27.3,9.0,0.0,0.0,0.0,7.5,644.0,738.0,87.3,10449.0,3245.0,318.0,341.0,93.3,270.0,296.0,91.2,41.0,64.0,64.1,1,1.5,1.2,9.0,37.0,7.0,3.0,55.0,738.0,685.0,53.0,13.0,1.0,4.0,25,26.0,6.0,0.0,5.0,0.0,644.0,0.0,10.0,21.0,17.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,5,3.0,2.0,4.0,6.0,18.0,33.3,12.0,13.0,2.0,11.0,19,28,11.0,0.0,64.0,855.0,60.0,234.0,428.0,205.0,16.0,855.0,21.0,11.0,52.4,10.0,47.6,459.0,2537.0,1313.0,24.0,26.0,3.0,23.0,10.0,640.0,55.0,2,0,0,14,13,0,25,19,5,0.0,0.0,0,61.0,13.0,6.0,68.4,2
