Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,1,1,Saint-Étienne,1,12,3,25.0,0.08,0.33,17.5,0.0,0,0,0.6,0.6,0.05,0.4,0.4,3,1,2,100.0,0,1.2,0.2,1,1,0,0,5.0,22.0,22.7,15.0,2.0,73.3,50.9,12.0,91.7,63.7,25.0,1.0,4.0,1.0,15.0,284.0,384.0,74.0,5458.0,2354.0,129.0,148.0,87.2,105.0,130.0,80.8,44.0,82.0,53.7,0,0.4,0.5,8.0,30.0,6.0,1.0,40.0,384.0,341.0,42.0,9.0,0.0,10.0,14,15.0,4.0,2.0,2.0,0.0,284.0,1.0,11.0,20.0,17.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,12,12.0,8.0,3.0,13.0,33.0,39.4,20.0,20.0,6.0,14.0,10,33,26.0,0.0,39.0,523.0,54.0,166.0,243.0,121.0,21.0,523.0,15.0,6.0,40.0,9.0,60.0,235.0,1221.0,661.0,18.0,12.0,6.0,23.0,14.0,283.0,40.0,3,0,0,14,10,1,14,10,12,0.0,1.0,0,63.0,13.0,17.0,43.3,1
2021-08-13,21:00 (12:00),Ligue 1,Matchweek 2,Fri,Home,W,1,0,Monaco,1,1,1,100.0,0.0,0.0,44.5,0.0,1,1,0.8,0.0,,0.2,0.0,3,0,3,100.0,1,0.8,0.8,0,0,0,0,4.0,21.0,19.0,15.0,1.0,80.0,53.9,10.0,90.0,63.7,22.0,0.0,0.0,0.0,13.0,173.0,280.0,61.8,3123.0,1662.0,78.0,95.0,82.1,68.0,95.0,71.6,18.0,65.0,27.7,0,0.0,0.8,0.0,9.0,2.0,1.0,15.0,280.0,232.0,48.0,14.0,0.0,5.0,3,23.0,0.0,0.0,0.0,0.0,173.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,17,16.0,7.0,0.0,15.0,26.0,57.7,11.0,10.0,4.0,6.0,13,36,41.0,0.0,29.0,413.0,70.0,217.0,169.0,37.0,4.0,412.0,18.0,9.0,50.0,9.0,50.0,156.0,937.0,340.0,6.0,7.0,1.0,21.0,20.0,169.0,13.0,3,0,0,17,14,0,3,13,17,1.0,0.0,0,73.0,14.0,17.0,45.2,1
2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,L,1,3,Montpellier,1,5,4,80.0,0.2,0.25,19.3,0.0,0,0,0.6,0.6,0.13,0.4,0.4,10,3,7,70.0,0,2.8,-0.2,0,0,0,0,5.0,20.0,25.0,16.0,5.0,56.3,41.5,13.0,84.6,59.9,28.0,0.0,0.0,0.0,2.0,315.0,399.0,78.9,6002.0,2186.0,141.0,157.0,89.8,126.0,147.0,85.7,43.0,80.0,53.8,0,0.6,0.5,5.0,30.0,6.0,1.0,25.0,399.0,352.0,46.0,8.0,0.0,5.0,10,20.0,1.0,0.0,1.0,0.0,315.0,1.0,9.0,10.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,7,7.0,5.0,2.0,8.0,16.0,50.0,8.0,18.0,10.0,8.0,7,21,24.0,0.0,44.0,509.0,71.0,201.0,236.0,74.0,7.0,509.0,15.0,4.0,26.7,11.0,73.3,257.0,1231.0,688.0,11.0,7.0,0.0,13.0,12.0,314.0,25.0,6,2,2,13,8,1,10,7,7,0.0,0.0,0,49.0,9.0,14.0,39.1,1
2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,D,2,2,Lens,2,14,7,50.0,0.14,0.29,21.5,2.0,0,0,1.2,1.2,0.08,0.8,0.8,9,2,7,77.8,0,2.3,0.3,0,0,0,0,3.0,16.0,18.8,19.0,3.0,57.9,49.4,7.0,71.4,52.6,19.0,0.0,0.0,0.0,8.0,345.0,448.0,77.0,5629.0,2306.0,163.0,185.0,88.1,134.0,166.0,80.7,29.0,65.0,44.6,2,0.8,0.7,8.0,26.0,2.0,1.0,17.0,448.0,403.0,45.0,9.0,5.0,4.0,11,22.0,4.0,3.0,0.0,0.0,345.0,0.0,8.0,22.0,13.0,1.0,4.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,7,9.0,5.0,1.0,6.0,19.0,31.6,13.0,6.0,2.0,4.0,16,31,25.0,0.0,46.0,569.0,62.0,200.0,265.0,109.0,12.0,569.0,16.0,10.0,62.5,6.0,37.5,339.0,1402.0,647.0,17.0,13.0,6.0,18.0,7.0,344.0,17.0,4,0,0,10,10,0,11,16,7,0.0,0.0,0,55.0,10.0,21.0,32.3,1
2021-09-10,21:00 (12:00),Ligue 1,Matchweek 5,Fri,Home,W,2,1,Lille,2,14,7,50.0,0.14,0.29,16.7,0.0,0,0,1.8,1.8,0.13,0.2,0.2,3,1,2,100.0,0,1.4,0.4,1,1,0,0,2.0,11.0,18.2,18.0,5.0,38.9,34.8,6.0,66.7,52.5,8.0,0.0,0.0,1.0,18.0,414.0,508.0,81.5,7393.0,2430.0,164.0,178.0,92.1,187.0,210.0,89.0,45.0,82.0,54.9,1,0.9,0.7,7.0,24.0,3.0,1.0,35.0,508.0,462.0,43.0,11.0,2.0,3.0,21,22.0,2.0,0.0,2.0,0.0,414.0,3.0,8.0,25.0,22.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,13,8.0,8.0,0.0,8.0,19.0,42.1,11.0,5.0,2.0,3.0,8,24,16.0,0.0,44.0,610.0,46.0,169.0,325.0,121.0,17.0,610.0,9.0,2.0,22.2,7.0,77.8,273.0,1236.0,673.0,12.0,12.0,1.0,15.0,7.0,409.0,35.0,2,0,0,13,11,3,21,8,13,0.0,1.0,0,56.0,6.0,15.0,28.6,1
2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,D,0,0,Reims,0,6,3,50.0,0.0,0.0,26.8,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,2,0,2,100.0,1,0.2,0.2,0,0,0,0,3.0,15.0,20.0,21.0,3.0,47.6,34.6,6.0,83.3,62.7,12.0,0.0,0.0,0.0,8.3,462.0,561.0,82.4,8470.0,2601.0,185.0,206.0,89.8,211.0,232.0,90.9,54.0,93.0,58.1,0,0.3,0.2,6.0,30.0,3.0,0.0,37.0,561.0,516.0,44.0,17.0,0.0,7.0,21,14.0,6.0,3.0,2.0,0.0,462.0,1.0,13.0,12.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18,11.0,8.0,2.0,14.0,31.0,45.2,17.0,8.0,1.0,7.0,14,35,21.0,0.0,56.0,662.0,55.0,221.0,338.0,107.0,5.0,662.0,14.0,7.0,50.0,7.0,50.0,476.0,2030.0,930.0,15.0,18.0,0.0,15.0,4.0,460.0,37.0,3,0,0,14,12,1,21,14,18,0.0,0.0,0,55.0,6.0,7.0,46.2,1
2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Home,W,1,0,Nice,1,8,1,12.5,0.13,1.0,22.4,0.0,0,0,0.5,0.5,0.06,0.5,0.5,1,0,1,100.0,1,0.0,0.0,1,0,0,1,4.0,21.0,19.0,12.0,2.0,66.7,43.1,14.0,92.9,68.5,23.0,0.0,0.0,0.0,12.0,246.0,347.0,70.9,4347.0,1786.0,107.0,129.0,82.9,90.0,112.0,80.4,31.0,67.0,46.3,1,0.5,0.4,7.0,19.0,5.0,1.0,21.0,347.0,281.0,63.0,15.0,1.0,4.0,14,27.0,6.0,4.0,1.0,0.0,246.0,3.0,13.0,15.0,9.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,10,7.0,7.0,3.0,11.0,24.0,45.8,13.0,10.0,2.0,8.0,11,28,29.0,1.0,37.0,470.0,49.0,152.0,201.0,119.0,12.0,470.0,20.0,11.0,55.0,9.0,45.0,221.0,976.0,360.0,11.0,7.0,3.0,13.0,9.0,242.0,21.0,2,1,1,12,16,3,14,11,10,0.0,1.0,0,46.0,6.0,18.0,25.0,1
2021-09-25,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Away,D,1,1,Lyon,1,12,5,41.7,0.08,0.2,22.5,2.0,0,0,0.7,0.7,0.06,0.3,0.3,2,1,1,50.0,0,1.7,0.7,0,0,0,0,2.0,7.0,28.6,9.0,2.0,44.4,40.8,6.0,50.0,49.0,13.0,0.0,0.0,1.0,13.3,390.0,467.0,83.5,6912.0,2100.0,168.0,181.0,92.8,171.0,192.0,89.1,36.0,65.0,55.4,0,0.6,0.8,8.0,25.0,2.0,1.0,33.0,467.0,431.0,34.0,8.0,3.0,6.0,12,15.0,3.0,0.0,1.0,0.0,390.0,2.0,9.0,19.0,13.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,3,5.0,3.0,0.0,3.0,15.0,20.0,12.0,9.0,5.0,4.0,10,18,26.0,1.0,47.0,557.0,48.0,167.0,279.0,118.0,9.0,557.0,17.0,12.0,70.6,5.0,29.4,315.0,1715.0,1015.0,17.0,21.0,3.0,11.0,5.0,387.0,33.0,2,0,0,10,9,2,12,10,3,0.0,0.0,0,52.0,9.0,7.0,56.3,1
2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,D,1,1,Clermont Foot,1,6,1,16.7,0.17,1.0,13.7,0.0,0,0,0.5,0.5,0.09,0.5,0.5,4,1,3,75.0,0,0.9,-0.1,0,0,0,0,5.0,14.0,35.7,19.0,6.0,42.1,35.8,7.0,85.7,64.0,11.0,0.0,0.0,0.0,,375.0,484.0,77.5,7443.0,2565.0,155.0,189.0,82.0,156.0,176.0,88.6,56.0,94.0,59.6,1,0.5,0.6,6.0,35.0,5.0,2.0,28.0,484.0,437.0,47.0,13.0,0.0,9.0,15,21.0,4.0,3.0,1.0,0.0,375.0,0.0,12.0,12.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,10,6.0,5.0,4.0,3.0,10.0,30.0,7.0,13.0,2.0,11.0,14,29,17.0,0.0,46.0,580.0,42.0,179.0,278.0,132.0,10.0,580.0,19.0,12.0,63.2,7.0,36.8,286.0,1546.0,765.0,16.0,9.0,2.0,15.0,13.0,374.0,28.0,2,0,0,19,12,0,15,14,10,0.0,0.0,0,57.0,13.0,14.0,48.1,1
2021-10-17,20:45 (11:45),Ligue 1,Matchweek 10,Sun,Away,L,1,4,Marseille,1,14,6,42.9,0.0,0.0,19.5,2.0,1,1,2.2,1.4,0.1,-1.2,-1.4,5,4,2,20.0,0,1.8,-1.2,0,0,0,0,1.0,12.0,8.3,10.0,3.0,40.0,39.5,10.0,80.0,57.6,13.0,0.0,0.0,0.0,,273.0,351.0,77.8,5194.0,1912.0,123.0,148.0,83.1,108.0,124.0,87.1,41.0,70.0,58.6,0,1.1,1.0,10.0,18.0,3.0,0.0,22.0,351.0,310.0,40.0,6.0,1.0,6.0,11,15.0,4.0,0.0,1.0,1.0,273.0,1.0,5.0,24.0,13.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,13,7.0,9.0,2.0,9.0,27.0,33.3,18.0,12.0,4.0,8.0,13,31,16.0,0.0,37.0,458.0,55.0,180.0,207.0,79.0,13.0,457.0,13.0,6.0,46.2,7.0,53.8,257.0,1190.0,645.0,17.0,6.0,6.0,19.0,5.0,273.0,22.0,1,0,0,10,7,1,11,13,13,1.0,0.0,1,52.0,6.0,6.0,50.0,1
