Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-07,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,D,0,0,Nantes,0,16,6,37.5,0.0,0.0,15.6,0.0,0,0,1.5,1.5,0.1,-1.5,-1.5,3,0,3,100.0,1,0.9,0.9,0,0,0,0,8.0,25.0,32.0,24.0,7.0,62.5,43.8,11.0,90.9,57.9,15.0,1.0,6.7,0.0,7.5,304.0,407.0,74.7,5362.0,2488.0,148.0,174.0,85.1,118.0,146.0,80.8,28.0,64.0,43.8,0,1.3,1.5,13.0,28.0,11.0,1.0,52.0,407.0,356.0,50.0,16.0,2.0,1.0,15,19.0,3.0,2.0,1.0,0.0,304.0,1.0,5.0,26.0,21.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12,10.0,12.0,1.0,9.0,13.0,69.2,4.0,14.0,4.0,10.0,4,27,20.0,0.0,49,532.0,57.0,162.0,237.0,141.0,25.0,532.0,20.0,11.0,55.0,9.0,45.0,340.0,2235.0,1003.0,18.0,23.0,2.0,17.0,10.0,303.0,52.0,3,0,0,15,12,1,15,4,12,0.0,0.0,0,53.0,16.0,20.0,44.4,1
2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,D,2,2,Auxerre,2,11,2,18.2,0.18,1.0,15.7,1.0,0,0,1.4,1.4,0.12,0.6,0.6,4,2,3,50.0,0,1.1,0.1,0,0,0,0,2.0,7.0,28.6,15.0,4.0,26.7,30.1,9.0,33.3,33.8,13.0,1.0,7.7,2.0,18.8,453.0,549.0,82.5,8103.0,2788.0,207.0,234.0,88.5,193.0,228.0,84.6,40.0,64.0,62.5,2,1.1,1.1,8.0,59.0,12.0,4.0,71.0,549.0,499.0,50.0,10.0,1.0,3.0,25,23.0,5.0,5.0,0.0,0.0,453.0,0.0,6.0,19.0,15.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,4,4.0,3.0,2.0,6.0,13.0,46.2,7.0,9.0,1.0,8.0,5,14,9.0,0.0,60,643.0,43.0,130.0,337.0,179.0,30.0,643.0,23.0,9.0,39.1,12.0,52.2,474.0,2339.0,1203.0,14.0,13.0,7.0,15.0,11.0,446.0,69.0,3,0,0,16,10,0,25,5,4,0.0,0.0,1,46.0,17.0,16.0,51.5,1
2022-08-21,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,L,1,3,Brest,1,7,5,71.4,0.14,0.2,19.3,2.0,0,0,0.6,0.6,0.09,0.4,0.4,7,3,4,57.1,0,1.4,-1.6,0,0,0,0,1.0,2.0,50.0,15.0,7.0,13.3,25.6,9.0,0.0,24.4,15.0,2.0,13.3,0.0,3.8,461.0,545.0,84.6,7769.0,2455.0,205.0,231.0,88.7,215.0,235.0,91.5,25.0,46.0,54.3,1,0.4,0.7,3.0,34.0,4.0,1.0,42.0,545.0,494.0,47.0,12.0,0.0,2.0,9,19.0,3.0,2.0,0.0,0.0,461.0,4.0,8.0,12.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,11,11.0,10.0,3.0,8.0,19.0,42.1,11.0,13.0,1.0,12.0,9,33,10.0,0.0,50,661.0,51.0,162.0,376.0,130.0,11.0,661.0,29.0,11.0,37.9,15.0,51.7,496.0,2744.0,1305.0,7.0,8.0,2.0,18.0,7.0,459.0,42.0,2,1,0,9,10,4,9,9,11,0.0,0.0,0,48.0,10.0,10.0,50.0,1
2022-08-28,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,3,Troyes,0,7,1,14.3,0.0,0.0,17.4,0.0,0,0,0.7,0.7,0.1,-0.7,-0.7,11,3,8,72.7,0,2.3,-0.7,0,0,0,0,2.0,11.0,18.2,35.0,8.0,25.7,28.0,12.0,16.7,24.9,18.0,3.0,16.7,0.0,6.7,490.0,577.0,84.9,8565.0,2962.0,199.0,225.0,88.4,245.0,266.0,92.1,34.0,61.0,55.7,1,0.7,0.3,7.0,37.0,6.0,0.0,42.0,577.0,529.0,47.0,11.0,0.0,0.0,10,17.0,3.0,2.0,0.0,0.0,490.0,1.0,8.0,14.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6,7.0,5.0,0.0,8.0,21.0,38.1,13.0,11.0,2.0,9.0,6,18,19.0,0.0,51,676.0,82.0,236.0,353.0,91.0,11.0,676.0,31.0,19.0,61.3,11.0,35.5,529.0,2765.0,1264.0,15.0,12.0,4.0,13.0,3.0,487.0,42.0,3,1,1,12,8,1,10,6,6,0.0,0.0,0,45.0,7.0,13.0,35.0,1
2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Home,L,2,4,Reims,2,9,2,22.2,0.11,0.5,18.3,1.0,1,1,1.7,0.9,0.1,0.3,0.1,5,4,1,40.0,0,2.9,-1.1,1,1,0,0,0.0,7.0,0.0,18.0,4.0,33.3,31.5,7.0,14.3,26.0,4.0,0.0,0.0,3.0,27.0,412.0,518.0,79.5,7185.0,2543.0,182.0,216.0,84.3,168.0,194.0,86.6,43.0,74.0,58.1,1,0.7,0.7,7.0,43.0,4.0,1.0,41.0,518.0,454.0,61.0,17.0,0.0,3.0,14,28.0,4.0,2.0,1.0,0.0,412.0,3.0,12.0,20.0,15.0,1.0,1.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,19.0,5,8.0,7.0,4.0,11.0,23.0,47.8,12.0,11.0,2.0,9.0,14,33,7.0,1.0,57,646.0,41.0,172.0,349.0,135.0,15.0,645.0,31.0,11.0,35.5,15.0,48.4,446.0,2710.0,1237.0,17.0,13.0,5.0,27.0,5.0,407.0,41.0,1,0,0,9,15,3,14,14,5,1.0,1.0,0,57.0,14.0,10.0,58.3,1
2022-09-03,19:00 (10:00),Ligue 1,Matchweek 6,Sat,Away,L,0,5,Lyon,0,8,2,25.0,0.0,0.0,17.8,1.0,0,0,1.0,1.0,0.12,-1.0,-1.0,9,5,4,44.4,0,3.0,-2.0,0,0,0,0,10.0,18.0,55.6,19.0,2.0,68.4,47.3,7.0,71.4,52.7,24.0,1.0,4.2,0.0,6.3,246.0,322.0,76.4,4670.0,2082.0,96.0,119.0,80.7,95.0,118.0,80.5,36.0,57.0,63.2,0,0.9,0.5,6.0,27.0,6.0,2.0,34.0,322.0,279.0,43.0,10.0,0.0,4.0,8,17.0,3.0,3.0,0.0,0.0,246.0,0.0,5.0,12.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15,8.0,13.0,2.0,18.0,25.0,72.0,7.0,8.0,1.0,7.0,17,40,24.0,3.0,36,450.0,62.0,142.0,223.0,94.0,13.0,450.0,21.0,8.0,38.1,8.0,38.1,274.0,1595.0,812.0,16.0,13.0,2.0,17.0,5.0,244.0,33.0,1,0,0,9,5,0,8,17,15,0.0,0.0,0,40.0,13.0,10.0,56.5,1
2022-09-11,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,W,2,1,Montpellier,2,10,4,40.0,0.1,0.25,13.3,0.0,1,1,2.5,1.7,0.18,-0.5,-0.7,2,1,1,50.0,0,1.5,0.5,0,0,0,0,6.0,12.0,50.0,20.0,3.0,40.0,30.6,7.0,57.1,44.3,13.0,2.0,15.4,1.0,11.5,312.0,412.0,75.7,5584.0,2321.0,136.0,168.0,81.0,134.0,157.0,85.4,35.0,72.0,48.6,0,0.5,0.2,4.0,22.0,2.0,2.0,33.0,412.0,365.0,45.0,12.0,2.0,2.0,11,22.0,2.0,2.0,0.0,0.0,312.0,2.0,5.0,15.0,9.0,0.0,0.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,28.0,18,13.0,14.0,1.0,10.0,15.0,66.7,5.0,11.0,1.0,10.0,7,35,18.0,0.0,45,523.0,47.0,158.0,267.0,108.0,18.0,522.0,18.0,8.0,44.4,8.0,44.4,361.0,1982.0,960.0,21.0,17.0,7.0,17.0,9.0,312.0,33.0,2,0,0,15,12,2,11,7,18,1.0,0.0,0,68.0,15.0,15.0,50.0,1
2022-09-18,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,W,1,0,Nice,1,16,3,18.8,0.06,0.33,17.1,1.0,0,0,1.5,1.5,0.1,-0.5,-0.5,5,0,5,100.0,1,0.6,0.6,0,0,0,0,3.0,10.0,30.0,19.0,7.0,36.8,35.2,7.0,42.9,39.9,11.0,1.0,9.1,0.0,11.0,383.0,459.0,83.4,6612.0,2541.0,178.0,203.0,87.7,148.0,170.0,87.1,45.0,65.0,69.2,0,1.4,1.5,13.0,26.0,6.0,1.0,46.0,459.0,419.0,39.0,8.0,0.0,2.0,15,19.0,4.0,3.0,0.0,0.0,383.0,1.0,6.0,29.0,25.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5,7.0,0.0,2.0,5.0,10.0,50.0,5.0,9.0,4.0,5.0,11,20,12.0,0.0,50,562.0,48.0,133.0,258.0,177.0,30.0,562.0,28.0,11.0,39.3,15.0,53.6,421.0,2653.0,1276.0,32.0,20.0,13.0,6.0,13.0,379.0,46.0,4,1,1,11,9,1,15,11,5,0.0,0.0,0,48.0,8.0,11.0,42.1,1
2022-09-30,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Home,L,0,3,Marseille,0,16,5,31.3,0.0,0.0,18.4,1.0,0,0,1.2,1.2,0.08,-1.2,-1.2,7,3,4,57.1,0,1.9,-1.1,0,0,0,0,2.0,19.0,10.5,33.0,6.0,39.4,33.7,9.0,66.7,51.7,8.0,0.0,0.0,0.0,13.0,326.0,407.0,80.1,5686.0,2120.0,136.0,150.0,90.7,143.0,165.0,86.7,31.0,62.0,50.0,0,0.9,0.4,12.0,23.0,2.0,1.0,28.0,407.0,354.0,52.0,13.0,0.0,2.0,12,20.0,6.0,3.0,0.0,0.0,326.0,1.0,6.0,27.0,21.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10,11.0,4.0,1.0,4.0,12.0,33.3,8.0,10.0,2.0,8.0,12,28,16.0,1.0,43,508.0,64.0,186.0,238.0,96.0,14.0,508.0,22.0,8.0,36.4,11.0,50.0,367.0,2245.0,990.0,16.0,14.0,7.0,13.0,6.0,320.0,27.0,0,0,0,9,13,1,12,12,10,0.0,0.0,0,56.0,9.0,8.0,52.9,1
2022-10-09,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,L,2,3,Strasbourg,2,14,8,57.1,0.14,0.25,17.8,0.0,0,0,2.1,2.1,0.17,-0.1,-0.1,7,3,5,57.1,0,2.0,0.0,0,0,0,0,2.0,3.0,66.7,24.0,6.0,8.3,25.1,5.0,20.0,27.8,24.0,3.0,12.5,0.0,7.4,478.0,562.0,85.1,8152.0,2710.0,213.0,237.0,89.9,204.0,227.0,89.9,44.0,71.0,62.0,1,1.1,0.6,10.0,35.0,4.0,0.0,47.0,562.0,512.0,49.0,17.0,0.0,2.0,14,17.0,6.0,4.0,0.0,0.0,478.0,1.0,8.0,24.0,15.0,1.0,4.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,18.0,9,10.0,6.0,2.0,6.0,14.0,42.9,8.0,11.0,4.0,7.0,10,28,11.0,1.0,54,673.0,66.0,211.0,311.0,159.0,21.0,673.0,35.0,16.0,45.7,14.0,40.0,511.0,2980.0,1497.0,23.0,26.0,8.0,13.0,8.0,476.0,46.0,1,0,0,16,14,1,14,10,9,0.0,0.0,1,53.0,10.0,11.0,47.6,1
