Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-06,21:00 (12:00),Ligue 1,Matchweek 1,Sat,Home,L,0,5,Paris S-G,0,7,1,14.3,0.0,0.0,23.5,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,12,5,7,58.3,0,4.6,-0.4,0,0,0,0,4.0,11.0,36.4,26.0,5.0,34.6,34.4,4.0,50.0,42.5,11.0,0.0,0.0,0.0,5.3,367.0,439.0,83.6,6295.0,1938.0,160.0,175.0,91.4,152.0,170.0,89.4,37.0,70.0,52.9,0,0.1,0.3,3.0,18.0,3.0,1.0,25.0,439.0,407.0,32.0,16.0,0.0,4.0,3,6.0,0.0,0.0,0.0,0.0,367.0,0.0,7.0,11.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11,8.0,5.0,3.0,11.0,26.0,42.3,15.0,14.0,2.0,12.0,12,28,17.0,0.0,38.0,546.0,74.0,196.0,281.0,74.0,10.0,546.0,19.0,12.0,63.2,6.0,31.6,406.0,2171.0,990.0,10.0,7.0,1.0,16.0,3.0,365.0,24.0,2,0,0,13,13,0,3,12,11,0.0,0.0,0,50.0,4.0,3.0,57.1,1
2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,W,4,2,Reims,4,9,4,44.4,0.33,0.75,20.3,0.0,1,1,1.9,1.1,0.12,2.1,1.9,5,2,3,100.0,0,2.4,0.4,2,2,0,0,11.0,23.0,47.8,32.0,7.0,56.3,42.8,6.0,83.3,60.3,8.0,2.0,25.0,1.0,14.0,402.0,484.0,83.1,7153.0,2739.0,181.0,197.0,91.9,140.0,163.0,85.9,50.0,83.0,60.2,3,1.0,0.8,7.0,27.0,7.0,0.0,30.0,484.0,436.0,47.0,17.0,1.0,6.0,13,15.0,6.0,4.0,1.0,0.0,402.0,1.0,6.0,15.0,10.0,4.0,0.0,0.0,1.0,0.0,7.0,3.0,3.0,0.0,0.0,1.0,0.0,19.0,13,6.0,11.0,2.0,8.0,17.0,47.1,9.0,9.0,3.0,6.0,10,29,9.0,1.0,58.0,584.0,58.0,207.0,274.0,106.0,17.0,583.0,22.0,8.0,36.4,7.0,31.8,448.0,2363.0,1007.0,12.0,12.0,2.0,16.0,8.0,398.0,30.0,3,0,0,8,16,1,13,10,13,0.0,2.0,0,44.0,8.0,7.0,53.3,1
2022-08-21,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,W,1,0,Nice,1,7,2,28.6,0.14,0.5,15.3,0.0,0,0,0.7,0.7,0.1,0.3,0.3,4,0,4,100.0,1,1.1,1.1,0,0,0,0,2.0,7.0,28.6,35.0,7.0,20.0,31.0,6.0,0.0,16.7,19.0,0.0,0.0,0.0,7.0,478.0,547.0,87.4,8708.0,2850.0,212.0,225.0,94.2,186.0,205.0,90.7,66.0,89.0,74.2,0,0.4,0.5,5.0,27.0,9.0,3.0,34.0,547.0,498.0,46.0,22.0,0.0,4.0,11,14.0,3.0,1.0,0.0,0.0,478.0,3.0,9.0,12.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,9,14.0,4.0,0.0,6.0,12.0,50.0,6.0,14.0,5.0,9.0,6,24,16.0,0.0,48.0,652.0,71.0,256.0,292.0,110.0,11.0,652.0,14.0,4.0,28.6,7.0,50.0,502.0,2156.0,1046.0,9.0,14.0,0.0,15.0,7.0,476.0,34.0,1,0,0,4,21,3,11,6,9,0.0,0.0,0,40.0,5.0,8.0,38.5,1
2022-08-28,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,L,1,2,Lorient,1,9,2,22.2,0.11,0.5,17.4,0.0,0,0,0.6,0.6,0.07,0.4,0.4,9,2,7,88.9,0,2.6,0.6,1,1,0,0,0.0,1.0,0.0,25.0,12.0,4.0,21.7,5.0,0.0,24.6,6.0,0.0,0.0,0.0,17.0,542.0,635.0,85.4,9190.0,2891.0,250.0,269.0,92.9,240.0,269.0,89.2,40.0,64.0,62.5,1,0.5,1.0,7.0,52.0,6.0,3.0,61.0,635.0,593.0,41.0,14.0,1.0,4.0,24,15.0,4.0,3.0,1.0,0.0,542.0,1.0,16.0,14.0,12.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,10,4.0,7.0,3.0,10.0,24.0,41.7,14.0,12.0,8.0,4.0,12,26,9.0,0.0,60.0,731.0,61.0,171.0,402.0,162.0,16.0,731.0,19.0,9.0,47.4,10.0,52.6,582.0,3390.0,1712.0,16.0,23.0,2.0,10.0,16.0,539.0,61.0,3,1,1,9,10,1,24,12,10,0.0,1.0,0,42.0,11.0,8.0,57.9,1
2022-08-31,21:00 (12:00),Ligue 1,Matchweek 5,Wed,Away,L,0,1,Marseille,0,3,0,0.0,0.0,,19.3,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,7,1,5,85.7,0,2.0,1.0,1,0,1,0,8.0,21.0,38.1,25.0,6.0,56.0,42.8,8.0,87.5,64.6,16.0,1.0,6.3,0.0,3.3,290.0,393.0,73.8,4870.0,2216.0,141.0,169.0,83.4,106.0,136.0,77.9,28.0,65.0,43.1,0,0.1,0.2,2.0,19.0,0.0,0.0,24.0,393.0,349.0,44.0,16.0,2.0,1.0,11,17.0,1.0,0.0,1.0,0.0,290.0,0.0,6.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9,9.0,6.0,4.0,9.0,22.0,40.9,13.0,16.0,5.0,11.0,17,36,17.0,0.0,40.0,510.0,66.0,199.0,230.0,85.0,7.0,510.0,16.0,8.0,50.0,8.0,50.0,335.0,1824.0,704.0,14.0,12.0,2.0,19.0,13.0,288.0,23.0,2,0,0,12,16,0,11,17,9,0.0,1.0,0,56.0,16.0,21.0,43.2,1
2022-09-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,W,2,0,Toulouse,2,12,3,25.0,0.17,0.67,17.3,0.0,0,0,1.3,1.3,0.11,0.7,0.7,3,0,3,100.0,1,0.7,0.7,0,0,0,0,9.0,26.0,34.6,22.0,2.0,77.3,50.7,10.0,90.0,62.7,19.0,2.0,10.5,0.0,12.4,204.0,290.0,70.3,3803.0,1821.0,93.0,113.0,82.3,71.0,94.0,75.5,31.0,61.0,50.8,0,0.3,0.4,5.0,24.0,4.0,1.0,25.0,290.0,244.0,45.0,14.0,0.0,2.0,21,16.0,4.0,1.0,3.0,0.0,204.0,1.0,9.0,15.0,12.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,18.0,14,10.0,7.0,1.0,13.0,17.0,76.5,4.0,14.0,4.0,10.0,15,33,28.0,0.0,34.0,420.0,59.0,170.0,157.0,103.0,12.0,420.0,24.0,13.0,54.2,9.0,37.5,241.0,1466.0,735.0,11.0,8.0,1.0,13.0,12.0,201.0,25.0,4,0,0,14,11,1,21,15,14,0.0,0.0,0,49.0,6.0,16.0,27.3,1
2022-09-11,13:00 (04:00),Ligue 1,Matchweek 7,Sun,Away,D,0,0,Strasbourg,0,10,4,40.0,0.0,0.0,18.3,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8,3,0,3,100.0,1,1.5,1.5,0,0,0,0,14.0,23.0,60.9,41.0,5.0,43.9,38.2,8.0,62.5,47.8,12.0,0.0,0.0,3.0,18.8,406.0,521.0,77.9,7737.0,2889.0,161.0,192.0,83.9,177.0,212.0,83.5,53.0,88.0,60.2,0,0.7,0.5,7.0,26.0,3.0,0.0,35.0,521.0,463.0,55.0,20.0,0.0,3.0,17,21.0,5.0,1.0,4.0,0.0,406.0,3.0,9.0,17.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8,4.0,4.0,3.0,8.0,19.0,42.1,11.0,13.0,3.0,10.0,13,24,22.0,0.0,57.0,620.0,76.0,209.0,318.0,97.0,11.0,620.0,12.0,3.0,25.0,6.0,50.0,448.0,2857.0,1184.0,13.0,12.0,1.0,15.0,16.0,404.0,35.0,2,0,0,15,19,3,17,13,8,0.0,0.0,0,63.0,13.0,9.0,59.1,1
2022-09-18,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,L,1,3,Troyes,1,14,2,14.3,0.07,0.5,17.4,1.0,0,0,1.0,1.0,0.07,0.0,0.0,4,3,1,25.0,0,2.0,-1.0,0,0,0,0,2.0,9.0,22.2,25.0,1.0,36.0,34.9,6.0,0.0,17.8,7.0,1.0,14.3,0.0,11.0,440.0,547.0,80.4,7552.0,2436.0,175.0,206.0,85.0,215.0,247.0,87.0,30.0,59.0,50.8,1,0.6,0.9,8.0,28.0,10.0,2.0,47.0,547.0,502.0,43.0,15.0,0.0,2.0,17,13.0,5.0,3.0,0.0,0.0,440.0,2.0,14.0,25.0,19.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,11,5.0,13.0,4.0,13.0,24.0,54.2,11.0,8.0,1.0,7.0,11,33,12.0,1.0,58.0,653.0,51.0,166.0,339.0,157.0,33.0,653.0,18.0,7.0,38.9,6.0,33.3,481.0,2879.0,1383.0,18.0,17.0,4.0,12.0,5.0,438.0,47.0,0,0,0,8,14,2,17,11,11,0.0,0.0,0,61.0,9.0,6.0,60.0,1
2022-10-02,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,W,3,1,Ajaccio,3,7,3,42.9,0.43,1.0,12.8,0.0,0,0,1.0,1.0,0.15,2.0,2.0,3,1,2,66.7,0,1.1,0.1,0,0,0,0,8.0,19.0,42.1,27.0,8.0,37.0,37.4,14.0,64.3,47.1,22.0,1.0,4.5,0.0,5.3,349.0,456.0,76.5,6785.0,2703.0,134.0,168.0,79.8,148.0,178.0,83.1,54.0,90.0,60.0,3,1.0,0.6,7.0,18.0,6.0,2.0,25.0,456.0,400.0,55.0,13.0,0.0,5.0,13,22.0,4.0,4.0,0.0,0.0,349.0,1.0,7.0,13.0,7.0,2.0,2.0,1.0,1.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,19.0,11,12.0,5.0,2.0,5.0,9.0,55.6,4.0,15.0,2.0,13.0,12,31,23.0,0.0,48.0,575.0,77.0,219.0,272.0,94.0,14.0,575.0,16.0,8.0,50.0,6.0,37.5,380.0,2283.0,1039.0,10.0,10.0,1.0,18.0,11.0,344.0,24.0,3,0,0,10,13,1,13,12,11,0.0,0.0,0,43.0,14.0,14.0,50.0,1
2022-10-09,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,W,2,1,Auxerre,2,10,6,60.0,0.2,0.33,15.9,0.0,0,0,1.1,1.1,0.11,0.9,0.9,4,1,3,75.0,0,1.0,0.0,0,0,0,0,9.0,18.0,50.0,31.0,5.0,48.4,40.7,6.0,50.0,44.7,11.0,2.0,18.2,0.0,5.3,337.0,442.0,76.2,6574.0,2550.0,136.0,156.0,87.2,146.0,174.0,83.9,48.0,86.0,55.8,1,1.1,1.1,9.0,32.0,10.0,4.0,39.0,442.0,389.0,48.0,18.0,2.0,5.0,19,18.0,4.0,1.0,1.0,0.0,337.0,5.0,11.0,18.0,17.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,17.0,10,12.0,5.0,0.0,10.0,18.0,55.6,8.0,10.0,4.0,6.0,7,24,16.0,1.0,48.0,546.0,64.0,194.0,231.0,127.0,25.0,546.0,26.0,13.0,50.0,10.0,38.5,371.0,2038.0,1036.0,15.0,9.0,8.0,7.0,8.0,331.0,39.0,0,0,0,4,16,5,19,7,10,0.0,0.0,0,49.0,10.0,7.0,58.8,1
