Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-07,20:45 (11:45),Ligue 1,Matchweek 1,Sun,Away,L,1,4,Marseille,1,16,6,37.5,0.06,0.17,19.4,0.0,0,0,0.9,0.9,0.06,0.1,0.1,6,4,3,33.3,0,2.9,-0.1,0,0,0,0,5.0,16.0,31.3,21.0,3.0,76.2,46.4,8.0,0.0,18.0,15.0,2.0,13.3,0.0,8.0,315.0,425.0,74.1,5580.0,2110.0,145.0,173.0,83.8,122.0,154.0,79.2,37.0,63.0,58.7,0,0.6,1.1,11.0,25.0,10.0,2.0,29.0,425.0,366.0,58.0,15.0,2.0,1.0,18,24.0,7.0,2.0,5.0,0.0,315.0,1.0,11.0,25.0,22.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5,4.0,5.0,0.0,4.0,10.0,40.0,6.0,13.0,4.0,9.0,11,20,22.0,0.0,44,544.0,75.0,172.0,253.0,123.0,24.0,544.0,14.0,8.0,57.1,6.0,42.9,354.0,1890.0,887.0,11.0,13.0,4.0,17.0,11.0,310.0,29.0,0,0,0,10,13,1,18,11,5,0.0,0.0,1,55.0,22.0,23.0,48.9,1
2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,L,2,4,Clermont Foot,2,7,3,42.9,0.0,0.0,19.9,0.0,2,2,2.7,1.1,0.16,-0.7,-1.1,5,4,1,40.0,0,2.4,-1.6,1,1,0,0,4.0,9.0,44.4,23.0,2.0,26.1,28.8,9.0,33.3,37.6,12.0,0.0,0.0,1.0,26.0,260.0,349.0,74.5,4976.0,1701.0,106.0,130.0,81.5,113.0,133.0,85.0,35.0,68.0,51.5,0,0.5,0.6,4.0,25.0,7.0,1.0,30.0,349.0,307.0,42.0,7.0,2.0,4.0,12,20.0,1.0,1.0,0.0,0.0,260.0,0.0,7.0,15.0,10.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,9,4.0,10.0,1.0,7.0,15.0,46.7,8.0,10.0,1.0,9.0,13,28,11.0,0.0,42,444.0,49.0,144.0,207.0,104.0,14.0,442.0,20.0,9.0,45.0,8.0,40.0,302.0,1788.0,1018.0,22.0,14.0,2.0,14.0,11.0,257.0,28.0,3,1,0,18,7,0,12,13,9,1.0,1.0,0,52.0,7.0,8.0,46.7,1
2022-08-21,13:00 (04:00),Ligue 1,Matchweek 3,Sun,Away,D,1,1,Strasbourg,1,12,6,50.0,0.08,0.17,14.0,1.0,0,0,2.0,2.0,0.17,-1.0,-1.0,3,1,2,66.7,0,1.3,0.3,0,0,0,0,4.0,14.0,28.6,27.0,2.0,44.4,37.6,5.0,40.0,31.8,13.0,2.0,15.4,0.0,9.8,251.0,344.0,73.0,4744.0,1772.0,90.0,113.0,79.6,114.0,138.0,82.6,36.0,71.0,50.7,1,1.5,1.9,8.0,25.0,7.0,2.0,33.0,344.0,296.0,43.0,12.0,1.0,2.0,13,20.0,4.0,1.0,2.0,0.0,251.0,5.0,5.0,20.0,15.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,8,4.0,6.0,1.0,4.0,14.0,28.6,10.0,15.0,4.0,11.0,14,25,19.0,0.0,37,463.0,60.0,155.0,227.0,87.0,24.0,463.0,22.0,9.0,40.9,11.0,50.0,303.0,1810.0,898.0,21.0,10.0,7.0,17.0,8.0,249.0,33.0,4,0,0,16,11,5,13,14,8,0.0,0.0,0,63.0,8.0,19.0,29.6,1
2022-08-28,17:05 (08:05),Ligue 1,Matchweek 4,Sun,Home,D,1,1,Lyon,1,8,5,62.5,0.13,0.2,21.1,1.0,0,0,0.4,0.4,0.05,0.6,0.6,5,1,4,80.0,0,0.8,-0.2,0,0,0,0,8.0,21.0,38.1,19.0,4.0,63.2,43.8,12.0,75.0,54.2,29.0,2.0,6.9,1.0,12.3,169.0,263.0,64.3,3391.0,1714.0,73.0,94.0,77.7,65.0,91.0,71.4,28.0,69.0,40.6,1,0.3,0.6,5.0,18.0,4.0,1.0,18.0,263.0,227.0,36.0,11.0,5.0,2.0,6,9.0,2.0,1.0,0.0,0.0,169.0,0.0,4.0,14.0,8.0,0.0,2.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,12,14.0,9.0,2.0,15.0,34.0,44.1,19.0,19.0,6.0,13.0,11,36,38.0,0.0,26,400.0,82.0,203.0,147.0,62.0,13.0,400.0,19.0,7.0,36.8,11.0,57.9,229.0,1343.0,739.0,14.0,6.0,6.0,14.0,6.0,167.0,18.0,1,1,0,12,12,0,6,11,12,0.0,0.0,0,64.0,14.0,14.0,50.0,1
2022-08-31,19:00 (10:00),Ligue 1,Matchweek 5,Wed,Away,W,4,2,Angers,4,10,4,40.0,0.3,0.75,21.9,1.0,1,1,2.3,1.5,0.15,1.7,1.5,3,2,1,66.7,0,1.7,-0.3,1,1,0,0,2.0,13.0,15.4,12.0,4.0,50.0,40.5,10.0,70.0,49.8,11.0,2.0,18.2,0.0,4.7,285.0,385.0,74.0,5286.0,2089.0,120.0,151.0,79.5,112.0,129.0,86.8,40.0,78.0,51.3,3,1.2,0.6,8.0,32.0,8.0,2.0,28.0,385.0,320.0,61.0,10.0,4.0,4.0,9,35.0,3.0,0.0,1.0,0.0,285.0,4.0,9.0,19.0,13.0,0.0,4.0,0.0,2.0,0.0,7.0,4.0,0.0,2.0,0.0,1.0,0.0,20.0,13,14.0,4.0,2.0,15.0,26.0,57.7,11.0,14.0,2.0,12.0,15,35,9.0,0.0,43,519.0,42.0,145.0,280.0,103.0,19.0,518.0,26.0,12.0,46.2,11.0,42.3,325.0,2260.0,836.0,12.0,10.0,7.0,36.0,8.0,284.0,28.0,6,1,1,15,8,4,9,15,13,1.0,1.0,0,54.0,10.0,14.0,41.7,1
2022-09-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,1,1,Lens,1,17,4,23.5,0.06,0.25,17.7,1.0,0,0,2.1,2.1,0.12,-1.1,-1.1,4,1,3,75.0,0,1.3,0.3,0,0,0,0,3.0,9.0,33.3,24.0,8.0,29.2,30.1,10.0,20.0,25.7,15.0,0.0,0.0,0.0,10.0,283.0,357.0,79.3,5113.0,2224.0,112.0,127.0,88.2,137.0,161.0,85.1,27.0,55.0,49.1,1,1.7,1.3,12.0,29.0,8.0,2.0,32.0,357.0,316.0,40.0,10.0,2.0,1.0,17,14.0,4.0,1.0,2.0,0.0,283.0,1.0,6.0,33.0,21.0,4.0,1.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,8,6.0,9.0,1.0,6.0,16.0,37.5,10.0,11.0,6.0,5.0,22,38,15.0,0.0,37,489.0,74.0,192.0,181.0,125.0,17.0,489.0,20.0,5.0,25.0,11.0,55.0,332.0,2125.0,981.0,15.0,11.0,2.0,24.0,8.0,279.0,32.0,2,0,0,9,11,1,17,22,8,0.0,0.0,0,51.0,7.0,4.0,63.6,1
2022-09-11,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Away,L,0,1,Toulouse,0,11,1,9.1,0.0,0.0,16.0,0.0,0,0,1.0,1.0,0.09,-1.0,-1.0,3,1,2,66.7,0,1.6,0.6,0,0,0,0,3.0,12.0,25.0,26.0,2.0,34.6,31.7,11.0,27.3,27.5,8.0,0.0,0.0,2.0,23.3,356.0,483.0,73.7,5759.0,2493.0,185.0,216.0,85.6,134.0,174.0,77.0,24.0,64.0,37.5,0,0.9,0.7,9.0,26.0,5.0,2.0,39.0,483.0,422.0,61.0,20.0,1.0,4.0,21,22.0,6.0,4.0,1.0,0.0,356.0,0.0,12.0,17.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8,7.0,7.0,0.0,5.0,9.0,55.6,4.0,16.0,2.0,14.0,6,20,7.0,0.0,53,586.0,52.0,182.0,257.0,155.0,19.0,586.0,26.0,9.0,34.6,14.0,53.8,402.0,2506.0,1123.0,23.0,19.0,6.0,16.0,18.0,353.0,38.0,2,1,0,11,17,0,21,6,8,0.0,0.0,0,77.0,12.0,14.0,46.2,1
2022-09-18,13:00 (04:00),Ligue 1,Matchweek 8,Sun,Home,L,0,3,Monaco,0,9,2,22.2,0.0,0.0,26.4,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,11,3,8,72.7,0,3.1,0.1,0,0,0,0,5.0,16.0,31.3,18.0,7.0,50.0,41.1,8.0,87.5,53.5,21.0,5.0,23.8,0.0,10.9,200.0,293.0,68.3,3567.0,1881.0,88.0,107.0,82.2,71.0,96.0,74.0,29.0,64.0,45.3,0,0.1,0.3,4.0,18.0,5.0,0.0,24.0,293.0,243.0,47.0,18.0,7.0,2.0,15,12.0,5.0,0.0,3.0,0.0,200.0,3.0,10.0,9.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9,9.0,11.0,1.0,9.0,17.0,52.9,8.0,12.0,4.0,8.0,11,32,26.0,0.0,33,413.0,67.0,174.0,169.0,82.0,10.0,413.0,26.0,13.0,50.0,10.0,38.5,259.0,1586.0,743.0,13.0,10.0,2.0,24.0,5.0,196.0,23.0,3,1,0,14,16,3,15,11,9,0.0,0.0,0,66.0,6.0,11.0,35.3,1
2022-10-02,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,D,2,2,Troyes,2,5,2,40.0,0.4,1.0,12.9,0.0,0,0,1.0,1.0,0.2,1.0,1.0,6,2,4,66.7,0,2.6,0.6,0,0,0,0,4.0,17.0,23.5,27.0,10.0,44.4,42.6,7.0,71.4,45.7,35.0,1.0,2.9,0.0,8.7,218.0,305.0,71.5,4325.0,1870.0,77.0,97.0,79.4,109.0,135.0,80.7,29.0,62.0,46.8,2,1.0,1.2,4.0,10.0,3.0,2.0,21.0,305.0,266.0,39.0,16.0,0.0,3.0,8,11.0,2.0,0.0,1.0,0.0,218.0,0.0,7.0,8.0,6.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,29.0,16,19.0,6.0,4.0,16.0,23.0,69.6,7.0,15.0,7.0,8.0,9,38,39.0,2.0,32,446.0,83.0,239.0,157.0,53.0,9.0,446.0,19.0,7.0,36.8,8.0,42.1,263.0,1456.0,692.0,5.0,7.0,0.0,13.0,10.0,216.0,21.0,2,1,0,13,12,0,8,9,16,0.0,0.0,0,51.0,7.0,13.0,35.0,1
2022-10-08,21:00 (12:00),Ligue 1,Matchweek 10,Sat,Home,D,0,0,Paris S-G,0,24,4,16.7,0.0,0.0,19.1,1.0,0,0,1.8,1.8,0.08,-1.8,-1.8,3,0,3,100.0,1,0.5,0.5,0,0,0,0,1.0,3.0,33.3,13.0,2.0,23.1,29.3,6.0,0.0,23.7,5.0,0.0,0.0,0.0,13.0,297.0,370.0,80.3,5313.0,2050.0,124.0,148.0,83.8,122.0,140.0,87.1,39.0,58.0,67.2,0,1.5,1.6,14.0,35.0,10.0,1.0,48.0,370.0,332.0,35.0,11.0,0.0,2.0,16,10.0,7.0,4.0,2.0,0.0,297.0,3.0,7.0,37.0,23.0,4.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9,5.0,8.0,1.0,8.0,19.0,42.1,11.0,15.0,2.0,13.0,15,29,8.0,0.0,37,478.0,39.0,132.0,214.0,142.0,24.0,478.0,23.0,9.0,39.1,12.0,52.2,347.0,2266.0,1237.0,24.0,13.0,4.0,10.0,2.0,294.0,48.0,3,0,0,20,12,3,16,15,9,0.0,0.0,0,61.0,6.0,7.0,46.2,1
