Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-07,13:00 (04:00),Ligue 1,Matchweek 1,Sun,Home,D,1,1,Nice,1,6,3,50.0,0.17,0.33,10.4,0.0,0,0,0.9,0.9,0.15,0.1,0.1,4,1,3,75.0,0,1.0,0.0,0,0,0,0,6.0,12.0,50.0,38.0,6.0,23.7,27.1,9.0,33.3,30.2,8.0,0.0,0.0,0.0,8.0,398.0,500.0,79.6,7903.0,3035.0,150.0,181.0,82.9,188.0,212.0,88.7,52.0,88.0,59.1,1,0.9,1.0,6.0,30.0,12.0,4.0,46.0,500.0,453.0,45.0,10.0,0.0,7.0,17,18.0,6.0,2.0,4.0,0.0,398.0,2.0,11.0,12.0,9.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,13,11.0,8.0,4.0,8.0,22.0,36.4,14.0,13.0,0.0,13.0,16,39,13.0,0.0,46,596.0,58.0,219.0,233.0,149.0,16.0,596.0,12.0,7.0,58.3,4.0,33.3,418.0,2377.0,964.0,14.0,16.0,3.0,15.0,11.0,392.0,46.0,1,0,0,10,7,2,17,16,13,0.0,0.0,0,54.0,14.0,8.0,63.6,1
2022-08-14,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,W,3,0,Troyes,2,10,4,40.0,0.2,0.5,18.5,1.0,0,0,1.5,1.5,0.16,0.5,0.5,1,0,1,100.0,1,0.1,0.1,0,0,0,0,5.0,8.0,62.5,42.0,4.0,14.3,24.2,8.0,25.0,27.8,17.0,0.0,0.0,2.0,16.0,518.0,613.0,84.5,9463.0,3063.0,220.0,250.0,88.0,227.0,247.0,91.9,57.0,87.0,65.5,2,1.4,1.3,6.0,38.0,9.0,0.0,61.0,613.0,568.0,43.0,15.0,0.0,6.0,19,13.0,6.0,2.0,4.0,0.0,518.0,2.0,12.0,17.0,15.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,13,6.0,8.0,7.0,9.0,19.0,47.4,10.0,12.0,6.0,6.0,5,26,10.0,0.0,67,703.0,62.0,197.0,369.0,140.0,22.0,703.0,12.0,1.0,8.3,9.0,75.0,543.0,2510.0,1208.0,16.0,8.0,3.0,9.0,10.0,516.0,60.0,1,0,0,19,13,2,19,5,13,0.0,0.0,0,53.0,11.0,10.0,52.4,1
2022-08-21,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,D,2,2,Lorient,2,16,8,50.0,0.13,0.25,12.9,1.0,0,0,1.8,1.8,0.13,0.2,0.2,4,2,1,75.0,0,3.1,1.1,2,1,1,0,0.0,0.0,,21.0,7.0,0.0,23.6,5.0,0.0,18.0,11.0,1.0,9.1,1.0,11.5,404.0,501.0,80.6,7312.0,2617.0,161.0,191.0,84.3,187.0,214.0,87.4,40.0,63.0,63.5,0,0.7,0.8,11.0,32.0,15.0,7.0,63.0,501.0,459.0,40.0,11.0,0.0,9.0,24,18.0,3.0,0.0,3.0,0.0,404.0,2.0,12.0,29.0,19.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,19.0,12,6.0,7.0,6.0,8.0,24.0,33.3,16.0,8.0,3.0,5.0,12,31,15.0,0.0,52,613.0,58.0,164.0,260.0,194.0,30.0,613.0,24.0,10.0,41.7,12.0,50.0,445.0,2544.0,1326.0,23.0,18.0,5.0,17.0,8.0,400.0,63.0,2,0,0,14,10,2,24,12,12,0.0,2.0,0,63.0,15.0,7.0,68.2,1
2022-08-28,13:00 (04:00),Ligue 1,Matchweek 4,Sun,Away,L,1,3,Nantes,1,9,3,33.3,0.11,0.33,14.3,0.0,0,0,0.6,0.6,0.07,0.4,0.4,8,3,5,62.5,0,2.9,-0.1,0,0,0,0,3.0,9.0,33.3,32.0,5.0,21.9,30.7,8.0,25.0,27.5,16.0,0.0,0.0,1.0,17.5,358.0,457.0,78.3,6607.0,2685.0,151.0,183.0,82.5,154.0,183.0,84.2,40.0,68.0,58.8,1,0.6,0.5,9.0,31.0,7.0,0.0,40.0,457.0,404.0,51.0,13.0,1.0,6.0,15,21.0,5.0,2.0,2.0,0.0,358.0,2.0,5.0,12.0,9.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,12,8.0,7.0,1.0,9.0,23.0,39.1,14.0,8.0,3.0,5.0,14,30,19.0,0.0,50,563.0,50.0,205.0,247.0,115.0,21.0,563.0,13.0,8.0,61.5,5.0,38.5,381.0,2221.0,1060.0,21.0,11.0,10.0,17.0,8.0,355.0,39.0,3,0,0,9,11,2,15,14,12,0.0,0.0,0,48.0,19.0,9.0,67.9,1
2022-08-31,21:00 (12:00),Ligue 1,Matchweek 5,Wed,Home,L,0,3,Paris S-G,0,14,7,50.0,0.0,0.0,21.3,1.0,0,0,0.8,0.8,0.05,-0.8,-0.8,12,3,9,75.0,0,4.4,1.4,0,0,0,0,2.0,7.0,28.6,21.0,3.0,23.8,33.8,13.0,15.4,21.0,7.0,0.0,0.0,0.0,9.0,327.0,390.0,83.8,5484.0,2077.0,165.0,181.0,91.2,113.0,132.0,85.6,37.0,53.0,69.8,0,0.5,0.4,12.0,32.0,4.0,0.0,41.0,390.0,351.0,38.0,6.0,1.0,3.0,10,12.0,3.0,2.0,1.0,0.0,327.0,1.0,6.0,23.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,21,20.0,13.0,2.0,19.0,28.0,67.9,9.0,10.0,1.0,9.0,12,47,14.0,0.0,38,512.0,75.0,188.0,216.0,118.0,15.0,512.0,16.0,5.0,31.3,9.0,56.3,358.0,2106.0,1074.0,21.0,13.0,3.0,12.0,5.0,325.0,41.0,1,0,0,10,5,1,10,12,21,0.0,0.0,0,49.0,1.0,5.0,16.7,1
2022-09-04,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Away,L,0,2,Clermont Foot,0,14,3,21.4,0.0,0.0,17.1,2.0,0,0,1.3,1.3,0.1,-1.3,-1.3,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,1.0,1.0,100.0,28.0,5.0,3.6,20.7,5.0,0.0,24.0,15.0,1.0,6.7,1.0,15.3,473.0,574.0,82.4,8997.0,3379.0,194.0,223.0,87.0,196.0,226.0,86.7,67.0,90.0,74.4,0,1.2,1.6,10.0,54.0,13.0,2.0,58.0,574.0,517.0,55.0,13.0,1.0,3.0,30,28.0,6.0,5.0,1.0,0.0,473.0,2.0,15.0,26.0,19.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10,8.0,8.0,5.0,9.0,22.0,40.9,13.0,14.0,5.0,9.0,6,27,18.0,0.0,66,690.0,41.0,159.0,341.0,193.0,22.0,690.0,21.0,4.0,19.0,13.0,61.9,503.0,2396.0,1073.0,14.0,8.0,2.0,15.0,5.0,469.0,57.0,1,0,0,12,14,2,30,6,10,0.0,0.0,0,56.0,16.0,6.0,72.7,1
2022-09-11,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Home,W,1,0,Reims,1,14,3,21.4,0.07,0.33,18.6,2.0,0,0,1.3,1.3,0.09,-0.3,-0.3,1,0,1,100.0,1,0.0,0.0,0,0,0,0,8.0,23.0,34.8,36.0,6.0,38.9,34.2,13.0,69.2,48.8,15.0,0.0,0.0,4.0,17.0,314.0,421.0,74.6,6159.0,2848.0,107.0,132.0,81.1,150.0,178.0,84.3,45.0,86.0,52.3,1,1.2,1.2,11.0,37.0,5.0,2.0,47.0,421.0,380.0,40.0,9.0,2.0,4.0,8,13.0,4.0,2.0,2.0,0.0,314.0,1.0,14.0,24.0,22.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,18,15.0,15.0,2.0,14.0,23.0,60.9,9.0,14.0,5.0,9.0,22,54,31.0,1.0,47,569.0,87.0,216.0,242.0,115.0,19.0,569.0,10.0,4.0,40.0,5.0,50.0,373.0,2172.0,796.0,20.0,12.0,8.0,17.0,9.0,310.0,47.0,2,0,0,17,10,1,8,22,18,0.0,0.0,0,78.0,14.0,12.0,53.8,1
2022-09-17,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Away,L,1,2,Lille,1,14,5,35.7,0.07,0.2,17.2,0.0,0,0,0.8,0.8,0.06,0.2,0.2,4,2,2,50.0,0,1.4,-0.6,0,0,0,0,4.0,12.0,33.3,34.0,8.0,32.4,33.8,7.0,14.3,25.1,8.0,1.0,12.5,0.0,4.0,418.0,550.0,76.0,7198.0,2669.0,208.0,242.0,86.0,152.0,189.0,80.4,45.0,85.0,52.9,1,0.7,0.5,11.0,20.0,5.0,2.0,34.0,550.0,474.0,71.0,21.0,0.0,7.0,29,33.0,7.0,3.0,4.0,0.0,418.0,5.0,16.0,21.0,13.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,11,9.0,7.0,2.0,8.0,19.0,42.1,11.0,14.0,3.0,11.0,20,38,11.0,0.0,55,661.0,65.0,220.0,286.0,161.0,20.0,661.0,28.0,16.0,57.1,11.0,39.3,469.0,2251.0,1049.0,12.0,19.0,3.0,14.0,9.0,414.0,34.0,0,0,0,14,20,5,29,20,11,0.0,0.0,0,63.0,19.0,18.0,51.4,1
2022-10-02,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,W,4,2,Montpellier,4,12,5,41.7,0.33,0.8,18.2,0.0,0,0,1.7,1.7,0.14,2.3,2.3,5,2,3,60.0,0,1.7,-0.3,0,0,0,0,8.0,17.0,47.1,20.0,7.0,35.0,31.9,13.0,76.9,52.7,29.0,2.0,6.9,0.0,4.8,294.0,378.0,77.8,5330.0,2564.0,139.0,161.0,86.3,102.0,117.0,87.2,42.0,68.0,61.8,4,1.6,1.4,9.0,27.0,4.0,0.0,37.0,378.0,329.0,48.0,10.0,2.0,5.0,9,19.0,3.0,1.0,2.0,0.0,294.0,1.0,15.0,22.0,17.0,3.0,1.0,1.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,14.0,9,6.0,7.0,1.0,3.0,11.0,27.3,8.0,20.0,11.0,9.0,12,26,33.0,1.0,43,511.0,87.0,216.0,202.0,96.0,21.0,511.0,14.0,4.0,28.6,8.0,57.1,279.0,1475.0,776.0,14.0,8.0,4.0,15.0,15.0,292.0,37.0,5,1,1,13,7,1,9,12,9,0.0,0.0,0,47.0,18.0,7.0,72.0,1
2022-10-07,21:00 (12:00),Ligue 1,Matchweek 10,Fri,Away,D,1,1,Lyon,1,5,2,40.0,0.2,0.5,14.5,0.0,0,0,0.5,0.5,0.11,0.5,0.5,8,1,7,87.5,0,1.2,0.2,0,0,0,0,4.0,14.0,28.6,31.0,4.0,32.3,34.4,10.0,50.0,34.6,13.0,2.0,15.4,2.0,14.5,324.0,437.0,74.1,5537.0,2243.0,168.0,201.0,83.6,105.0,126.0,83.3,36.0,73.0,49.3,1,0.4,0.3,2.0,26.0,4.0,0.0,35.0,437.0,385.0,51.0,15.0,2.0,10.0,14,19.0,5.0,3.0,0.0,0.0,324.0,1.0,20.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,11,8.0,4.0,2.0,6.0,20.0,30.0,14.0,18.0,5.0,13.0,10,24,24.0,0.0,42,568.0,76.0,206.0,247.0,121.0,9.0,568.0,20.0,7.0,35.0,11.0,55.0,373.0,1974.0,872.0,14.0,10.0,0.0,20.0,7.0,322.0,35.0,2,0,0,11,13,1,14,10,11,0.0,0.0,0,58.0,9.0,16.0,36.0,1
