Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-13,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,4,2,Clermont Foot,4,14,8,57.1,0.29,0.5,14.7,0.0,0,0,2.5,2.5,0.18,1.5,1.5,7,2,5,71.4,0,1.4,-0.6,0,0,0,0,5.0,16.0,31.3,28.0,9.0,32.1,31.3,8.0,87.5,55.0,15.0,2.0,13.3,1.0,8.3,382.0,480.0,79.6,6320.0,2527.0,182.0,207.0,87.9,160.0,191.0,83.8,27.0,57.0,47.4,3,2.0,2.8,10.0,36.0,10.0,2.0,39.0,480.0,447.0,32.0,10.0,3.0,2.0,6,9.0,2.0,1.0,1.0,0.0,382.0,1.0,7.0,26.0,22.0,0.0,1.0,2.0,0.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,24.0,12,7.0,14.0,3.0,12.0,17.0,70.6,5.0,9.0,1.0,8.0,19,43,14.0,1.0,45.0,597.0,59.0,185.0,298.0,120.0,21.0,597.0,15.0,5.0,33.3,9.0,60.0,435.0,2108.0,1002.0,11.0,8.0,4.0,14.0,7.0,380.0,39.0,4,0,0,16,6,1,6,19,12,0.0,0.0,0,62.0,10.0,12.0,45.5,1
2023-08-20,19:00 (10:00),Ligue 1,Matchweek 2,Sun,Home,W,3,0,Strasbourg,3,9,4,44.4,0.33,0.75,18.1,0.0,0,0,0.9,0.9,0.1,2.1,2.1,1,0,1,100.0,1,0.0,0.0,0,0,0,0,4.0,18.0,22.2,30.0,4.0,56.7,40.9,3.0,33.3,41.7,11.0,3.0,27.3,0.0,8.3,494.0,606.0,81.5,9369.0,3322.0,192.0,230.0,83.5,229.0,262.0,87.4,60.0,84.0,71.4,2,0.5,0.9,6.0,40.0,7.0,1.0,56.0,606.0,559.0,44.0,18.0,3.0,4.0,11,18.0,4.0,0.0,2.0,0.0,494.0,3.0,9.0,14.0,11.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,18,7.0,10.0,5.0,10.0,28.0,35.7,18.0,8.0,1.0,7.0,9,31,12.0,0.0,56.0,694.0,55.0,191.0,368.0,142.0,12.0,694.0,19.0,14.0,73.7,3.0,15.8,540.0,2487.0,1037.0,13.0,10.0,3.0,15.0,9.0,484.0,55.0,2,0,0,19,15,3,11,9,18,0.0,0.0,0,71.0,9.0,11.0,45.0,1
2023-08-25,21:00 (12:00),Ligue 1,Matchweek 3,Fri,Away,D,3,3,Nantes,3,27,9,33.3,0.11,0.33,17.4,1.0,0,0,3.3,3.3,0.14,-0.3,-0.3,3,3,0,33.3,0,1.6,-1.4,1,1,0,0,0.0,2.0,0.0,17.0,2.0,5.9,23.4,3.0,33.3,31.3,5.0,1.0,20.0,0.0,6.5,627.0,744.0,84.3,10595.0,3538.0,284.0,320.0,88.8,270.0,307.0,87.9,53.0,79.0,67.1,1,1.7,2.1,18.0,68.0,15.0,2.0,74.0,744.0,696.0,46.0,9.0,0.0,0.0,22,20.0,10.0,1.0,7.0,0.0,627.0,2.0,12.0,42.0,30.0,3.0,1.0,6.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,17.0,13,5.0,11.0,1.0,6.0,12.0,50.0,6.0,6.0,0.0,6.0,10,27,6.0,0.0,65.0,854.0,36.0,140.0,458.0,261.0,40.0,854.0,12.0,6.0,50.0,6.0,50.0,673.0,3658.0,1658.0,20.0,33.0,4.0,15.0,13.0,621.0,72.0,2,0,0,7,6,2,22,10,13,0.0,1.0,0,75.0,6.0,10.0,37.5,1
2023-09-02,21:00 (12:00),Ligue 1,Matchweek 4,Sat,Home,W,3,0,Lens,3,12,6,50.0,0.25,0.5,19.0,0.0,0,0,0.9,0.9,0.08,2.1,2.1,1,0,1,100.0,1,0.5,0.5,0,0,0,0,4.0,18.0,22.2,38.0,5.0,36.8,36.8,9.0,44.4,39.3,11.0,1.0,9.1,3.0,15.9,438.0,540.0,81.1,7991.0,2601.0,163.0,185.0,88.1,204.0,229.0,89.1,50.0,89.0,56.2,3,0.8,1.6,10.0,23.0,9.0,0.0,43.0,540.0,480.0,57.0,19.0,4.0,4.0,8,23.0,5.0,2.0,2.0,0.0,438.0,3.0,11.0,24.0,18.0,2.0,0.0,2.0,1.0,1.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,10.0,7,2.0,7.0,1.0,4.0,13.0,30.8,9.0,17.0,5.0,12.0,7,17,12.0,0.0,52.0,626.0,70.0,194.0,323.0,119.0,17.0,626.0,15.0,6.0,40.0,8.0,53.3,480.0,2499.0,1125.0,15.0,15.0,1.0,12.0,3.0,435.0,43.0,4,0,0,21,15,3,8,7,7,0.0,0.0,0,54.0,11.0,11.0,50.0,1
2023-09-17,13:00 (04:00),Ligue 1,Matchweek 5,Sun,Away,D,2,2,Lorient,2,20,6,30.0,0.1,0.33,15.9,0.0,0,0,1.7,1.7,0.09,0.3,0.3,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,1.0,8.0,12.5,17.0,2.0,29.4,32.4,8.0,37.5,33.9,18.0,0.0,0.0,1.0,16.5,537.0,627.0,85.6,9217.0,2942.0,242.0,263.0,92.0,229.0,255.0,89.8,49.0,75.0,65.3,2,1.3,1.4,15.0,48.0,12.0,1.0,59.0,627.0,580.0,45.0,15.0,4.0,2.0,16,14.0,6.0,2.0,3.0,0.0,537.0,2.0,11.0,35.0,21.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,5,3.0,8.0,2.0,6.0,17.0,35.3,11.0,14.0,3.0,11.0,4,17,18.0,0.0,59.0,730.0,46.0,128.0,406.0,203.0,37.0,730.0,23.0,15.0,65.2,8.0,34.8,578.0,2980.0,1324.0,15.0,26.0,7.0,13.0,11.0,534.0,58.0,1,0,0,14,13,2,16,4,5,0.0,0.0,0,56.0,10.0,11.0,47.6,1
2023-09-22,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Home,L,0,1,Nice,0,7,1,14.3,0.0,0.0,23.5,0.0,0,2,1.8,0.3,0.04,-1.8,-0.3,7,1,6,85.7,0,1.3,0.3,0,0,0,0,4.0,18.0,22.2,32.0,4.0,43.8,36.9,8.0,50.0,37.6,8.0,1.0,12.5,1.0,15.5,469.0,566.0,82.9,8361.0,2667.0,199.0,219.0,90.9,221.0,243.0,90.9,43.0,84.0,51.2,0,0.3,0.7,7.0,31.0,14.0,2.0,36.0,566.0,521.0,42.0,13.0,2.0,2.0,13,14.0,5.0,0.0,2.0,0.0,469.0,3.0,9.0,18.0,13.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12,5.0,11.0,5.0,11.0,19.0,57.9,8.0,8.0,1.0,7.0,12,33,5.0,0.0,55.0,649.0,59.0,180.0,325.0,148.0,16.0,647.0,15.0,6.0,40.0,8.0,53.3,523.0,2572.0,1110.0,16.0,13.0,5.0,14.0,6.0,464.0,36.0,1,0,0,13,15,3,13,12,12,2.0,0.0,0,62.0,4.0,9.0,30.8,1
2023-09-30,21:00 (12:00),Ligue 1,Matchweek 7,Sat,Home,W,3,2,Marseille,3,10,7,70.0,0.3,0.43,15.9,0.0,0,0,1.0,1.0,0.11,2.0,2.0,4,2,2,50.0,0,1.4,-0.6,0,0,0,0,13.0,22.0,59.1,28.0,4.0,60.7,41.0,5.0,100.0,59.4,13.0,2.0,15.4,0.0,8.6,336.0,447.0,75.2,6186.0,2624.0,148.0,175.0,84.6,138.0,170.0,81.2,36.0,76.0,47.4,2,0.6,0.4,7.0,24.0,7.0,0.0,37.0,447.0,394.0,52.0,19.0,1.0,5.0,12,23.0,2.0,0.0,1.0,0.0,336.0,1.0,8.0,19.0,13.0,2.0,1.0,2.0,0.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,19.0,10,7.0,7.0,5.0,10.0,14.0,71.4,4.0,11.0,1.0,10.0,17,36,17.0,0.0,46.0,553.0,53.0,167.0,271.0,125.0,18.0,553.0,14.0,10.0,71.4,4.0,28.6,379.0,1964.0,826.0,8.0,12.0,4.0,20.0,11.0,335.0,36.0,4,0,0,17,13,1,12,17,10,0.0,0.0,0,55.0,17.0,16.0,51.5,1
2023-10-07,21:00 (12:00),Ligue 1,Matchweek 8,Sat,Away,W,3,1,Reims,3,11,4,36.4,0.27,0.75,13.3,0.0,0,0,1.2,1.2,0.11,1.8,1.8,4,1,3,100.0,0,1.6,0.6,1,1,0,0,8.0,21.0,38.1,31.0,3.0,61.3,41.5,4.0,50.0,47.5,34.0,1.0,2.9,0.0,4.0,307.0,417.0,73.6,5837.0,2339.0,125.0,143.0,87.4,133.0,172.0,77.3,41.0,76.0,53.9,2,1.0,1.8,10.0,28.0,7.0,1.0,34.0,417.0,367.0,45.0,13.0,2.0,3.0,13,21.0,5.0,1.0,4.0,0.0,307.0,5.0,10.0,18.0,12.0,2.0,1.0,2.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,15,8.0,15.0,1.0,12.0,27.0,44.4,15.0,14.0,4.0,10.0,16,40,32.0,0.0,46.0,560.0,76.0,214.0,272.0,87.0,25.0,560.0,25.0,19.0,76.0,5.0,20.0,361.0,2291.0,1043.0,19.0,8.0,3.0,20.0,8.0,306.0,34.0,3,0,0,14,10,5,13,16,15,0.0,1.0,0,67.0,16.0,19.0,45.7,1
2023-10-22,17:05 (08:05),Ligue 1,Matchweek 9,Sun,Home,W,2,1,Metz,2,27,13,48.1,0.07,0.15,20.0,1.0,0,0,2.0,2.0,0.07,0.0,0.0,4,1,3,75.0,0,0.9,-0.1,0,0,0,0,2.0,6.0,33.3,17.0,1.0,23.5,26.7,9.0,22.2,27.7,5.0,0.0,0.0,1.0,22.0,661.0,769.0,86.0,11558.0,4177.0,275.0,305.0,90.2,294.0,329.0,89.4,67.0,95.0,70.5,1,1.7,1.9,23.0,95.0,14.0,1.0,94.0,769.0,719.0,48.0,11.0,2.0,3.0,21,16.0,10.0,1.0,7.0,0.0,661.0,2.0,15.0,49.0,40.0,5.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,21.0,13,8.0,9.0,4.0,12.0,19.0,63.2,7.0,9.0,1.0,8.0,6,27,5.0,0.0,75.0,881.0,28.0,105.0,482.0,300.0,37.0,881.0,21.0,9.0,42.9,10.0,47.6,709.0,4254.0,1732.0,22.0,31.0,5.0,15.0,9.0,655.0,94.0,1,0,0,12,9,2,21,6,13,0.0,0.0,0,72.0,16.0,8.0,66.7,1
2023-10-29,15:00 (07:00),Ligue 1,Matchweek 10,Sun,Away,L,0,2,Lille,0,16,6,37.5,0.0,0.0,20.0,2.0,0,0,0.6,0.6,0.04,-0.6,-0.6,5,2,3,60.0,0,1.3,-0.7,0,0,0,0,1.0,3.0,33.3,24.0,4.0,4.2,24.1,2.0,100.0,60.5,5.0,0.0,0.0,3.0,20.3,404.0,515.0,78.4,7987.0,2494.0,129.0,160.0,80.6,216.0,246.0,87.8,51.0,79.0,64.6,0,0.3,0.8,10.0,35.0,12.0,1.0,58.0,515.0,460.0,50.0,15.0,6.0,0.0,25,22.0,8.0,6.0,0.0,0.0,404.0,5.0,11.0,29.0,18.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13,7.0,5.0,2.0,4.0,11.0,36.4,7.0,13.0,2.0,11.0,10,24,13.0,0.0,59.0,617.0,34.0,162.0,281.0,180.0,19.0,617.0,20.0,12.0,60.0,5.0,25.0,440.0,2369.0,1210.0,17.0,15.0,1.0,12.0,11.0,399.0,57.0,2,0,0,13,17,5,25,10,13,0.0,0.0,0,55.0,18.0,15.0,54.5,1
