Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-12,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Crystal Palace,2,9,6,66.7,0.22,0.33,16.3,0.0,0,0,1.5,1.5,0.17,0.5,0.5,4,0,4,100.0,1,0.2,0.2,0,0,0,0,12.0,26.0,46.2,24.0,4.0,66.7,52.3,10.0,100.0,72.2,23.0,2.0,8.7,1.0,15.6,230.0,356.0,64.6,4581.0,2165.0,93.0,121.0,76.9,87.0,125.0,69.6,37.0,85.0,43.5,2,1.3,0.9,6.0,15.0,4.0,1.0,18.0,356.0,297.0,57.0,7.0,1.0,1.0,14,30.0,9.0,5.0,0.0,1.0,230.0,2.0,11.0,14.0,8.0,4.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,28.0,19,15.0,10.0,3.0,5.0,23.0,21.7,18.0,12.0,3.0,9.0,9,37,32.0,0.0,45,460.0,67.0,173.0,166.0,127.0,13.0,460.0,11.0,5.0,45.5,6.0,54.5,167.0,1060.0,452.0,12.0,8.0,5.0,7.0,18.0,226.0,17.0,3,0,0,19,7,2,14,9,19,0.0,0.0,0,43.0,16.0,18.0,47.1,1
2017-08-20,13:30 (05:30),Premier League,Matchweek 2,Sun,Home,W,1,0,Newcastle Utd,1,7,3,42.9,0.14,0.33,23.0,0.0,0,0,0.3,0.3,0.04,0.7,0.7,5,0,5,100.0,1,1.1,1.1,0,0,0,0,10.0,22.0,45.5,34.0,2.0,55.9,44.3,4.0,75.0,47.8,10.0,0.0,0.0,5.0,25.6,375.0,505.0,74.3,7000.0,2298.0,154.0,181.0,85.1,170.0,203.0,83.7,44.0,91.0,48.4,1,0.1,0.2,3.0,13.0,3.0,0.0,32.0,505.0,451.0,50.0,15.0,1.0,3.0,20,23.0,7.0,4.0,1.0,0.0,375.0,4.0,15.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,13,14.0,9.0,1.0,7.0,16.0,43.8,9.0,20.0,5.0,15.0,18,42,31.0,0.0,52,638.0,67.0,236.0,274.0,137.0,10.0,638.0,16.0,5.0,31.3,11.0,68.8,350.0,1941.0,929.0,20.0,19.0,1.0,13.0,7.0,371.0,31.0,3,0,0,13,10,4,20,18,13,0.0,0.0,0,53.0,23.0,11.0,67.6,1
2017-08-26,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,0,0,Southampton,0,16,6,37.5,0.0,0.0,16.5,0.0,0,0,1.4,1.4,0.09,-1.4,-1.4,2,0,2,100.0,1,0.1,0.1,0,0,0,0,11.0,22.0,50.0,29.0,6.0,55.2,44.7,10.0,60.0,47.1,5.0,1.0,20.0,1.0,16.0,302.0,443.0,68.2,5526.0,2482.0,138.0,168.0,82.1,108.0,147.0,73.5,41.0,89.0,46.1,0,1.1,0.9,14.0,33.0,9.0,6.0,36.0,443.0,387.0,56.0,13.0,0.0,3.0,32,27.0,5.0,1.0,3.0,0.0,302.0,0.0,10.0,28.0,22.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14,4.0,9.0,4.0,4.0,13.0,30.8,9.0,9.0,1.0,8.0,11,28,22.0,0.0,45,548.0,44.0,149.0,223.0,185.0,19.0,548.0,12.0,8.0,66.7,4.0,33.3,277.0,1702.0,712.0,20.0,17.0,2.0,15.0,12.0,296.0,34.0,0,0,0,10,10,0,32,11,14,0.0,0.0,0,64.0,24.0,17.0,58.5,1
2017-09-11,20:00 (12:00),Premier League,Matchweek 4,Mon,Away,L,0,2,West Ham,0,10,2,20.0,0.0,0.0,23.5,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,3,2,1,33.3,0,1.6,-0.4,0,0,0,0,4.0,19.0,21.1,35.0,5.0,37.1,38.2,11.0,54.5,46.9,25.0,1.0,4.0,2.0,12.1,354.0,471.0,75.2,5915.0,2035.0,161.0,186.0,86.6,142.0,167.0,85.0,35.0,75.0,46.7,0,0.3,0.2,9.0,7.0,2.0,1.0,25.0,471.0,422.0,48.0,11.0,0.0,0.0,19,20.0,3.0,0.0,2.0,0.0,354.0,1.0,15.0,15.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14,9.0,8.0,2.0,5.0,9.0,55.6,4.0,14.0,6.0,8.0,2,21,48.0,1.0,56,599.0,70.0,226.0,274.0,106.0,7.0,599.0,11.0,8.0,72.7,3.0,27.3,301.0,1827.0,906.0,14.0,15.0,1.0,16.0,18.0,353.0,25.0,2,0,0,14,11,1,19,2,14,0.0,0.0,0,47.0,26.0,34.0,43.3,1
2017-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Leicester City,1,15,3,20.0,0.07,0.33,19.6,0.0,0,0,0.7,0.7,0.05,0.3,0.3,1,1,0,100.0,0,1.0,0.0,1,1,0,0,8.0,18.0,44.4,31.0,3.0,41.9,40.3,7.0,71.4,53.6,7.0,0.0,0.0,3.0,17.0,423.0,563.0,75.1,7453.0,2799.0,214.0,243.0,88.1,135.0,171.0,78.9,56.0,111.0,50.5,1,0.5,0.7,10.0,31.0,14.0,9.0,37.0,563.0,503.0,57.0,7.0,0.0,6.0,38,33.0,8.0,6.0,1.0,0.0,423.0,3.0,16.0,27.0,22.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,11,8.0,6.0,2.0,7.0,20.0,35.0,13.0,13.0,5.0,8.0,10,26,31.0,0.0,59,681.0,65.0,198.0,275.0,212.0,20.0,681.0,10.0,8.0,80.0,2.0,20.0,301.0,1631.0,744.0,15.0,11.0,4.0,16.0,6.0,420.0,36.0,1,0,0,6,6,3,38,10,11,0.0,1.0,0,57.0,24.0,27.0,47.1,1
2017-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,D,0,0,Burnley,0,9,2,22.2,0.0,0.0,23.0,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,2,0,2,100.0,1,0.1,0.1,0,0,0,0,9.0,30.0,30.0,41.0,3.0,65.9,44.5,5.0,60.0,51.4,10.0,2.0,20.0,0.0,10.5,348.0,472.0,73.7,5939.0,2440.0,159.0,186.0,85.5,133.0,160.0,83.1,38.0,89.0,42.7,0,0.2,0.2,6.0,30.0,5.0,2.0,28.0,472.0,415.0,54.0,13.0,0.0,2.0,18,31.0,4.0,1.0,1.0,0.0,348.0,3.0,11.0,17.0,10.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21,16.0,9.0,0.0,6.0,13.0,46.2,7.0,8.0,1.0,7.0,17,42,35.0,0.0,48,593.0,59.0,225.0,276.0,98.0,4.0,593.0,11.0,6.0,54.5,5.0,45.5,267.0,1505.0,701.0,14.0,12.0,0.0,12.0,10.0,344.0,27.0,2,0,0,14,9,3,18,17,21,0.0,0.0,0,63.0,21.0,25.0,45.7,1
2017-09-30,12:30 (04:30),Premier League,Matchweek 7,Sat,Home,L,0,4,Tottenham,0,6,1,16.7,0.0,0.0,23.7,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,7,4,3,42.9,0,2.5,-1.5,0,0,0,0,13.0,26.0,50.0,33.0,3.0,57.6,46.3,7.0,100.0,65.9,13.0,1.0,7.7,0.0,11.0,299.0,429.0,69.7,5428.0,2281.0,133.0,158.0,84.2,100.0,133.0,75.2,47.0,91.0,51.6,0,0.1,0.1,3.0,14.0,2.0,0.0,15.0,429.0,372.0,53.0,6.0,1.0,1.0,23,31.0,4.0,2.0,1.0,0.0,299.0,4.0,15.0,9.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16,12.0,10.0,3.0,9.0,21.0,42.9,12.0,13.0,2.0,11.0,21,46,28.0,2.0,41,556.0,69.0,207.0,232.0,123.0,10.0,556.0,14.0,5.0,35.7,9.0,64.3,240.0,1447.0,634.0,14.0,8.0,1.0,15.0,7.0,298.0,15.0,1,0,0,7,3,4,23,21,16,0.0,0.0,0,61.0,11.0,14.0,44.0,1
2017-10-14,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,0,2,Swansea City,0,7,2,28.6,0.0,0.0,21.5,0.0,0,0,0.7,0.7,0.1,-0.7,-0.7,3,2,1,33.3,0,2.0,0.0,0,0,0,0,10.0,21.0,47.6,49.0,5.0,36.7,37.3,5.0,60.0,41.4,12.0,2.0,16.7,3.0,16.6,481.0,582.0,82.6,9195.0,3324.0,186.0,207.0,89.9,235.0,263.0,89.4,56.0,95.0,58.9,0,0.7,0.4,6.0,23.0,7.0,2.0,43.0,582.0,540.0,42.0,13.0,0.0,3.0,20,18.0,3.0,3.0,0.0,0.0,481.0,0.0,12.0,12.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12,10.0,5.0,1.0,5.0,8.0,62.5,3.0,5.0,1.0,4.0,8,24,18.0,2.0,59,673.0,64.0,277.0,278.0,122.0,15.0,673.0,15.0,12.0,80.0,3.0,20.0,324.0,2016.0,1022.0,24.0,19.0,4.0,21.0,12.0,474.0,42.0,5,0,0,16,11,0,20,8,12,0.0,0.0,0,48.0,13.0,19.0,40.6,1
2017-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,2,1,Manchester Utd,2,5,3,60.0,0.4,0.67,13.1,0.0,0,0,1.2,1.2,0.24,0.8,0.8,3,1,2,66.7,0,1.0,0.0,0,0,0,0,6.0,27.0,22.2,18.0,1.0,94.4,68.7,10.0,100.0,64.8,24.0,1.0,4.2,0.0,8.0,129.0,235.0,54.9,2198.0,1219.0,65.0,89.0,73.0,35.0,60.0,58.3,17.0,63.0,27.0,1,0.7,0.5,3.0,9.0,4.0,1.0,14.0,235.0,189.0,44.0,15.0,1.0,0.0,9,13.0,4.0,1.0,2.0,0.0,129.0,2.0,6.0,9.0,4.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,27.0,20,19.0,7.0,1.0,15.0,28.0,53.6,13.0,13.0,3.0,10.0,13,40,52.0,0.0,23,383.0,71.0,175.0,133.0,87.0,15.0,383.0,14.0,11.0,78.6,3.0,21.4,132.0,1150.0,596.0,15.0,11.0,4.0,16.0,10.0,127.0,14.0,4,0,0,10,12,2,9,13,20,0.0,0.0,0,52.0,14.0,15.0,48.3,1
2017-10-28,15:00 (07:00),Premier League,Matchweek 10,Sat,Away,L,0,3,Liverpool,0,1,0,0.0,0.0,,28.0,1.0,0,0,0.1,0.1,0.07,-0.1,-0.1,8,3,4,62.5,0,2.6,-0.4,1,0,1,0,15.0,28.0,53.6,25.0,2.0,72.0,54.0,10.0,100.0,70.5,19.0,1.0,5.3,1.0,17.5,196.0,316.0,62.0,3840.0,1911.0,86.0,108.0,79.6,73.0,103.0,70.9,28.0,77.0,36.4,0,0.1,0.0,1.0,15.0,1.0,0.0,9.0,316.0,263.0,52.0,9.0,0.0,0.0,6,27.0,2.0,2.0,0.0,0.0,196.0,1.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10,4.0,8.0,1.0,2.0,10.0,20.0,8.0,10.0,2.0,8.0,24,37,28.0,1.0,28,419.0,79.0,189.0,183.0,51.0,3.0,419.0,10.0,7.0,70.0,3.0,30.0,156.0,962.0,395.0,3.0,5.0,1.0,12.0,11.0,193.0,8.0,1,0,0,8,8,1,6,24,10,0.0,1.0,0,49.0,9.0,14.0,39.1,1
