Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,15:00 (07:00),Premier League,Matchweek 1,Sat,Home,L,0,2,Crystal Palace,0,15,6,40.0,0.0,0.0,20.4,1.0,0,0,0.7,0.7,0.05,-0.7,-0.7,10,2,8,80.0,0,1.6,-0.4,0,0,0,0,4.0,7.0,57.1,23.0,9.0,21.7,28.2,5.0,40.0,35.0,8.0,0.0,0.0,1.0,20.8,622.0,730.0,85.2,11149.0,3529.0,275.0,305.0,90.2,261.0,295.0,88.5,71.0,104.0,68.3,0,0.5,0.7,10.0,49.0,13.0,6.0,70.0,730.0,687.0,41.0,12.0,3.0,9.0,32,16.0,5.0,1.0,4.0,0.0,622.0,2.0,6.0,27.0,19.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19,10.0,15.0,2.0,9.0,21.0,42.9,12.0,5.0,2.0,3.0,15,42,23.0,1.0,65,847.0,62.0,200.0,449.0,199.0,18.0,847.0,14.0,8.0,57.1,6.0,42.9,436.0,2408.0,1238.0,17.0,13.0,2.0,14.0,16.0,622.0,70.0,1,0,0,9,11,2,32,15,19,0,0,0,58.0,10.0,20.0,33.3,1
2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,L,1,3,Tottenham,1,10,3,30.0,0.1,0.33,18.8,0.0,0,0,1.6,1.6,0.16,-0.6,-0.6,11,3,8,72.7,0,2.7,-0.3,0,0,0,0,12.0,21.0,57.1,24.0,5.0,58.3,42.4,9.0,77.8,49.0,21.0,2.0,9.5,2.0,10.0,374.0,462.0,81.0,6463.0,2483.0,183.0,201.0,91.0,121.0,145.0,83.4,49.0,81.0,60.5,1,1.6,1.4,9.0,17.0,6.0,2.0,32.0,462.0,422.0,37.0,10.0,2.0,8.0,7,12.0,2.0,1.0,0.0,0.0,374.0,3.0,3.0,19.0,17.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,8,12.0,1.0,0.0,6.0,12.0,50.0,6.0,10.0,4.0,6.0,10,23,42.0,3.0,40,578.0,91.0,233.0,265.0,83.0,13.0,578.0,12.0,11.0,91.7,1.0,8.3,248.0,1455.0,677.0,18.0,11.0,5.0,15.0,11.0,374.0,32.0,0,0,0,5,9,3,7,10,8,0,0,0,42.0,7.0,14.0,33.3,1
2018-08-26,16:00 (08:00),Premier League,Matchweek 3,Sun,Home,W,4,2,Burnley,4,25,12,48.0,0.16,0.33,21.5,0.0,0,0,1.3,1.3,0.05,2.7,2.7,2,2,0,0.0,0,1.6,-0.4,0,0,0,0,11.0,21.0,52.4,31.0,3.0,38.7,33.4,9.0,100.0,54.4,20.0,0.0,0.0,3.0,20.0,511.0,610.0,83.8,8697.0,3445.0,235.0,253.0,92.9,198.0,223.0,88.8,53.0,95.0,55.8,3,1.2,1.4,22.0,34.0,12.0,4.0,45.0,610.0,560.0,49.0,13.0,0.0,5.0,16,18.0,6.0,2.0,0.0,0.0,511.0,1.0,7.0,45.0,42.0,1.0,1.0,1.0,0.0,0.0,7.0,4.0,1.0,1.0,1.0,0.0,0.0,9.0,8,4.0,3.0,2.0,4.0,11.0,36.4,7.0,8.0,5.0,3.0,4,13,27.0,0.0,63,706.0,70.0,210.0,337.0,168.0,22.0,706.0,13.0,4.0,30.8,9.0,69.2,298.0,1824.0,1008.0,27.0,15.0,3.0,8.0,12.0,507.0,45.0,2,0,0,11,8,1,16,4,8,0,0,0,58.0,13.0,17.0,43.3,1
2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Brighton,2,10,5,50.0,0.2,0.4,18.3,1.0,0,0,1.6,1.6,0.17,0.4,0.4,5,2,2,80.0,0,2.8,0.8,2,1,1,0,8.0,19.0,42.1,22.0,4.0,50.0,38.4,9.0,88.9,54.8,25.0,0.0,0.0,0.0,6.0,489.0,590.0,82.9,8204.0,2603.0,223.0,257.0,86.8,204.0,224.0,91.1,40.0,70.0,57.1,1,0.8,0.7,6.0,33.0,5.0,0.0,38.0,590.0,539.0,47.0,13.0,1.0,7.0,10,21.0,1.0,1.0,0.0,0.0,489.0,4.0,10.0,19.0,14.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,14.0,12,9.0,5.0,0.0,9.0,16.0,56.3,7.0,10.0,2.0,8.0,9,23,28.0,1.0,58,697.0,61.0,186.0,391.0,125.0,12.0,697.0,19.0,11.0,57.9,8.0,42.1,350.0,2079.0,1023.0,20.0,18.0,3.0,14.0,9.0,488.0,38.0,3,0,0,14,12,4,10,9,12,0,2,0,51.0,15.0,15.0,50.0,1
2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,L,0,3,Manchester City,0,9,3,33.3,0.0,0.0,23.1,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,9,3,6,66.7,0,4.8,1.8,0,0,0,0,9.0,26.0,34.6,26.0,4.0,57.7,40.7,11.0,100.0,61.7,17.0,0.0,0.0,0.0,6.0,339.0,432.0,78.5,6029.0,2200.0,172.0,193.0,89.1,127.0,144.0,88.2,36.0,77.0,46.8,0,0.3,0.3,7.0,22.0,6.0,0.0,32.0,432.0,385.0,45.0,11.0,0.0,6.0,11,15.0,4.0,1.0,1.0,1.0,339.0,2.0,9.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6,8.0,6.0,0.0,4.0,17.0,23.5,13.0,23.0,10.0,13.0,16,30,21.0,1.0,36,541.0,85.0,209.0,243.0,95.0,9.0,541.0,15.0,8.0,53.3,7.0,46.7,285.0,1513.0,758.0,16.0,14.0,1.0,13.0,9.0,337.0,32.0,0,0,0,7,6,2,11,16,6,0,0,0,48.0,7.0,10.0,41.2,1
2018-09-22,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,D,1,1,Watford,1,15,3,20.0,0.07,0.33,15.9,0.0,0,0,1.7,1.7,0.12,-0.7,-0.7,6,1,5,83.3,0,1.4,0.4,0,0,0,0,8.0,20.0,40.0,27.0,7.0,48.1,35.9,9.0,77.8,47.3,25.0,0.0,0.0,1.0,22.0,426.0,580.0,73.4,7550.0,3036.0,206.0,248.0,83.1,160.0,197.0,81.2,51.0,98.0,52.0,1,1.6,1.3,13.0,28.0,6.0,1.0,55.0,580.0,523.0,52.0,15.0,1.0,4.0,26,18.0,8.0,6.0,1.0,1.0,426.0,5.0,10.0,28.0,21.0,2.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,9,7.0,4.0,3.0,5.0,9.0,55.6,4.0,6.0,1.0,5.0,14,28,36.0,1.0,60,702.0,75.0,239.0,340.0,125.0,19.0,702.0,7.0,4.0,57.1,3.0,42.9,317.0,1921.0,1110.0,22.0,16.0,4.0,16.0,8.0,419.0,55.0,2,0,0,11,9,5,26,14,9,0,0,0,69.0,28.0,16.0,63.6,1
2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,0,3,Everton,0,6,0,0.0,0.0,,22.1,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5,6,3,3,50.0,0,1.7,-1.3,1,0,0,1,4.0,14.0,28.6,19.0,2.0,52.6,38.7,6.0,66.7,47.8,24.0,0.0,0.0,2.0,15.7,338.0,427.0,79.2,5686.0,2154.0,154.0,180.0,85.6,146.0,168.0,86.9,24.0,53.0,45.3,0,0.5,0.3,6.0,28.0,5.0,0.0,40.0,427.0,369.0,58.0,19.0,0.0,4.0,8,28.0,1.0,1.0,0.0,0.0,338.0,0.0,6.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13,7.0,12.0,2.0,5.0,12.0,41.7,7.0,13.0,6.0,7.0,15,36,35.0,0.0,49,549.0,64.0,174.0,269.0,112.0,10.0,549.0,14.0,5.0,35.7,9.0,64.3,220.0,1351.0,685.0,17.0,9.0,1.0,16.0,16.0,337.0,40.0,3,0,0,13,13,0,8,15,13,0,1,0,43.0,20.0,16.0,55.6,1
2018-10-07,12:00 (04:00),Premier League,Matchweek 8,Sun,Home,L,1,5,Arsenal,1,21,4,19.0,0.05,0.25,22.5,0.0,0,0,1.4,1.4,0.07,-0.4,-0.4,7,5,2,28.6,0,3.2,-1.8,0,0,0,0,14.0,22.0,63.6,25.0,7.0,52.0,37.1,10.0,90.0,60.2,4.0,0.0,0.0,3.0,19.8,404.0,513.0,78.8,7451.0,2831.0,174.0,190.0,91.6,183.0,216.0,84.7,38.0,72.0,52.8,1,1.3,0.7,16.0,33.0,10.0,3.0,54.0,513.0,464.0,45.0,13.0,3.0,6.0,17,12.0,4.0,1.0,0.0,1.0,404.0,4.0,11.0,39.0,26.0,5.0,0.0,6.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,8,6.0,9.0,1.0,6.0,14.0,42.9,8.0,8.0,0.0,8.0,10,26,21.0,0.0,48,627.0,58.0,145.0,342.0,146.0,15.0,627.0,8.0,3.0,37.5,5.0,62.5,264.0,1586.0,801.0,16.0,19.0,1.0,14.0,16.0,401.0,52.0,2,0,0,11,12,4,17,10,8,0,0,0,54.0,20.0,14.0,58.8,1
2018-10-20,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,L,2,4,Cardiff City,2,9,4,44.4,0.22,0.5,23.0,2.0,0,0,0.7,0.7,0.08,1.3,1.3,5,4,1,20.0,0,1.9,-2.1,0,0,0,0,10.0,21.0,47.6,26.0,5.0,50.0,38.1,13.0,61.5,49.0,14.0,1.0,7.1,2.0,13.4,390.0,510.0,76.5,6938.0,2797.0,180.0,218.0,82.6,151.0,183.0,82.5,46.0,83.0,55.4,2,0.5,0.6,7.0,28.0,5.0,1.0,35.0,510.0,458.0,52.0,13.0,0.0,6.0,9,17.0,4.0,1.0,2.0,0.0,390.0,0.0,8.0,18.0,11.0,3.0,0.0,1.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,7,10.0,4.0,2.0,7.0,16.0,43.8,9.0,14.0,7.0,7.0,6,22,31.0,1.0,59,627.0,71.0,211.0,305.0,114.0,10.0,627.0,4.0,4.0,100.0,0.0,0.0,262.0,1543.0,707.0,5.0,8.0,0.0,20.0,12.0,389.0,35.0,3,0,0,16,14,0,9,6,7,0,0,0,53.0,23.0,25.0,47.9,1
2018-10-27,15:00 (07:00),Premier League,Matchweek 10,Sat,Home,L,0,3,Bournemouth,0,11,1,9.1,0.0,0.0,16.6,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,5,3,2,60.0,0,2.7,-0.3,1,1,0,0,7.0,20.0,35.0,18.0,5.0,55.6,39.4,11.0,90.9,55.1,19.0,0.0,0.0,2.0,13.0,474.0,584.0,81.2,8302.0,2542.0,213.0,231.0,92.2,221.0,253.0,87.4,34.0,79.0,43.0,0,0.5,0.4,10.0,34.0,2.0,1.0,41.0,584.0,544.0,39.0,4.0,1.0,2.0,16,15.0,5.0,3.0,1.0,0.0,474.0,1.0,11.0,22.0,17.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8,6.0,4.0,0.0,5.0,12.0,41.7,7.0,7.0,1.0,6.0,13,23,36.0,0.0,51,681.0,73.0,177.0,383.0,126.0,10.0,681.0,7.0,5.0,71.4,2.0,28.6,319.0,2226.0,1155.0,22.0,20.0,5.0,8.0,5.0,471.0,41.0,4,1,1,16,3,1,16,13,8,0,1,0,50.0,27.0,8.0,77.1,1
