Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-12,13:30 (05:30),Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,4,18,8,44.4,0.22,0.5,13.8,2.0,0,0,4.0,4.0,0.22,0.0,0.0,2,0,2,100.0,1,0.0,0.0,0,0,0,0,3.0,4.0,75.0,31.0,4.0,6.5,20.8,4.0,50.0,46.3,10.0,0.0,0.0,1.0,14.3,627.0,715.0,87.7,10137.0,3707.0,311.0,329.0,94.5,244.0,269.0,90.7,45.0,66.0,68.2,3,3.2,3.4,12.0,56.0,17.0,3.0,68.0,715.0,678.0,32.0,10.0,3.0,9.0,21,12.0,5.0,3.0,0.0,0.0,627.0,5.0,13.0,31.0,23.0,3.0,1.0,1.0,3.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0,14,8.0,9.0,2.0,8.0,15.0,53.3,7.0,10.0,1.0,9.0,9,28,8.0,0.0,64,802.0,46.0,175.0,413.0,219.0,33.0,802.0,15.0,7.0,46.7,8.0,53.3,509.0,2339.0,1403.0,23.0,24.0,6.0,11.0,15.0,624.0,68.0,1,0,0,14,7,5,21,9,14,0,0,0,58.0,5.0,10.0,33.3,1
2018-08-20,20:00 (12:00),Premier League,Matchweek 2,Mon,Away,W,2,0,Crystal Palace,2,15,5,33.3,0.07,0.2,19.8,1.0,1,1,2.6,1.8,0.12,-0.6,-0.8,2,0,2,100.0,1,0.4,0.4,0,0,0,0,9.0,11.0,81.8,24.0,5.0,33.3,36.0,4.0,75.0,58.0,12.0,1.0,8.3,0.0,8.0,579.0,668.0,86.7,10887.0,3480.0,241.0,261.0,92.3,267.0,294.0,90.8,63.0,87.0,72.4,1,1.6,1.3,13.0,57.0,14.0,1.0,58.0,668.0,635.0,31.0,6.0,2.0,4.0,23,13.0,7.0,4.0,2.0,0.0,579.0,2.0,9.0,31.0,21.0,0.0,6.0,2.0,2.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,22.0,14,10.0,11.0,1.0,10.0,27.0,37.0,17.0,10.0,1.0,9.0,10,32,20.0,0.0,63,783.0,48.0,159.0,416.0,215.0,33.0,782.0,21.0,16.0,76.2,5.0,23.8,582.0,2731.0,1426.0,23.0,28.0,6.0,19.0,9.0,578.0,58.0,1,0,0,13,5,2,23,10,14,1,0,0,53.0,13.0,19.0,40.6,1
2018-08-25,17:30 (09:30),Premier League,Matchweek 3,Sat,Home,W,1,0,Brighton,1,22,7,31.8,0.05,0.14,16.8,1.0,0,0,1.6,1.6,0.07,-0.6,-0.6,2,0,2,100.0,1,0.6,0.6,0,0,0,0,3.0,5.0,60.0,13.0,3.0,23.1,25.4,6.0,33.3,35.0,10.0,0.0,0.0,2.0,16.8,695.0,814.0,85.4,11233.0,3534.0,360.0,401.0,89.8,273.0,304.0,89.8,46.0,71.0,64.8,1,1.3,1.4,18.0,55.0,16.0,3.0,77.0,814.0,761.0,52.0,16.0,1.0,4.0,24,21.0,8.0,2.0,5.0,0.0,695.0,1.0,11.0,39.0,33.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,13,8.0,9.0,4.0,7.0,14.0,50.0,7.0,11.0,2.0,9.0,9,30,10.0,0.0,69,919.0,31.0,149.0,527.0,254.0,36.0,919.0,15.0,10.0,66.7,5.0,33.3,651.0,3177.0,1647.0,25.0,28.0,6.0,19.0,16.0,692.0,76.0,1,0,0,8,12,1,24,9,13,0,0,0,52.0,18.0,19.0,48.6,1
2018-09-01,12:30 (04:30),Premier League,Matchweek 4,Sat,Away,W,2,1,Leicester City,2,10,4,40.0,0.2,0.5,16.3,0.0,0,0,1.0,1.0,0.11,1.0,1.0,5,1,4,80.0,0,2.0,1.0,0,0,0,0,4.0,10.0,40.0,32.0,8.0,21.9,29.9,4.0,75.0,53.0,13.0,1.0,7.7,0.0,12.6,410.0,522.0,78.5,6781.0,2476.0,199.0,223.0,89.2,157.0,189.0,83.1,39.0,75.0,52.0,2,0.8,0.6,8.0,26.0,4.0,0.0,34.0,522.0,467.0,53.0,12.0,0.0,2.0,8,31.0,4.0,1.0,2.0,0.0,410.0,2.0,9.0,17.0,9.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,18.0,13,7.0,9.0,2.0,5.0,17.0,29.4,12.0,9.0,4.0,5.0,10,28,26.0,1.0,49,631.0,51.0,177.0,343.0,118.0,18.0,631.0,15.0,8.0,53.3,7.0,46.7,406.0,1875.0,903.0,14.0,9.0,4.0,18.0,16.0,406.0,33.0,2,0,0,12,9,2,8,10,13,0,0,0,53.0,17.0,17.0,50.0,1
2018-09-15,12:30 (04:30),Premier League,Matchweek 5,Sat,Away,W,2,1,Tottenham,2,17,10,58.8,0.12,0.2,13.9,1.0,0,0,2.6,2.6,0.15,-0.6,-0.6,3,1,2,66.7,0,1.1,0.1,0,0,0,0,8.0,16.0,50.0,28.0,8.0,42.9,36.4,5.0,80.0,52.4,10.0,0.0,0.0,3.0,21.0,293.0,398.0,73.6,5377.0,2232.0,121.0,141.0,85.8,121.0,148.0,81.8,37.0,75.0,49.3,0,1.1,0.7,11.0,18.0,5.0,0.0,33.0,398.0,344.0,52.0,19.0,3.0,10.0,10,22.0,4.0,2.0,2.0,0.0,293.0,2.0,11.0,25.0,17.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11,9.0,8.0,0.0,8.0,15.0,53.3,7.0,13.0,3.0,10.0,6,23,22.0,0.0,40,497.0,48.0,155.0,247.0,103.0,27.0,497.0,9.0,6.0,66.7,3.0,33.3,303.0,1408.0,802.0,23.0,12.0,11.0,18.0,6.0,291.0,32.0,0,0,0,16,16,2,10,6,11,0,0,0,54.0,8.0,14.0,36.4,1
2018-09-18,20:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,2,fr Paris S-G,3,16,6,37.5,0.13,0.33,16.4,1.0,1,1,2.3,1.6,0.1,0.7,0.4,5,2,3,60.0,0,1.4,-0.6,0,0,0,0,2.0,4.0,50.0,10.0,4.0,30.0,38.7,2.0,50.0,32.5,4.0,0.0,0.0,0.0,16.0,443.0,553.0,80.1,8101.0,2459.0,185.0,210.0,88.1,203.0,233.0,87.1,43.0,78.0,55.1,2,1.1,1.0,12.0,36.0,11.0,3.0,53.0,553.0,500.0,52.0,10.0,2.0,2.0,33,24.0,13.0,5.0,5.0,0.0,443.0,1.0,14.0,32.0,24.0,3.0,3.0,0.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,18.0,10,7.0,6.0,5.0,9.0,14.0,64.3,5.0,4.0,2.0,2.0,6,24,13.0,1.0,53,638.0,30.0,89.0,320.0,235.0,32.0,637.0,12.0,9.0,75.0,3.0,25.0,443.0,2409.0,1342.0,28.0,18.0,7.0,12.0,9.0,442.0,53.0,1,0,0,14,10,1,33,6,10,1,0,0,44.0,3.0,7.0,30.0,2
2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,W,3,0,Southampton,2,12,3,25.0,0.17,0.67,15.2,1.0,0,0,1.7,1.7,0.14,0.3,0.3,1,0,1,100.0,1,0.2,0.2,0,0,0,0,2.0,5.0,40.0,18.0,4.0,22.2,28.3,8.0,12.5,26.9,12.0,0.0,0.0,2.0,17.0,672.0,790.0,85.1,11479.0,3452.0,288.0,327.0,88.1,305.0,340.0,89.7,58.0,85.0,68.2,1,0.4,1.1,4.0,45.0,14.0,1.0,53.0,790.0,743.0,43.0,10.0,2.0,1.0,13,19.0,5.0,2.0,2.0,0.0,672.0,4.0,7.0,20.0,12.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,12,8.0,5.0,4.0,5.0,7.0,71.4,2.0,9.0,5.0,4.0,7,24,12.0,0.0,61,874.0,48.0,168.0,519.0,194.0,35.0,874.0,16.0,8.0,50.0,8.0,50.0,589.0,2500.0,1376.0,16.0,19.0,8.0,7.0,12.0,668.0,51.0,0,0,0,7,10,4,13,7,12,0,0,0,62.0,7.0,16.0,30.4,1
2018-09-29,17:30 (09:30),Premier League,Matchweek 7,Sat,Away,D,1,1,Chelsea,1,13,4,30.8,0.08,0.25,17.9,1.0,0,0,1.6,1.6,0.12,-0.6,-0.6,4,1,3,75.0,0,1.0,0.0,0,0,0,0,2.0,11.0,18.2,29.0,4.0,34.5,36.9,3.0,33.3,38.7,11.0,0.0,0.0,2.0,16.5,548.0,666.0,82.3,10384.0,2874.0,207.0,228.0,90.8,263.0,300.0,87.7,66.0,107.0,61.7,1,1.5,1.5,10.0,41.0,13.0,5.0,54.0,666.0,623.0,41.0,8.0,2.0,5.0,20,24.0,4.0,2.0,0.0,1.0,548.0,2.0,11.0,23.0,17.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,8,5.0,8.0,2.0,4.0,8.0,50.0,4.0,12.0,2.0,10.0,12,27,16.0,0.0,53,773.0,48.0,177.0,412.0,189.0,25.0,773.0,11.0,7.0,63.6,4.0,36.4,542.0,2492.0,1137.0,17.0,19.0,3.0,16.0,9.0,546.0,53.0,2,0,0,9,7,2,20,12,8,0,0,0,65.0,13.0,11.0,54.2,1
2018-10-03,21:00 (12:00),Champions Lg,Group stage,Wed,Away,L,0,1,it Napoli,0,4,0,0.0,0.0,,24.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,5,1,4,80.0,0,2.0,1.0,0,0,0,0,8.0,18.0,44.4,45.0,8.0,26.7,31.7,10.0,60.0,44.6,17.0,0.0,0.0,1.0,20.0,437.0,550.0,79.5,7864.0,2732.0,183.0,210.0,87.1,194.0,227.0,85.5,48.0,87.0,55.2,0,0.0,0.5,1.0,18.0,8.0,0.0,34.0,550.0,499.0,50.0,19.0,3.0,6.0,11,18.0,1.0,0.0,1.0,0.0,437.0,1.0,9.0,7.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11,4.0,7.0,3.0,6.0,9.0,66.7,3.0,12.0,2.0,10.0,7,21,22.0,2.0,43,642.0,73.0,221.0,316.0,113.0,12.0,642.0,13.0,6.0,46.2,7.0,53.8,440.0,1843.0,949.0,12.0,10.0,0.0,21.0,9.0,435.0,34.0,1,0,0,9,12,1,11,7,11,0,0,0,56.0,9.0,11.0,45.0,2
2018-10-07,16:30 (08:30),Premier League,Matchweek 8,Sun,Home,D,0,0,Manchester City,0,7,2,28.6,0.0,0.0,16.7,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,2,0,2,100.0,1,0.2,0.2,1,0,0,1,4.0,9.0,44.4,35.0,2.0,20.0,31.2,7.0,28.6,41.4,11.0,0.0,0.0,0.0,3.0,448.0,555.0,80.7,8570.0,2582.0,175.0,196.0,89.3,190.0,218.0,87.2,67.0,107.0,62.6,0,0.3,0.4,6.0,26.0,8.0,2.0,34.0,555.0,510.0,43.0,15.0,1.0,4.0,18,18.0,2.0,1.0,1.0,0.0,448.0,2.0,11.0,12.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11,13.0,4.0,0.0,6.0,13.0,46.2,7.0,8.0,1.0,7.0,9,26,18.0,1.0,49,648.0,72.0,238.0,311.0,109.0,18.0,648.0,9.0,4.0,44.4,5.0,55.6,366.0,1702.0,807.0,12.0,12.0,4.0,12.0,11.0,447.0,34.0,1,0,0,10,10,2,18,9,11,0,1,0,54.0,6.0,17.0,26.1,1
