Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-12,16:00 (08:00),Premier League,Matchweek 1,Sun,Away,W,2,0,Arsenal,2,17,8,47.1,0.12,0.25,18.2,1.0,0,0,1.7,1.7,0.1,0.3,0.3,3,0,3,100.0,1,0.1,0.1,0,0,0,0,2.0,11.0,18.2,38.0,9.0,18.4,28.6,8.0,50.0,43.4,10.0,1.0,10.0,1.0,13.5,492.0,601.0,81.9,7980.0,2720.0,240.0,266.0,90.2,187.0,210.0,89.0,42.0,79.0,53.2,2,0.5,0.4,9.0,24.0,8.0,0.0,36.0,601.0,544.0,55.0,17.0,6.0,7.0,15,20.0,9.0,1.0,6.0,0.0,492.0,2.0,11.0,25.0,17.0,1.0,3.0,3.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,5,2.0,3.0,1.0,2.0,7.0,28.6,5.0,14.0,2.0,12.0,12,18,10.0,1.0,58,690.0,67.0,191.0,331.0,173.0,30.0,690.0,15.0,9.0,60.0,6.0,40.0,486.0,2461.0,1321.0,34.0,21.0,11.0,11.0,16.0,488.0,35.0,2,0,0,14,11,2,15,12,5,0,0,0,48.0,8.0,14.0,36.4,1.0
2018-08-19,13:30 (05:30),Premier League,Matchweek 2,Sun,Home,W,6,1,Huddersfield,5,32,14,43.8,0.16,0.36,18.0,1.0,0,0,4.2,4.2,0.14,0.8,0.8,1,1,0,0.0,0,0.5,-0.5,0,0,0,0,3.0,6.0,50.0,19.0,6.0,10.5,28.5,7.0,57.1,49.0,7.0,0.0,0.0,1.0,20.0,732.0,806.0,90.8,11764.0,3222.0,335.0,355.0,94.4,267.0,286.0,93.4,71.0,88.0,80.7,2,2.8,1.7,22.0,82.0,17.0,2.0,77.0,806.0,767.0,38.0,4.0,2.0,9.0,24,15.0,10.0,5.0,2.0,0.0,732.0,1.0,10.0,57.0,42.0,3.0,9.0,2.0,1.0,0.0,7.0,4.0,2.0,0.0,0.0,1.0,0.0,5.0,3,2.0,3.0,0.0,0.0,4.0,0.0,4.0,13.0,2.0,11.0,5,10,27.0,0.0,76,924.0,36.0,137.0,438.0,357.0,50.0,924.0,23.0,18.0,78.3,5.0,21.7,668.0,3231.0,1852.0,48.0,41.0,9.0,13.0,11.0,730.0,77.0,0,0,0,9,4,1,24,5,3,0,0,0,49.0,17.0,18.0,48.6,1.0
2018-08-25,12:30 (04:30),Premier League,Matchweek 3,Sat,Away,D,1,1,Wolves,1,18,6,33.3,0.06,0.17,18.6,1.0,0,0,1.6,1.6,0.09,-0.6,-0.6,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,3.0,3.0,100.0,15.0,1.0,6.7,20.9,7.0,28.6,32.4,11.0,1.0,9.1,1.0,15.5,601.0,698.0,86.1,9432.0,2916.0,287.0,307.0,93.5,242.0,273.0,88.6,40.0,61.0,65.6,1,1.2,1.5,11.0,41.0,13.0,1.0,59.0,698.0,641.0,54.0,16.0,1.0,2.0,30,20.0,9.0,3.0,4.0,0.0,601.0,3.0,11.0,31.0,24.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,8,3.0,6.0,0.0,6.0,12.0,50.0,6.0,10.0,3.0,7.0,7,16,13.0,0.0,71,794.0,39.0,127.0,440.0,231.0,32.0,794.0,20.0,16.0,80.0,4.0,20.0,578.0,3161.0,1778.0,28.0,24.0,7.0,15.0,15.0,600.0,59.0,2,0,0,8,13,3,30,7,8,0,0,0,44.0,13.0,15.0,46.4,1.0
2018-09-01,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,W,2,1,Newcastle Utd,2,24,8,33.3,0.08,0.25,17.5,3.0,0,0,2.0,2.0,0.09,0.0,0.0,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,2.0,4.0,50.0,20.0,6.0,20.0,24.8,3.0,0.0,25.7,3.0,1.0,33.3,2.0,21.5,730.0,827.0,88.3,11155.0,3167.0,361.0,395.0,91.4,257.0,278.0,92.4,54.0,73.0,74.0,2,1.5,1.5,15.0,67.0,10.0,3.0,64.0,827.0,774.0,51.0,11.0,3.0,6.0,21,31.0,4.0,1.0,3.0,0.0,730.0,2.0,12.0,43.0,32.0,2.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,6,5.0,4.0,0.0,2.0,9.0,22.2,7.0,6.0,0.0,6.0,6,15,9.0,0.0,78,915.0,27.0,115.0,508.0,296.0,35.0,915.0,13.0,8.0,61.5,5.0,38.5,686.0,3956.0,2262.0,39.0,30.0,15.0,18.0,14.0,726.0,63.0,0,0,0,5,13,2,21,6,6,0,0,0,42.0,12.0,15.0,44.4,1.0
2018-09-15,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,W,3,0,Fulham,3,28,9,32.1,0.11,0.33,16.6,1.0,0,0,4.8,4.8,0.18,-1.8,-1.8,3,0,3,100.0,1,0.3,0.3,0,0,0,0,1.0,1.0,100.0,19.0,4.0,0.0,17.1,4.0,25.0,37.3,9.0,1.0,11.1,1.0,20.0,696.0,782.0,89.0,10925.0,3215.0,339.0,358.0,94.7,250.0,280.0,89.3,57.0,70.0,81.4,2,3.9,2.5,22.0,48.0,20.0,2.0,62.0,782.0,737.0,40.0,8.0,5.0,5.0,20,17.0,10.0,1.0,7.0,0.0,696.0,5.0,13.0,49.0,38.0,2.0,3.0,4.0,1.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,16.0,11,9.0,5.0,2.0,7.0,15.0,46.7,8.0,9.0,1.0,8.0,12,28,16.0,1.0,64,898.0,49.0,161.0,479.0,264.0,50.0,898.0,17.0,13.0,76.5,4.0,23.5,644.0,3128.0,2009.0,40.0,30.0,13.0,20.0,10.0,685.0,62.0,0,0,0,7,7,5,20,12,11,0,0,0,65.0,10.0,7.0,58.8,1.0
2018-09-19,20:00 (12:00),Champions Lg,Group stage,Wed,Home,L,1,2,fr Lyon,1,22,8,36.4,0.05,0.13,17.9,1.0,0,0,1.2,1.2,0.05,-0.2,-0.2,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,1.0,2.0,50.0,28.0,3.0,3.6,23.2,4.0,25.0,33.3,6.0,0.0,0.0,5.0,26.2,665.0,756.0,88.0,10577.0,3240.0,346.0,372.0,93.0,235.0,260.0,90.4,54.0,73.0,74.0,1,0.9,1.7,17.0,42.0,19.0,2.0,80.0,756.0,709.0,46.0,15.0,0.0,11.0,23,17.0,7.0,1.0,4.0,0.0,665.0,1.0,15.0,41.0,31.0,6.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,6,2.0,9.0,2.0,4.0,14.0,28.6,10.0,7.0,4.0,3.0,17,30,7.0,3.0,69,864.0,57.0,163.0,410.0,298.0,45.0,864.0,16.0,8.0,50.0,8.0,50.0,666.0,3665.0,2227.0,45.0,44.0,10.0,17.0,15.0,662.0,80.0,1,0,0,14,11,1,23,17,6,0,0,0,66.0,13.0,7.0,65.0,2.0
2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,5,0,Cardiff City,5,21,10,47.6,0.24,0.5,13.9,1.0,0,0,2.5,2.5,0.12,2.5,2.5,2,0,2,100.0,1,0.1,0.1,0,0,0,0,2.0,4.0,50.0,29.0,8.0,10.3,24.1,4.0,25.0,39.8,6.0,2.0,33.3,3.0,18.7,755.0,846.0,89.2,12211.0,3258.0,363.0,383.0,94.8,316.0,351.0,90.0,49.0,73.0,67.1,4,1.6,1.8,15.0,37.0,11.0,1.0,61.0,846.0,809.0,36.0,7.0,1.0,4.0,23,15.0,9.0,2.0,4.0,0.0,755.0,1.0,6.0,36.0,29.0,1.0,2.0,2.0,2.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,10,6.0,4.0,2.0,3.0,5.0,60.0,2.0,2.0,0.0,2.0,11,23,11.0,0.0,78,933.0,39.0,148.0,585.0,210.0,50.0,933.0,15.0,6.0,40.0,9.0,60.0,729.0,3715.0,2114.0,39.0,31.0,13.0,11.0,7.0,750.0,61.0,1,0,0,4,5,1,23,11,10,0,0,0,43.0,9.0,10.0,47.4,1.0
2018-09-29,15:00 (07:00),Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,2,28,8,28.6,0.07,0.25,15.9,0.0,0,0,2.7,2.7,0.1,-0.7,-0.7,1,0,1,100.0,1,0.2,0.2,0,0,0,0,0.0,0.0,,11.0,3.0,0.0,20.1,2.0,0.0,28.0,5.0,0.0,0.0,0.0,15.0,818.0,900.0,90.9,12037.0,2901.0,436.0,457.0,95.4,277.0,305.0,90.8,43.0,63.0,68.3,2,2.5,3.5,24.0,58.0,28.0,5.0,84.0,900.0,857.0,43.0,12.0,0.0,11.0,29,18.0,10.0,0.0,8.0,0.0,818.0,0.0,6.0,52.0,43.0,3.0,2.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,10,4.0,6.0,5.0,7.0,8.0,87.5,1.0,4.0,2.0,2.0,12,27,8.0,0.0,79,1002.0,28.0,94.0,466.0,445.0,56.0,1002.0,18.0,13.0,72.2,5.0,27.8,764.0,3867.0,2318.0,53.0,40.0,9.0,11.0,10.0,814.0,84.0,0,0,0,4,10,0,29,12,10,0,0,0,51.0,14.0,8.0,63.6,1.0
2018-10-02,18:55 (09:55),Champions Lg,Group stage,Tue,Away,W,2,1,de Hoffenheim,2,15,6,40.0,0.13,0.33,15.7,0.0,0,0,2.2,2.2,0.15,-0.2,-0.2,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,4.0,5.0,80.0,13.0,4.0,23.1,28.8,5.0,40.0,42.2,5.0,1.0,20.0,2.0,21.2,610.0,691.0,88.3,9757.0,2829.0,292.0,315.0,92.7,245.0,271.0,90.4,47.0,64.0,73.4,0,1.1,1.9,11.0,51.0,10.0,0.0,52.0,691.0,638.0,51.0,13.0,2.0,1.0,21,23.0,8.0,1.0,5.0,0.0,610.0,2.0,8.0,22.0,12.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,10,5.0,6.0,3.0,4.0,13.0,30.8,9.0,5.0,1.0,4.0,9,23,17.0,1.0,66,792.0,24.0,77.0,468.0,254.0,30.0,792.0,25.0,14.0,56.0,11.0,44.0,575.0,3544.0,1900.0,44.0,39.0,10.0,18.0,21.0,604.0,50.0,4,0,0,16,12,2,21,9,10,0,0,0,50.0,13.0,7.0,65.0,2.0
2018-10-07,16:30 (08:30),Premier League,Matchweek 8,Sun,Away,D,0,0,Liverpool,0,5,2,40.0,0.0,0.0,19.1,0.0,0,1,1.0,0.3,0.05,-1.0,-0.3,2,0,2,100.0,1,0.5,0.5,0,0,0,0,2.0,7.0,28.6,29.0,7.0,10.3,24.3,10.0,40.0,44.3,13.0,1.0,7.7,2.0,14.0,460.0,570.0,80.7,7166.0,2485.0,242.0,270.0,89.6,154.0,185.0,83.2,32.0,62.0,51.6,0,0.2,0.2,4.0,18.0,7.0,0.0,36.0,570.0,519.0,46.0,11.0,1.0,4.0,12,18.0,6.0,1.0,4.0,0.0,460.0,5.0,7.0,10.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11,9.0,6.0,1.0,5.0,9.0,55.6,4.0,12.0,1.0,11.0,13,29,25.0,0.0,51,672.0,82.0,224.0,332.0,122.0,17.0,671.0,13.0,7.0,53.8,6.0,46.2,452.0,2384.0,1239.0,35.0,22.0,5.0,8.0,11.0,457.0,33.0,3,0,0,10,10,5,12,13,11,1,0,0,50.0,17.0,6.0,73.9,1.0
