Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-10,20:00 (12:00),Premier League,Matchweek 1,Fri,Home,W,2,1,Leicester City,2,7,5,71.4,0.14,0.2,20.8,0.0,1,1,1.5,0.7,0.1,0.5,0.3,4,1,3,75.0,0,1.4,0.4,0,0,0,0,3.0,16.0,18.8,17.0,1.0,64.7,44.4,5.0,100.0,60.6,23.0,0.0,0.0,0.0,9.0,418.0,522.0,80.1,6673.0,2221.0,228.0,247.0,92.3,119.0,148.0,80.4,43.0,77.0,55.8,1,0.7,0.3,7.0,31.0,2.0,0.0,27.0,522.0,480.0,38.0,9.0,1.0,8.0,12,20.0,2.0,1.0,0.0,1.0,418.0,4.0,7.0,14.0,12.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,26.0,13,14.0,9.0,3.0,9.0,18.0,50.0,9.0,15.0,5.0,10.0,17,43,36.0,0.0,47,648.0,70.0,222.0,331.0,103.0,9.0,647.0,14.0,11.0,78.6,3.0,21.4,311.0,1575.0,770.0,15.0,6.0,2.0,17.0,11.0,416.0,27.0,2,0,0,11,7,4,12,17,13,0,0,0,64.0,9.0,13.0,40.9,1
2018-08-19,16:00 (08:00),Premier League,Matchweek 2,Sun,Away,L,2,3,Brighton,2,8,2,25.0,0.13,0.5,20.8,0.0,1,1,1.4,0.6,0.08,0.6,0.4,3,3,0,33.3,0,2.1,-0.9,1,1,0,0,6.0,16.0,37.5,29.0,3.0,41.4,35.4,4.0,100.0,56.8,12.0,2.0,16.7,2.0,15.0,515.0,621.0,82.9,8921.0,2949.0,213.0,236.0,90.3,217.0,243.0,89.3,52.0,86.0,60.5,0,0.3,0.4,4.0,28.0,5.0,0.0,43.0,621.0,562.0,57.0,17.0,0.0,4.0,17,27.0,5.0,2.0,0.0,3.0,515.0,2.0,12.0,17.0,13.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,12.0,5,4.0,7.0,1.0,3.0,6.0,50.0,3.0,7.0,0.0,7.0,4,16,19.0,0.0,66,729.0,43.0,215.0,404.0,115.0,12.0,728.0,20.0,8.0,40.0,12.0,60.0,417.0,2002.0,1027.0,16.0,15.0,4.0,22.0,16.0,514.0,43.0,1,0,0,13,16,2,17,4,5,1,1,0,49.0,22.0,12.0,64.7,1
2018-08-27,20:00 (12:00),Premier League,Matchweek 3,Mon,Home,L,0,3,Tottenham,0,23,5,21.7,0.0,0.0,18.2,1.0,0,0,1.5,1.5,0.06,-1.5,-1.5,5,3,2,40.0,0,2.4,-0.6,0,0,0,0,12.0,25.0,48.0,32.0,4.0,65.6,47.1,4.0,100.0,64.5,6.0,0.0,0.0,1.0,15.8,413.0,549.0,75.2,7888.0,3147.0,176.0,209.0,84.2,162.0,207.0,78.3,62.0,98.0,63.3,0,1.0,0.9,17.0,36.0,13.0,6.0,52.0,549.0,489.0,58.0,16.0,3.0,8.0,26,29.0,5.0,5.0,0.0,0.0,413.0,2.0,11.0,44.0,36.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6,5.0,4.0,2.0,6.0,11.0,54.5,5.0,15.0,2.0,13.0,10,21,14.0,1.0,57,656.0,50.0,174.0,322.0,166.0,30.0,656.0,11.0,7.0,63.6,4.0,36.4,308.0,1604.0,854.0,23.0,15.0,7.0,17.0,19.0,411.0,52.0,2,0,0,11,16,2,26,10,6,0,0,0,69.0,24.0,13.0,64.9,1
2018-09-02,16:00 (08:00),Premier League,Matchweek 4,Sun,Away,W,2,0,Burnley,2,20,8,40.0,0.1,0.25,18.4,0.0,0,1,2.5,1.7,0.09,-0.5,0.3,2,0,2,100.0,1,0.3,0.3,0,0,0,0,6.0,23.0,26.1,22.0,5.0,59.1,45.1,10.0,100.0,64.6,20.0,1.0,5.0,0.0,5.5,464.0,555.0,83.6,7913.0,2556.0,228.0,246.0,92.7,154.0,172.0,89.5,51.0,93.0,54.8,1,1.6,1.6,16.0,35.0,15.0,3.0,49.0,555.0,513.0,41.0,7.0,2.0,12.0,18,18.0,5.0,3.0,2.0,0.0,464.0,1.0,2.0,38.0,28.0,3.0,1.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,3,0.0,6.0,0.0,1.0,5.0,20.0,4.0,6.0,1.0,5.0,6,12,33.0,0.0,53,656.0,55.0,165.0,325.0,171.0,38.0,655.0,10.0,6.0,60.0,4.0,40.0,351.0,1904.0,1125.0,33.0,16.0,10.0,9.0,8.0,459.0,47.0,3,1,0,13,7,1,18,6,3,1,0,0,43.0,19.0,20.0,48.7,1
2018-09-15,17:30 (09:30),Premier League,Matchweek 5,Sat,Away,W,2,1,Watford,2,9,6,66.7,0.22,0.33,15.0,0.0,0,0,1.9,1.9,0.21,0.1,0.1,5,1,4,80.0,0,1.4,0.4,0,0,0,0,6.0,16.0,37.5,11.0,1.0,63.6,43.2,9.0,100.0,67.3,20.0,0.0,0.0,0.0,17.0,440.0,562.0,78.3,8272.0,2967.0,192.0,219.0,87.7,167.0,204.0,81.9,64.0,97.0,66.0,1,0.9,0.8,6.0,34.0,7.0,1.0,42.0,562.0,512.0,46.0,11.0,1.0,8.0,21,16.0,8.0,3.0,1.0,3.0,440.0,4.0,8.0,17.0,12.0,3.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,6,5.0,4.0,2.0,5.0,12.0,41.7,7.0,14.0,6.0,8.0,11,22,32.0,1.0,57,667.0,63.0,195.0,319.0,157.0,21.0,667.0,13.0,4.0,30.8,9.0,69.2,332.0,1537.0,793.0,18.0,13.0,3.0,10.0,16.0,436.0,42.0,3,1,1,11,8,4,21,11,6,0,0,0,58.0,21.0,18.0,53.8,1
2018-09-19,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,3,0,ch Young Boys,3,15,4,26.7,0.13,0.5,18.6,1.0,1,1,2.0,1.2,0.08,1.0,0.8,4,0,4,100.0,1,0.3,0.3,0,0,0,0,7.0,16.0,43.8,23.0,6.0,43.5,35.1,10.0,60.0,51.8,22.0,1.0,4.5,1.0,12.3,475.0,559.0,85.0,7836.0,2853.0,242.0,258.0,93.8,163.0,191.0,85.3,46.0,74.0,62.2,2,1.2,0.7,14.0,35.0,7.0,3.0,46.0,559.0,514.0,43.0,12.0,0.0,6.0,21,13.0,7.0,2.0,4.0,1.0,475.0,2.0,7.0,30.0,24.0,2.0,2.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,11,10.0,7.0,0.0,5.0,12.0,41.7,7.0,11.0,5.0,6.0,5,22,34.0,0.0,56,677.0,84.0,194.0,360.0,127.0,24.0,676.0,16.0,9.0,56.3,7.0,43.8,372.0,2241.0,1303.0,31.0,22.0,10.0,14.0,20.0,471.0,45.0,1,0,0,8,11,2,21,5,11,0,0,0,54.0,15.0,13.0,53.6,2
2018-09-22,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,D,1,1,Wolves,1,15,6,40.0,0.07,0.17,24.2,3.0,0,0,0.6,0.6,0.04,0.4,0.4,8,1,7,87.5,0,1.7,0.7,0,0,0,0,10.0,20.0,50.0,24.0,3.0,58.3,39.2,8.0,75.0,52.4,6.0,0.0,0.0,1.0,13.3,617.0,740.0,83.4,10383.0,3367.0,288.0,316.0,91.1,244.0,277.0,88.1,58.0,96.0,60.4,1,0.3,0.9,9.0,48.0,12.0,1.0,63.0,740.0,679.0,58.0,16.0,1.0,6.0,23,27.0,5.0,4.0,0.0,0.0,617.0,3.0,11.0,29.0,23.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,11,9.0,5.0,2.0,5.0,12.0,41.7,7.0,6.0,0.0,6.0,5,21,14.0,0.0,64,824.0,57.0,168.0,452.0,207.0,25.0,824.0,11.0,8.0,72.7,3.0,27.3,452.0,2284.0,1305.0,26.0,19.0,4.0,14.0,10.0,616.0,63.0,1,0,0,5,16,3,23,5,11,0,0,0,57.0,17.0,23.0,42.5,1
2018-09-29,12:30 (04:30),Premier League,Matchweek 7,Sat,Away,L,1,3,West Ham,1,9,4,44.4,0.11,0.25,19.4,1.0,0,0,0.7,0.7,0.07,0.3,0.3,3,3,1,0.0,0,1.9,-0.1,0,0,0,0,5.0,9.0,55.6,12.0,3.0,41.7,34.7,7.0,57.1,44.3,13.0,0.0,0.0,0.0,4.0,427.0,525.0,81.3,6938.0,2373.0,230.0,252.0,91.3,143.0,163.0,87.7,40.0,78.0,51.3,1,0.5,0.5,7.0,39.0,5.0,2.0,47.0,525.0,462.0,59.0,13.0,1.0,6.0,35,26.0,9.0,1.0,5.0,1.0,427.0,4.0,10.0,18.0,14.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,7,3.0,6.0,0.0,3.0,7.0,42.9,4.0,8.0,1.0,7.0,9,18,18.0,0.0,52,624.0,40.0,113.0,341.0,180.0,21.0,624.0,21.0,7.0,33.3,14.0,66.7,357.0,2250.0,1285.0,28.0,29.0,2.0,15.0,11.0,424.0,47.0,1,0,0,12,12,4,35,9,7,0,0,1,56.0,19.0,11.0,63.3,1
2018-10-02,20:00 (12:00),Champions Lg,Group stage,Tue,Home,D,0,0,es Valencia,0,18,4,22.2,0.0,0.0,18.7,4.0,0,0,0.9,0.9,0.05,-0.9,-0.9,1,0,1,100.0,1,0.0,0.0,0,0,0,0,6.0,11.0,54.5,9.0,1.0,44.4,38.0,7.0,100.0,66.7,5.0,0.0,0.0,0.0,,441.0,542.0,81.4,7839.0,2956.0,211.0,230.0,91.7,160.0,189.0,84.7,54.0,85.0,63.5,0,0.5,0.8,10.0,35.0,12.0,3.0,51.0,542.0,484.0,54.0,11.0,1.0,5.0,31,24.0,11.0,7.0,3.0,0.0,441.0,4.0,11.0,30.0,17.0,4.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11,6.0,7.0,3.0,6.0,11.0,54.5,5.0,15.0,2.0,13.0,12,28,21.0,1.0,52,648.0,39.0,153.0,319.0,180.0,21.0,648.0,15.0,6.0,40.0,9.0,60.0,367.0,2014.0,996.0,20.0,15.0,4.0,12.0,12.0,440.0,51.0,1,0,0,16,14,4,31,12,11,0,0,0,53.0,11.0,10.0,52.4,2
2018-10-06,17:30 (09:30),Premier League,Matchweek 8,Sat,Home,W,3,2,Newcastle Utd,3,18,10,55.6,0.17,0.3,17.2,1.0,0,0,1.9,1.9,0.1,1.1,1.1,8,2,6,75.0,0,1.9,-0.1,0,0,0,0,4.0,10.0,40.0,25.0,7.0,40.0,31.9,5.0,0.0,20.8,11.0,0.0,0.0,1.0,22.0,558.0,694.0,80.4,9747.0,3346.0,242.0,268.0,90.3,237.0,276.0,85.9,50.0,89.0,56.2,2,1.5,1.8,13.0,47.0,18.0,7.0,71.0,694.0,636.0,57.0,7.0,1.0,8.0,44,32.0,10.0,2.0,4.0,2.0,558.0,1.0,15.0,34.0,26.0,5.0,1.0,1.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,11.0,8,7.0,2.0,2.0,4.0,8.0,50.0,4.0,5.0,0.0,5.0,4,15,22.0,0.0,72,800.0,47.0,182.0,391.0,232.0,42.0,800.0,12.0,7.0,58.3,5.0,41.7,419.0,2465.0,1485.0,35.0,20.0,7.0,19.0,13.0,556.0,71.0,2,0,0,16,8,1,44,4,8,0,0,0,52.0,19.0,16.0,54.3,1
