Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1,8,3,37.5,0.13,0.33,19.0,0.0,0,0,1.3,1.3,0.18,-0.3,-0.3,3,1,2,66.7,0,1.1,0.1,0,0,0,0,5.0,24.0,20.8,24.0,2.0,66.7,50.5,8.0,100.0,72.8,11.0,0.0,0.0,0.0,,362.0,476.0,76.1,6328.0,2134.0,162.0,183.0,88.5,146.0,170.0,85.9,38.0,94.0,40.4,0,0.5,0.8,5.0,32.0,7.0,2.0,30.0,476.0,423.0,52.0,11.0,3.0,1.0,18,27.0,4.0,3.0,0.0,0.0,362.0,1.0,7.0,12.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,11,7.0,5.0,2.0,9.0,17.0,52.9,8.0,14.0,2.0,12.0,14,28,16.0,0.0,47,584.0,50.0,171.0,257.0,161.0,11.0,584.0,15.0,6.0,40.0,9.0,60.0,252.0,1062.0,449.0,5.0,6.0,0.0,11.0,9.0,361.0,29.0,1,0,0,19,9,1,18,14,11,0.0,0.0,0,53.0,20.0,13.0,60.6,1
2019-08-18,14:00 (06:00),Premier League,Matchweek 2,Sun,Home,W,1,0,Crystal Palace,1,15,3,20.0,0.07,0.33,15.6,0.0,0,0,2.2,2.2,0.15,-1.2,-1.2,4,0,4,100.0,1,0.6,0.6,0,0,0,0,7.0,15.0,46.7,22.0,5.0,59.1,44.6,2.0,100.0,80.5,10.0,1.0,10.0,0.0,6.5,308.0,411.0,74.9,5749.0,2172.0,150.0,171.0,87.7,102.0,126.0,81.0,48.0,88.0,54.5,0,1.5,1.1,10.0,22.0,3.0,2.0,38.0,411.0,357.0,54.0,12.0,0.0,7.0,21,31.0,8.0,5.0,0.0,0.0,308.0,0.0,10.0,24.0,16.0,4.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,11,11.0,6.0,3.0,10.0,20.0,50.0,10.0,12.0,2.0,10.0,14,34,38.0,0.0,43,569.0,53.0,177.0,195.0,200.0,22.0,569.0,20.0,9.0,45.0,11.0,55.0,244.0,1074.0,505.0,12.0,6.0,2.0,21.0,10.0,305.0,35.0,3,0,0,16,10,0,21,14,11,0.0,0.0,0,48.0,23.0,27.0,46.0,1
2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,1,7,2,28.6,0.14,0.5,19.0,1.0,0,0,0.3,0.3,0.05,0.7,0.7,2,2,0,0.0,0,0.8,-1.2,0,0,0,0,5.0,21.0,23.8,15.0,1.0,86.7,58.1,9.0,88.9,64.8,10.0,0.0,0.0,0.0,,352.0,486.0,72.4,6183.0,2187.0,178.0,197.0,90.4,100.0,145.0,69.0,55.0,99.0,55.6,1,0.2,0.8,4.0,29.0,13.0,5.0,45.0,486.0,425.0,60.0,10.0,1.0,8.0,32,31.0,7.0,7.0,0.0,0.0,352.0,1.0,14.0,13.0,10.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,13,8.0,4.0,4.0,6.0,15.0,40.0,9.0,7.0,4.0,3.0,15,31,16.0,1.0,49,585.0,41.0,131.0,219.0,241.0,21.0,585.0,14.0,11.0,78.6,3.0,21.4,263.0,1326.0,598.0,19.0,15.0,4.0,21.0,10.0,350.0,44.0,1,0,0,11,6,1,32,15,13,0.0,0.0,0,50.0,25.0,21.0,54.3,1
2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Chelsea,1,8,2,25.0,0.13,0.5,20.1,0.0,0,0,1.1,1.1,0.14,-0.1,-0.1,5,2,3,60.0,0,2.1,0.1,0,0,0,0,8.0,23.0,34.8,33.0,4.0,54.5,44.9,5.0,100.0,70.8,12.0,0.0,0.0,0.0,9.0,360.0,465.0,77.4,6825.0,2516.0,160.0,183.0,87.4,146.0,169.0,86.4,50.0,88.0,56.8,1,1.1,0.8,7.0,29.0,5.0,1.0,42.0,465.0,427.0,38.0,8.0,1.0,7.0,14,18.0,4.0,2.0,0.0,2.0,360.0,0.0,8.0,16.0,13.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,10,9.0,5.0,1.0,5.0,21.0,23.8,16.0,6.0,3.0,3.0,17,32,24.0,2.0,38,570.0,63.0,188.0,275.0,110.0,10.0,570.0,15.0,7.0,46.7,8.0,53.3,279.0,1229.0,566.0,16.0,9.0,0.0,8.0,8.0,358.0,42.0,1,0,0,11,6,0,14,17,10,0.0,0.0,0,55.0,23.0,19.0,54.8,1
2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,0,1,Southampton,0,17,4,23.5,0.0,0.0,16.7,0.0,0,0,1.8,1.8,0.11,-1.8,-1.8,7,1,6,85.7,0,2.4,1.4,0,0,0,0,3.0,17.0,17.6,22.0,9.0,50.0,43.7,6.0,100.0,70.3,15.0,0.0,0.0,1.0,26.0,345.0,486.0,71.0,6306.0,2485.0,165.0,202.0,81.7,130.0,159.0,81.8,46.0,99.0,46.5,0,1.7,1.1,16.0,29.0,8.0,1.0,45.0,486.0,429.0,54.0,7.0,0.0,4.0,33,27.0,12.0,9.0,0.0,2.0,345.0,3.0,13.0,34.0,24.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11,15.0,5.0,1.0,6.0,26.0,23.1,20.0,8.0,1.0,7.0,10,31,27.0,0.0,49,609.0,56.0,188.0,237.0,189.0,28.0,609.0,22.0,16.0,72.7,6.0,27.3,255.0,1177.0,563.0,17.0,13.0,7.0,11.0,12.0,341.0,45.0,1,1,0,10,6,3,33,10,11,0.0,0.0,0,57.0,16.0,19.0,45.7,1
2019-09-21,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,2,0,Everton,1,2,1,50.0,0.5,1.0,12.8,0.0,0,0,0.5,0.5,0.23,0.5,0.5,3,0,3,100.0,1,0.9,0.9,0,0,0,0,8.0,26.0,30.8,16.0,4.0,75.0,54.1,14.0,100.0,75.6,32.0,1.0,3.1,0.0,4.3,163.0,267.0,61.0,3190.0,1653.0,86.0,106.0,81.1,44.0,64.0,68.8,27.0,76.0,35.5,1,0.5,0.2,2.0,13.0,3.0,1.0,14.0,267.0,216.0,50.0,10.0,1.0,1.0,13,22.0,3.0,1.0,0.0,2.0,163.0,1.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,10,8.0,6.0,1.0,10.0,25.0,40.0,15.0,12.0,7.0,5.0,14,29,64.0,0.0,31,418.0,99.0,225.0,110.0,86.0,6.0,418.0,12.0,5.0,41.7,7.0,58.3,132.0,814.0,350.0,9.0,7.0,1.0,14.0,3.0,163.0,14.0,3,0,0,9,8,1,13,14,10,0.0,0.0,0,43.0,24.0,19.0,55.8,1
2019-09-28,12:30 (04:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Liverpool,0,12,2,16.7,0.0,0.0,14.0,0.0,0,0,1.3,1.3,0.11,-1.3,-1.3,4,1,3,75.0,0,1.2,0.2,0,0,0,0,8.0,29.0,27.6,20.0,2.0,85.0,55.1,12.0,100.0,69.5,17.0,1.0,5.9,0.0,2.5,220.0,334.0,65.9,4483.0,2090.0,98.0,123.0,79.7,75.0,108.0,69.4,40.0,78.0,51.3,0,1.1,0.7,9.0,21.0,6.0,4.0,24.0,334.0,285.0,49.0,5.0,2.0,5.0,17,24.0,6.0,3.0,0.0,2.0,220.0,0.0,10.0,23.0,18.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7,5.0,4.0,2.0,5.0,12.0,41.7,7.0,10.0,3.0,7.0,12,23,32.0,4.0,30,450.0,72.0,157.0,170.0,129.0,23.0,450.0,11.0,8.0,72.7,3.0,27.3,175.0,919.0,546.0,13.0,8.0,4.0,14.0,8.0,219.0,24.0,1,0,0,8,4,0,17,12,7,0.0,0.0,0,46.0,20.0,26.0,43.5,1
2019-10-05,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,0,0,Watford,0,9,3,33.3,0.0,0.0,19.8,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,2,0,2,100.0,1,0.7,0.7,0,0,0,0,3.0,19.0,15.8,20.0,3.0,65.0,45.9,6.0,100.0,67.7,17.0,1.0,5.9,1.0,16.0,487.0,613.0,79.4,9076.0,2669.0,227.0,242.0,93.8,175.0,209.0,83.7,74.0,135.0,54.8,0,0.2,0.6,6.0,37.0,5.0,2.0,47.0,613.0,564.0,46.0,9.0,0.0,15.0,30,23.0,7.0,4.0,0.0,3.0,487.0,3.0,5.0,16.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9,8.0,4.0,3.0,8.0,18.0,44.4,10.0,3.0,2.0,1.0,9,24,27.0,0.0,60,728.0,56.0,209.0,350.0,178.0,20.0,728.0,11.0,7.0,63.6,2.0,18.2,358.0,1596.0,727.0,14.0,13.0,3.0,20.0,13.0,483.0,47.0,2,0,0,6,7,3,30,9,9,0.0,0.0,0,59.0,24.0,26.0,48.0,1
2019-10-21,20:00 (12:00),Premier League,Matchweek 9,Mon,Home,W,1,0,Arsenal,1,8,2,25.0,0.13,0.5,17.6,0.0,0,0,0.9,0.9,0.12,0.1,0.1,3,0,3,100.0,1,0.4,0.4,0,0,0,0,10.0,21.0,47.6,18.0,0.0,88.9,57.4,5.0,100.0,71.4,22.0,0.0,0.0,0.0,,233.0,334.0,69.8,4160.0,1973.0,126.0,148.0,85.1,69.0,93.0,74.2,32.0,68.0,47.1,1,0.9,1.0,7.0,22.0,8.0,2.0,23.0,334.0,280.0,53.0,13.0,0.0,1.0,19,27.0,7.0,3.0,2.0,0.0,233.0,1.0,6.0,16.0,9.0,4.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,14,14.0,4.0,3.0,9.0,29.0,31.0,20.0,7.0,2.0,5.0,13,34,27.0,0.0,33,463.0,68.0,159.0,163.0,146.0,23.0,463.0,6.0,3.0,50.0,3.0,50.0,197.0,908.0,421.0,9.0,6.0,3.0,15.0,14.0,233.0,23.0,4,0,0,10,11,1,19,13,14,0.0,0.0,0,46.0,27.0,14.0,65.9,1
2019-10-26,15:00 (07:00),Premier League,Matchweek 10,Sat,Away,D,1,1,West Ham,1,10,3,30.0,0.1,0.33,12.7,0.0,0,0,1.0,1.0,0.1,0.0,0.0,4,1,3,75.0,0,1.6,0.6,0,0,0,0,5.0,23.0,21.7,20.0,2.0,85.0,55.0,7.0,85.7,62.6,25.0,2.0,8.0,0.0,7.5,285.0,398.0,71.6,5230.0,1903.0,138.0,154.0,89.6,113.0,145.0,77.9,32.0,83.0,38.6,1,0.9,0.4,9.0,18.0,6.0,2.0,31.0,398.0,350.0,44.0,11.0,0.0,7.0,15,20.0,4.0,2.0,0.0,0.0,285.0,4.0,7.0,18.0,12.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,6,7.0,3.0,1.0,4.0,14.0,28.6,10.0,10.0,1.0,9.0,14,25,28.0,0.0,40,520.0,73.0,183.0,229.0,113.0,18.0,520.0,18.0,13.0,72.2,5.0,27.8,236.0,1261.0,677.0,20.0,14.0,2.0,12.0,7.0,284.0,31.0,2,0,0,10,7,4,15,14,6,0.0,0.0,0,59.0,24.0,19.0,55.8,1
