Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,3,Burnley,0,11,3,27.3,0.0,0.0,18.7,1.0,0,0,1.2,1.2,0.11,-1.2,-1.2,4,3,1,25.0,0,0.9,-2.1,0,0,0,0,6.0,26.0,23.1,20.0,1.0,80.0,49.4,11.0,90.9,55.4,13.0,0.0,0.0,1.0,15.5,273.0,439.0,62.2,4776.0,2018.0,141.0,179.0,78.8,93.0,137.0,67.9,33.0,96.0,34.4,0,0.9,1.3,5.0,23.0,6.0,2.0,33.0,439.0,372.0,66.0,10.0,0.0,5.0,10,34.0,7.0,3.0,3.0,0.0,273.0,1.0,12.0,16.0,9.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5,2.0,4.0,1.0,1.0,15.0,6.7,14.0,10.0,1.0,9.0,10,17,18.0,1.0,53,556.0,45.0,147.0,298.0,117.0,27.0,556.0,11.0,6.0,54.5,5.0,45.5,230.0,1237.0,618.0,13.0,9.0,5.0,16.0,16.0,269.0,32.0,0,0,0,12,6,1,10,10,5,0.0,0.0,0,53.0,22.0,22.0,50.0,1
2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,L,1,2,Liverpool,1,14,3,21.4,0.07,0.33,15.3,0.0,0,0,1.9,1.9,0.14,-0.9,-0.9,6,2,4,66.7,0,1.8,-0.2,0,0,0,0,5.0,18.0,27.8,14.0,3.0,78.6,48.7,8.0,87.5,57.6,20.0,2.0,10.0,2.0,13.3,220.0,348.0,63.2,3958.0,1638.0,107.0,138.0,77.5,77.0,105.0,73.3,28.0,80.0,35.0,0,1.6,0.9,8.0,16.0,4.0,2.0,24.0,348.0,295.0,49.0,7.0,1.0,5.0,19,26.0,5.0,4.0,1.0,0.0,220.0,4.0,6.0,18.0,10.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8,6.0,7.0,2.0,8.0,18.0,44.4,10.0,15.0,2.0,13.0,10,25,30.0,1.0,37,475.0,53.0,132.0,215.0,129.0,22.0,475.0,11.0,10.0,90.9,1.0,9.1,196.0,970.0,477.0,10.0,8.0,5.0,14.0,6.0,219.0,24.0,2,0,0,10,4,4,19,10,8,0.0,0.0,0,51.0,15.0,19.0,44.1,1
2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,2,0,Brighton,2,12,4,33.3,0.17,0.5,18.0,2.0,0,0,1.7,1.7,0.18,0.3,0.3,3,0,3,100.0,1,0.4,0.4,0,0,0,0,5.0,19.0,26.3,18.0,5.0,55.6,39.3,10.0,90.0,60.0,14.0,0.0,0.0,1.0,31.0,318.0,429.0,74.1,5303.0,1944.0,161.0,186.0,86.6,121.0,155.0,78.1,29.0,68.0,42.6,2,2.0,0.6,10.0,19.0,4.0,0.0,31.0,429.0,383.0,46.0,8.0,1.0,5.0,7,22.0,5.0,4.0,1.0,0.0,318.0,0.0,4.0,21.0,12.0,1.0,4.0,2.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,19.0,12,14.0,4.0,1.0,9.0,20.0,45.0,11.0,15.0,3.0,12.0,4,23,24.0,0.0,49,544.0,59.0,159.0,267.0,124.0,17.0,544.0,16.0,11.0,68.8,5.0,31.3,261.0,1719.0,1088.0,27.0,15.0,4.0,17.0,11.0,317.0,31.0,3,0,0,10,9,0,7,4,12,0.0,0.0,0,56.0,14.0,24.0,36.8,1
2019-08-31,12:30 (04:30),Premier League,Matchweek 4,Sat,Home,D,1,1,Manchester Utd,1,10,2,20.0,0.1,0.5,20.7,0.0,0,0,0.9,0.9,0.09,0.1,0.1,8,1,7,87.5,0,1.8,0.8,0,0,0,0,3.0,19.0,15.8,19.0,4.0,52.6,36.9,10.0,90.0,59.1,16.0,0.0,0.0,3.0,22.5,300.0,420.0,71.4,5136.0,2021.0,151.0,177.0,85.3,117.0,160.0,73.1,27.0,67.0,40.3,1,0.8,0.3,7.0,23.0,5.0,2.0,28.0,420.0,376.0,44.0,8.0,0.0,2.0,19,22.0,2.0,1.0,1.0,0.0,300.0,0.0,8.0,16.0,12.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,15,10.0,13.0,2.0,9.0,19.0,47.4,10.0,19.0,4.0,15.0,19,44,26.0,0.0,41,564.0,69.0,187.0,248.0,139.0,16.0,564.0,16.0,6.0,37.5,10.0,62.5,252.0,1458.0,705.0,18.0,17.0,3.0,20.0,9.0,298.0,27.0,3,1,1,17,6,0,19,19,15,0.0,0.0,0,59.0,18.0,26.0,40.9,1
2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,1,0,Sheffield Utd,1,11,7,63.6,0.09,0.14,16.7,0.0,0,0,1.6,1.6,0.14,-0.6,-0.6,4,0,4,100.0,1,0.8,0.8,0,0,0,0,5.0,17.0,29.4,22.0,4.0,40.9,35.8,10.0,80.0,56.5,23.0,0.0,0.0,0.0,4.0,385.0,515.0,74.8,6406.0,2391.0,194.0,215.0,90.2,157.0,205.0,76.6,24.0,69.0,34.8,1,1.5,0.5,9.0,19.0,5.0,1.0,29.0,515.0,461.0,53.0,13.0,1.0,0.0,20,23.0,6.0,1.0,4.0,1.0,385.0,1.0,10.0,22.0,11.0,2.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,9,13.0,4.0,1.0,6.0,22.0,27.3,16.0,12.0,4.0,8.0,9,27,32.0,0.0,51,646.0,73.0,242.0,294.0,116.0,18.0,646.0,26.0,20.0,76.9,6.0,23.1,306.0,1667.0,779.0,18.0,18.0,5.0,13.0,15.0,384.0,29.0,1,0,0,7,10,1,20,9,9,0.0,0.0,0,59.0,19.0,16.0,54.3,1
2019-09-20,20:00 (12:00),Premier League,Matchweek 6,Fri,Home,L,1,3,Bournemouth,1,24,5,20.8,0.0,0.0,19.4,0.0,1,1,2.5,1.7,0.07,-1.5,-1.7,3,3,0,0.0,0,1.8,-1.2,0,0,0,0,2.0,10.0,20.0,15.0,2.0,33.3,27.7,6.0,83.3,51.8,6.0,0.0,0.0,2.0,20.0,465.0,616.0,75.5,7887.0,2582.0,219.0,258.0,84.9,201.0,252.0,79.8,36.0,77.0,46.8,0,0.9,0.8,18.0,39.0,14.0,4.0,63.0,616.0,556.0,59.0,10.0,0.0,3.0,24,35.0,4.0,2.0,2.0,0.0,465.0,1.0,9.0,47.0,36.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,30.0,20,10.0,17.0,3.0,14.0,26.0,53.8,12.0,19.0,2.0,17.0,9,39,15.0,1.0,65,746.0,31.0,152.0,402.0,197.0,36.0,745.0,11.0,8.0,72.7,3.0,27.3,364.0,1893.0,1063.0,20.0,14.0,8.0,18.0,5.0,461.0,63.0,1,0,0,8,8,1,24,9,20,1.0,0.0,0,60.0,22.0,26.0,45.8,1
2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,1,2,Tottenham,1,14,6,42.9,0.07,0.17,19.9,1.0,0,0,1.5,1.5,0.11,-0.5,-0.5,4,2,2,50.0,0,1.2,-0.8,0,0,0,0,3.0,6.0,50.0,9.0,2.0,44.4,31.9,6.0,33.3,29.2,9.0,0.0,0.0,1.0,21.0,473.0,569.0,83.1,8101.0,2619.0,219.0,240.0,91.3,210.0,241.0,87.1,35.0,67.0,52.2,0,0.6,0.8,10.0,49.0,10.0,1.0,66.0,569.0,525.0,43.0,5.0,0.0,5.0,25,23.0,6.0,3.0,1.0,1.0,473.0,1.0,9.0,24.0,14.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,12,10.0,7.0,7.0,14.0,25.0,56.0,11.0,7.0,1.0,6.0,11,35,13.0,0.0,58,681.0,35.0,122.0,327.0,236.0,25.0,681.0,14.0,6.0,42.9,8.0,57.1,373.0,2034.0,1060.0,23.0,17.0,9.0,20.0,15.0,472.0,66.0,2,0,0,16,5,1,25,11,12,0.0,0.0,0,55.0,17.0,18.0,48.6,1
2019-10-06,14:00 (06:00),Premier League,Matchweek 8,Sun,Home,L,1,4,Chelsea,1,10,2,20.0,0.1,0.5,17.3,1.0,0,0,1.4,1.4,0.14,-0.4,-0.4,7,4,3,42.9,0,1.9,-2.1,0,0,0,0,3.0,24.0,12.5,27.0,2.0,70.4,43.9,5.0,100.0,63.4,7.0,0.0,0.0,0.0,16.5,293.0,435.0,67.4,4700.0,1620.0,155.0,182.0,85.2,110.0,157.0,70.1,18.0,67.0,26.9,0,0.3,0.4,6.0,14.0,5.0,0.0,25.0,435.0,386.0,48.0,14.0,1.0,1.0,11,21.0,3.0,1.0,1.0,0.0,293.0,1.0,11.0,18.0,13.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,9,8.0,12.0,3.0,12.0,15.0,80.0,3.0,14.0,2.0,12.0,9,32,12.0,1.0,43,551.0,52.0,173.0,262.0,118.0,13.0,551.0,22.0,11.0,50.0,11.0,50.0,252.0,1242.0,539.0,9.0,6.0,4.0,12.0,8.0,287.0,23.0,0,0,0,8,15,1,11,9,9,0.0,0.0,0,69.0,15.0,22.0,40.5,1
2019-10-19,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,D,1,1,Wolves,1,14,5,35.7,0.07,0.2,14.4,1.0,0,0,1.4,1.4,0.1,-0.4,-0.4,1,1,0,100.0,0,1.0,0.0,1,1,0,0,2.0,19.0,10.5,22.0,4.0,68.2,45.9,5.0,80.0,53.8,13.0,2.0,15.4,2.0,14.5,307.0,418.0,73.4,5241.0,2012.0,136.0,157.0,86.6,144.0,175.0,82.3,19.0,63.0,30.2,0,0.7,0.9,10.0,21.0,7.0,0.0,39.0,418.0,378.0,38.0,10.0,1.0,1.0,9,18.0,3.0,2.0,1.0,0.0,307.0,2.0,6.0,22.0,14.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4,2.0,4.0,3.0,4.0,17.0,23.5,13.0,12.0,0.0,12.0,13,22,19.0,0.0,43,535.0,50.0,136.0,300.0,104.0,17.0,535.0,15.0,9.0,60.0,6.0,40.0,239.0,1360.0,688.0,14.0,11.0,5.0,18.0,5.0,306.0,39.0,2,0,0,17,9,2,9,13,4,0.0,1.0,0,56.0,18.0,24.0,42.9,1
2019-10-25,20:00 (12:00),Premier League,Matchweek 10,Fri,Home,L,0,9,Leicester City,0,6,3,50.0,0.0,0.0,22.4,1.0,0,0,0.3,0.3,0.06,-0.3,-0.3,15,9,6,46.7,0,5.9,-3.1,1,1,0,0,4.0,20.0,20.0,15.0,0.0,93.3,59.3,6.0,100.0,62.5,18.0,0.0,0.0,0.0,9.0,186.0,303.0,61.4,2981.0,1166.0,105.0,129.0,81.4,50.0,86.0,58.1,22.0,66.0,33.3,0,0.3,0.2,4.0,21.0,1.0,0.0,18.0,303.0,251.0,51.0,11.0,0.0,4.0,7,23.0,2.0,0.0,2.0,0.0,186.0,1.0,10.0,10.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12,11.0,7.0,2.0,14.0,38.0,36.8,24.0,21.0,5.0,16.0,17,37,20.0,2.0,28,434.0,55.0,140.0,219.0,80.0,8.0,434.0,26.0,19.0,73.1,7.0,26.9,186.0,1098.0,495.0,10.0,14.0,3.0,17.0,19.0,185.0,18.0,0,1,0,3,11,1,7,17,12,0.0,1.0,0,58.0,10.0,10.0,50.0,1
