Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-07-25,19:45 (11:45),Europa Lg,Second qualifying round,Thu,Home,W,2,0,nir Crusaders,2,,,,,,,,0,0,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0,,,,,2
2019-08-01,20:00 (12:00),Europa Lg,Second qualifying round,Thu,Away,W,4,1,nir Crusaders,3,,,,,,,,0,0,,,,,,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,1,,,,,2
2019-08-08,20:00 (09:00),Europa Lg,Third qualifying round,Thu,Away,W,4,0,am Pyunik,4,,,,,,,,1,1,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,,2
2019-08-11,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,D,0,0,Leicester City,0,8.0,2.0,25.0,0.0,0.0,16.4,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7,1.0,0,1.0,100.0,1,0.3,0.3,0,0,0,0,12.0,25.0,48.0,14.0,1.0,78.6,44.1,14.0,100.0,54.3,23.0,0.0,0.0,1.0,18.5,230.0,331.0,69.5,4109.0,1995.0,117.0,138.0,84.8,60.0,87.0,69.0,37.0,67.0,55.2,0,0.7,0.4,8.0,12.0,2.0,0.0,14.0,331.0,277.0,53.0,3.0,0.0,4.0,6.0,32.0,3.0,1.0,2.0,0.0,230.0,1.0,10.0,14.0,8.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,14.0,4.0,1.0,12.0,28.0,42.9,16.0,18.0,5.0,13.0,9.0,28,35.0,0.0,31.0,482.0,69.0,212.0,193.0,81.0,13.0,482.0,20.0,12.0,60.0,8.0,40.0,194.0,1038.0,606.0,16.0,10.0,4.0,25.0,12.0,229.0,14.0,2,0,0,13.0,3.0,1.0,6.0,9.0,11.0,0.0,0.0,0,52.0,21.0,24.0,46.7,1
2019-08-15,19:45 (11:45),Europa Lg,Third qualifying round,Thu,Home,W,4,0,am Pyunik,4,,,,,,,,0,0,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,,2
2019-08-19,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,D,1,1,Manchester Utd,1,6.0,2.0,33.3,0.17,0.5,16.3,0.0,0,0,0.3,0.3,0.05,0.7,0.7,2.0,1,0.0,50.0,0,1.1,0.1,1,0,1,0,3.0,16.0,18.8,16.0,1.0,62.5,42.1,7.0,85.7,51.4,14.0,0.0,0.0,0.0,13.0,279.0,385.0,72.5,4756.0,1774.0,130.0,155.0,83.9,99.0,128.0,77.3,32.0,73.0,43.8,1,0.2,0.4,5.0,22.0,3.0,1.0,31.0,385.0,342.0,42.0,9.0,0.0,5.0,13.0,20.0,4.0,1.0,1.0,0.0,279.0,1.0,5.0,10.0,7.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,13.0,3.0,1.0,8.0,15.0,53.3,7.0,11.0,3.0,8.0,14.0,31,17.0,0.0,35.0,489.0,51.0,175.0,220.0,99.0,19.0,489.0,21.0,9.0,42.9,12.0,57.1,217.0,1241.0,560.0,15.0,9.0,8.0,15.0,11.0,277.0,31.0,2,0,0,17.0,6.0,1.0,13.0,14.0,9.0,0.0,1.0,0,59.0,10.0,20.0,33.3,1
2019-08-22,21:00 (12:00),Europa Lg,Play-off round,Thu,Away,W,3,2,it Torino,2,7.0,3.0,42.9,0.29,0.67,,,0,0,,,,,,4.0,2,3.0,75.0,0,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,14.0,0,,,37.0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,14.0,14.0,2.0,15.0,14.0,13.0,,,0,,,,,2
2019-08-25,16:30 (08:30),Premier League,Matchweek 3,Sun,Home,D,1,1,Burnley,1,16.0,1.0,6.3,0.0,0.0,22.5,0.0,1,1,1.5,0.8,0.05,-0.5,-0.8,4.0,1,3.0,75.0,0,0.9,-0.1,0,0,0,0,5.0,13.0,38.5,21.0,6.0,47.6,35.7,6.0,50.0,38.2,17.0,1.0,5.9,2.0,11.7,500.0,635.0,78.7,8750.0,3080.0,238.0,266.0,89.5,179.0,227.0,78.9,63.0,102.0,61.8,0,0.4,0.7,12.0,41.0,8.0,3.0,54.0,635.0,590.0,44.0,11.0,1.0,11.0,21.0,21.0,4.0,0.0,1.0,0.0,500.0,1.0,6.0,31.0,22.0,4.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,7.0,7.0,2.0,0.0,5.0,10.0,50.0,5.0,6.0,3.0,3.0,6.0,15,29.0,0.0,65.0,741.0,58.0,207.0,348.0,192.0,27.0,740.0,14.0,8.0,57.1,6.0,42.9,423.0,2459.0,1446.0,32.0,20.0,7.0,10.0,6.0,498.0,54.0,0,0,0,9.0,11.0,1.0,21.0,6.0,7.0,1.0,0.0,0,59.0,41.0,24.0,63.1,1
2019-08-29,19:45 (11:45),Europa Lg,Play-off round,Thu,Home,W,2,1,it Torino,2,8.0,5.0,62.5,0.25,0.4,,,0,0,,,,,,3.0,1,2.0,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,12.0,0,,,42.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,16.0,13.0,2.0,12.0,12.0,8.0,,,0,,,,,2
2019-09-01,14:00 (06:00),Premier League,Matchweek 4,Sun,Away,L,2,3,Everton,2,8.0,5.0,62.5,0.25,0.4,14.1,0.0,0,0,2.0,2.0,0.25,0.0,0.0,6.0,3,3.0,50.0,0,1.8,-1.2,0,0,0,0,7.0,14.0,50.0,11.0,1.0,81.8,43.1,6.0,83.3,57.8,22.0,0.0,0.0,0.0,5.0,236.0,365.0,64.7,4534.0,2053.0,97.0,121.0,80.2,87.0,125.0,69.6,37.0,88.0,42.0,1,1.2,1.0,5.0,13.0,5.0,2.0,16.0,365.0,308.0,55.0,13.0,0.0,6.0,17.0,25.0,7.0,3.0,3.0,0.0,236.0,2.0,5.0,16.0,11.0,2.0,2.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,19.0,8.0,12.0,7.0,0.0,7.0,16.0,43.8,9.0,10.0,6.0,4.0,11.0,30,24.0,2.0,42.0,485.0,61.0,179.0,216.0,91.0,18.0,485.0,21.0,13.0,61.9,8.0,38.1,185.0,1014.0,492.0,14.0,8.0,4.0,18.0,16.0,234.0,16.0,6,1,1,12.0,12.0,2.0,17.0,11.0,8.0,0.0,0.0,0,63.0,26.0,26.0,50.0,1
