Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-12,17:30 (09:30),Premier League,Matchweek 1,Sat,Away,L,3,4,Liverpool,3,6,3,50.0,0.5,1.0,19.9,1.0,0,0,0.3,0.3,0.05,2.7,2.7,6,4,2,66.7,0,2.5,-1.5,2,2,0,0,6.0,16.0,37.5,46.0,11.0,17.4,26.4,12.0,66.7,41.9,18.0,0.0,0.0,1.0,17.0,382.0,509.0,75.0,6846.0,2430.0,153.0,183.0,83.6,157.0,186.0,84.4,47.0,92.0,51.1,2,0.2,0.4,3.0,18.0,6.0,2.0,25.0,509.0,452.0,52.0,10.0,1.0,5.0,9,25.0,0.0,0.0,0.0,0.0,382.0,5.0,6.0,9.0,6.0,0.0,2.0,0.0,1.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,34.0,20,21.0,11.0,2.0,13.0,32.0,40.6,19.0,19.0,12.0,7.0,12,46,35.0,0.0,51.0,660.0,127.0,359.0,224.0,82.0,13.0,660.0,13.0,9.0,69.2,4.0,30.8,299.0,1547.0,852.0,12.0,7.0,2.0,21.0,9.0,380.0,25.0,0,0,0,6,9,5,9,12,20,0.0,2.0,0,56.0,12.0,14.0,46.2,1
2020-09-19,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,4,3,Fulham,4,9,6,66.7,0.33,0.5,16.9,1.0,1,1,1.4,0.6,0.06,2.6,2.4,6,3,3,66.7,0,2.0,-1.0,1,1,0,0,6.0,10.0,60.0,31.0,5.0,25.8,31.8,9.0,22.2,27.1,14.0,0.0,0.0,0.0,11.5,373.0,503.0,74.2,6334.0,2637.0,165.0,200.0,82.5,134.0,162.0,82.7,46.0,84.0,54.8,2,0.5,0.4,7.0,20.0,6.0,1.0,33.0,503.0,436.0,64.0,15.0,2.0,4.0,20,31.0,5.0,0.0,4.0,0.0,373.0,3.0,16.0,16.0,7.0,3.0,1.0,1.0,4.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,22.0,17,13.0,6.0,3.0,9.0,29.0,31.0,20.0,7.0,3.0,4.0,10,32,13.0,0.0,51.0,601.0,64.0,245.0,242.0,121.0,17.0,600.0,17.0,12.0,70.6,5.0,29.4,339.0,1650.0,700.0,14.0,7.0,3.0,25.0,13.0,368.0,32.0,1,0,0,13,18,3,20,10,17,1.0,1.0,0,67.0,18.0,20.0,47.4,1
2020-09-27,12:00 (04:00),Premier League,Matchweek 3,Sun,Away,W,1,0,Sheffield Utd,1,17,8,47.1,0.06,0.13,19.0,0.0,0,0,1.2,1.2,0.07,-0.2,-0.2,4,0,4,100.0,1,0.8,0.8,0,0,0,0,0.0,3.0,0.0,34.0,10.0,8.8,22.5,6.0,0.0,19.8,14.0,0.0,0.0,2.0,22.0,515.0,642.0,80.2,9373.0,2950.0,197.0,219.0,90.0,226.0,259.0,87.3,66.0,108.0,61.1,1,1.1,0.8,16.0,27.0,8.0,3.0,48.0,642.0,579.0,62.0,20.0,1.0,8.0,25,28.0,7.0,4.0,1.0,0.0,515.0,1.0,9.0,33.0,27.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,7,8.0,4.0,1.0,3.0,15.0,20.0,12.0,18.0,5.0,13.0,7,20,11.0,1.0,64.0,755.0,69.0,244.0,326.0,192.0,20.0,755.0,14.0,7.0,50.0,7.0,50.0,444.0,2479.0,1477.0,25.0,14.0,4.0,18.0,16.0,509.0,47.0,1,0,0,4,15,1,25,7,7,0.0,0.0,0,46.0,25.0,23.0,52.1,1
2020-10-03,17:30 (09:30),Premier League,Matchweek 4,Sat,Home,D,1,1,Manchester City,1,12,7,58.3,0.08,0.14,11.5,0.0,0,0,2.4,2.4,0.2,-1.4,-1.4,1,1,0,0.0,0,0.3,-0.7,0,0,0,0,9.0,15.0,60.0,44.0,7.0,22.7,29.5,14.0,35.7,28.6,18.0,1.0,5.6,0.0,9.8,381.0,468.0,81.4,6861.0,2414.0,155.0,164.0,94.5,169.0,195.0,86.7,41.0,79.0,51.9,0,1.4,0.9,9.0,17.0,7.0,2.0,23.0,468.0,412.0,54.0,14.0,0.0,5.0,13,17.0,7.0,3.0,2.0,0.0,381.0,2.0,4.0,23.0,18.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,14,16.0,9.0,2.0,13.0,35.0,37.1,22.0,19.0,8.0,11.0,9,36,18.0,4.0,51.0,600.0,104.0,274.0,229.0,104.0,21.0,600.0,16.0,10.0,62.5,6.0,37.5,305.0,1783.0,987.0,20.0,12.0,4.0,18.0,5.0,379.0,23.0,2,0,0,11,12,2,13,9,14,0.0,0.0,0,46.0,5.0,13.0,27.8,1
2020-10-19,20:00 (12:00),Premier League,Matchweek 5,Mon,Home,L,0,1,Wolves,0,13,2,15.4,0.0,0.0,12.8,0.0,0,0,1.0,1.0,0.08,-1.0,-1.0,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,0.0,1.0,0.0,25.0,5.0,4.0,23.6,7.0,0.0,17.1,8.0,0.0,0.0,1.0,20.5,491.0,615.0,79.8,9105.0,3005.0,194.0,229.0,84.7,225.0,265.0,84.9,55.0,85.0,64.7,0,0.8,1.1,10.0,38.0,17.0,5.0,68.0,615.0,564.0,50.0,14.0,2.0,8.0,37,19.0,8.0,4.0,2.0,0.0,491.0,1.0,3.0,23.0,19.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8,11.0,2.0,1.0,6.0,20.0,30.0,14.0,8.0,3.0,5.0,12,26,7.0,0.0,66.0,699.0,51.0,179.0,315.0,208.0,34.0,699.0,15.0,7.0,46.7,8.0,53.3,377.0,2320.0,1373.0,28.0,9.0,2.0,6.0,6.0,490.0,68.0,2,0,0,13,11,1,37,12,8,0.0,0.0,0,52.0,9.0,20.0,31.0,1
2020-10-23,20:00 (12:00),Premier League,Matchweek 6,Fri,Away,W,3,0,Aston Villa,3,27,9,33.3,0.11,0.33,16.9,1.0,0,0,2.7,2.7,0.1,0.3,0.3,3,0,3,100.0,1,0.5,0.5,0,0,0,0,3.0,8.0,37.5,23.0,7.0,21.7,30.0,6.0,50.0,35.8,8.0,1.0,12.5,0.0,10.5,402.0,500.0,80.4,7150.0,3133.0,197.0,218.0,90.4,143.0,171.0,83.6,53.0,91.0,58.2,2,1.9,2.1,22.0,39.0,16.0,2.0,67.0,500.0,447.0,53.0,13.0,0.0,8.0,20,28.0,5.0,3.0,0.0,0.0,402.0,0.0,8.0,49.0,39.0,2.0,2.0,5.0,1.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,14.0,4,6.0,6.0,2.0,3.0,15.0,20.0,12.0,9.0,4.0,5.0,12,26,14.0,2.0,59.0,616.0,60.0,196.0,241.0,190.0,45.0,616.0,12.0,6.0,50.0,6.0,50.0,402.0,2018.0,1196.0,28.0,17.0,9.0,16.0,8.0,399.0,67.0,2,0,0,17,14,0,20,12,4,0.0,0.0,0,56.0,12.0,17.0,41.4,1
2020-11-02,20:00 (12:00),Premier League,Matchweek 7,Mon,Home,L,1,4,Leicester City,1,11,4,36.4,0.09,0.25,18.0,0.0,0,0,2.1,2.1,0.19,-1.1,-1.1,8,4,4,62.5,0,3.6,-0.4,1,1,0,0,0.0,1.0,0.0,18.0,6.0,5.6,18.6,2.0,0.0,20.0,10.0,1.0,10.0,0.0,8.7,574.0,698.0,82.2,9465.0,2576.0,245.0,273.0,89.7,267.0,295.0,90.5,33.0,69.0,47.8,1,2.0,1.2,8.0,45.0,9.0,0.0,62.0,698.0,648.0,48.0,5.0,2.0,8.0,25,26.0,10.0,0.0,8.0,0.0,574.0,2.0,10.0,18.0,13.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,9,5.0,8.0,6.0,10.0,19.0,52.6,9.0,5.0,1.0,4.0,7,26,12.0,1.0,67.0,799.0,42.0,174.0,422.0,208.0,23.0,799.0,16.0,10.0,62.5,6.0,37.5,496.0,2699.0,1449.0,29.0,22.0,3.0,18.0,14.0,571.0,61.0,1,0,0,9,5,2,25,7,9,0.0,1.0,0,64.0,17.0,7.0,70.8,1
2020-11-07,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,L,1,4,Crystal Palace,1,9,3,33.3,0.11,0.33,18.9,1.0,0,0,0.8,0.8,0.09,0.2,0.2,6,4,3,33.3,0,1.9,-1.1,0,0,0,0,0.0,0.0,,26.0,9.0,0.0,20.3,5.0,0.0,15.6,7.0,0.0,0.0,0.0,2.0,527.0,654.0,80.6,9092.0,2674.0,228.0,259.0,88.0,205.0,233.0,88.0,61.0,98.0,62.2,1,0.7,0.8,7.0,43.0,9.0,1.0,56.0,654.0,606.0,47.0,9.0,0.0,12.0,23,22.0,6.0,0.0,6.0,0.0,527.0,1.0,10.0,17.0,12.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,15,11.0,11.0,3.0,11.0,19.0,57.9,8.0,10.0,2.0,8.0,14,39,14.0,1.0,64.0,771.0,64.0,201.0,384.0,193.0,20.0,771.0,15.0,8.0,53.3,7.0,46.7,438.0,2824.0,1580.0,24.0,19.0,3.0,22.0,8.0,522.0,56.0,2,0,0,16,8,1,23,14,15,0.0,0.0,1,64.0,14.0,15.0,48.3,1
2020-11-22,16:30 (08:30),Premier League,Matchweek 9,Sun,Home,D,0,0,Arsenal,0,25,4,16.0,0.0,0.0,18.0,0.0,0,0,1.8,1.8,0.07,-1.8,-1.8,2,0,2,100.0,1,0.4,0.4,0,0,0,0,2.0,7.0,28.6,16.0,2.0,25.0,23.6,5.0,60.0,37.6,10.0,0.0,0.0,4.0,27.8,544.0,655.0,83.1,8754.0,2498.0,233.0,257.0,90.7,270.0,314.0,86.0,26.0,49.0,53.1,0,1.4,1.2,16.0,43.0,15.0,3.0,54.0,655.0,618.0,37.0,10.0,0.0,2.0,27,16.0,5.0,1.0,2.0,0.0,544.0,0.0,3.0,44.0,34.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8,6.0,7.0,5.0,6.0,20.0,30.0,14.0,4.0,1.0,3.0,9,27,15.0,0.0,66.0,752.0,45.0,165.0,351.0,242.0,36.0,752.0,6.0,4.0,66.7,2.0,33.3,468.0,2798.0,1732.0,39.0,30.0,3.0,7.0,8.0,539.0,54.0,3,0,0,9,8,0,27,9,8,0.0,0.0,0,67.0,11.0,11.0,50.0,1
2020-11-28,17:30 (09:30),Premier League,Matchweek 10,Sat,Away,W,1,0,Everton,1,23,6,26.1,0.04,0.17,16.5,0.0,0,0,2.9,2.9,0.14,-1.9,-1.9,8,0,8,100.0,1,1.4,1.4,0,0,0,0,3.0,6.0,50.0,29.0,15.0,17.2,24.5,8.0,12.5,18.4,10.0,0.0,0.0,0.0,17.5,496.0,603.0,82.3,8571.0,2974.0,199.0,225.0,88.4,208.0,229.0,90.8,52.0,77.0,67.5,1,2.9,1.4,18.0,35.0,12.0,4.0,61.0,603.0,552.0,45.0,10.0,0.0,8.0,16,24.0,2.0,0.0,2.0,0.0,496.0,6.0,10.0,37.0,30.0,1.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,8,7.0,10.0,2.0,7.0,20.0,35.0,13.0,4.0,1.0,3.0,4,23,12.0,1.0,59.0,720.0,64.0,183.0,331.0,209.0,36.0,720.0,15.0,6.0,40.0,9.0,60.0,414.0,2256.0,1331.0,24.0,21.0,4.0,21.0,10.0,490.0,61.0,2,0,0,14,8,6,16,4,8,0.0,0.0,0,50.0,13.0,16.0,44.8,1
