Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-13,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,3,0,West Brom,3,11,5,45.5,0.09,0.2,19.3,1.0,2,2,2.8,1.3,0.12,0.2,-0.3,1,0,1,100.0,1,0.6,0.6,0,0,0,0,2.0,7.0,28.6,24.0,3.0,16.7,26.6,6.0,50.0,40.7,6.0,0.0,0.0,0.0,,546.0,658.0,83.0,8347.0,2603.0,280.0,312.0,89.7,197.0,225.0,87.6,36.0,69.0,52.2,1,0.7,0.8,5.0,29.0,6.0,0.0,42.0,658.0,599.0,56.0,13.0,1.0,5.0,17,31.0,5.0,0.0,4.0,0.0,546.0,3.0,7.0,22.0,13.0,0.0,2.0,2.0,4.0,1.0,6.0,3.0,0.0,1.0,0.0,2.0,0.0,17.0,10,11.0,6.0,0.0,9.0,12.0,75.0,3.0,8.0,3.0,5.0,14,31,15.0,1.0,64,751.0,47.0,233.0,398.0,127.0,21.0,749.0,12.0,9.0,75.0,3.0,25.0,473.0,2451.0,1249.0,20.0,19.0,4.0,12.0,4.0,544.0,42.0,1,0,0,9,11,3,17,14,10,2.0,0.0,0,50.0,9.0,16.0,36.0,1
2020-09-20,19:00 (11:00),Premier League,Matchweek 2,Sun,Home,W,4,2,Burnley,3,14,6,42.9,0.21,0.5,14.5,0.0,0,0,1.2,1.2,0.09,1.8,1.8,5,2,3,60.0,0,1.0,-1.0,0,0,0,0,2.0,11.0,18.2,37.0,3.0,21.6,31.8,9.0,33.3,35.4,11.0,1.0,9.1,0.0,3.0,546.0,666.0,82.0,9332.0,2993.0,251.0,276.0,90.9,218.0,260.0,83.8,53.0,85.0,62.4,2,0.7,1.1,12.0,28.0,18.0,2.0,59.0,666.0,611.0,55.0,14.0,0.0,5.0,28,14.0,15.0,5.0,2.0,0.0,546.0,0.0,9.0,27.0,23.0,2.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,13.0,6,6.0,6.0,1.0,5.0,12.0,41.7,7.0,6.0,3.0,3.0,11,24,14.0,0.0,67,766.0,68.0,229.0,323.0,217.0,36.0,766.0,12.0,4.0,33.3,8.0,66.7,353.0,2018.0,1098.0,26.0,14.0,7.0,13.0,4.0,540.0,59.0,1,0,0,11,12,0,28,11,6,0.0,0.0,0,39.0,18.0,29.0,38.3,1
2020-09-27,16:30 (08:30),Premier League,Matchweek 3,Sun,Away,W,5,2,Manchester City,5,4,4,100.0,0.5,0.5,30.1,0.0,3,3,2.9,0.5,0.12,2.1,1.5,5,2,3,60.0,0,1.3,-0.7,0,0,0,0,11.0,31.0,35.5,32.0,7.0,53.1,42.7,14.0,100.0,61.6,13.0,0.0,0.0,0.0,8.0,212.0,291.0,72.9,3714.0,1654.0,110.0,124.0,88.7,67.0,85.0,78.8,25.0,61.0,41.0,2,0.5,0.3,4.0,10.0,5.0,0.0,17.0,291.0,249.0,39.0,12.0,0.0,2.0,7,7.0,3.0,1.0,0.0,0.0,212.0,3.0,4.0,14.0,11.0,0.0,0.0,0.0,3.0,0.0,10.0,7.0,0.0,0.0,0.0,3.0,0.0,23.0,9,14.0,6.0,3.0,9.0,16.0,56.3,7.0,10.0,4.0,6.0,8,31,25.0,0.0,28,397.0,77.0,214.0,132.0,56.0,9.0,394.0,7.0,6.0,85.7,1.0,14.3,202.0,1237.0,520.0,8.0,7.0,2.0,16.0,11.0,209.0,16.0,3,0,0,8,12,3,7,8,9,3.0,0.0,0,37.0,15.0,10.0,60.0,1
2020-10-04,12:00 (04:00),Premier League,Matchweek 4,Sun,Home,L,0,3,West Ham,0,4,0,0.0,0.0,,18.2,0.0,0,0,0.6,0.6,0.14,-0.6,-0.6,6,3,3,50.0,0,2.7,-0.3,0,0,0,0,3.0,9.0,33.3,28.0,7.0,32.1,31.9,4.0,0.0,22.8,11.0,0.0,0.0,1.0,23.0,606.0,741.0,81.8,9704.0,2981.0,275.0,303.0,90.8,254.0,294.0,86.4,41.0,73.0,56.2,0,0.5,0.5,2.0,52.0,8.0,2.0,50.0,741.0,688.0,49.0,10.0,3.0,2.0,21,25.0,6.0,1.0,5.0,0.0,606.0,4.0,15.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4,1.0,2.0,4.0,4.0,10.0,40.0,6.0,11.0,3.0,8.0,18,25,8.0,0.0,69,822.0,45.0,190.0,440.0,194.0,21.0,822.0,15.0,11.0,73.3,4.0,26.7,513.0,2467.0,1344.0,20.0,12.0,8.0,13.0,8.0,600.0,49.0,2,0,0,10,8,4,21,18,4,0.0,0.0,0,54.0,17.0,24.0,41.5,1
2020-10-18,19:15 (11:15),Premier League,Matchweek 5,Sun,Home,L,0,1,Aston Villa,0,11,5,45.5,0.0,0.0,19.2,2.0,0,0,0.6,0.6,0.06,-0.6,-0.6,4,1,3,75.0,0,0.6,-0.4,0,0,0,0,6.0,20.0,30.0,40.0,6.0,47.5,38.1,4.0,25.0,28.5,18.0,2.0,11.1,0.0,3.5,333.0,452.0,73.7,5784.0,2193.0,149.0,181.0,82.3,139.0,162.0,85.8,33.0,80.0,41.3,0,0.3,0.3,7.0,29.0,9.0,2.0,40.0,452.0,407.0,43.0,19.0,0.0,2.0,11,16.0,2.0,1.0,0.0,0.0,333.0,2.0,9.0,20.0,11.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11,14.0,5.0,2.0,9.0,23.0,39.1,14.0,5.0,1.0,4.0,18,39,27.0,0.0,50,566.0,70.0,209.0,238.0,128.0,22.0,566.0,18.0,9.0,50.0,9.0,50.0,305.0,1463.0,847.0,18.0,10.0,5.0,13.0,5.0,332.0,40.0,4,0,0,18,18,2,11,18,11,0.0,0.0,0,48.0,19.0,18.0,51.4,1
2020-10-22,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,3,0,ua Zorya Luhansk,3,18,5,27.8,0.17,0.6,15.7,1.0,0,0,2.7,2.7,0.15,0.3,0.3,2,0,2,100.0,1,1.1,1.1,0,0,0,0,6.0,8.0,75.0,17.0,2.0,35.3,35.9,3.0,66.7,41.7,12.0,0.0,0.0,1.0,22.0,389.0,479.0,81.2,6327.0,2459.0,193.0,209.0,92.3,135.0,164.0,82.3,35.0,54.0,64.8,2,2.4,1.7,15.0,34.0,6.0,0.0,36.0,479.0,436.0,42.0,9.0,1.0,4.0,16,23.0,6.0,1.0,4.0,1.0,389.0,1.0,11.0,30.0,21.0,2.0,4.0,2.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,3,3.0,3.0,3.0,1.0,8.0,12.5,7.0,21.0,3.0,18.0,12,21,15.0,1.0,46,608.0,46.0,153.0,286.0,176.0,31.0,608.0,26.0,17.0,65.4,9.0,34.6,311.0,1657.0,777.0,19.0,13.0,12.0,21.0,12.0,388.0,36.0,1,0,0,8,9,1,16,12,3,0.0,0.0,0,65.0,17.0,7.0,70.8,2
2020-10-25,19:15 (12:15),Premier League,Matchweek 6,Sun,Away,W,1,0,Arsenal,1,6,2,33.3,0.17,0.5,29.5,1.0,0,0,0.7,0.7,0.12,0.3,0.3,4,0,4,100.0,1,0.3,0.3,0,0,0,0,9.0,19.0,47.4,37.0,8.0,40.5,36.8,7.0,57.1,39.9,16.0,2.0,12.5,1.0,11.7,390.0,481.0,81.1,6419.0,2149.0,196.0,213.0,92.0,126.0,147.0,85.7,41.0,71.0,57.7,1,0.6,0.6,3.0,14.0,2.0,0.0,20.0,481.0,442.0,39.0,13.0,1.0,2.0,5,15.0,3.0,0.0,1.0,0.0,390.0,0.0,7.0,10.0,7.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,6,4.0,6.0,1.0,6.0,8.0,75.0,2.0,12.0,3.0,9.0,10,21,24.0,0.0,44,579.0,76.0,198.0,282.0,106.0,7.0,579.0,13.0,7.0,53.8,6.0,46.2,304.0,1453.0,691.0,13.0,9.0,4.0,11.0,9.0,386.0,20.0,5,0,0,9,13,0,5,10,6,0.0,0.0,0,43.0,15.0,10.0,60.0,1
2020-10-29,19:55 (10:55),Europa Lg,Group stage,Thu,Away,W,2,1,gr AEK Athens,2,10,5,50.0,0.1,0.2,19.0,1.0,1,1,1.9,1.1,0.11,0.1,-0.1,3,1,2,66.7,0,1.0,0.0,0,0,0,0,7.0,25.0,28.0,25.0,2.0,56.0,43.5,12.0,91.7,66.0,15.0,0.0,0.0,0.0,9.0,316.0,459.0,68.8,5298.0,2171.0,166.0,204.0,81.4,96.0,140.0,68.6,34.0,71.0,47.9,1,0.8,0.7,6.0,17.0,6.0,2.0,25.0,459.0,391.0,67.0,15.0,1.0,2.0,14,34.0,4.0,1.0,3.0,0.0,316.0,1.0,9.0,18.0,11.0,2.0,0.0,1.0,4.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,14.0,8,6.0,7.0,1.0,9.0,18.0,50.0,9.0,9.0,0.0,9.0,12,26,23.0,1.0,48,568.0,51.0,180.0,265.0,128.0,24.0,567.0,16.0,5.0,31.3,11.0,68.8,279.0,1382.0,597.0,14.0,11.0,5.0,16.0,7.0,313.0,25.0,1,0,0,14,12,1,14,12,8,1.0,0.0,0,54.0,27.0,19.0,58.7,2
2020-11-02,20:00 (12:00),Premier League,Matchweek 7,Mon,Away,W,4,1,Leeds United,4,9,7,77.8,0.33,0.43,14.9,0.0,1,1,2.9,2.1,0.23,1.1,0.9,4,1,3,75.0,0,1.9,0.9,0,0,0,0,5.0,17.0,29.4,24.0,9.0,41.7,35.7,12.0,58.3,47.0,21.0,0.0,0.0,0.0,4.0,234.0,337.0,69.4,3789.0,1775.0,119.0,153.0,77.8,81.0,102.0,79.4,21.0,56.0,37.5,2,1.5,1.3,6.0,12.0,3.0,1.0,21.0,337.0,296.0,41.0,10.0,1.0,0.0,12,14.0,3.0,1.0,2.0,0.0,234.0,0.0,5.0,17.0,12.0,0.0,2.0,1.0,1.0,1.0,7.0,4.0,0.0,1.0,1.0,1.0,0.0,20.0,11,15.0,1.0,4.0,6.0,16.0,37.5,10.0,10.0,2.0,8.0,12,32,28.0,0.0,33,468.0,71.0,205.0,170.0,98.0,22.0,467.0,19.0,9.0,47.4,10.0,52.6,235.0,1506.0,802.0,15.0,12.0,5.0,13.0,9.0,231.0,21.0,1,0,0,5,9,0,12,12,11,1.0,0.0,0,57.0,7.0,17.0,29.2,1
2020-11-05,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,4,0,pt Braga,4,15,6,40.0,0.27,0.67,16.0,0.0,0,0,2.9,2.9,0.19,1.1,1.1,1,0,1,100.0,1,0.1,0.1,0,0,0,0,1.0,7.0,14.3,38.0,6.0,18.4,30.0,4.0,0.0,14.5,7.0,1.0,14.3,0.0,8.0,408.0,503.0,81.1,6537.0,2404.0,207.0,227.0,91.2,155.0,179.0,86.6,29.0,66.0,43.9,4,2.3,1.6,11.0,19.0,8.0,0.0,37.0,503.0,455.0,44.0,14.0,3.0,2.0,21,15.0,10.0,7.0,3.0,0.0,408.0,4.0,5.0,26.0,17.0,3.0,2.0,3.0,0.0,1.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,15.0,10,4.0,6.0,5.0,5.0,11.0,45.5,6.0,13.0,5.0,8.0,18,33,6.0,0.0,49,602.0,59.0,214.0,253.0,142.0,21.0,602.0,20.0,14.0,70.0,6.0,30.0,378.0,1978.0,850.0,19.0,14.0,2.0,12.0,7.0,406.0,37.0,2,0,0,12,12,4,21,18,10,0.0,0.0,0,54.0,6.0,13.0,31.6,2
2020-11-08,14:00 (06:00),Premier League,Matchweek 8,Sun,Home,W,1,0,Wolves,1,8,1,12.5,0.0,0.0,22.8,0.0,1,2,2.0,0.4,0.05,-1.0,-0.4,2,0,2,100.0,1,0.4,0.4,0,0,0,0,4.0,10.0,40.0,12.0,2.0,41.7,38.0,7.0,71.4,46.7,17.0,1.0,5.9,0.0,5.5,422.0,536.0,78.7,6464.0,2054.0,210.0,244.0,86.1,146.0,178.0,82.0,31.0,64.0,48.4,0,0.3,0.3,6.0,29.0,3.0,1.0,39.0,536.0,498.0,38.0,6.0,2.0,1.0,24,18.0,6.0,0.0,5.0,0.0,422.0,0.0,7.0,17.0,11.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,10,13.0,5.0,2.0,10.0,16.0,62.5,6.0,12.0,1.0,11.0,5,25,21.0,1.0,49,636.0,52.0,148.0,340.0,153.0,11.0,634.0,11.0,5.0,45.5,6.0,54.5,312.0,1565.0,805.0,18.0,17.0,1.0,6.0,11.0,418.0,38.0,2,0,0,12,7,0,24,5,10,1.0,0.0,0,59.0,10.0,17.0,37.0,1
2020-11-22,19:15 (11:15),Premier League,Matchweek 9,Sun,Away,L,0,3,Liverpool,0,11,4,36.4,0.0,0.0,16.3,0.0,0,0,1.6,1.6,0.17,-1.6,-1.6,11,3,9,72.7,0,1.8,-0.2,0,0,0,0,9.0,19.0,47.4,31.0,8.0,38.7,37.9,8.0,87.5,53.8,21.0,0.0,0.0,0.0,4.0,378.0,489.0,77.3,6695.0,2521.0,163.0,187.0,87.2,150.0,175.0,85.7,46.0,84.0,54.8,0,0.8,0.4,9.0,26.0,8.0,1.0,40.0,489.0,435.0,53.0,16.0,1.0,2.0,17,22.0,3.0,2.0,1.0,0.0,378.0,1.0,10.0,18.0,14.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4,7.0,5.0,2.0,3.0,16.0,18.8,13.0,9.0,5.0,4.0,17,31,20.0,0.0,44,606.0,87.0,236.0,252.0,124.0,19.0,606.0,21.0,15.0,71.4,6.0,28.6,276.0,1481.0,717.0,16.0,7.0,2.0,16.0,3.0,374.0,40.0,2,0,0,6,15,1,17,17,4,0.0,0.0,1,47.0,21.0,13.0,61.8,1
2020-11-26,17:55 (09:55),Europa Lg,Group stage,Thu,Away,D,3,3,pt Braga,3,13,7,53.8,0.23,0.43,16.0,1.0,0,0,2.1,2.1,0.16,0.9,0.9,7,3,4,57.1,0,2.7,-0.3,0,0,0,0,1.0,7.0,14.3,42.0,3.0,16.7,29.1,3.0,0.0,19.7,8.0,0.0,0.0,0.0,9.5,494.0,610.0,81.0,8652.0,2634.0,215.0,242.0,88.8,221.0,254.0,87.0,45.0,85.0,52.9,2,0.9,1.0,8.0,24.0,5.0,1.0,28.0,610.0,561.0,46.0,10.0,0.0,4.0,24,21.0,8.0,4.0,4.0,0.0,494.0,3.0,9.0,20.0,14.0,2.0,3.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,4,1.0,7.0,5.0,7.0,16.0,43.8,9.0,10.0,2.0,8.0,11,24,11.0,0.0,55,696.0,72.0,226.0,344.0,131.0,20.0,696.0,19.0,11.0,57.9,8.0,42.1,452.0,2085.0,881.0,16.0,11.0,6.0,9.0,6.0,488.0,28.0,2,0,0,8,10,3,24,11,4,0.0,0.0,0,57.0,10.0,13.0,43.5,2
2020-11-30,17:30 (09:30),Premier League,Matchweek 10,Mon,Home,L,1,2,Fulham,1,16,3,18.8,0.06,0.33,18.1,1.0,0,0,1.2,1.2,0.07,-0.2,-0.2,5,2,3,80.0,0,2.1,0.1,1,1,0,0,0.0,1.0,0.0,17.0,1.0,5.9,20.5,3.0,0.0,17.7,5.0,0.0,0.0,1.0,14.0,599.0,715.0,83.8,9906.0,2395.0,236.0,275.0,85.8,316.0,353.0,89.5,25.0,50.0,50.0,1,0.7,1.1,9.0,43.0,10.0,2.0,43.0,715.0,662.0,53.0,20.0,1.0,1.0,27,21.0,6.0,4.0,2.0,0.0,599.0,0.0,7.0,29.0,17.0,2.0,3.0,4.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,7,8.0,9.0,2.0,5.0,16.0,31.3,11.0,8.0,2.0,6.0,8,27,12.0,1.0,68,825.0,39.0,161.0,491.0,177.0,22.0,825.0,19.0,8.0,42.1,11.0,57.9,483.0,2718.0,1391.0,14.0,13.0,0.0,11.0,13.0,597.0,43.0,0,0,0,9,20,0,27,8,7,0.0,1.0,0,56.0,10.0,10.0,50.0,1
