Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-14,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,W,2,1,Burnley,2,14,6,42.9,0.14,0.33,14.9,1.0,0,0,1.0,1.0,0.08,1.0,1.0,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,5.0,26.0,19.2,48.0,8.0,41.7,35.0,8.0,75.0,51.4,29.0,4.0,13.8,0.0,5.6,460.0,564.0,81.6,7882.0,2323.0,192.0,212.0,90.6,203.0,221.0,91.9,41.0,89.0,46.1,2,0.9,1.0,10.0,23.0,7.0,2.0,39.0,564.0,514.0,50.0,10.0,1.0,5.0,14,24.0,6.0,0.0,5.0,0.0,460.0,0.0,7.0,23.0,15.0,3.0,1.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,9,9.0,4.0,3.0,6.0,18.0,33.3,12.0,8.0,3.0,5.0,6,22,30.0,0.0,63,670.0,86.0,274.0,259.0,139.0,21.0,670.0,7.0,3.0,42.9,4.0,57.1,368.0,2003.0,1120.0,19.0,13.0,2.0,10.0,12.0,454.0,37.0,1,0,0,7,10,0,14,6,9,0.0,0.0,0,45.0,20.0,26.0,43.5,1
2021-08-21,17:30 (09:30),Premier League,Matchweek 2,Sat,Home,W,2,0,Watford,2,13,3,23.1,0.15,0.67,16.9,0.0,0,0,1.3,1.3,0.1,0.7,0.7,1,0,1,100.0,1,0.2,0.2,0,0,0,0,2.0,11.0,18.2,32.0,5.0,25.0,27.9,8.0,37.5,33.4,12.0,2.0,16.7,2.0,16.3,522.0,624.0,83.7,8183.0,2626.0,268.0,289.0,92.7,202.0,231.0,87.4,29.0,59.0,49.2,2,0.7,0.4,10.0,26.0,6.0,0.0,43.0,624.0,587.0,36.0,7.0,3.0,5.0,20,13.0,7.0,3.0,3.0,0.0,522.0,1.0,9.0,23.0,17.0,3.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,19.0,11,12.0,4.0,3.0,7.0,13.0,53.8,6.0,18.0,4.0,14.0,8,27,18.0,0.0,56,730.0,78.0,281.0,295.0,159.0,28.0,730.0,8.0,7.0,87.5,1.0,12.5,366.0,1740.0,984.0,19.0,11.0,7.0,18.0,12.0,521.0,43.0,4,0,0,11,6,1,20,8,11,0.0,0.0,0,52.0,17.0,18.0,48.6,1
2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,0,2,Everton,0,14,3,21.4,0.0,0.0,22.3,2.0,0,0,0.7,0.7,0.06,-0.7,-0.7,5,2,3,80.0,0,1.9,-0.1,1,1,0,0,0.0,7.0,0.0,37.0,7.0,16.2,29.8,6.0,16.7,26.7,9.0,4.0,44.4,0.0,6.1,557.0,650.0,85.7,10416.0,3279.0,196.0,218.0,89.9,290.0,318.0,91.2,61.0,84.0,72.6,0,0.5,0.7,10.0,35.0,9.0,2.0,51.0,650.0,611.0,38.0,7.0,0.0,5.0,12,18.0,4.0,1.0,2.0,0.0,557.0,1.0,10.0,27.0,20.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16,15.0,8.0,2.0,11.0,18.0,61.1,7.0,13.0,5.0,8.0,10,35,15.0,0.0,65,775.0,71.0,275.0,337.0,173.0,17.0,775.0,16.0,10.0,62.5,6.0,37.5,455.0,1926.0,1056.0,23.0,18.0,3.0,18.0,11.0,549.0,50.0,1,0,0,7,8,1,12,10,16,0.0,1.0,0,55.0,8.0,9.0,47.1,1
2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Brentford,1,4,2,50.0,0.25,0.5,19.0,0.0,0,0,0.3,0.3,0.07,0.7,0.7,1,0,1,100.0,1,0.0,0.0,0,0,0,0,6.0,21.0,28.6,31.0,3.0,51.6,41.5,7.0,71.4,53.0,15.0,3.0,20.0,0.0,8.8,422.0,542.0,77.9,7407.0,2320.0,191.0,211.0,90.5,161.0,193.0,83.4,51.0,97.0,52.6,1,0.3,0.4,4.0,30.0,7.0,0.0,40.0,542.0,488.0,52.0,9.0,1.0,2.0,11,30.0,5.0,1.0,0.0,0.0,422.0,2.0,13.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,11,5.0,7.0,4.0,1.0,9.0,11.1,8.0,8.0,0.0,8.0,12,28,15.0,0.0,59,636.0,58.0,178.0,279.0,183.0,14.0,636.0,18.0,9.0,50.0,9.0,50.0,408.0,1469.0,556.0,8.0,11.0,3.0,13.0,12.0,420.0,40.0,2,0,0,12,9,2,11,12,11,0.0,0.0,0,50.0,11.0,15.0,42.3,1
2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,W,2,1,Leicester City,2,11,4,36.4,0.09,0.25,16.9,2.0,1,1,1.7,0.9,0.08,0.3,0.1,3,1,2,66.7,0,1.1,0.1,0,0,0,0,7.0,15.0,46.7,21.0,3.0,47.6,36.9,8.0,62.5,45.9,22.0,2.0,9.1,1.0,12.8,269.0,359.0,74.9,4868.0,1909.0,132.0,150.0,88.0,97.0,116.0,83.6,35.0,70.0,50.0,1,0.7,0.6,9.0,16.0,6.0,0.0,25.0,359.0,317.0,39.0,9.0,3.0,1.0,15,16.0,4.0,1.0,3.0,0.0,269.0,3.0,8.0,23.0,10.0,4.0,2.0,2.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,19.0,13,10.0,7.0,2.0,4.0,16.0,25.0,12.0,14.0,5.0,9.0,16,35,29.0,0.0,37,491.0,73.0,220.0,188.0,91.0,16.0,490.0,27.0,16.0,59.3,11.0,40.7,214.0,987.0,446.0,10.0,6.0,2.0,12.0,6.0,265.0,25.0,2,0,0,8,9,3,15,16,13,0.0,0.0,0,44.0,18.0,11.0,62.1,1
2021-09-27,20:00 (12:00),Premier League,Matchweek 6,Mon,Away,D,1,1,Crystal Palace,1,8,4,50.0,0.13,0.25,15.8,0.0,0,0,0.8,0.8,0.09,0.2,0.2,3,1,2,100.0,0,1.3,0.3,1,1,0,0,12.0,27.0,44.4,61.0,6.0,41.0,33.2,6.0,33.3,34.0,14.0,3.0,21.4,2.0,11.4,489.0,604.0,81.0,8283.0,2798.0,232.0,254.0,91.3,174.0,197.0,88.3,53.0,98.0,54.1,1,0.6,0.9,4.0,21.0,8.0,1.0,36.0,604.0,565.0,39.0,13.0,2.0,4.0,20,13.0,5.0,3.0,2.0,0.0,489.0,0.0,11.0,11.0,6.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,19,12.0,8.0,9.0,6.0,10.0,60.0,4.0,5.0,2.0,3.0,10,39,14.0,0.0,53,709.0,95.0,309.0,262.0,141.0,21.0,709.0,16.0,6.0,37.5,10.0,62.5,464.0,2028.0,1024.0,16.0,11.0,5.0,10.0,7.0,487.0,36.0,4,0,0,10,11,0,20,10,19,0.0,1.0,0,58.0,15.0,6.0,71.4,1
2021-10-02,17:30 (09:30),Premier League,Matchweek 7,Sat,Home,D,0,0,Arsenal,0,21,2,9.5,0.0,0.0,17.7,0.0,0,0,1.1,1.1,0.05,-1.1,-1.1,2,0,2,100.0,1,0.1,0.1,0,0,0,0,11.0,19.0,57.9,36.0,1.0,33.3,33.3,7.0,100.0,65.9,11.0,1.0,9.1,0.0,12.0,444.0,543.0,81.8,7911.0,2825.0,205.0,229.0,89.5,171.0,198.0,86.4,49.0,81.0,60.5,0,1.0,1.0,18.0,33.0,12.0,2.0,48.0,543.0,502.0,40.0,6.0,5.0,2.0,26,18.0,8.0,3.0,5.0,0.0,444.0,1.0,10.0,40.0,32.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5,7.0,6.0,3.0,8.0,14.0,57.1,6.0,15.0,1.0,14.0,9,25,14.0,0.0,58,651.0,52.0,154.0,297.0,204.0,28.0,651.0,8.0,6.0,75.0,2.0,25.0,280.0,1521.0,819.0,15.0,18.0,2.0,18.0,6.0,441.0,48.0,2,0,0,8,5,1,26,9,5,0.0,0.0,0,57.0,16.0,7.0,69.6,1
2021-10-16,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,0,0,Norwich City,0,11,3,27.3,0.0,0.0,16.1,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,2,0,2,100.0,1,0.1,0.1,0,0,0,0,4.0,11.0,36.4,32.0,6.0,12.5,26.2,7.0,100.0,67.3,20.0,5.0,25.0,4.0,14.9,510.0,616.0,82.8,9101.0,3014.0,233.0,262.0,88.9,220.0,251.0,87.6,50.0,78.0,64.1,0,0.7,1.9,9.0,45.0,13.0,4.0,50.0,616.0,576.0,40.0,5.0,1.0,4.0,18,23.0,4.0,1.0,3.0,0.0,510.0,0.0,13.0,20.0,14.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12,13.0,4.0,2.0,5.0,16.0,31.3,11.0,18.0,8.0,10.0,8,27,23.0,1.0,64,742.0,63.0,216.0,324.0,209.0,29.0,742.0,10.0,6.0,60.0,4.0,40.0,452.0,2017.0,1035.0,13.0,14.0,3.0,14.0,5.0,508.0,50.0,5,0,0,14,5,0,18,8,12,0.0,0.0,0,54.0,21.0,14.0,60.0,1
2021-10-23,17:30 (09:30),Premier League,Matchweek 9,Sat,Home,L,1,4,Manchester City,1,9,4,44.4,0.0,0.0,18.9,0.0,1,1,1.3,0.5,0.06,-0.3,-0.5,12,4,8,66.7,0,3.8,-0.2,0,0,0,0,3.0,13.0,23.1,72.0,9.0,16.7,28.5,5.0,20.0,29.8,7.0,3.0,42.9,2.0,16.1,453.0,549.0,82.5,8005.0,2708.0,178.0,199.0,89.4,219.0,241.0,90.9,43.0,73.0,58.9,0,0.5,0.7,8.0,18.0,7.0,1.0,31.0,549.0,507.0,40.0,6.0,0.0,5.0,20,17.0,7.0,0.0,5.0,0.0,453.0,2.0,12.0,16.0,13.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,11,8.0,7.0,1.0,10.0,22.0,45.5,12.0,13.0,6.0,7.0,13,29,9.0,0.0,48,643.0,108.0,308.0,205.0,135.0,24.0,642.0,14.0,12.0,85.7,2.0,14.3,341.0,1742.0,938.0,20.0,11.0,6.0,15.0,5.0,451.0,31.0,2,0,0,10,6,2,20,13,11,1.0,0.0,0,50.0,14.0,5.0,73.7,1
2021-10-30,15:00 (07:00),Premier League,Matchweek 10,Sat,Away,D,2,2,Liverpool,2,9,6,66.7,0.22,0.33,17.0,0.0,0,0,1.0,1.0,0.11,1.0,1.0,3,2,1,33.3,0,1.0,-1.0,0,0,0,0,6.0,22.0,27.3,42.0,4.0,35.7,36.9,7.0,100.0,68.1,13.0,1.0,7.7,2.0,14.8,384.0,503.0,76.3,6912.0,2533.0,176.0,205.0,85.9,158.0,192.0,82.3,46.0,85.0,54.1,2,1.0,0.7,8.0,22.0,5.0,0.0,30.0,503.0,457.0,41.0,9.0,2.0,4.0,11,19.0,3.0,3.0,0.0,0.0,384.0,5.0,11.0,17.0,14.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,20.0,10,8.0,10.0,2.0,4.0,14.0,28.6,10.0,13.0,5.0,8.0,16,36,17.0,0.0,42,614.0,91.0,257.0,242.0,120.0,20.0,614.0,13.0,11.0,84.6,2.0,15.4,289.0,1442.0,801.0,15.0,11.0,6.0,14.0,8.0,380.0,28.0,2,0,0,5,7,5,11,16,10,0.0,0.0,0,65.0,11.0,11.0,50.0,1
