Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-15,14:00 (06:00),Premier League,Matchweek 1,Sun,Away,W,4,2,Newcastle Utd,4,17,7,41.2,0.24,0.57,17.1,1.0,0,1,2.7,2.0,0.12,1.3,2.0,3,2,1,33.3,0,1.5,-0.5,0,0,0,0,6.0,17.0,35.3,18.0,3.0,61.1,39.0,12.0,50.0,40.3,21.0,0.0,0.0,0.0,9.0,431.0,522.0,82.6,7072.0,2261.0,213.0,231.0,92.2,182.0,211.0,86.3,25.0,52.0,48.1,3,1.8,1.2,12.0,28.0,11.0,0.0,42.0,522.0,475.0,45.0,3.0,0.0,1.0,23,21.0,6.0,4.0,2.0,0.0,431.0,2.0,7.0,31.0,20.0,2.0,3.0,4.0,2.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,23.0,14,12.0,9.0,2.0,9.0,23.0,39.1,14.0,10.0,6.0,4.0,7,30,21.0,0.0,54,627.0,70.0,143.0,302.0,188.0,31.0,626.0,15.0,11.0,73.3,4.0,26.7,365.0,2122.0,1207.0,29.0,17.0,7.0,16.0,4.0,429.0,42.0,0,0,0,3,4,2,23,7,14,1.0,0.0,0,48.0,20.0,12.0,62.5,1
2021-08-23,20:00 (12:00),Premier League,Matchweek 2,Mon,Home,W,4,1,Leicester City,4,19,7,36.8,0.21,0.57,13.9,0.0,0,0,2.3,2.3,0.12,1.7,1.7,1,1,0,0.0,0,0.5,-0.5,0,0,0,0,3.0,5.0,60.0,14.0,6.0,21.4,34.5,3.0,66.7,46.3,2.0,1.0,50.0,0.0,12.0,469.0,567.0,82.7,8733.0,2967.0,195.0,220.0,88.6,207.0,239.0,86.6,65.0,94.0,69.1,4,2.2,1.7,16.0,38.0,9.0,5.0,50.0,567.0,519.0,46.0,8.0,0.0,8.0,34,23.0,10.0,8.0,1.0,0.0,469.0,2.0,8.0,35.0,28.0,5.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,11,10.0,5.0,0.0,7.0,12.0,58.3,5.0,7.0,2.0,5.0,5,20,7.0,0.0,52,654.0,34.0,180.0,296.0,187.0,27.0,654.0,12.0,10.0,83.3,2.0,16.7,413.0,1997.0,900.0,16.0,19.0,3.0,10.0,11.0,464.0,50.0,0,0,0,8,8,2,34,5,11,0.0,0.0,0,53.0,21.0,10.0,67.7,1
2021-08-28,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,2,2,Crystal Palace,2,14,4,28.6,0.14,0.5,15.2,0.0,0,0,1.3,1.3,0.1,0.7,0.7,2,2,0,0.0,0,1.7,-0.3,0,0,0,0,2.0,8.0,25.0,11.0,1.0,45.5,39.9,6.0,50.0,44.0,12.0,0.0,0.0,0.0,,331.0,440.0,75.2,5936.0,2359.0,143.0,168.0,85.1,144.0,171.0,84.2,32.0,66.0,48.5,1,1.2,1.6,12.0,37.0,12.0,4.0,51.0,440.0,384.0,55.0,9.0,2.0,3.0,28,32.0,5.0,3.0,2.0,0.0,331.0,1.0,15.0,21.0,15.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,5,11.0,4.0,1.0,6.0,21.0,28.6,15.0,10.0,4.0,6.0,15,31,13.0,0.0,47,545.0,44.0,136.0,245.0,174.0,37.0,545.0,16.0,11.0,68.8,5.0,31.3,286.0,1557.0,629.0,11.0,7.0,5.0,16.0,8.0,330.0,51.0,1,0,0,10,5,1,28,15,5,0.0,0.0,0,47.0,15.0,29.0,34.1,1
2021-09-11,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,0,0,Southampton,0,13,3,23.1,0.0,0.0,20.0,1.0,0,0,0.7,0.7,0.06,-0.7,-0.7,2,0,2,100.0,1,0.1,0.1,0,0,0,0,2.0,5.0,40.0,18.0,6.0,22.2,28.4,7.0,14.3,24.0,11.0,1.0,9.1,0.0,1.0,485.0,581.0,83.5,8574.0,3086.0,228.0,248.0,91.9,202.0,238.0,84.9,47.0,76.0,61.8,0,0.5,0.7,7.0,46.0,5.0,3.0,45.0,581.0,548.0,31.0,9.0,1.0,3.0,22,10.0,4.0,3.0,1.0,0.0,485.0,2.0,3.0,20.0,13.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5,6.0,5.0,3.0,4.0,9.0,44.4,5.0,9.0,4.0,5.0,15,29,19.0,0.0,58,691.0,56.0,180.0,328.0,191.0,14.0,691.0,11.0,6.0,54.5,5.0,45.5,435.0,2249.0,1119.0,17.0,17.0,4.0,20.0,3.0,483.0,44.0,3,1,1,12,10,2,22,15,5,0.0,0.0,0,57.0,16.0,16.0,50.0,1
2021-09-16,18:45 (09:45),Europa Lg,Group stage,Thu,Away,W,2,0,hr Dinamo Zagreb,2,14,5,35.7,0.14,0.4,18.3,0.0,0,0,1.9,1.9,0.14,0.1,0.1,0,0,0,,1,0.0,0.0,0,0,0,0,4.0,11.0,36.4,16.0,3.0,31.3,35.8,9.0,66.7,47.8,7.0,0.0,0.0,0.0,14.0,444.0,529.0,83.9,7607.0,2705.0,207.0,225.0,92.0,203.0,226.0,89.8,29.0,56.0,51.8,0,0.6,0.9,10.0,33.0,10.0,1.0,42.0,529.0,482.0,46.0,6.0,2.0,1.0,18,23.0,7.0,4.0,2.0,0.0,444.0,1.0,7.0,23.0,18.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,8,8.0,6.0,3.0,10.0,23.0,43.5,13.0,7.0,3.0,4.0,11,28,14.0,0.0,50,627.0,39.0,139.0,312.0,181.0,23.0,627.0,15.0,8.0,53.3,7.0,46.7,427.0,2368.0,1190.0,17.0,19.0,2.0,18.0,4.0,441.0,42.0,1,0,0,9,5,1,18,11,8,0.0,0.0,0,45.0,14.0,15.0,48.3,2
2021-09-19,14:00 (06:00),Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,1,12,3,25.0,0.08,0.33,22.0,0.0,0,1,1.6,0.8,0.07,-0.6,0.2,10,2,8,80.0,0,3.0,1.0,0,0,0,0,1.0,10.0,10.0,16.0,6.0,50.0,40.8,10.0,20.0,24.0,28.0,0.0,0.0,0.0,1.0,367.0,457.0,80.3,6048.0,2084.0,164.0,178.0,92.1,170.0,194.0,87.6,21.0,55.0,38.2,1,0.7,0.5,10.0,24.0,8.0,1.0,39.0,457.0,418.0,37.0,7.0,1.0,1.0,17,15.0,2.0,2.0,0.0,0.0,367.0,2.0,10.0,22.0,18.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,7,7.0,6.0,1.0,5.0,24.0,20.8,19.0,12.0,3.0,9.0,4,18,32.0,1.0,40,562.0,78.0,209.0,248.0,114.0,15.0,561.0,17.0,14.0,82.4,3.0,17.6,331.0,1983.0,917.0,14.0,12.0,0.0,8.0,11.0,365.0,39.0,0,0,0,5,6,2,17,4,7,0.0,0.0,0,39.0,12.0,9.0,57.1,1
2021-09-25,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Leeds United,1,20,6,30.0,0.05,0.17,18.2,2.0,0,0,1.6,1.6,0.08,-0.6,-0.6,5,1,4,80.0,0,1.1,0.1,0,0,0,0,3.0,11.0,27.3,24.0,8.0,33.3,29.9,5.0,60.0,42.2,9.0,0.0,0.0,0.0,14.0,300.0,399.0,75.2,5335.0,2362.0,129.0,145.0,89.0,132.0,160.0,82.5,34.0,72.0,47.2,1,1.3,1.0,15.0,23.0,0.0,0.0,34.0,399.0,353.0,46.0,10.0,2.0,1.0,21,22.0,7.0,2.0,5.0,0.0,300.0,0.0,9.0,35.0,22.0,6.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,9,7.0,6.0,2.0,10.0,15.0,66.7,5.0,8.0,6.0,2.0,7,22,13.0,1.0,47,500.0,60.0,170.0,206.0,129.0,23.0,500.0,18.0,7.0,38.9,11.0,61.1,272.0,1924.0,1035.0,27.0,11.0,9.0,8.0,5.0,295.0,34.0,2,0,0,6,10,0,21,7,9,0.0,0.0,0,44.0,19.0,18.0,51.4,1
2021-09-30,20:00 (12:00),Europa Lg,Group stage,Thu,Home,W,2,0,at Rapid Wien,2,14,4,28.6,0.14,0.5,15.6,0.0,0,0,2.6,2.6,0.19,-0.6,-0.6,1,0,1,100.0,1,0.0,0.0,0,0,0,0,5.0,15.0,33.3,23.0,1.0,47.8,41.5,5.0,80.0,51.8,8.0,0.0,0.0,1.0,27.0,414.0,518.0,79.9,7586.0,2793.0,183.0,201.0,91.0,184.0,209.0,88.0,44.0,85.0,51.8,2,1.8,1.9,12.0,34.0,8.0,1.0,37.0,518.0,460.0,56.0,12.0,2.0,3.0,21,30.0,8.0,4.0,0.0,0.0,414.0,2.0,14.0,25.0,17.0,5.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,12,5.0,12.0,3.0,6.0,18.0,33.3,12.0,12.0,6.0,6.0,9,29,11.0,0.0,48,642.0,46.0,154.0,324.0,172.0,25.0,642.0,27.0,13.0,48.1,14.0,51.9,397.0,2219.0,802.0,18.0,11.0,4.0,17.0,13.0,408.0,37.0,1,0,0,8,11,2,21,9,12,0.0,0.0,0,57.0,20.0,7.0,74.1,2
2021-10-03,14:00 (06:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Brentford,1,18,5,27.8,0.06,0.2,16.7,1.0,0,0,1.5,1.5,0.09,-0.5,-0.5,6,2,4,66.7,0,1.3,-0.7,0,0,0,0,5.0,17.0,29.4,17.0,4.0,64.7,44.7,6.0,100.0,71.0,13.0,2.0,15.4,0.0,9.0,340.0,480.0,70.8,6385.0,2231.0,134.0,167.0,80.2,157.0,185.0,84.9,36.0,90.0,40.0,1,1.3,1.1,11.0,35.0,12.0,6.0,48.0,480.0,429.0,49.0,13.0,1.0,3.0,33,17.0,10.0,5.0,5.0,0.0,340.0,2.0,10.0,31.0,22.0,4.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,8,4.0,9.0,2.0,7.0,12.0,58.3,5.0,14.0,4.0,10.0,8,23,15.0,0.0,59,575.0,43.0,135.0,261.0,184.0,29.0,575.0,12.0,9.0,75.0,3.0,25.0,333.0,1802.0,801.0,22.0,12.0,5.0,12.0,2.0,335.0,47.0,2,0,0,16,13,2,33,8,8,0.0,0.0,0,55.0,25.0,25.0,50.0,1
2021-10-17,14:00 (06:00),Premier League,Matchweek 8,Sun,Away,W,1,0,Everton,1,16,4,25.0,0.06,0.25,16.5,0.0,0,0,1.2,1.2,0.08,-0.2,-0.2,2,0,2,100.0,1,0.2,0.2,0,0,0,0,4.0,12.0,33.3,15.0,5.0,13.3,26.1,13.0,76.9,58.5,25.0,2.0,8.0,0.0,4.3,480.0,600.0,80.0,8312.0,2827.0,194.0,215.0,90.2,224.0,255.0,87.8,37.0,81.0,45.7,1,0.9,0.7,10.0,35.0,10.0,1.0,52.0,600.0,547.0,51.0,3.0,1.0,6.0,29,25.0,9.0,5.0,3.0,0.0,480.0,2.0,7.0,28.0,22.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,8,6.0,2.0,5.0,9.0,15.0,60.0,6.0,15.0,4.0,11.0,10,23,19.0,0.0,61,711.0,62.0,182.0,359.0,178.0,31.0,711.0,21.0,8.0,38.1,13.0,61.9,415.0,2291.0,1097.0,17.0,13.0,4.0,14.0,6.0,475.0,52.0,2,0,0,3,3,2,29,10,8,0.0,0.0,0,61.0,13.0,20.0,39.4,1
