Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-06,17:30 (09:30),Premier League,Matchweek 1,Sat,Home,L,0,1,Chelsea,0,8,3,37.5,0.0,0.0,13.5,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7,6,1,5,100.0,0,1.9,0.9,1,1,0,0,8.0,24.0,33.3,33.0,5.0,63.6,43.5,5.0,60.0,51.2,24.0,2.0,8.3,4.0,19.0,272.0,377.0,72.1,5142.0,1918.0,108.0,127.0,85.0,112.0,138.0,81.2,40.0,77.0,51.9,0,0.4,0.5,6.0,28.0,6.0,2.0,19.0,377.0,331.0,46.0,13.0,2.0,4.0,15,22.0,4.0,4.0,0.0,0.0,272.0,0.0,12.0,15.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,17,10.0,12.0,2.0,6.0,19.0,31.6,13.0,14.0,6.0,8.0,8,32,26.0,0.0,38,495.0,71.0,179.0,212.0,114.0,19.0,495.0,21.0,10.0,47.6,6.0,28.6,272.0,1338.0,577.0,6.0,4.0,2.0,10.0,13.0,272.0,19.0,3,0,0,14,11,0,15,8,17,0.0,1.0,0,59.0,12.0,22.0,35.3,1
2022-08-13,12:30 (04:30),Premier League,Matchweek 2,Sat,Away,L,1,2,Aston Villa,0,15,4,26.7,0.0,0.0,14.8,0.0,0,0,1.6,1.6,0.11,-1.6,-1.6,3,2,1,33.3,0,1.7,-0.3,0,0,0,0,4.0,14.0,28.6,26.0,4.0,46.2,33.8,6.0,33.3,29.3,11.0,0.0,0.0,4.0,27.0,313.0,416.0,75.2,6034.0,2051.0,133.0,163.0,81.6,126.0,146.0,86.3,49.0,82.0,59.8,0,0.7,0.6,10.0,27.0,8.0,2.0,24.0,416.0,367.0,46.0,11.0,2.0,10.0,13,18.0,8.0,7.0,0.0,0.0,313.0,3.0,11.0,24.0,17.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11,12.0,3.0,1.0,9.0,16.0,56.3,7.0,10.0,5.0,5.0,8,24,18.0,1.0,43,529.0,64.0,192.0,219.0,119.0,24.0,529.0,18.0,7.0,38.9,10.0,55.6,242.0,1235.0,683.0,9.0,7.0,2.0,19.0,5.0,311.0,24.0,1,0,0,7,8,3,13,8,11,0.0,0.0,0,47.0,12.0,14.0,46.2,1
2022-08-20,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Nott'ham Forest,1,19,8,42.1,0.05,0.13,20.8,1.0,0,0,1.5,1.5,0.08,-0.5,-0.5,5,1,4,80.0,0,1.1,0.1,0,0,0,0,4.0,14.0,28.6,26.0,7.0,34.6,38.6,9.0,55.6,43.8,10.0,0.0,0.0,1.0,13.5,347.0,463.0,74.9,5906.0,2068.0,174.0,192.0,90.6,129.0,160.0,80.6,35.0,90.0,38.9,1,1.1,0.7,15.0,32.0,4.0,0.0,27.0,463.0,411.0,48.0,9.0,5.0,3.0,18,22.0,6.0,5.0,1.0,0.0,347.0,4.0,5.0,34.0,26.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,8,5.0,8.0,0.0,7.0,12.0,58.3,5.0,8.0,3.0,5.0,11,24,16.0,1.0,49,576.0,63.0,210.0,242.0,130.0,26.0,576.0,25.0,9.0,36.0,14.0,56.0,283.0,1875.0,1046.0,25.0,18.0,10.0,15.0,8.0,344.0,27.0,3,0,0,6,9,4,18,11,8,0.0,0.0,0,63.0,10.0,15.0,40.0,1
2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,1,1,Brentford,1,14,7,50.0,0.07,0.14,16.7,0.0,0,0,1.1,1.1,0.08,-0.1,-0.1,5,1,4,80.0,0,1.4,0.4,0,0,0,0,11.0,29.0,37.9,25.0,4.0,72.0,50.4,12.0,91.7,64.9,26.0,1.0,3.8,4.0,12.9,320.0,416.0,76.9,6053.0,2313.0,145.0,168.0,86.3,133.0,153.0,86.9,35.0,78.0,44.9,1,0.8,0.8,9.0,26.0,7.0,2.0,31.0,416.0,376.0,38.0,7.0,3.0,2.0,13,12.0,5.0,5.0,0.0,0.0,320.0,2.0,7.0,26.0,21.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,16,13.0,8.0,1.0,8.0,13.0,61.5,5.0,12.0,5.0,7.0,10,32,35.0,0.0,42,557.0,86.0,200.0,242.0,121.0,18.0,557.0,16.0,9.0,56.3,6.0,37.5,241.0,1297.0,620.0,10.0,9.0,3.0,17.0,8.0,318.0,31.0,2,0,0,8,8,2,13,10,16,0.0,0.0,0,43.0,17.0,21.0,44.7,1
2022-08-30,20:00 (12:00),Premier League,Matchweek 5,Tue,Away,D,1,1,Leeds United,1,7,2,28.6,0.14,0.5,19.1,1.0,0,0,1.0,1.0,0.14,0.0,0.0,5,1,4,80.0,0,0.8,-0.2,0,0,0,0,4.0,22.0,18.2,25.0,7.0,52.0,41.8,11.0,81.8,59.5,22.0,0.0,0.0,2.0,20.0,225.0,326.0,69.0,3979.0,1621.0,110.0,137.0,80.3,85.0,111.0,76.6,25.0,61.0,41.0,1,0.9,0.3,4.0,11.0,2.0,0.0,21.0,326.0,276.0,48.0,11.0,3.0,5.0,3,22.0,2.0,0.0,2.0,0.0,225.0,2.0,7.0,12.0,8.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,13,14.0,12.0,2.0,14.0,26.0,53.8,12.0,15.0,1.0,14.0,18,46,39.0,0.0,31,492.0,78.0,241.0,200.0,57.0,10.0,492.0,24.0,6.0,25.0,15.0,62.5,241.0,1125.0,504.0,8.0,6.0,2.0,24.0,10.0,223.0,21.0,3,0,0,9,7,2,3,18,13,0.0,0.0,0,52.0,12.0,24.0,33.3,1
2022-09-03,12:30 (04:30),Premier League,Matchweek 6,Sat,Home,D,0,0,Liverpool,0,14,3,21.4,0.0,0.0,15.5,0.0,0,0,1.7,1.7,0.12,-1.7,-1.7,8,0,8,100.0,1,1.5,1.5,0,0,0,0,6.0,21.0,28.6,18.0,5.0,61.1,43.4,11.0,90.9,60.3,24.0,1.0,4.2,0.0,1.0,239.0,348.0,68.7,4313.0,1698.0,118.0,143.0,82.5,84.0,108.0,77.8,28.0,75.0,37.3,0,1.3,0.7,10.0,17.0,8.0,1.0,26.0,348.0,291.0,54.0,12.0,0.0,2.0,15,23.0,7.0,5.0,2.0,0.0,239.0,3.0,4.0,23.0,17.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11,12.0,6.0,1.0,5.0,8.0,62.5,3.0,10.0,5.0,5.0,10,29,33.0,0.0,39,469.0,74.0,207.0,149.0,118.0,25.0,469.0,13.0,4.0,30.8,7.0,53.8,178.0,1160.0,630.0,14.0,13.0,8.0,14.0,8.0,237.0,26.0,2,0,0,7,9,3,15,10,11,0.0,0.0,0,45.0,9.0,14.0,39.1,1
2022-09-18,14:15 (06:15),Premier League,Matchweek 8,Sun,Home,W,1,0,West Ham,1,7,2,28.6,0.14,0.5,21.4,0.0,0,0,0.4,0.4,0.05,0.6,0.6,4,0,4,100.0,1,0.5,0.5,0,0,0,0,4.0,13.0,30.8,22.0,5.0,36.4,34.9,8.0,62.5,46.8,23.0,1.0,4.3,0.0,5.0,412.0,512.0,80.5,7598.0,2581.0,180.0,196.0,91.8,177.0,206.0,85.9,47.0,90.0,52.2,1,0.3,0.5,5.0,38.0,5.0,1.0,38.0,512.0,465.0,46.0,12.0,3.0,3.0,22,20.0,5.0,2.0,3.0,0.0,412.0,1.0,4.0,14.0,10.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,11,14.0,1.0,3.0,5.0,6.0,83.3,1.0,17.0,7.0,10.0,10,28,31.0,1.0,53,639.0,80.0,235.0,230.0,181.0,16.0,639.0,19.0,7.0,36.8,11.0,57.9,416.0,2241.0,1133.0,20.0,12.0,7.0,18.0,7.0,411.0,37.0,3,0,0,8,10,1,22,10,11,0.0,0.0,0,53.0,10.0,11.0,47.6,1
2022-10-01,15:00 (07:00),Premier League,Matchweek 9,Sat,Away,W,2,1,Southampton,2,12,5,41.7,0.17,0.4,17.4,1.0,0,0,2.0,2.0,0.17,0.0,0.0,6,1,5,83.3,0,0.8,-0.2,0,0,0,0,14.0,23.0,60.9,27.0,4.0,55.6,42.4,11.0,72.7,54.6,21.0,0.0,0.0,0.0,2.8,317.0,419.0,75.7,6789.0,3023.0,116.0,136.0,85.3,137.0,168.0,81.5,62.0,99.0,62.6,2,1.7,1.5,9.0,33.0,8.0,4.0,34.0,419.0,374.0,44.0,10.0,1.0,5.0,19,15.0,6.0,4.0,2.0,0.0,317.0,1.0,13.0,21.0,16.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,23.0,13,13.0,7.0,3.0,10.0,17.0,58.8,7.0,18.0,7.0,11.0,11,34,26.0,0.0,45,551.0,80.0,215.0,211.0,130.0,25.0,551.0,13.0,7.0,53.8,5.0,38.5,268.0,1435.0,603.0,13.0,6.0,4.0,22.0,17.0,315.0,34.0,2,0,0,10,11,1,19,11,13,0.0,0.0,0,52.0,19.0,13.0,59.4,1
2022-10-09,19:00 (11:00),Premier League,Matchweek 10,Sun,Home,L,1,2,Manchester Utd,1,11,2,18.2,0.09,0.5,17.4,0.0,0,0,0.6,0.6,0.06,0.4,0.4,4,2,2,50.0,0,2.1,0.1,0,0,0,0,10.0,21.0,47.6,38.0,6.0,47.4,35.5,9.0,33.3,31.2,7.0,1.0,14.3,0.0,5.5,317.0,423.0,74.9,5568.0,2064.0,152.0,169.0,89.9,131.0,161.0,81.4,31.0,77.0,40.3,0,0.5,0.7,7.0,16.0,8.0,2.0,21.0,423.0,375.0,47.0,17.0,0.0,0.0,28,13.0,5.0,5.0,0.0,0.0,317.0,1.0,6.0,17.0,13.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6,2.0,7.0,0.0,5.0,12.0,41.7,7.0,16.0,3.0,13.0,15,24,9.0,1.0,40,527.0,69.0,197.0,211.0,130.0,21.0,527.0,22.0,8.0,36.4,12.0,54.5,275.0,1758.0,905.0,10.0,10.0,0.0,19.0,3.0,314.0,20.0,2,0,0,7,11,1,28,15,6,0.0,0.0,0,63.0,13.0,17.0,43.3,1
2022-10-15,17:30 (09:30),Premier League,Matchweek 11,Sat,Away,L,0,2,Tottenham,0,4,0,0.0,0.0,,13.5,0.0,0,0,0.4,0.4,0.11,-0.4,-0.4,7,2,5,85.7,0,2.1,0.1,1,1,0,0,5.0,23.0,21.7,27.0,6.0,59.3,38.7,7.0,100.0,61.6,22.0,0.0,0.0,1.0,19.3,316.0,391.0,80.8,5609.0,1778.0,146.0,161.0,90.7,132.0,149.0,88.6,36.0,75.0,48.0,0,0.2,0.1,3.0,19.0,0.0,0.0,11.0,391.0,359.0,32.0,12.0,1.0,0.0,9,9.0,1.0,1.0,0.0,0.0,316.0,0.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10,8.0,5.0,2.0,5.0,8.0,62.5,3.0,20.0,8.0,12.0,6,21,25.0,0.0,38,494.0,88.0,211.0,234.0,52.0,8.0,494.0,11.0,4.0,36.4,5.0,45.5,307.0,1575.0,634.0,8.0,7.0,2.0,12.0,3.0,313.0,10.0,4,0,0,13,12,0,9,6,10,0.0,1.0,0,48.0,10.0,13.0,43.5,1
