Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-06,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,L,0,2,Newcastle Utd,0,5,0,0.0,0.0,,16.0,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,9,2,7,77.8,0,2.1,0.1,0,0,0,0,4.0,20.0,20.0,33.0,13.0,45.5,40.5,12.0,41.7,37.9,21.0,1.0,4.8,2.0,15.7,243.0,342.0,71.1,4762.0,1864.0,82.0,105.0,78.1,129.0,154.0,83.8,30.0,73.0,41.1,0,0.1,0.3,2.0,16.0,3.0,2.0,16.0,342.0,289.0,53.0,11.0,0.0,0.0,9,26.0,1.0,1.0,0.0,0.0,243.0,0.0,6.0,8.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11,8.0,7.0,0.0,7.0,19.0,36.8,12.0,13.0,6.0,7.0,10,25,37.0,0.0,39,475.0,103.0,249.0,172.0,59.0,8.0,475.0,17.0,5.0,29.4,11.0,64.7,202.0,1132.0,662.0,12.0,5.0,2.0,15.0,8.0,243.0,16.0,3,0,0,14,9,0,9,10,11,0.0,0.0,0,52.0,16.0,12.0,57.1,1
2022-08-14,14:00 (06:00),Premier League,Matchweek 2,Sun,Home,W,1,0,West Ham,1,13,6,46.2,0.08,0.17,14.1,1.0,0,0,1.3,1.3,0.1,-0.3,-0.3,4,0,3,100.0,1,2.1,2.1,1,0,1,0,5.0,27.0,18.5,32.0,8.0,59.4,45.6,10.0,80.0,58.6,20.0,4.0,20.0,4.0,18.0,216.0,336.0,64.3,3788.0,1775.0,93.0,113.0,82.3,98.0,128.0,76.6,19.0,69.0,27.5,0,0.8,0.6,7.0,19.0,5.0,2.0,29.0,336.0,287.0,46.0,12.0,5.0,0.0,20,17.0,6.0,2.0,4.0,0.0,216.0,3.0,10.0,22.0,13.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,8,9.0,3.0,4.0,5.0,13.0,38.5,8.0,20.0,6.0,14.0,5,21,31.0,0.0,43,464.0,75.0,188.0,148.0,138.0,20.0,464.0,16.0,7.0,43.8,4.0,25.0,185.0,1205.0,692.0,18.0,11.0,6.0,16.0,12.0,208.0,29.0,4,0,0,10,10,3,20,5,8,0.0,1.0,0,45.0,18.0,20.0,47.4,1
2022-08-20,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,D,1,1,Everton,1,14,5,35.7,0.07,0.2,19.3,1.0,0,0,1.0,1.0,0.07,0.0,0.0,8,1,7,87.5,0,1.5,0.5,0,0,0,0,6.0,26.0,23.1,37.0,9.0,51.4,40.7,12.0,58.3,42.5,17.0,2.0,11.8,4.0,16.1,354.0,488.0,72.5,6729.0,2300.0,128.0,154.0,83.1,183.0,223.0,82.1,37.0,89.0,41.6,0,0.6,0.4,8.0,22.0,5.0,2.0,23.0,488.0,443.0,44.0,9.0,1.0,4.0,15,19.0,2.0,1.0,1.0,0.0,354.0,1.0,7.0,20.0,11.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,17,12.0,3.0,7.0,14.0,23.0,60.9,9.0,9.0,5.0,4.0,2,24,21.0,1.0,51,589.0,90.0,228.0,249.0,121.0,17.0,589.0,13.0,5.0,38.5,7.0,53.8,334.0,1613.0,910.0,15.0,7.0,5.0,14.0,6.0,353.0,23.0,2,0,0,9,4,1,15,2,17,0.0,0.0,0,60.0,15.0,10.0,60.0,1
2022-08-28,16:30 (08:30),Premier League,Matchweek 4,Sun,Home,L,0,2,Tottenham,0,17,1,5.9,0.0,0.0,20.0,1.0,0,0,0.9,0.9,0.06,-0.9,-0.9,6,2,3,66.7,0,2.4,0.4,1,0,1,0,3.0,17.0,17.6,30.0,2.0,50.0,39.0,9.0,22.2,31.2,4.0,1.0,25.0,5.0,23.3,504.0,612.0,82.4,9156.0,2794.0,207.0,240.0,86.3,244.0,272.0,89.7,45.0,81.0,55.6,0,0.7,1.2,12.0,43.0,12.0,2.0,61.0,612.0,561.0,50.0,15.0,0.0,4.0,24,17.0,6.0,3.0,2.0,1.0,504.0,1.0,3.0,25.0,20.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11,7.0,12.0,2.0,7.0,13.0,53.8,6.0,15.0,5.0,10.0,13,34,7.0,0.0,55,729.0,56.0,178.0,326.0,230.0,40.0,729.0,17.0,8.0,47.1,8.0,47.1,358.0,1638.0,810.0,14.0,14.0,2.0,15.0,4.0,500.0,60.0,6,0,0,11,11,1,24,13,11,0.0,1.0,0,57.0,15.0,15.0,50.0,1
2022-08-31,19:30 (11:30),Premier League,Matchweek 5,Wed,Away,L,0,6,Manchester City,0,8,1,12.5,0.0,0.0,18.4,1.0,0,0,0.7,0.7,0.08,-0.7,-0.7,9,6,3,33.3,0,4.2,-1.8,0,0,0,0,6.0,19.0,31.6,34.0,5.0,38.2,36.2,9.0,66.7,47.2,18.0,1.0,5.6,2.0,15.8,212.0,287.0,73.9,3841.0,1450.0,96.0,110.0,87.3,89.0,108.0,82.4,23.0,59.0,39.0,0,0.6,0.3,6.0,7.0,6.0,3.0,13.0,287.0,247.0,38.0,9.0,0.0,2.0,7,12.0,1.0,0.0,1.0,0.0,212.0,2.0,2.0,16.0,13.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8,9.0,4.0,1.0,10.0,17.0,58.8,7.0,9.0,2.0,7.0,14,28,27.0,1.0,26,378.0,81.0,214.0,119.0,48.0,7.0,378.0,16.0,6.0,37.5,6.0,37.5,200.0,1168.0,517.0,9.0,6.0,1.0,6.0,7.0,212.0,13.0,1,0,0,7,9,2,7,14,8,0.0,0.0,0,39.0,8.0,17.0,32.0,1
2022-09-03,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,L,2,3,Bournemouth,2,10,2,20.0,0.1,0.5,17.5,0.0,1,1,1.9,1.1,0.11,0.1,-0.1,3,3,0,0.0,0,0.7,-2.3,0,0,0,0,5.0,14.0,35.7,26.0,6.0,46.2,39.0,6.0,33.3,34.7,16.0,0.0,0.0,0.0,5.0,431.0,540.0,79.8,8382.0,2528.0,155.0,173.0,89.6,215.0,254.0,84.6,55.0,91.0,60.4,1,1.0,0.7,8.0,36.0,9.0,3.0,41.0,540.0,495.0,44.0,10.0,0.0,5.0,27,20.0,4.0,2.0,1.0,0.0,431.0,1.0,6.0,20.0,16.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,13.0,7,6.0,4.0,3.0,6.0,11.0,54.5,5.0,14.0,3.0,11.0,9,22,18.0,1.0,52,641.0,63.0,193.0,288.0,164.0,22.0,640.0,11.0,8.0,72.7,3.0,27.3,358.0,1680.0,897.0,17.0,6.0,4.0,15.0,9.0,429.0,41.0,2,0,0,13,8,1,27,9,7,0.0,0.0,0,44.0,12.0,12.0,50.0,1
2022-09-16,20:00 (12:00),Premier League,Matchweek 8,Fri,Home,L,2,3,Fulham,2,11,3,27.3,0.18,0.67,16.4,1.0,0,0,1.4,1.4,0.13,0.6,0.6,7,3,4,57.1,0,2.0,-1.0,0,0,0,0,8.0,18.0,44.4,41.0,10.0,34.1,31.2,6.0,66.7,51.3,17.0,0.0,0.0,0.0,10.0,308.0,420.0,73.3,5975.0,2082.0,104.0,132.0,78.8,151.0,176.0,85.8,42.0,84.0,50.0,1,1.1,0.6,7.0,19.0,3.0,1.0,21.0,420.0,377.0,41.0,10.0,2.0,0.0,14,19.0,2.0,1.0,1.0,0.0,308.0,2.0,6.0,17.0,12.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,10.0,3,4.0,5.0,1.0,6.0,15.0,40.0,9.0,8.0,5.0,3.0,8,18,25.0,0.0,41,522.0,80.0,229.0,219.0,77.0,10.0,522.0,6.0,2.0,33.3,2.0,33.3,289.0,1472.0,731.0,9.0,7.0,0.0,16.0,10.0,307.0,21.0,2,0,0,11,10,2,14,8,3,0.0,0.0,0,44.0,18.0,15.0,54.5,1
2022-10-03,20:00 (12:00),Premier League,Matchweek 9,Mon,Away,L,0,4,Leicester City,0,10,3,30.0,0.0,0.0,15.7,0.0,0,0,1.1,1.1,0.12,-1.1,-1.1,7,4,3,42.9,0,2.2,-1.8,0,0,0,0,6.0,21.0,28.6,42.0,4.0,40.5,34.8,8.0,50.0,41.3,12.0,0.0,0.0,0.0,,386.0,503.0,76.7,6999.0,2344.0,153.0,181.0,84.5,191.0,216.0,88.4,38.0,81.0,46.9,0,1.0,0.9,7.0,17.0,6.0,3.0,25.0,503.0,446.0,53.0,16.0,3.0,1.0,13,18.0,6.0,4.0,2.0,0.0,386.0,4.0,11.0,13.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9,8.0,5.0,0.0,7.0,12.0,58.3,5.0,9.0,3.0,6.0,13,26,16.0,0.0,49,587.0,80.0,253.0,248.0,91.0,13.0,587.0,21.0,11.0,52.4,6.0,28.6,321.0,1652.0,754.0,10.0,12.0,1.0,9.0,5.0,386.0,25.0,4,0,0,12,11,4,13,13,9,0.0,0.0,0,44.0,11.0,12.0,47.8,1
2022-10-10,20:00 (12:00),Premier League,Matchweek 10,Mon,Home,D,1,1,Aston Villa,1,6,3,50.0,0.17,0.33,18.7,0.0,0,0,0.3,0.3,0.05,0.7,0.7,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,12.0,18.0,66.7,27.0,8.0,51.9,40.0,7.0,57.1,42.0,14.0,3.0,21.4,1.0,12.0,272.0,376.0,72.3,4985.0,2227.0,123.0,147.0,83.7,98.0,127.0,77.2,37.0,67.0,55.2,1,0.3,0.2,5.0,22.0,3.0,2.0,23.0,376.0,321.0,55.0,22.0,1.0,2.0,12,23.0,1.0,0.0,1.0,0.0,272.0,0.0,14.0,12.0,7.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,9,10.0,3.0,1.0,5.0,10.0,50.0,5.0,12.0,8.0,4.0,7,21,25.0,0.0,40,487.0,70.0,208.0,171.0,113.0,8.0,487.0,16.0,5.0,31.3,10.0,62.5,244.0,1434.0,705.0,13.0,8.0,0.0,16.0,11.0,267.0,23.0,3,0,0,13,19,0,12,7,9,0.0,0.0,0,52.0,20.0,9.0,69.0,1
2022-10-15,15:00 (07:00),Premier League,Matchweek 11,Sat,Away,L,0,1,Wolves,0,9,1,11.1,0.0,0.0,19.9,1.0,0,1,1.5,0.7,0.08,-1.5,-0.7,2,1,1,100.0,0,1.0,0.0,1,1,0,0,4.0,20.0,20.0,28.0,5.0,50.0,40.4,8.0,75.0,54.1,14.0,1.0,7.1,2.0,20.7,248.0,353.0,70.3,4689.0,1933.0,95.0,120.0,79.2,112.0,134.0,83.6,35.0,80.0,43.8,0,0.4,0.4,5.0,16.0,2.0,0.0,19.0,353.0,301.0,51.0,17.0,0.0,3.0,15,19.0,5.0,2.0,3.0,0.0,248.0,1.0,7.0,13.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6,4.0,7.0,5.0,7.0,10.0,70.0,3.0,6.0,1.0,5.0,7,23,22.0,0.0,42,447.0,59.0,167.0,200.0,86.0,15.0,446.0,13.0,7.0,53.8,6.0,46.2,241.0,1244.0,580.0,11.0,11.0,4.0,15.0,11.0,244.0,18.0,2,0,0,13,16,1,15,7,6,1.0,1.0,0,41.0,17.0,9.0,65.4,1
