Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,2,1,Udinese,2,10.0,3.0,30.0,0.2,0.67,18.7,0.0,0,0,0.5,0.5,0.05,1.5,1.5,5.0,1,4.0,80.0,0,0.7,-0.3,0,0,0,0,3.0,16.0,18.8,16.0,4.0,56.3,45.0,11.0,63.6,46.9,24.0,0.0,0.0,0.0,19.0,395.0,518.0,76.3,6460.0,2798.0,203.0,235.0,86.4,144.0,183.0,78.7,32.0,67.0,47.8,2,0.4,0.6,9.0,35.0,5.0,4.0,46.0,518.0,456.0,60.0,12.0,0.0,5.0,22.0,31.0,4.0,2.0,2.0,0.0,395.0,2.0,13.0,19.0,15.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,20.0,12.0,6.0,10.0,4.0,8.0,15.0,53.3,7.0,17.0,6.0,11.0,6.0,26,32.0,0.0,48.0,632.0,61.0,173.0,303.0,161.0,15.0,632.0,15.0,8.0,53.3,7.0,46.7,379.0,1836.0,779.0,20.0,19.0,2.0,17.0,10.0,389.0,46.0,2,0,0,10.0,10.0,2.0,22.0,6.0,12.0,0.0,0.0,0,46.0,15.0,18.0,45.5,1
2017-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Home,L,1,2,Lazio,1,13.0,4.0,30.8,0.08,0.25,19.2,0.0,0,0,0.9,0.9,0.07,0.1,0.1,3.0,2,1.0,33.3,0,1.2,-0.8,0,0,0,0,4.0,16.0,25.0,21.0,7.0,28.6,33.1,11.0,90.9,49.0,17.0,3.0,17.6,0.0,5.0,389.0,494.0,78.7,7477.0,2871.0,162.0,188.0,86.2,159.0,180.0,88.3,58.0,106.0,54.7,1,0.9,0.8,12.0,31.0,16.0,6.0,41.0,494.0,437.0,54.0,10.0,1.0,5.0,31.0,21.0,9.0,3.0,3.0,0.0,389.0,3.0,13.0,25.0,21.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,11.0,8.0,5.0,3.0,6.0,14.0,42.9,8.0,10.0,2.0,8.0,22.0,38,20.0,0.0,49.0,584.0,55.0,164.0,278.0,145.0,17.0,584.0,6.0,4.0,66.7,2.0,33.3,278.0,1645.0,837.0,17.0,12.0,0.0,11.0,12.0,388.0,41.0,1,0,0,8.0,8.0,3.0,31.0,22.0,11.0,0.0,0.0,0,46.0,13.0,13.0,50.0,1
2017-09-09,18:00 (09:00),Serie A,Matchweek 3,Sat,Away,L,0,3,Juventus,0,15.0,2.0,13.3,0.0,0.0,23.7,1.0,0,0,0.6,0.6,0.04,-0.6,-0.6,4.0,3,2.0,25.0,0,1.6,-0.4,0,0,0,0,8.0,19.0,42.1,25.0,4.0,48.0,37.0,11.0,63.6,39.5,10.0,1.0,10.0,0.0,8.2,348.0,426.0,81.7,6920.0,2414.0,137.0,158.0,86.7,148.0,164.0,90.2,57.0,91.0,62.6,0,0.5,0.7,11.0,38.0,10.0,3.0,40.0,426.0,368.0,57.0,18.0,0.0,6.0,22.0,18.0,6.0,1.0,4.0,0.0,348.0,1.0,8.0,29.0,23.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,8.0,8.0,2.0,4.0,15.0,26.7,11.0,10.0,4.0,6.0,15.0,33,22.0,0.0,42.0,521.0,60.0,148.0,250.0,126.0,13.0,521.0,2.0,1.0,50.0,1.0,50.0,264.0,1451.0,696.0,11.0,8.0,1.0,5.0,17.0,346.0,40.0,1,0,0,7.0,15.0,1.0,22.0,15.0,10.0,0.0,0.0,1,34.0,10.0,10.0,50.0,1
2017-09-17,18:00 (09:00),Serie A,Matchweek 4,Sun,Home,D,1,1,Atalanta,1,15.0,4.0,26.7,0.07,0.25,18.5,0.0,0,0,1.2,1.2,0.08,-0.2,-0.2,6.0,1,5.0,100.0,0,1.4,0.4,1,1,0,0,11.0,27.0,40.7,28.0,2.0,71.4,44.9,11.0,63.6,40.7,14.0,0.0,0.0,0.0,10.0,265.0,381.0,69.6,5130.0,2333.0,103.0,122.0,84.4,111.0,143.0,77.6,43.0,90.0,47.8,1,1.1,0.6,10.0,20.0,7.0,4.0,31.0,381.0,325.0,54.0,13.0,0.0,2.0,23.0,22.0,6.0,3.0,3.0,0.0,265.0,2.0,9.0,26.0,23.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,10.0,8.0,3.0,10.0,15.0,66.7,5.0,11.0,1.0,10.0,15.0,36,33.0,0.0,35.0,507.0,72.0,181.0,222.0,107.0,15.0,507.0,6.0,3.0,50.0,3.0,50.0,220.0,1047.0,524.0,12.0,3.0,3.0,22.0,8.0,263.0,31.0,2,0,0,13.0,11.0,2.0,23.0,15.0,15.0,0.0,1.0,0,53.0,14.0,17.0,45.2,1
2017-09-20,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,D,1,1,Genoa,1,16.0,7.0,43.8,0.06,0.14,19.4,3.0,0,0,1.7,1.7,0.1,-0.7,-0.7,2.0,1,1.0,50.0,0,1.0,0.0,0,0,0,0,5.0,11.0,45.5,24.0,5.0,33.3,28.4,9.0,33.3,39.3,18.0,1.0,5.6,0.0,8.2,393.0,504.0,78.0,7029.0,2830.0,174.0,202.0,86.1,154.0,192.0,80.2,52.0,83.0,62.7,1,1.6,1.4,13.0,24.0,11.0,5.0,40.0,504.0,448.0,56.0,18.0,2.0,5.0,18.0,25.0,2.0,1.0,1.0,0.0,393.0,0.0,7.0,29.0,20.0,2.0,1.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,4.0,5.0,0.0,2.0,10.0,20.0,8.0,12.0,5.0,7.0,5.0,14,28.0,1.0,48.0,600.0,59.0,196.0,263.0,151.0,18.0,600.0,7.0,5.0,71.4,2.0,28.6,301.0,1534.0,911.0,10.0,11.0,1.0,14.0,11.0,388.0,39.0,2,0,0,7.0,18.0,0.0,18.0,5.0,7.0,0.0,0.0,0,51.0,14.0,17.0,45.2,1
2017-09-24,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,W,2,0,Cagliari,2,16.0,4.0,25.0,0.13,0.5,18.3,1.0,0,0,1.1,1.1,0.07,0.9,0.9,3.0,0,3.0,100.0,1,1.0,1.0,0,0,0,0,5.0,11.0,45.5,17.0,4.0,29.4,31.2,7.0,85.7,41.9,12.0,3.0,25.0,1.0,10.3,307.0,407.0,75.4,5773.0,2426.0,130.0,148.0,87.8,125.0,160.0,78.1,41.0,74.0,55.4,2,1.1,1.1,14.0,21.0,13.0,4.0,38.0,407.0,355.0,48.0,25.0,0.0,5.0,20.0,13.0,2.0,2.0,0.0,0.0,307.0,4.0,5.0,30.0,23.0,1.0,3.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,4.0,12.0,2.0,4.0,13.0,30.8,9.0,15.0,7.0,8.0,11.0,29,32.0,0.0,46.0,522.0,55.0,159.0,218.0,156.0,22.0,522.0,9.0,6.0,66.7,3.0,33.3,249.0,1519.0,940.0,19.0,19.0,3.0,12.0,11.0,306.0,38.0,2,0,0,17.0,25.0,4.0,20.0,11.0,12.0,0.0,0.0,0,49.0,21.0,12.0,63.6,1
2017-10-01,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,W,2,1,Fiorentina,2,13.0,6.0,46.2,0.15,0.33,16.4,0.0,0,0,1.1,1.1,0.08,0.9,0.9,4.0,1,3.0,75.0,0,1.0,0.0,0,0,0,0,8.0,25.0,32.0,19.0,4.0,63.2,41.9,20.0,65.0,44.4,21.0,1.0,4.8,0.0,7.0,344.0,449.0,76.6,6273.0,2414.0,156.0,180.0,86.7,122.0,136.0,89.7,51.0,99.0,51.5,2,1.0,0.8,11.0,22.0,8.0,5.0,34.0,449.0,398.0,48.0,9.0,1.0,6.0,19.0,14.0,3.0,1.0,2.0,0.0,344.0,3.0,13.0,22.0,16.0,2.0,3.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,7.0,5.0,0.0,8.0,19.0,42.1,11.0,12.0,5.0,7.0,9.0,21,33.0,0.0,45.0,558.0,78.0,181.0,242.0,145.0,19.0,558.0,15.0,10.0,66.7,5.0,33.3,297.0,1666.0,908.0,22.0,17.0,4.0,13.0,11.0,340.0,34.0,2,0,0,10.0,10.0,3.0,19.0,9.0,10.0,0.0,0.0,0,55.0,11.0,12.0,47.8,1
2017-10-15,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,0,0,Sassuolo,0,9.0,2.0,22.2,0.0,0.0,21.9,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,4.0,0,4.0,100.0,1,1.1,1.1,0,0,0,0,9.0,17.0,52.9,26.0,5.0,26.9,30.7,11.0,90.9,52.0,17.0,0.0,0.0,0.0,,338.0,451.0,74.9,6631.0,2689.0,130.0,156.0,83.3,153.0,188.0,81.4,49.0,97.0,50.5,0,0.2,0.4,5.0,24.0,4.0,0.0,43.0,451.0,401.0,48.0,11.0,0.0,4.0,30.0,17.0,8.0,4.0,4.0,0.0,338.0,2.0,3.0,15.0,9.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,5.0,8.0,1.0,6.0,14.0,42.9,8.0,13.0,5.0,8.0,6.0,20,22.0,0.0,49.0,539.0,71.0,169.0,257.0,116.0,16.0,539.0,7.0,3.0,42.9,4.0,57.1,349.0,1673.0,867.0,10.0,15.0,2.0,12.0,12.0,337.0,43.0,0,0,0,15.0,8.0,2.0,30.0,6.0,11.0,0.0,0.0,0,41.0,16.0,15.0,51.6,1
2017-10-22,12:30 (03:30),Serie A,Matchweek 9,Sun,Home,W,3,2,Hellas Verona,3,20.0,7.0,35.0,0.1,0.29,19.8,0.0,1,1,2.5,1.7,0.09,0.5,0.3,3.0,2,1.0,66.7,0,1.7,-0.3,1,1,0,0,5.0,15.0,33.3,17.0,3.0,64.7,37.9,6.0,66.7,41.8,17.0,0.0,0.0,0.0,3.0,477.0,584.0,81.7,8350.0,3181.0,208.0,234.0,88.9,198.0,233.0,85.0,53.0,91.0,58.2,2,1.6,1.6,16.0,38.0,12.0,6.0,60.0,584.0,544.0,36.0,11.0,4.0,2.0,38.0,11.0,5.0,4.0,1.0,0.0,477.0,4.0,5.0,39.0,33.0,2.0,0.0,0.0,3.0,1.0,6.0,3.0,1.0,0.0,0.0,2.0,0.0,9.0,8.0,4.0,3.0,2.0,1.0,6.0,16.7,5.0,11.0,5.0,6.0,10.0,19,25.0,0.0,59.0,669.0,50.0,172.0,319.0,184.0,22.0,668.0,5.0,1.0,20.0,4.0,80.0,353.0,1845.0,1018.0,25.0,20.0,5.0,6.0,5.0,473.0,59.0,2,0,0,9.0,11.0,4.0,38.0,10.0,8.0,1.0,1.0,0,64.0,22.0,9.0,71.0,1
2017-10-25,20:45 (11:45),Serie A,Matchweek 10,Wed,Home,L,1,4,Milan,1,9.0,3.0,33.3,0.11,0.33,18.7,0.0,0,0,0.5,0.5,0.05,0.5,0.5,4.0,4,1.0,0.0,0,1.7,-1.3,0,0,0,0,8.0,17.0,47.1,30.0,8.0,36.7,32.3,8.0,75.0,44.6,10.0,0.0,0.0,1.0,16.5,380.0,475.0,80.0,6413.0,2530.0,183.0,204.0,89.7,148.0,172.0,86.0,36.0,66.0,54.5,0,0.3,0.6,5.0,21.0,9.0,3.0,34.0,475.0,423.0,49.0,13.0,0.0,8.0,12.0,22.0,1.0,0.0,1.0,0.0,380.0,3.0,14.0,14.0,8.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,5.0,1.0,3.0,8.0,37.5,5.0,13.0,6.0,7.0,8.0,18,23.0,1.0,42.0,571.0,66.0,184.0,280.0,111.0,17.0,571.0,15.0,10.0,66.7,5.0,33.3,289.0,1290.0,564.0,11.0,10.0,2.0,14.0,14.0,378.0,34.0,2,0,0,12.0,11.0,3.0,12.0,8.0,5.0,0.0,0.0,1,48.0,12.0,10.0,54.5,1
