Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-20,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,2,1,Benevento,2,16.0,6.0,37.5,0.13,0.33,16.4,1.0,0,0,2.7,2.7,0.18,-0.7,-0.7,7.0,1,6.0,85.7,0,1.3,0.3,0,0,0,0,4.0,9.0,44.4,31.0,11.0,16.1,25.5,12.0,33.3,35.3,17.0,0.0,0.0,3.0,20.0,575.0,679.0,84.7,9714.0,3594.0,257.0,281.0,91.5,235.0,259.0,90.7,53.0,89.0,59.6,1,1.9,1.0,11.0,35.0,16.0,3.0,56.0,679.0,626.0,51.0,12.0,3.0,4.0,24.0,19.0,6.0,3.0,0.0,0.0,575.0,2.0,12.0,27.0,17.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,17.0,11.0,5.0,8.0,4.0,2.0,12.0,16.7,10.0,10.0,1.0,9.0,5.0,22,20.0,1.0,64.0,771.0,61.0,182.0,402.0,191.0,27.0,771.0,22.0,18.0,81.8,4.0,18.2,462.0,2257.0,1111.0,18.0,15.0,3.0,13.0,14.0,571.0,55.0,1,0,0,10.0,10.0,2.0,24.0,5.0,11.0,0.0,0.0,0,39.0,10.0,8.0,55.6,1
2017-08-27,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,2,1,Fiorentina,2,11.0,4.0,36.4,0.09,0.25,17.2,1.0,1,1,2.2,1.4,0.13,-0.2,-0.4,10.0,1,9.0,90.0,0,2.8,1.8,0,0,0,0,3.0,27.0,11.1,38.0,9.0,55.3,44.5,9.0,66.7,48.4,31.0,2.0,6.5,1.0,13.5,293.0,397.0,73.8,5433.0,2279.0,111.0,126.0,88.1,142.0,172.0,82.6,32.0,86.0,37.2,0,0.9,0.7,7.0,24.0,6.0,1.0,35.0,397.0,339.0,57.0,23.0,4.0,2.0,15.0,17.0,6.0,5.0,0.0,0.0,293.0,1.0,3.0,19.0,14.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,8.0,7.0,5.0,0.0,3.0,9.0,33.3,6.0,16.0,9.0,7.0,10.0,22,33.0,0.0,44.0,519.0,100.0,200.0,220.0,105.0,15.0,518.0,11.0,7.0,63.6,4.0,36.4,260.0,1685.0,821.0,12.0,11.0,4.0,13.0,12.0,290.0,35.0,4,0,0,11.0,18.0,1.0,15.0,10.0,8.0,0.0,0.0,0,44.0,12.0,14.0,46.2,1
2017-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Torino,2,11.0,5.0,45.5,0.18,0.4,20.6,0.0,0,0,1.0,1.0,0.09,1.0,1.0,3.0,2,1.0,33.3,0,1.4,-0.6,0,0,0,0,7.0,17.0,41.2,27.0,6.0,44.4,38.4,8.0,62.5,45.6,10.0,2.0,20.0,2.0,13.5,409.0,511.0,80.0,7089.0,3043.0,188.0,213.0,88.3,153.0,182.0,84.1,47.0,87.0,54.0,2,0.8,0.9,7.0,34.0,4.0,3.0,28.0,511.0,453.0,57.0,20.0,0.0,2.0,23.0,20.0,6.0,5.0,0.0,0.0,409.0,1.0,9.0,20.0,17.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,4.0,11.0,2.0,5.0,19.0,26.3,14.0,17.0,3.0,14.0,10.0,27,15.0,1.0,51.0,598.0,52.0,151.0,336.0,115.0,13.0,598.0,6.0,4.0,66.7,2.0,33.3,201.0,1316.0,568.0,13.0,16.0,2.0,13.0,16.0,407.0,27.0,1,0,0,15.0,13.0,1.0,23.0,10.0,13.0,0.0,0.0,0,49.0,8.0,10.0,44.4,1
2017-09-20,20:45 (11:45),Serie A,Matchweek 5,Wed,Away,D,0,0,Hellas Verona,0,17.0,5.0,29.4,0.0,0.0,19.2,0.0,0,0,1.5,1.5,0.09,-1.5,-1.5,5.0,0,5.0,100.0,1,0.7,0.7,0,0,0,0,9.0,17.0,52.9,26.0,6.0,46.2,34.7,9.0,55.6,47.4,15.0,0.0,0.0,4.0,22.7,528.0,639.0,82.6,10397.0,3510.0,182.0,214.0,85.0,275.0,311.0,88.4,68.0,103.0,66.0,0,1.5,1.1,15.0,43.0,14.0,7.0,60.0,639.0,577.0,59.0,17.0,2.0,4.0,32.0,25.0,7.0,6.0,1.0,0.0,528.0,3.0,11.0,33.0,26.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,6.0,2.0,2.0,5.0,40.0,3.0,12.0,2.0,10.0,12.0,21,18.0,1.0,63.0,737.0,58.0,135.0,453.0,158.0,22.0,737.0,14.0,10.0,71.4,4.0,28.6,336.0,2363.0,1338.0,27.0,23.0,5.0,12.0,14.0,526.0,60.0,1,0,0,6.0,17.0,3.0,32.0,12.0,7.0,0.0,0.0,0,57.0,13.0,12.0,52.0,1
2017-09-24,12:30 (03:30),Serie A,Matchweek 6,Sun,Home,W,2,0,Milan,2,12.0,3.0,25.0,0.17,0.67,14.2,0.0,0,0,1.6,1.6,0.14,0.4,0.4,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,10.0,21.0,47.6,27.0,2.0,59.3,37.4,5.0,100.0,57.2,16.0,2.0,12.5,3.0,15.1,316.0,418.0,75.6,5077.0,2097.0,154.0,175.0,88.0,112.0,140.0,80.0,31.0,70.0,44.3,0,0.9,0.3,9.0,23.0,6.0,1.0,27.0,418.0,361.0,52.0,24.0,0.0,0.0,22.0,15.0,7.0,4.0,2.0,0.0,316.0,5.0,8.0,18.0,8.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,7.0,6.0,5.0,2.0,1.0,8.0,12.5,7.0,13.0,2.0,11.0,9.0,22,24.0,0.0,46.0,510.0,43.0,172.0,229.0,115.0,18.0,510.0,12.0,8.0,66.7,4.0,33.3,231.0,1208.0,662.0,16.0,7.0,7.0,9.0,9.0,314.0,27.0,0,0,0,13.0,17.0,5.0,22.0,9.0,7.0,0.0,0.0,0,60.0,11.0,10.0,52.4,1
2017-09-30,18:00 (09:00),Serie A,Matchweek 7,Sat,Away,L,0,4,Udinese,0,13.0,2.0,15.4,0.0,0.0,22.4,1.0,0,0,0.6,0.6,0.05,-0.6,-0.6,7.0,4,3.0,85.7,0,3.5,-0.5,3,3,0,0,0.0,5.0,0.0,23.0,8.0,21.7,24.9,9.0,0.0,25.8,12.0,1.0,8.3,3.0,20.2,546.0,639.0,85.4,8498.0,3011.0,279.0,303.0,92.1,217.0,234.0,92.7,29.0,60.0,48.3,0,0.4,0.6,9.0,43.0,9.0,2.0,71.0,639.0,585.0,54.0,16.0,0.0,3.0,16.0,21.0,4.0,3.0,0.0,0.0,546.0,0.0,16.0,24.0,18.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,5.0,7.0,0.0,7.0,18.0,38.9,11.0,12.0,0.0,12.0,7.0,19,9.0,0.0,62.0,719.0,54.0,134.0,460.0,135.0,14.0,719.0,10.0,6.0,60.0,4.0,40.0,458.0,2564.0,1502.0,18.0,14.0,0.0,20.0,18.0,544.0,71.0,2,1,1,10.0,11.0,0.0,16.0,7.0,6.0,0.0,3.0,0,58.0,11.0,13.0,45.8,1
2017-10-15,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Atalanta,3,12.0,8.0,66.7,0.25,0.38,16.5,0.0,0,0,1.3,1.3,0.11,1.7,1.7,11.0,1,10.0,90.9,0,2.3,1.3,0,0,0,0,8.0,11.0,72.7,22.0,7.0,31.8,31.4,11.0,36.4,35.2,26.0,2.0,7.7,0.0,8.5,432.0,531.0,81.4,7116.0,3083.0,203.0,228.0,89.0,162.0,194.0,83.5,43.0,73.0,58.9,3,1.3,1.1,11.0,41.0,8.0,1.0,36.0,531.0,477.0,53.0,16.0,1.0,2.0,18.0,20.0,4.0,1.0,2.0,0.0,432.0,1.0,10.0,18.0,14.0,1.0,3.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,26.0,19.0,15.0,9.0,2.0,12.0,25.0,48.0,13.0,20.0,4.0,16.0,11.0,37,27.0,0.0,48.0,658.0,84.0,202.0,313.0,152.0,17.0,658.0,22.0,14.0,63.6,8.0,36.4,265.0,1864.0,1080.0,21.0,20.0,4.0,11.0,14.0,425.0,34.0,3,0,0,10.0,13.0,1.0,18.0,11.0,19.0,0.0,0.0,0,63.0,4.0,1.0,80.0,1
2017-10-21,18:00 (09:00),Serie A,Matchweek 9,Sat,Home,W,5,0,Crotone,5,5.0,4.0,80.0,0.8,1.0,13.2,0.0,1,1,2.0,1.3,0.25,3.0,2.7,2.0,0,2.0,100.0,1,0.7,0.7,0,0,0,0,3.0,5.0,60.0,22.0,5.0,18.2,31.8,5.0,20.0,32.8,6.0,0.0,0.0,0.0,7.6,719.0,812.0,88.5,12624.0,4078.0,285.0,311.0,91.6,359.0,390.0,92.1,57.0,82.0,69.5,3,1.2,1.0,3.0,28.0,3.0,0.0,56.0,812.0,767.0,45.0,22.0,2.0,3.0,17.0,13.0,4.0,3.0,1.0,0.0,719.0,0.0,10.0,9.0,5.0,0.0,2.0,0.0,2.0,0.0,8.0,5.0,0.0,1.0,0.0,2.0,0.0,13.0,7.0,6.0,5.0,2.0,2.0,9.0,22.2,7.0,10.0,0.0,10.0,7.0,20,9.0,0.0,67.0,886.0,44.0,262.0,508.0,126.0,11.0,885.0,15.0,11.0,73.3,4.0,26.7,504.0,2314.0,1131.0,14.0,15.0,5.0,15.0,10.0,717.0,56.0,1,0,0,11.0,20.0,0.0,17.0,7.0,7.0,1.0,0.0,0,61.0,7.0,10.0,41.2,1
2017-10-24,20:45 (11:45),Serie A,Matchweek 10,Tue,Away,L,2,3,Inter,2,12.0,2.0,16.7,0.17,1.0,20.9,1.0,0,0,0.9,0.9,0.08,1.1,1.1,8.0,3,5.0,62.5,0,3.8,0.8,0,0,0,0,8.0,16.0,50.0,18.0,4.0,50.0,36.3,10.0,70.0,50.2,15.0,1.0,6.7,5.0,24.0,412.0,512.0,80.5,7814.0,3294.0,165.0,182.0,90.7,183.0,219.0,83.6,54.0,90.0,60.0,2,0.8,1.2,10.0,39.0,11.0,4.0,48.0,512.0,463.0,47.0,11.0,3.0,2.0,31.0,18.0,4.0,1.0,3.0,0.0,412.0,2.0,5.0,21.0,19.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,5.0,10.0,2.0,6.0,11.0,54.5,5.0,14.0,4.0,10.0,11.0,28,28.0,1.0,48.0,621.0,54.0,180.0,300.0,148.0,18.0,621.0,17.0,11.0,64.7,6.0,35.3,262.0,1287.0,608.0,17.0,13.0,3.0,17.0,9.0,408.0,48.0,2,0,0,11.0,12.0,2.0,31.0,11.0,12.0,0.0,0.0,0,60.0,11.0,9.0,55.0,1
2017-10-29,15:00 (07:00),Serie A,Matchweek 11,Sun,Home,W,4,1,Chievo,4,15.0,7.0,46.7,0.27,0.57,18.4,1.0,0,0,1.9,1.9,0.13,2.1,2.1,6.0,1,5.0,83.3,0,2.0,1.0,0,0,0,0,7.0,25.0,28.0,33.0,3.0,60.6,45.8,8.0,62.5,49.6,21.0,1.0,4.8,1.0,13.0,410.0,517.0,79.3,7073.0,2613.0,204.0,225.0,90.7,124.0,151.0,82.1,54.0,102.0,52.9,1,1.2,1.4,8.0,27.0,15.0,2.0,32.0,517.0,462.0,53.0,16.0,0.0,3.0,21.0,19.0,8.0,4.0,2.0,0.0,410.0,2.0,9.0,27.0,21.0,1.0,2.0,2.0,1.0,0.0,6.0,3.0,0.0,1.0,1.0,1.0,0.0,18.0,11.0,11.0,6.0,1.0,7.0,16.0,43.8,9.0,11.0,0.0,11.0,11.0,29,29.0,0.0,53.0,623.0,70.0,184.0,288.0,157.0,33.0,623.0,9.0,3.0,33.3,6.0,66.7,208.0,1475.0,808.0,14.0,17.0,6.0,15.0,9.0,406.0,32.0,2,0,0,9.0,11.0,2.0,21.0,11.0,11.0,0.0,0.0,0,46.0,8.0,13.0,38.1,1
