Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-19,20:30 (11:30),Serie A,Matchweek 1,Sun,Away,L,0,2,Empoli,0,15.0,3.0,20.0,0.0,0.0,17.3,1.0,0,0,0.9,0.9,0.06,-0.9,-0.9,4.0,2,2.0,50.0,0,0.8,-1.2,0,0,0,0,9.0,21.0,42.9,29.0,9.0,44.8,37.7,10.0,80.0,55.5,9.0,0.0,0.0,1.0,26.0,405.0,520.0,77.9,7793.0,3184.0,174.0,199.0,87.4,169.0,207.0,81.6,54.0,93.0,58.1,0,0.8,1.0,13.0,40.0,13.0,6.0,50.0,520.0,458.0,62.0,23.0,0.0,7.0,33.0,20.0,6.0,1.0,3.0,0.0,405.0,0.0,9.0,28.0,23.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,8.0,4.0,1.0,4.0,19.0,21.1,15.0,8.0,1.0,7.0,15.0,28,13.0,0.0,54.0,628.0,47.0,155.0,284.0,189.0,22.0,628.0,6.0,2.0,33.3,4.0,66.7,315.0,1727.0,877.0,17.0,16.0,2.0,30.0,8.0,403.0,50.0,3,0,0,19.0,18.0,0.0,33.0,15.0,9.0,0.0,0.0,0,48.0,19.0,21.0,47.5,1
2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,D,2,2,Sassuolo,2,15.0,6.0,40.0,0.13,0.33,14.1,0.0,0,0,1.3,1.3,0.09,0.7,0.7,5.0,2,3.0,80.0,0,2.3,0.3,1,1,0,0,10.0,19.0,52.6,19.0,1.0,57.9,39.2,9.0,88.9,58.2,13.0,1.0,7.7,0.0,15.5,301.0,394.0,76.4,5499.0,2289.0,144.0,171.0,84.2,102.0,125.0,81.6,42.0,74.0,56.8,2,0.8,1.1,11.0,19.0,10.0,4.0,23.0,394.0,337.0,56.0,17.0,0.0,4.0,26.0,20.0,7.0,1.0,5.0,0.0,301.0,1.0,7.0,26.0,13.0,7.0,1.0,2.0,3.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,20.0,14.0,4.0,11.0,5.0,5.0,7.0,71.4,2.0,10.0,1.0,9.0,16.0,36,23.0,0.0,41.0,506.0,48.0,131.0,234.0,148.0,23.0,506.0,8.0,4.0,50.0,4.0,50.0,299.0,1294.0,522.0,11.0,7.0,3.0,21.0,4.0,295.0,23.0,4,0,0,14.0,15.0,1.0,26.0,16.0,14.0,0.0,1.0,0,42.0,15.0,11.0,57.7,1
2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,W,1,0,Atalanta,1,6.0,3.0,50.0,0.17,0.33,19.3,1.0,0,0,0.3,0.3,0.06,0.7,0.7,2.0,0,2.0,100.0,1,0.6,0.6,0,0,0,0,15.0,34.0,44.1,37.0,4.0,70.3,46.8,8.0,100.0,63.5,14.0,1.0,7.1,0.0,7.3,356.0,479.0,74.3,6183.0,2795.0,178.0,200.0,89.0,102.0,135.0,75.6,55.0,108.0,50.9,0,0.3,0.5,5.0,23.0,2.0,1.0,25.0,479.0,431.0,46.0,15.0,0.0,1.0,16.0,18.0,4.0,2.0,1.0,0.0,356.0,2.0,7.0,11.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,10.0,6.0,6.0,2.0,4.0,10.0,40.0,6.0,13.0,3.0,10.0,15.0,29,27.0,0.0,47.0,576.0,72.0,201.0,262.0,119.0,11.0,576.0,6.0,3.0,50.0,3.0,50.0,312.0,1421.0,730.0,18.0,10.0,3.0,15.0,8.0,354.0,25.0,2,0,0,17.0,14.0,2.0,16.0,15.0,10.0,0.0,0.0,0,64.0,31.0,22.0,58.5,1
2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,1,6.0,2.0,33.3,0.17,0.5,23.6,0.0,0,0,0.5,0.5,0.09,0.5,0.5,6.0,1,5.0,83.3,0,1.3,0.3,0,0,0,0,15.0,25.0,60.0,22.0,7.0,59.1,36.2,12.0,100.0,62.0,31.0,2.0,6.5,0.0,7.0,315.0,405.0,77.8,5802.0,2633.0,143.0,157.0,91.1,125.0,145.0,86.2,37.0,76.0,48.7,0,0.2,0.9,3.0,21.0,7.0,0.0,24.0,405.0,359.0,44.0,13.0,3.0,4.0,10.0,14.0,3.0,3.0,0.0,0.0,315.0,2.0,10.0,9.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,9.0,8.0,3.0,1.0,4.0,11.0,36.4,7.0,17.0,8.0,9.0,11.0,23,25.0,0.0,36.0,507.0,77.0,189.0,229.0,94.0,20.0,507.0,11.0,3.0,27.3,8.0,72.7,229.0,1267.0,614.0,10.0,8.0,3.0,15.0,8.0,311.0,23.0,1,0,0,12.0,10.0,2.0,10.0,11.0,9.0,0.0,0.0,0,48.0,13.0,8.0,61.9,1
2018-09-22,15:00 (06:00),Serie A,Matchweek 5,Sat,Away,L,0,2,Parma,0,16.0,2.0,12.5,0.0,0.0,18.3,1.0,0,0,0.9,0.9,0.05,-0.9,-0.9,6.0,2,4.0,66.7,0,1.7,-0.3,0,0,0,0,4.0,6.0,66.7,21.0,4.0,14.3,26.7,8.0,37.5,34.4,8.0,1.0,12.5,1.0,10.3,559.0,666.0,83.9,9996.0,3565.0,246.0,277.0,88.8,239.0,262.0,91.2,58.0,92.0,63.0,0,0.7,1.5,12.0,66.0,20.0,3.0,73.0,666.0,596.0,67.0,16.0,0.0,7.0,39.0,29.0,11.0,6.0,3.0,0.0,559.0,3.0,16.0,30.0,22.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,3.0,3.0,6.0,5.0,11.0,45.5,6.0,8.0,4.0,4.0,11.0,23,12.0,0.0,72.0,746.0,47.0,126.0,349.0,274.0,38.0,746.0,8.0,3.0,37.5,5.0,62.5,438.0,2870.0,1699.0,35.0,29.0,7.0,13.0,11.0,556.0,73.0,1,0,0,5.0,15.0,3.0,39.0,11.0,12.0,0.0,0.0,0,41.0,12.0,14.0,46.2,1
2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Home,D,0,0,Sampdoria,0,14.0,1.0,7.1,0.0,0.0,16.2,0.0,0,0,1.0,1.0,0.07,-1.0,-1.0,3.0,0,2.0,100.0,1,1.5,1.5,1,0,1,0,17.0,32.0,53.1,30.0,1.0,76.7,45.5,10.0,90.0,56.5,9.0,0.0,0.0,1.0,16.0,364.0,503.0,72.4,7297.0,3047.0,156.0,189.0,82.5,132.0,169.0,78.1,68.0,118.0,57.6,0,0.7,0.8,9.0,32.0,10.0,4.0,34.0,503.0,436.0,62.0,23.0,3.0,4.0,22.0,21.0,7.0,1.0,4.0,0.0,364.0,5.0,11.0,25.0,17.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,6.0,10.0,3.0,7.0,13.0,53.8,6.0,9.0,1.0,8.0,16.0,35,17.0,0.0,47.0,619.0,54.0,173.0,330.0,122.0,20.0,619.0,7.0,1.0,14.3,6.0,85.7,323.0,1346.0,595.0,12.0,3.0,2.0,23.0,10.0,363.0,34.0,1,0,0,17.0,22.0,5.0,22.0,16.0,14.0,0.0,1.0,0,63.0,23.0,20.0,53.5,1
2018-09-29,20:30 (11:30),Serie A,Matchweek 7,Sat,Away,L,0,2,Inter,0,6.0,2.0,33.3,0.0,0.0,17.5,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,6.0,2,4.0,66.7,0,1.0,-1.0,0,0,0,0,8.0,17.0,47.1,22.0,6.0,36.4,30.2,9.0,100.0,60.1,22.0,1.0,4.5,1.0,11.8,431.0,535.0,80.6,7992.0,2829.0,175.0,197.0,88.8,186.0,214.0,86.9,57.0,89.0,64.0,0,0.2,0.4,6.0,21.0,8.0,1.0,37.0,535.0,479.0,54.0,14.0,1.0,7.0,21.0,24.0,4.0,2.0,1.0,0.0,431.0,2.0,13.0,12.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,4.0,4.0,1.0,2.0,8.0,25.0,6.0,10.0,4.0,6.0,12.0,21,25.0,0.0,50.0,630.0,71.0,188.0,340.0,109.0,12.0,630.0,10.0,6.0,60.0,4.0,40.0,305.0,1532.0,869.0,15.0,12.0,1.0,14.0,13.0,430.0,37.0,4,0,0,11.0,12.0,2.0,21.0,12.0,6.0,0.0,0.0,0,54.0,24.0,18.0,57.1,1
2018-10-06,15:00 (06:00),Serie A,Matchweek 8,Sat,Home,W,2,0,Bologna,2,11.0,5.0,45.5,0.18,0.4,18.7,1.0,0,0,1.7,1.7,0.15,0.3,0.3,4.0,0,4.0,100.0,1,0.6,0.6,0,0,0,0,10.0,19.0,52.6,27.0,5.0,44.4,39.1,11.0,63.6,47.2,18.0,0.0,0.0,2.0,17.0,375.0,480.0,78.1,7541.0,3009.0,137.0,152.0,90.1,171.0,204.0,83.8,62.0,108.0,57.4,2,1.6,1.3,8.0,26.0,10.0,5.0,44.0,480.0,431.0,49.0,16.0,1.0,1.0,27.0,17.0,4.0,0.0,1.0,2.0,375.0,0.0,8.0,16.0,12.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,10.0,4.0,6.0,1.0,2.0,4.0,50.0,2.0,8.0,1.0,7.0,6.0,17,32.0,0.0,52.0,587.0,57.0,176.0,253.0,163.0,20.0,587.0,10.0,4.0,40.0,6.0,60.0,245.0,1680.0,919.0,22.0,16.0,2.0,15.0,10.0,375.0,44.0,2,0,0,8.0,16.0,0.0,27.0,6.0,10.0,0.0,0.0,0,41.0,23.0,21.0,52.3,1
2018-10-21,18:00 (09:00),Serie A,Matchweek 9,Sun,Away,D,1,1,Fiorentina,1,9.0,4.0,44.4,0.11,0.25,20.3,2.0,0,0,1.0,1.0,0.11,0.0,0.0,2.0,1,1.0,100.0,0,1.2,0.2,1,1,0,0,7.0,14.0,50.0,14.0,2.0,42.9,36.1,8.0,100.0,52.8,17.0,0.0,0.0,0.0,,274.0,410.0,66.8,4600.0,1955.0,140.0,166.0,84.3,95.0,139.0,68.3,30.0,77.0,39.0,1,0.8,0.9,7.0,20.0,3.0,1.0,23.0,410.0,350.0,58.0,11.0,0.0,0.0,13.0,30.0,7.0,2.0,4.0,0.0,274.0,2.0,12.0,18.0,13.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,13.0,7.0,1.0,6.0,10.0,60.0,4.0,13.0,4.0,9.0,13.0,34,27.0,0.0,43.0,523.0,50.0,183.0,209.0,138.0,15.0,523.0,8.0,6.0,75.0,2.0,25.0,247.0,1096.0,518.0,12.0,10.0,4.0,13.0,13.0,271.0,23.0,2,0,0,20.0,13.0,2.0,13.0,13.0,15.0,0.0,1.0,0,51.0,23.0,21.0,52.3,1
2018-10-28,15:00 (07:00),Serie A,Matchweek 10,Sun,Home,W,2,1,Chievo,2,15.0,3.0,20.0,0.13,0.67,16.9,1.0,0,0,1.5,1.5,0.1,0.5,0.5,3.0,1,2.0,66.7,0,1.0,0.0,0,0,0,0,11.0,18.0,61.1,20.0,3.0,50.0,37.6,9.0,88.9,58.6,15.0,0.0,0.0,0.0,,419.0,524.0,80.0,8567.0,2983.0,165.0,197.0,83.8,176.0,201.0,87.6,70.0,104.0,67.3,2,1.1,1.2,10.0,24.0,3.0,0.0,33.0,524.0,460.0,64.0,15.0,0.0,6.0,20.0,30.0,8.0,5.0,2.0,0.0,419.0,0.0,10.0,25.0,18.0,4.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,5.0,3.0,3.0,8.0,37.5,5.0,12.0,2.0,10.0,8.0,17,17.0,0.0,49.0,626.0,51.0,168.0,314.0,149.0,23.0,626.0,9.0,4.0,44.4,5.0,55.6,362.0,1832.0,781.0,11.0,10.0,4.0,18.0,7.0,418.0,33.0,1,0,0,16.0,14.0,0.0,20.0,8.0,6.0,0.0,0.0,0,40.0,24.0,18.0,57.1,1
2018-11-03,20:30 (12:30),Serie A,Matchweek 11,Sat,Away,L,1,3,Juventus,1,6.0,2.0,33.3,0.17,0.5,20.1,0.0,0,0,0.7,0.7,0.12,0.3,0.3,3.0,3,1.0,0.0,0,1.7,-0.3,0,0,0,0,10.0,15.0,66.7,15.0,5.0,40.0,34.7,10.0,90.0,55.5,25.0,0.0,0.0,0.0,7.7,425.0,528.0,80.5,6887.0,2646.0,233.0,262.0,88.9,129.0,161.0,80.1,43.0,69.0,62.3,0,0.7,0.6,4.0,24.0,6.0,1.0,29.0,528.0,473.0,55.0,13.0,0.0,6.0,23.0,24.0,4.0,3.0,1.0,0.0,425.0,0.0,9.0,12.0,10.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,7.0,2.0,6.0,6.0,18.0,33.3,12.0,11.0,5.0,6.0,5.0,20,22.0,0.0,47.0,608.0,72.0,177.0,302.0,134.0,11.0,608.0,9.0,4.0,44.4,5.0,55.6,323.0,1552.0,674.0,12.0,19.0,0.0,3.0,12.0,424.0,29.0,3,0,0,15.0,10.0,0.0,23.0,5.0,12.0,0.0,0.0,1,43.0,19.0,10.0,65.5,1
2018-11-10,18:00 (09:00),Serie A,Matchweek 12,Sat,Away,D,2,2,SPAL,2,13.0,3.0,23.1,0.15,0.67,18.5,0.0,0,0,1.2,1.2,0.09,0.8,0.8,3.0,2,1.0,33.3,0,2.0,0.0,0,0,0,0,5.0,9.0,55.6,21.0,4.0,33.3,29.2,8.0,25.0,35.5,11.0,0.0,0.0,0.0,12.0,436.0,531.0,82.1,8265.0,2872.0,177.0,200.0,88.5,196.0,224.0,87.5,55.0,89.0,61.8,2,1.1,0.9,11.0,32.0,7.0,1.0,42.0,531.0,476.0,52.0,13.0,0.0,4.0,19.0,22.0,6.0,2.0,4.0,0.0,436.0,3.0,8.0,22.0,13.0,6.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,10.0,8.0,4.0,3.0,3.0,2.0,4.0,50.0,2.0,10.0,3.0,7.0,9.0,19,13.0,0.0,53.0,611.0,50.0,183.0,278.0,152.0,20.0,611.0,10.0,5.0,50.0,5.0,50.0,244.0,1578.0,829.0,17.0,12.0,1.0,7.0,12.0,430.0,42.0,4,0,0,15.0,13.0,3.0,19.0,9.0,8.0,0.0,0.0,0,42.0,22.0,14.0,61.1,1
