Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-26,20:30 (11:30),Serie A,Matchweek 2,Sun,Home,W,2,1,Empoli,2,13.0,3.0,23.1,0.15,0.67,19.4,2.0,0,0,1.1,1.1,0.08,0.9,0.9,4.0,1,3.0,75.0,0,1.2,0.2,0,0,0,0,13.0,23.0,56.5,20.0,1.0,75.0,49.2,8.0,100.0,66.4,16.0,0.0,0.0,0.0,,211.0,292.0,72.3,4201.0,2021.0,98.0,115.0,85.2,66.0,88.0,75.0,40.0,69.0,58.0,2,0.6,0.4,6.0,17.0,5.0,0.0,20.0,292.0,249.0,43.0,17.0,1.0,5.0,15.0,13.0,3.0,1.0,1.0,0.0,211.0,0.0,7.0,19.0,10.0,4.0,0.0,1.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,13.0,14.0,3.0,3.0,12.0,27.0,44.4,15.0,16.0,7.0,9.0,9.0,29,37.0,0.0,31.0,414.0,73.0,181.0,138.0,108.0,14.0,414.0,9.0,4.0,44.4,5.0,55.6,231.0,1461.0,810.0,22.0,16.0,4.0,17.0,7.0,207.0,20.0,3,0,0,13.0,15.0,0.0,15.0,9.0,13.0,0.0,0.0,0,49.0,18.0,9.0,66.7,1
2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,L,3,5,Sassuolo,3,21.0,5.0,23.8,0.14,0.6,16.9,1.0,0,0,1.9,1.9,0.09,1.1,1.1,7.0,5,3.0,28.6,0,2.7,-1.3,0,0,0,0,1.0,7.0,14.3,20.0,2.0,20.0,25.7,4.0,75.0,51.5,7.0,0.0,0.0,5.0,28.0,410.0,524.0,78.2,6615.0,2227.0,205.0,226.0,90.7,151.0,183.0,82.5,34.0,74.0,45.9,2,1.5,0.9,11.0,35.0,6.0,1.0,38.0,524.0,468.0,55.0,15.0,1.0,3.0,33.0,20.0,10.0,4.0,6.0,0.0,410.0,1.0,14.0,34.0,19.0,4.0,1.0,7.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,20.0,14.0,7.0,8.0,5.0,4.0,10.0,40.0,6.0,7.0,0.0,7.0,14.0,34,15.0,1.0,56.0,623.0,32.0,131.0,312.0,189.0,28.0,623.0,22.0,14.0,63.6,8.0,36.4,416.0,2311.0,1049.0,26.0,19.0,6.0,7.0,10.0,406.0,37.0,3,0,0,19.0,13.0,1.0,33.0,14.0,14.0,0.0,0.0,1,58.0,20.0,13.0,60.6,1
2018-09-16,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,W,1,0,Bologna,1,13.0,4.0,30.8,0.08,0.25,17.9,0.0,0,0,0.7,0.7,0.05,0.3,0.3,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,10.0,15.0,66.7,21.0,3.0,38.1,35.2,11.0,63.6,46.6,15.0,0.0,0.0,1.0,16.0,333.0,417.0,79.9,6184.0,2701.0,159.0,177.0,89.8,112.0,134.0,83.6,51.0,84.0,60.7,1,0.6,0.8,11.0,29.0,4.0,2.0,38.0,417.0,356.0,61.0,22.0,0.0,3.0,16.0,22.0,5.0,1.0,3.0,0.0,333.0,0.0,9.0,23.0,11.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,7.0,5.0,0.0,5.0,6.0,83.3,1.0,9.0,6.0,3.0,12.0,24,27.0,0.0,51.0,531.0,59.0,177.0,236.0,131.0,18.0,531.0,20.0,13.0,65.0,7.0,35.0,281.0,1891.0,1120.0,27.0,19.0,5.0,21.0,4.0,332.0,38.0,2,0,0,14.0,19.0,0.0,16.0,12.0,10.0,0.0,0.0,0,52.0,23.0,25.0,47.9,1
2018-09-23,15:00 (06:00),Serie A,Matchweek 5,Sun,Away,L,1,4,Lazio,1,11.0,4.0,36.4,0.09,0.25,23.3,0.0,0,0,0.7,0.7,0.07,0.3,0.3,7.0,4,3.0,42.9,0,3.5,-0.5,0,0,0,0,1.0,6.0,16.7,19.0,5.0,26.3,30.7,11.0,9.1,30.6,20.0,0.0,0.0,0.0,11.0,344.0,427.0,80.6,6304.0,2384.0,160.0,179.0,89.4,147.0,172.0,85.5,36.0,59.0,61.0,0,0.3,0.4,7.0,31.0,14.0,0.0,35.0,427.0,375.0,50.0,10.0,2.0,2.0,17.0,21.0,3.0,1.0,2.0,0.0,344.0,2.0,11.0,22.0,17.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,13.0,5.0,4.0,13.0,23.0,56.5,10.0,10.0,5.0,5.0,18.0,40,11.0,2.0,44.0,527.0,53.0,177.0,243.0,115.0,17.0,527.0,18.0,9.0,50.0,9.0,50.0,308.0,1880.0,995.0,17.0,11.0,4.0,13.0,7.0,343.0,35.0,2,0,0,7.0,10.0,2.0,17.0,18.0,13.0,0.0,0.0,0,45.0,10.0,14.0,41.7,1
2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Home,W,2,0,Chievo,2,18.0,4.0,22.2,0.11,0.5,17.6,0.0,0,0,1.3,1.3,0.07,0.7,0.7,1.0,0,1.0,100.0,1,0.5,0.5,0,0,0,0,11.0,19.0,57.9,21.0,3.0,47.6,40.7,9.0,100.0,64.1,23.0,0.0,0.0,0.0,8.7,402.0,520.0,77.3,7568.0,2916.0,189.0,215.0,87.9,146.0,184.0,79.3,61.0,99.0,61.6,1,1.0,0.8,11.0,30.0,7.0,2.0,28.0,520.0,459.0,61.0,19.0,0.0,7.0,22.0,25.0,7.0,2.0,3.0,0.0,402.0,0.0,10.0,30.0,16.0,5.0,2.0,4.0,1.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,9.0,4.0,6.0,1.0,1.0,7.0,14.3,6.0,10.0,1.0,9.0,12.0,23,33.0,0.0,49.0,643.0,61.0,206.0,296.0,150.0,22.0,643.0,16.0,8.0,50.0,8.0,50.0,295.0,1643.0,814.0,18.0,18.0,1.0,22.0,8.0,397.0,28.0,4,0,0,13.0,17.0,0.0,22.0,12.0,9.0,0.0,0.0,0,71.0,21.0,13.0,61.8,1
2018-09-30,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,W,2,1,Frosinone,2,10.0,4.0,40.0,0.2,0.5,20.3,0.0,0,0,1.0,1.0,0.1,1.0,1.0,4.0,1,3.0,100.0,0,1.1,0.1,1,1,0,0,12.0,28.0,42.9,23.0,3.0,60.9,46.8,14.0,100.0,62.6,22.0,1.0,4.5,0.0,6.5,366.0,467.0,78.4,6639.0,2544.0,164.0,182.0,90.1,151.0,177.0,85.3,42.0,87.0,48.3,2,1.0,0.6,9.0,20.0,6.0,1.0,25.0,467.0,412.0,54.0,22.0,0.0,1.0,8.0,14.0,2.0,0.0,1.0,0.0,366.0,1.0,8.0,18.0,14.0,0.0,3.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,21.0,14.0,13.0,6.0,2.0,3.0,5.0,60.0,2.0,11.0,5.0,6.0,11.0,32,29.0,0.0,50.0,568.0,70.0,195.0,297.0,80.0,14.0,568.0,11.0,9.0,81.8,2.0,18.2,251.0,1290.0,634.0,13.0,12.0,2.0,11.0,7.0,360.0,25.0,2,0,0,20.0,19.0,1.0,8.0,11.0,14.0,0.0,1.0,0,34.0,20.0,20.0,50.0,1
2018-10-07,12:30 (03:30),Serie A,Matchweek 8,Sun,Home,L,1,3,Parma,1,29.0,10.0,34.5,0.03,0.1,18.8,1.0,0,0,1.8,1.8,0.06,-0.8,-0.8,5.0,3,2.0,40.0,0,2.2,-0.8,0,0,0,0,2.0,4.0,50.0,16.0,5.0,12.5,23.6,2.0,100.0,68.0,8.0,0.0,0.0,2.0,28.0,439.0,571.0,76.9,7555.0,2555.0,220.0,252.0,87.3,169.0,216.0,78.2,42.0,78.0,53.8,1,1.6,1.5,26.0,37.0,14.0,6.0,58.0,571.0,521.0,48.0,10.0,0.0,7.0,43.0,23.0,9.0,4.0,1.0,0.0,439.0,2.0,11.0,54.0,39.0,5.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,7.0,8.0,3.0,8.0,12.0,66.7,4.0,12.0,1.0,11.0,14.0,32,14.0,0.0,60.0,682.0,37.0,126.0,297.0,265.0,43.0,682.0,7.0,4.0,57.1,3.0,42.9,442.0,2773.0,1694.0,48.0,31.0,12.0,12.0,8.0,438.0,58.0,1,0,0,9.0,8.0,2.0,43.0,14.0,15.0,0.0,0.0,0,57.0,22.0,18.0,55.0,1
2018-10-20,18:00 (09:00),Serie A,Matchweek 9,Sat,Away,D,1,1,Juventus,1,9.0,2.0,22.2,0.11,0.5,20.3,0.0,0,0,1.0,1.0,0.11,0.0,0.0,3.0,1,2.0,66.7,0,0.5,-0.5,0,0,0,0,7.0,26.0,26.9,15.0,4.0,66.7,45.1,17.0,94.1,64.5,22.0,0.0,0.0,1.0,10.2,288.0,389.0,74.0,5058.0,2037.0,138.0,153.0,90.2,98.0,129.0,76.0,37.0,78.0,47.4,1,0.9,0.5,6.0,16.0,4.0,1.0,22.0,389.0,332.0,55.0,11.0,0.0,5.0,6.0,23.0,2.0,1.0,1.0,0.0,288.0,2.0,5.0,14.0,12.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,8.0,7.0,1.0,7.0,19.0,36.8,12.0,14.0,7.0,7.0,17.0,33,36.0,0.0,37.0,502.0,80.0,177.0,263.0,67.0,6.0,502.0,7.0,5.0,71.4,2.0,28.6,260.0,1359.0,673.0,12.0,8.0,1.0,14.0,9.0,285.0,21.0,3,0,0,15.0,9.0,2.0,6.0,17.0,10.0,0.0,0.0,0,41.0,23.0,14.0,62.2,1
2018-10-28,15:00 (07:00),Serie A,Matchweek 10,Sun,Home,D,2,2,Udinese,2,11.0,4.0,36.4,0.09,0.25,21.0,2.0,1,1,1.7,0.9,0.09,0.3,0.1,4.0,2,2.0,50.0,0,1.3,-0.7,0,0,0,0,5.0,14.0,35.7,17.0,5.0,41.2,35.6,7.0,100.0,70.4,20.0,4.0,20.0,0.0,9.2,209.0,316.0,66.1,4012.0,1987.0,76.0,98.0,77.6,92.0,121.0,76.0,30.0,68.0,44.1,1,0.8,0.6,9.0,21.0,5.0,2.0,28.0,316.0,258.0,58.0,17.0,2.0,0.0,17.0,27.0,4.0,3.0,1.0,0.0,209.0,0.0,9.0,24.0,14.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,19.0,11.0,10.0,5.0,4.0,7.0,16.0,43.8,9.0,10.0,3.0,7.0,7.0,26,21.0,0.0,37.0,421.0,55.0,145.0,165.0,118.0,16.0,420.0,23.0,14.0,60.9,9.0,39.1,206.0,1230.0,657.0,16.0,15.0,3.0,13.0,10.0,206.0,27.0,5,1,1,17.0,17.0,0.0,17.0,7.0,11.0,1.0,0.0,0,40.0,24.0,19.0,55.8,1
2018-10-31,20:30 (12:30),Serie A,Matchweek 1,Wed,Away,L,1,2,Milan,0,9.0,2.0,22.2,0.0,0.0,20.0,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,9.0,2,7.0,77.8,0,2.3,0.3,0,0,0,0,3.0,12.0,25.0,10.0,3.0,20.0,28.8,11.0,90.9,60.5,18.0,0.0,0.0,0.0,12.8,345.0,435.0,79.3,5677.0,2025.0,173.0,194.0,89.2,122.0,146.0,83.6,36.0,66.0,54.5,0,0.4,0.4,9.0,26.0,7.0,4.0,35.0,435.0,388.0,47.0,11.0,0.0,4.0,16.0,20.0,2.0,2.0,0.0,0.0,345.0,0.0,8.0,18.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,9.0,4.0,5.0,4.0,11.0,36.4,7.0,12.0,6.0,6.0,14.0,32,25.0,1.0,42.0,541.0,61.0,153.0,267.0,124.0,17.0,541.0,11.0,5.0,45.5,6.0,54.5,245.0,1649.0,943.0,23.0,15.0,5.0,14.0,7.0,342.0,34.0,2,0,0,18.0,10.0,0.0,16.0,14.0,13.0,0.0,0.0,0,54.0,8.0,10.0,44.4,1
