Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-25,20:30 (11:30),Serie A,Matchweek 2,Sat,Away,L,2,3,Napoli,2,8.0,2.0,25.0,0.25,1.0,16.4,0.0,0,0,0.7,0.7,0.09,1.3,1.3,8.0,3,5.0,62.5,0,1.9,-1.1,0,0,0,0,2.0,5.0,40.0,47.0,11.0,8.5,23.0,10.0,10.0,27.0,14.0,0.0,0.0,1.0,14.3,549.0,632.0,86.9,9455.0,3283.0,245.0,260.0,94.2,234.0,260.0,90.0,56.0,85.0,65.9,2,0.7,0.9,7.0,23.0,6.0,1.0,30.0,632.0,577.0,53.0,14.0,1.0,4.0,10.0,24.0,1.0,1.0,0.0,0.0,549.0,2.0,8.0,16.0,14.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,8.0,4.0,0.0,4.0,17.0,23.5,13.0,12.0,7.0,5.0,9.0,21,28.0,0.0,50.0,731.0,108.0,345.0,312.0,79.0,15.0,731.0,18.0,12.0,66.7,6.0,33.3,415.0,2189.0,1092.0,17.0,5.0,3.0,13.0,14.0,545.0,30.0,2,0,0,11.0,11.0,2.0,10.0,9.0,9.0,0.0,0.0,0,48.0,4.0,8.0,33.3,1.0
2018-08-31,20:30 (11:30),Serie A,Matchweek 3,Fri,Home,W,2,1,Roma,2,26.0,10.0,38.5,0.08,0.2,20.5,1.0,0,0,1.9,1.9,0.07,0.1,0.1,2.0,1,1.0,50.0,0,0.5,-0.5,0,0,0,0,1.0,6.0,16.7,30.0,10.0,13.3,23.7,4.0,50.0,38.8,12.0,0.0,0.0,2.0,23.3,508.0,592.0,85.8,7874.0,2560.0,276.0,289.0,95.5,179.0,205.0,87.3,35.0,64.0,54.7,2,1.7,1.3,20.0,36.0,10.0,1.0,40.0,592.0,552.0,33.0,7.0,4.0,5.0,23.0,12.0,8.0,2.0,1.0,0.0,508.0,7.0,6.0,42.0,27.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,7.0,4.0,4.0,6.0,14.0,42.9,8.0,10.0,1.0,9.0,14.0,29,26.0,1.0,51.0,699.0,72.0,228.0,269.0,210.0,25.0,699.0,15.0,10.0,66.7,5.0,33.3,406.0,2680.0,1579.0,29.0,21.0,6.0,5.0,8.0,507.0,39.0,0,0,0,8.0,5.0,7.0,23.0,14.0,9.0,0.0,0.0,0,48.0,10.0,16.0,38.5,1.0
2018-09-16,20:30 (11:30),Serie A,Matchweek 4,Sun,Away,D,1,1,Cagliari,1,21.0,6.0,28.6,0.05,0.17,15.5,0.0,0,0,2.1,2.1,0.1,-1.1,-1.1,2.0,1,1.0,50.0,0,0.4,-0.6,0,0,0,0,0.0,2.0,0.0,28.0,6.0,3.6,21.1,7.0,14.3,25.9,9.0,0.0,0.0,1.0,13.3,613.0,709.0,86.5,10784.0,3353.0,285.0,307.0,92.8,261.0,289.0,90.3,59.0,90.0,65.6,1,1.9,1.3,17.0,57.0,16.0,6.0,62.0,709.0,658.0,50.0,14.0,3.0,6.0,40.0,19.0,8.0,5.0,2.0,0.0,613.0,1.0,11.0,38.0,30.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,6.0,7.0,4.0,5.0,8.0,11.0,72.7,3.0,10.0,1.0,9.0,3.0,19,14.0,0.0,64.0,800.0,62.0,185.0,364.0,255.0,32.0,800.0,11.0,7.0,63.6,4.0,36.4,493.0,2624.0,1595.0,29.0,23.0,8.0,12.0,8.0,610.0,62.0,1,0,0,12.0,11.0,1.0,40.0,3.0,6.0,0.0,0.0,0,55.0,8.0,13.0,38.1,1.0
2018-09-20,21:00 (12:00),Europa Lg,Group stage,Thu,Away,W,1,0,lu F91 Dudelange,1,18.0,5.0,27.8,0.06,0.2,15.8,1.0,0,0,2.5,2.5,0.14,-1.5,-1.5,1.0,0,1.0,100.0,1,0.0,0.0,0,0,0,0,1.0,5.0,20.0,25.0,6.0,20.0,27.4,3.0,0.0,30.3,11.0,1.0,9.1,3.0,21.5,514.0,604.0,85.1,8848.0,2828.0,217.0,234.0,92.7,226.0,253.0,89.3,47.0,77.0,61.0,1,2.3,1.7,14.0,41.0,14.0,3.0,50.0,604.0,544.0,59.0,20.0,2.0,5.0,27.0,25.0,10.0,5.0,3.0,0.0,514.0,1.0,9.0,32.0,27.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,4.0,6.0,3.0,6.0,13.0,46.2,7.0,8.0,0.0,8.0,7.0,20,13.0,0.0,58.0,693.0,34.0,147.0,342.0,212.0,33.0,693.0,9.0,3.0,33.3,6.0,66.7,496.0,2909.0,1482.0,25.0,20.0,10.0,19.0,9.0,511.0,50.0,2,0,0,13.0,20.0,1.0,27.0,7.0,7.0,0.0,0.0,0,48.0,6.0,10.0,37.5,2.0
2018-09-23,18:00 (09:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Atalanta,2,17.0,5.0,29.4,0.12,0.4,16.5,0.0,0,0,2.6,2.6,0.16,-0.6,-0.6,5.0,2,3.0,60.0,0,1.6,-0.4,0,0,0,0,10.0,20.0,50.0,44.0,2.0,31.8,30.7,12.0,50.0,37.5,16.0,1.0,6.3,0.0,9.5,493.0,594.0,83.0,8903.0,3134.0,226.0,246.0,91.9,198.0,227.0,87.2,57.0,92.0,62.0,2,2.6,1.9,17.0,30.0,12.0,6.0,49.0,594.0,545.0,44.0,7.0,1.0,7.0,19.0,18.0,4.0,1.0,0.0,0.0,493.0,5.0,10.0,34.0,29.0,2.0,1.0,0.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,21.0,11.0,15.0,5.0,1.0,10.0,18.0,55.6,8.0,8.0,4.0,4.0,13.0,34,16.0,0.0,56.0,686.0,86.0,228.0,324.0,140.0,17.0,686.0,10.0,6.0,60.0,4.0,40.0,399.0,2430.0,1322.0,23.0,13.0,2.0,8.0,12.0,486.0,49.0,2,0,0,7.0,5.0,5.0,19.0,13.0,11.0,0.0,0.0,0,44.0,10.0,11.0,47.6,1.0
2018-09-27,21:00 (12:00),Serie A,Matchweek 6,Thu,Away,D,1,1,Empoli,0,24.0,10.0,41.7,0.0,0.0,18.0,0.0,0,0,1.4,1.4,0.06,-1.4,-1.4,3.0,1,2.0,100.0,0,1.9,0.9,1,1,0,0,3.0,5.0,60.0,15.0,2.0,26.7,33.3,7.0,14.3,30.1,8.0,0.0,0.0,0.0,,464.0,562.0,82.6,8596.0,2986.0,196.0,217.0,90.3,194.0,222.0,87.4,60.0,93.0,64.5,0,0.8,0.9,17.0,38.0,8.0,2.0,41.0,562.0,497.0,65.0,18.0,0.0,14.0,30.0,28.0,10.0,5.0,3.0,0.0,464.0,0.0,10.0,39.0,30.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,15.0,8.0,3.0,14.0,20.0,70.0,6.0,11.0,0.0,11.0,8.0,34,15.0,0.0,53.0,686.0,39.0,164.0,317.0,213.0,37.0,686.0,10.0,10.0,100.0,0.0,0.0,368.0,2251.0,1115.0,23.0,18.0,6.0,23.0,21.0,459.0,40.0,2,0,0,9.0,12.0,0.0,30.0,8.0,17.0,0.0,1.0,0,54.0,11.0,12.0,47.8,1.0
2018-09-30,20:30 (11:30),Serie A,Matchweek 7,Sun,Away,W,4,1,Sassuolo,4,12.0,7.0,58.3,0.33,0.57,19.2,1.0,0,0,1.2,1.2,0.1,2.8,2.8,2.0,1,1.0,50.0,0,0.7,-0.3,0,0,0,0,7.0,9.0,77.8,16.0,4.0,25.0,28.7,8.0,62.5,43.6,27.0,1.0,3.7,1.0,14.4,348.0,432.0,80.6,6233.0,2275.0,166.0,177.0,93.8,111.0,135.0,82.2,49.0,75.0,65.3,2,1.0,0.4,8.0,23.0,7.0,1.0,32.0,432.0,386.0,45.0,12.0,0.0,9.0,13.0,18.0,5.0,4.0,0.0,0.0,348.0,1.0,15.0,19.0,13.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,17.0,9.0,8.0,7.0,2.0,7.0,15.0,46.7,8.0,11.0,2.0,9.0,6.0,23,27.0,0.0,40.0,520.0,61.0,181.0,188.0,156.0,12.0,520.0,7.0,4.0,57.1,3.0,42.9,321.0,1602.0,863.0,17.0,16.0,5.0,8.0,10.0,346.0,32.0,1,0,0,13.0,12.0,1.0,13.0,6.0,9.0,0.0,0.0,0,48.0,6.0,10.0,37.5,1.0
2018-10-04,18:55 (09:55),Europa Lg,Group stage,Thu,Home,W,3,1,gr Olympiacos,3,19.0,6.0,31.6,0.16,0.5,16.9,3.0,0,0,2.1,2.1,0.11,0.9,0.9,3.0,1,2.0,66.7,0,0.3,-0.7,0,0,0,0,4.0,6.0,66.7,21.0,6.0,14.3,26.1,9.0,33.3,39.1,10.0,0.0,0.0,2.0,26.0,484.0,579.0,83.6,8606.0,3091.0,188.0,210.0,89.5,223.0,250.0,89.2,47.0,78.0,60.3,3,1.8,1.2,15.0,36.0,13.0,5.0,54.0,579.0,525.0,50.0,8.0,1.0,10.0,33.0,24.0,7.0,6.0,0.0,0.0,484.0,4.0,10.0,35.0,26.0,3.0,2.0,1.0,3.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,25.0,17.0,14.0,10.0,1.0,16.0,28.0,57.1,12.0,2.0,1.0,1.0,3.0,28,13.0,0.0,52.0,665.0,40.0,166.0,317.0,189.0,33.0,665.0,15.0,6.0,40.0,9.0,60.0,492.0,2904.0,1550.0,28.0,20.0,8.0,11.0,8.0,483.0,54.0,1,0,0,10.0,11.0,4.0,33.0,3.0,17.0,0.0,0.0,0,46.0,13.0,13.0,50.0,2.0
2018-10-07,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,W,3,1,Chievo,3,20.0,6.0,30.0,0.15,0.5,17.0,0.0,0,0,2.7,2.7,0.13,0.3,0.3,1.0,1,0.0,0.0,0,0.2,-0.8,0,0,0,0,2.0,5.0,40.0,35.0,6.0,11.4,27.4,5.0,20.0,29.6,20.0,0.0,0.0,0.0,12.0,708.0,793.0,89.3,13076.0,3843.0,308.0,333.0,92.5,308.0,323.0,95.4,83.0,109.0,76.1,3,2.3,1.8,16.0,47.0,15.0,4.0,64.0,793.0,741.0,49.0,13.0,6.0,12.0,21.0,17.0,12.0,3.0,0.0,1.0,708.0,3.0,10.0,36.0,31.0,2.0,2.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,13.0,9.0,0.0,4.0,8.0,50.0,4.0,11.0,7.0,4.0,8.0,30,23.0,0.0,68.0,898.0,71.0,271.0,426.0,205.0,30.0,898.0,6.0,4.0,66.7,2.0,33.3,612.0,2964.0,1505.0,20.0,18.0,1.0,18.0,8.0,704.0,63.0,1,0,0,9.0,13.0,3.0,21.0,8.0,11.0,0.0,0.0,0,42.0,22.0,8.0,73.3,1.0
2018-10-21,20:30 (11:30),Serie A,Matchweek 9,Sun,Away,L,0,1,Inter,0,15.0,1.0,6.7,0.0,0.0,22.2,2.0,0,0,0.7,0.7,0.04,-0.7,-0.7,4.0,1,3.0,75.0,0,1.0,0.0,0,0,0,0,4.0,6.0,66.7,21.0,5.0,9.5,26.2,11.0,36.4,32.9,34.0,1.0,2.9,1.0,12.3,378.0,465.0,81.3,6411.0,2255.0,191.0,216.0,88.4,151.0,169.0,89.3,32.0,61.0,52.5,0,0.5,0.4,10.0,22.0,7.0,4.0,37.0,465.0,425.0,39.0,12.0,0.0,7.0,21.0,10.0,4.0,3.0,0.0,0.0,378.0,1.0,9.0,27.0,22.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,12.0,4.0,3.0,8.0,16.0,50.0,8.0,14.0,4.0,10.0,13.0,32,35.0,0.0,42.0,575.0,74.0,229.0,240.0,112.0,10.0,575.0,10.0,6.0,60.0,4.0,40.0,326.0,1901.0,1099.0,23.0,17.0,1.0,10.0,8.0,376.0,37.0,5,0,0,7.0,13.0,1.0,21.0,13.0,13.0,0.0,0.0,0,60.0,12.0,7.0,63.2,1.0
