Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-18,20:30 (11:30),Serie A,Matchweek 1,Sat,Away,W,2,1,Lazio,2,10.0,3.0,30.0,0.2,0.67,17.6,0.0,0,0,1.4,1.4,0.14,0.6,0.6,1.0,1,0.0,0.0,0,0.9,-0.1,0,0,0,0,4.0,14.0,28.6,16.0,3.0,56.3,45.8,9.0,55.6,46.1,7.0,0.0,0.0,2.0,20.0,665.0,786.0,84.6,10255.0,2939.0,338.0,367.0,92.1,212.0,234.0,90.6,60.0,105.0,57.1,2,1.4,1.6,9.0,38.0,8.0,1.0,38.0,786.0,731.0,53.0,12.0,2.0,8.0,17.0,23.0,7.0,0.0,6.0,0.0,665.0,2.0,15.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,9.0,9.0,1.0,9.0,17.0,52.9,8.0,11.0,3.0,8.0,10.0,29,14.0,0.0,65.0,872.0,50.0,169.0,583.0,126.0,17.0,872.0,12.0,4.0,33.3,8.0,66.7,493.0,2190.0,1215.0,17.0,17.0,2.0,9.0,10.0,663.0,37.0,0,0,0,5.0,7.0,2.0,17.0,10.0,11.0,0.0,0.0,0,64.0,13.0,15.0,46.4,1
2018-08-25,20:30 (11:30),Serie A,Matchweek 2,Sat,Home,W,3,2,Milan,3,24.0,8.0,33.3,0.13,0.38,19.7,0.0,0,0,1.4,1.4,0.06,1.6,1.6,2.0,2,0.0,0.0,0,0.4,-1.6,0,0,0,0,4.0,8.0,50.0,12.0,2.0,50.0,38.8,3.0,66.7,44.7,7.0,0.0,0.0,2.0,23.3,551.0,633.0,87.0,9085.0,2740.0,274.0,289.0,94.8,217.0,243.0,89.3,40.0,60.0,66.7,2,1.4,1.2,21.0,57.0,12.0,1.0,68.0,633.0,594.0,36.0,13.0,1.0,5.0,20.0,12.0,5.0,0.0,4.0,0.0,551.0,3.0,11.0,43.0,38.0,2.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,5.0,11.0,4.0,6.0,18.0,33.3,12.0,7.0,2.0,5.0,15.0,35,15.0,0.0,50.0,730.0,25.0,89.0,418.0,231.0,27.0,730.0,17.0,13.0,76.5,4.0,23.5,485.0,2001.0,1144.0,23.0,29.0,5.0,9.0,8.0,548.0,68.0,2,0,0,11.0,10.0,3.0,20.0,15.0,11.0,0.0,0.0,0,61.0,8.0,4.0,66.7,1
2018-09-02,20:30 (11:30),Serie A,Matchweek 3,Sun,Away,L,0,3,Sampdoria,0,18.0,4.0,22.2,0.0,0.0,22.2,1.0,0,0,1.2,1.2,0.07,-1.2,-1.2,3.0,3,0.0,0.0,0,1.4,-1.6,0,0,0,0,0.0,4.0,0.0,17.0,3.0,23.5,31.4,2.0,0.0,24.5,11.0,0.0,0.0,2.0,23.0,481.0,564.0,85.3,8559.0,2590.0,233.0,252.0,92.5,164.0,196.0,83.7,67.0,86.0,77.9,0,1.0,1.0,12.0,35.0,12.0,4.0,47.0,564.0,509.0,53.0,14.0,3.0,15.0,21.0,28.0,5.0,1.0,2.0,0.0,481.0,2.0,8.0,28.0,22.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,7.0,7.0,3.0,7.0,13.0,53.8,6.0,11.0,2.0,9.0,11.0,28,18.0,0.0,52.0,681.0,39.0,188.0,310.0,187.0,24.0,681.0,24.0,14.0,58.3,10.0,41.7,470.0,2078.0,1056.0,21.0,22.0,6.0,21.0,15.0,479.0,47.0,4,0,0,19.0,13.0,2.0,21.0,11.0,13.0,0.0,0.0,0,59.0,9.0,4.0,69.2,1
2018-09-15,18:00 (09:00),Serie A,Matchweek 4,Sat,Home,W,1,0,Fiorentina,1,22.0,4.0,18.2,0.05,0.25,18.7,2.0,0,0,1.4,1.4,0.06,-0.4,-0.4,1.0,0,1.0,100.0,1,0.1,0.1,0,0,0,0,1.0,11.0,9.1,18.0,2.0,27.8,27.3,7.0,85.7,56.6,6.0,0.0,0.0,0.0,9.5,509.0,597.0,85.3,8229.0,2626.0,280.0,305.0,91.8,167.0,189.0,88.4,44.0,69.0,63.8,1,1.2,0.8,18.0,46.0,13.0,3.0,60.0,597.0,546.0,51.0,19.0,1.0,6.0,19.0,14.0,10.0,2.0,4.0,0.0,509.0,0.0,5.0,37.0,32.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,5.0,12.0,2.0,10.0,18.0,55.6,8.0,7.0,4.0,3.0,7.0,26,10.0,0.0,57.0,686.0,33.0,106.0,427.0,161.0,22.0,686.0,9.0,4.0,44.4,5.0,55.6,463.0,2367.0,1301.0,24.0,18.0,5.0,14.0,11.0,508.0,59.0,1,0,0,15.0,16.0,0.0,19.0,7.0,11.0,0.0,0.0,0,59.0,6.0,6.0,50.0,1
2018-09-18,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,0,0,rs Red Star,0,20.0,7.0,35.0,0.0,0.0,21.9,1.0,0,0,1.6,1.6,0.08,-1.6,-1.6,3.0,0,3.0,100.0,1,0.8,0.8,0,0,0,0,0.0,2.0,0.0,26.0,7.0,3.8,25.0,5.0,20.0,34.4,11.0,1.0,9.1,0.0,10.7,724.0,853.0,84.9,11988.0,3506.0,359.0,399.0,90.0,280.0,316.0,88.6,63.0,94.0,67.0,0,1.1,1.0,16.0,65.0,13.0,1.0,80.0,853.0,797.0,55.0,9.0,1.0,9.0,28.0,32.0,8.0,2.0,5.0,0.0,724.0,1.0,13.0,35.0,32.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,5.0,0.0,3.0,6.0,50.0,3.0,8.0,2.0,6.0,6.0,13,14.0,3.0,73.0,945.0,39.0,121.0,584.0,243.0,19.0,945.0,14.0,9.0,64.3,5.0,35.7,626.0,2750.0,1682.0,25.0,24.0,3.0,15.0,9.0,719.0,80.0,4,0,0,14.0,7.0,1.0,28.0,6.0,7.0,0.0,0.0,0,55.0,13.0,9.0,59.1,2
2018-09-23,12:30 (03:30),Serie A,Matchweek 5,Sun,Away,W,3,1,Torino,3,16.0,6.0,37.5,0.19,0.5,18.7,0.0,0,0,2.0,2.0,0.13,1.0,1.0,2.0,1,1.0,100.0,0,1.0,0.0,1,1,0,0,5.0,15.0,33.3,32.0,3.0,28.1,32.9,11.0,54.5,42.4,11.0,0.0,0.0,0.0,,436.0,524.0,83.2,7750.0,2823.0,196.0,212.0,92.5,177.0,203.0,87.2,52.0,84.0,61.9,1,1.2,0.9,14.0,30.0,9.0,3.0,31.0,524.0,458.0,64.0,20.0,1.0,7.0,13.0,25.0,6.0,3.0,2.0,0.0,436.0,2.0,10.0,30.0,25.0,2.0,0.0,2.0,0.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,17.0,12.0,12.0,4.0,1.0,5.0,16.0,31.3,11.0,12.0,3.0,9.0,11.0,28,19.0,0.0,53.0,621.0,59.0,189.0,337.0,100.0,18.0,621.0,7.0,2.0,28.6,5.0,71.4,291.0,1515.0,909.0,19.0,16.0,3.0,10.0,5.0,434.0,31.0,3,0,0,16.0,17.0,2.0,13.0,11.0,12.0,0.0,1.0,0,44.0,14.0,8.0,63.6,1
2018-09-26,21:00 (12:00),Serie A,Matchweek 6,Wed,Home,W,3,0,Parma,3,26.0,7.0,26.9,0.12,0.43,19.7,1.0,0,0,2.6,2.6,0.1,0.4,0.4,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,5.0,13.0,38.5,23.0,2.0,39.1,32.9,4.0,100.0,60.8,5.0,1.0,20.0,1.0,12.3,724.0,802.0,90.3,12293.0,3343.0,355.0,378.0,93.9,253.0,264.0,95.8,84.0,106.0,79.2,2,1.4,1.3,19.0,55.0,14.0,0.0,69.0,802.0,759.0,42.0,18.0,4.0,13.0,16.0,17.0,2.0,0.0,1.0,0.0,724.0,1.0,11.0,44.0,33.0,1.0,2.0,3.0,1.0,4.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,20.0,13.0,4.0,11.0,5.0,7.0,10.0,70.0,3.0,7.0,1.0,6.0,13.0,33,13.0,0.0,66.0,913.0,43.0,167.0,462.0,294.0,33.0,913.0,7.0,7.0,100.0,0.0,0.0,701.0,2990.0,1528.0,34.0,34.0,7.0,18.0,8.0,720.0,69.0,0,0,0,9.0,12.0,1.0,16.0,13.0,13.0,0.0,0.0,0,57.0,3.0,13.0,18.8,1
2018-09-29,18:00 (09:00),Serie A,Matchweek 7,Sat,Away,L,1,3,Juventus,1,14.0,4.0,28.6,0.07,0.25,23.4,2.0,0,0,1.5,1.5,0.11,-0.5,-0.5,9.0,3,6.0,66.7,0,2.4,-0.6,0,0,0,0,3.0,15.0,20.0,22.0,6.0,45.5,35.0,7.0,71.4,49.0,17.0,0.0,0.0,2.0,16.3,454.0,553.0,82.1,7348.0,2187.0,227.0,245.0,92.7,167.0,189.0,88.4,38.0,74.0,51.4,1,1.3,1.2,9.0,36.0,1.0,0.0,34.0,553.0,503.0,50.0,16.0,0.0,5.0,12.0,19.0,4.0,0.0,3.0,0.0,454.0,0.0,21.0,26.0,17.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,6.0,4.0,4.0,8.0,15.0,53.3,7.0,9.0,2.0,7.0,9.0,23,21.0,0.0,49.0,654.0,44.0,185.0,340.0,135.0,7.0,654.0,16.0,4.0,25.0,12.0,75.0,374.0,1806.0,1011.0,20.0,18.0,3.0,11.0,5.0,451.0,34.0,5,1,1,11.0,13.0,0.0,12.0,9.0,7.0,0.0,0.0,0,52.0,5.0,12.0,29.4,1
2018-10-03,21:00 (12:00),Champions Lg,Group stage,Wed,Home,W,1,0,eng Liverpool,1,14.0,5.0,35.7,0.07,0.2,19.8,0.0,0,0,1.9,1.9,0.16,-0.9,-0.9,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,6.0,12.0,50.0,31.0,3.0,25.8,28.9,5.0,80.0,50.8,8.0,0.0,0.0,5.0,21.1,612.0,729.0,84.0,10080.0,3190.0,319.0,335.0,95.2,219.0,257.0,85.2,57.0,98.0,58.2,1,1.7,1.2,10.0,36.0,7.0,4.0,46.0,729.0,678.0,44.0,9.0,0.0,3.0,19.0,24.0,5.0,1.0,3.0,0.0,612.0,7.0,10.0,23.0,20.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,7.0,8.0,1.0,7.0,13.0,53.8,6.0,7.0,1.0,6.0,11.0,27,28.0,0.0,57.0,827.0,64.0,214.0,487.0,132.0,16.0,827.0,9.0,3.0,33.3,6.0,66.7,512.0,1821.0,1038.0,14.0,9.0,3.0,8.0,8.0,608.0,46.0,1,0,0,12.0,9.0,7.0,19.0,11.0,11.0,0.0,0.0,0,77.0,11.0,9.0,55.0,2
2018-10-07,18:00 (09:00),Serie A,Matchweek 8,Sun,Home,W,2,0,Sassuolo,2,15.0,7.0,46.7,0.13,0.29,18.4,0.0,0,0,1.5,1.5,0.1,0.5,0.5,7.0,0,7.0,100.0,1,2.1,2.1,0,0,0,0,0.0,6.0,0.0,19.0,2.0,15.8,27.5,8.0,37.5,37.0,13.0,1.0,7.7,0.0,11.2,471.0,553.0,85.2,8391.0,2561.0,215.0,237.0,90.7,198.0,215.0,92.1,48.0,72.0,66.7,1,1.2,0.9,12.0,24.0,6.0,2.0,41.0,553.0,511.0,39.0,9.0,3.0,5.0,8.0,17.0,4.0,1.0,1.0,0.0,471.0,3.0,11.0,23.0,16.0,1.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,11.0,10.0,11.0,3.0,14.0,18.0,77.8,4.0,11.0,1.0,10.0,10.0,34,18.0,0.0,45.0,676.0,55.0,194.0,362.0,125.0,23.0,676.0,18.0,8.0,44.4,10.0,55.6,359.0,1837.0,1071.0,22.0,18.0,9.0,18.0,8.0,468.0,41.0,2,0,0,12.0,7.0,3.0,8.0,10.0,11.0,0.0,0.0,0,61.0,4.0,4.0,50.0,1
