Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-07-25,21:00 (12:00),Europa Lg,Second qualifying round,Thu,Home,W,3,0,hu Debrecen,3,,,,,,,,1,1,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,,2
2019-08-01,18:30 (09:30),Europa Lg,Second qualifying round,Thu,Away,W,4,1,hu Debrecen,4,,,,,,,,0,0,,,,,,,1,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,,2
2019-08-08,21:00 (12:00),Europa Lg,Third qualifying round,Thu,Home,W,5,0,by Shakhtyor,5,,,,,,,,1,1,,,,,,,0,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,,2
2019-08-15,20:00 (10:00),Europa Lg,Third qualifying round,Thu,Away,D,1,1,by Shakhtyor,1,,,,,,,,0,0,,,,,,,1,,,0,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,,2
2019-08-22,21:00 (12:00),Europa Lg,Play-off round,Thu,Home,L,2,3,eng Wolves,2,16.0,5.0,31.3,0.06,0.2,,,1,1,,,,,,4.0,3,1.0,25.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,12.0,0,,,63.0,,,,,,,,,,,,,,,,,,,,,,,6,0,0,16.0,13.0,1.0,24.0,12.0,14.0,,,1,,,,,2
2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,2,1,Sassuolo,2,10.0,4.0,40.0,0.2,0.5,15.7,0.0,0,0,1.2,1.2,0.12,0.8,0.8,9.0,1,8.0,88.9,0,1.1,0.1,0,0,0,0,9.0,15.0,60.0,15.0,1.0,46.7,36.0,8.0,100.0,50.6,9.0,0.0,0.0,2.0,17.4,196.0,298.0,65.8,4055.0,1801.0,74.0,96.0,77.1,69.0,102.0,67.6,42.0,75.0,56.0,2,1.2,1.0,9.0,15.0,12.0,7.0,16.0,298.0,242.0,53.0,12.0,2.0,9.0,17.0,25.0,6.0,0.0,2.0,0.0,196.0,3.0,7.0,17.0,15.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,14.0,16.0,10.0,1.0,6.0,16.0,37.5,10.0,15.0,6.0,9.0,15.0,42,16.0,0.0,36.0,434.0,54.0,167.0,142.0,132.0,30.0,434.0,16.0,11.0,68.8,5.0,31.3,181.0,1139.0,641.0,12.0,11.0,5.0,18.0,10.0,195.0,15.0,4,0,0,21.0,12.0,3.0,17.0,15.0,14.0,0.0,0.0,0,51.0,24.0,14.0,63.2,1
2019-08-29,19:45 (11:45),Europa Lg,Play-off round,Thu,Away,L,1,2,eng Wolves,1,15.0,3.0,20.0,0.07,0.33,,,0,0,,,,,,5.0,2,3.0,60.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,14.0,0,,,58.0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,17.0,16.0,0.0,25.0,14.0,10.0,,,0,,,,,2
2019-09-01,20:45 (11:45),Serie A,Matchweek 2,Sun,Away,W,3,2,Atalanta,3,10.0,5.0,50.0,0.3,0.6,17.1,0.0,0,0,0.8,0.8,0.08,2.2,2.2,9.0,2,7.0,77.8,0,2.1,0.1,0,0,0,0,13.0,24.0,54.2,22.0,5.0,59.1,41.1,11.0,100.0,60.7,29.0,0.0,0.0,0.0,14.0,240.0,335.0,71.6,4169.0,2197.0,128.0,147.0,87.1,64.0,82.0,78.0,31.0,74.0,41.9,3,0.7,0.4,8.0,19.0,6.0,4.0,27.0,335.0,276.0,56.0,15.0,0.0,1.0,18.0,22.0,5.0,1.0,0.0,0.0,240.0,3.0,7.0,18.0,9.0,5.0,1.0,2.0,1.0,0.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,17.0,8.0,5.0,11.0,1.0,9.0,13.0,69.2,4.0,11.0,9.0,2.0,17.0,34,37.0,0.0,42.0,476.0,90.0,181.0,176.0,134.0,20.0,476.0,22.0,14.0,63.6,8.0,36.4,213.0,1260.0,654.0,19.0,13.0,7.0,9.0,12.0,240.0,27.0,2,0,0,17.0,13.0,3.0,18.0,17.0,8.0,0.0,0.0,0,48.0,26.0,18.0,59.1,1
2019-09-16,20:45 (11:45),Serie A,Matchweek 3,Mon,Home,L,1,2,Lecce,1,14.0,3.0,21.4,0.0,0.0,18.3,0.0,1,1,2.0,1.2,0.09,-1.0,-1.2,5.0,2,3.0,60.0,0,1.0,-1.0,0,0,0,0,1.0,5.0,20.0,22.0,6.0,13.6,24.8,9.0,22.2,24.3,14.0,1.0,7.1,0.0,7.8,424.0,529.0,80.2,8113.0,2950.0,156.0,186.0,83.9,199.0,225.0,88.4,59.0,88.0,67.0,0,0.6,1.0,10.0,32.0,10.0,4.0,53.0,529.0,474.0,53.0,20.0,0.0,8.0,21.0,14.0,7.0,0.0,2.0,0.0,424.0,2.0,5.0,28.0,18.0,5.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,9.0,7.0,4.0,3.0,6.0,19.0,31.6,13.0,9.0,4.0,5.0,5.0,19,17.0,0.0,60.0,633.0,74.0,184.0,296.0,159.0,34.0,632.0,22.0,15.0,68.2,7.0,31.8,369.0,2124.0,1251.0,26.0,13.0,7.0,17.0,10.0,421.0,52.0,1,0,0,12.0,18.0,2.0,21.0,5.0,9.0,1.0,0.0,0,57.0,19.0,23.0,45.2,1
2019-09-22,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,L,0,1,Sampdoria,0,5.0,1.0,20.0,0.0,0.0,16.9,1.0,0,0,0.3,0.3,0.06,-0.3,-0.3,6.0,1,5.0,83.3,0,1.1,0.1,0,0,0,0,3.0,5.0,60.0,21.0,7.0,19.0,25.5,9.0,11.1,27.8,11.0,1.0,9.1,1.0,14.5,406.0,524.0,77.5,7797.0,2867.0,153.0,185.0,82.7,183.0,219.0,83.6,62.0,91.0,68.1,0,0.2,0.3,3.0,23.0,8.0,7.0,53.0,524.0,464.0,55.0,18.0,0.0,2.0,33.0,18.0,8.0,1.0,0.0,0.0,406.0,5.0,10.0,9.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,8.0,6.0,1.0,6.0,11.0,54.5,5.0,19.0,6.0,13.0,17.0,32,22.0,2.0,62.0,655.0,67.0,229.0,268.0,164.0,15.0,655.0,20.0,12.0,60.0,8.0,40.0,347.0,1788.0,1041.0,25.0,21.0,2.0,21.0,10.0,403.0,52.0,1,0,0,14.0,18.0,5.0,33.0,17.0,10.0,0.0,0.0,0,61.0,20.0,18.0,52.6,1
