Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-19,18:00 (09:00),Serie A,Matchweek 1,Sat,Home,W,1,0,Torino,1,15,5,33.3,0.07,0.2,15.7,0.0,0,0,1.9,1.9,0.13,-0.9,-0.9,3,0.0,3,100.0,1,0.7,0.7,0,0,0,0,1.0,5.0,20.0,21.0,7.0,19.0,32.3,3.0,33.3,34.7,5.0,0.0,0.0,0.0,10.5,396.0,481.0,82.3,7856.0,2529.0,166.0,192.0,86.5,158.0,180.0,87.8,64.0,85.0,75.3,1,1.8,1.3,13.0,41.0,12.0,5.0,54.0,481.0,422.0,53.0,21.0,0.0,15.0,21,24.0,4.0,0.0,3.0,0.0,396.0,6.0,5.0,25.0,24.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,7,3.0,7.0,3.0,5.0,12.0,41.7,7.0,9.0,2.0,7.0,15,28,8.0,1.0,50.0,585.0,35.0,129.0,232.0,228.0,31.0,585.0,8.0,3.0,37.5,5.0,62.5,371.0,1904.0,1007.0,21.0,22.0,7.0,17.0,19.0,394.0,54.0,3,0,0,17,19,6,21,15,7,0.0,0.0,0,47.0,11.0,9.0,55.0,1
2020-09-26,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,3,4,Inter,3,10,4,40.0,0.3,0.75,14.8,0.0,0,0,2.4,2.4,0.24,0.6,0.6,8,4.0,5,50.0,0,1.9,-1.1,0,0,0,0,5.0,22.0,22.7,32.0,6.0,59.4,44.6,11.0,27.3,29.3,18.0,0.0,0.0,1.0,14.0,272.0,353.0,77.1,5074.0,1950.0,132.0,151.0,87.4,89.0,105.0,84.8,44.0,82.0,53.7,3,2.4,1.6,9.0,11.0,8.0,3.0,21.0,353.0,308.0,45.0,16.0,1.0,7.0,7,12.0,1.0,0.0,1.0,0.0,272.0,0.0,6.0,20.0,18.0,0.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,11.0,6,7.0,2.0,2.0,5.0,9.0,55.6,4.0,10.0,5.0,5.0,10,21,22.0,0.0,33.0,469.0,87.0,234.0,169.0,72.0,21.0,469.0,19.0,12.0,63.2,7.0,36.8,294.0,1534.0,696.0,16.0,11.0,5.0,19.0,12.0,270.0,20.0,1,0,0,11,11,0,7,10,6,0.0,0.0,1,52.0,9.0,16.0,36.0,1
2020-10-02,20:45 (11:45),Serie A,Matchweek 3,Fri,Home,L,1,2,Sampdoria,1,22,5,22.7,0.05,0.2,18.9,1.0,0,0,1.7,1.7,0.08,-0.7,-0.7,8,2.0,6,87.5,0,1.8,-0.2,1,1,0,0,3.0,6.0,50.0,26.0,9.0,23.1,30.3,6.0,0.0,22.3,9.0,0.0,0.0,2.0,23.0,490.0,602.0,81.4,8559.0,3010.0,225.0,253.0,88.9,193.0,225.0,85.8,56.0,95.0,58.9,1,1.5,1.2,16.0,53.0,13.0,6.0,54.0,602.0,548.0,54.0,16.0,0.0,8.0,35,21.0,8.0,1.0,5.0,0.0,490.0,0.0,8.0,37.0,26.0,3.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,5,4.0,4.0,2.0,4.0,10.0,40.0,6.0,9.0,5.0,4.0,7,17,8.0,0.0,64.0,701.0,57.0,197.0,293.0,216.0,30.0,701.0,20.0,10.0,50.0,10.0,50.0,374.0,2696.0,1527.0,33.0,17.0,8.0,12.0,13.0,486.0,54.0,0,0,0,11,15,0,35,7,5,0.0,1.0,0,55.0,15.0,16.0,48.4,1
2020-10-18,15:00 (06:00),Serie A,Matchweek 4,Sun,Away,D,2,2,Spezia,2,9,3,33.3,0.22,0.67,10.1,0.0,0,0,1.0,1.0,0.12,1.0,1.0,2,2.0,0,0.0,0,0.9,-1.1,0,0,0,0,5.0,14.0,35.7,29.0,3.0,44.8,36.7,4.0,25.0,37.5,9.0,0.0,0.0,0.0,7.0,400.0,482.0,83.0,7265.0,2553.0,181.0,198.0,91.4,149.0,172.0,86.6,54.0,83.0,65.1,2,0.6,0.9,6.0,19.0,5.0,0.0,34.0,482.0,429.0,50.0,16.0,1.0,7.0,16,22.0,5.0,0.0,5.0,0.0,400.0,3.0,2.0,18.0,9.0,4.0,1.0,1.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,13.0,7,6.0,6.0,1.0,4.0,13.0,30.8,9.0,11.0,5.0,6.0,10,23,19.0,2.0,48.0,576.0,63.0,210.0,261.0,113.0,20.0,576.0,22.0,11.0,50.0,11.0,50.0,342.0,1619.0,751.0,18.0,10.0,4.0,10.0,18.0,395.0,34.0,2,0,0,18,15,3,16,10,7,0.0,0.0,0,48.0,14.0,12.0,53.8,1
2020-10-25,18:00 (10:00),Serie A,Matchweek 5,Sun,Home,W,3,2,Udinese,3,5,3,60.0,0.6,1.0,14.2,0.0,0,0,1.1,1.1,0.21,1.9,1.9,6,2.0,4,66.7,0,2.5,0.5,0,0,0,0,5.0,13.0,38.5,23.0,7.0,47.8,42.1,9.0,22.2,32.3,25.0,2.0,8.0,0.0,4.3,301.0,390.0,77.2,5801.0,2051.0,115.0,130.0,88.5,142.0,167.0,85.0,39.0,71.0,54.9,3,1.1,1.1,5.0,23.0,3.0,1.0,27.0,390.0,332.0,57.0,21.0,0.0,10.0,10,22.0,2.0,0.0,2.0,0.0,301.0,1.0,10.0,8.0,6.0,1.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,12.0,4,5.0,6.0,1.0,5.0,11.0,45.5,6.0,10.0,4.0,6.0,9,21,27.0,2.0,45.0,493.0,75.0,186.0,217.0,95.0,11.0,493.0,12.0,11.0,91.7,1.0,8.3,227.0,1302.0,650.0,15.0,9.0,1.0,12.0,19.0,301.0,27.0,1,0,0,16,13,1,10,9,4,0.0,0.0,0,36.0,14.0,12.0,53.8,1
2020-11-01,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,L,0,2,Roma,0,8,1,12.5,0.0,0.0,19.4,2.0,0,0,0.4,0.4,0.05,-0.4,-0.4,6,2.0,4,66.7,0,2.3,0.3,0,0,0,0,2.0,7.0,28.6,23.0,6.0,30.4,29.3,8.0,0.0,15.6,15.0,2.0,13.3,1.0,11.4,493.0,596.0,82.7,8680.0,2437.0,229.0,262.0,87.4,199.0,221.0,90.0,56.0,84.0,66.7,0,0.2,0.3,4.0,29.0,4.0,2.0,35.0,596.0,546.0,49.0,17.0,0.0,6.0,13,17.0,4.0,0.0,4.0,0.0,493.0,1.0,9.0,12.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5,2.0,5.0,1.0,5.0,16.0,31.3,11.0,11.0,7.0,4.0,13,21,13.0,0.0,59.0,693.0,77.0,223.0,349.0,127.0,13.0,693.0,14.0,12.0,85.7,2.0,14.3,466.0,2048.0,1027.0,8.0,14.0,3.0,13.0,18.0,491.0,35.0,2,1,0,16,17,1,13,13,5,0.0,0.0,0,50.0,12.0,18.0,40.0,1
2020-11-07,20:45 (11:45),Serie A,Matchweek 7,Sat,Away,D,0,0,Parma,0,6,4,66.7,0.0,0.0,19.7,1.0,0,0,0.5,0.5,0.08,-0.5,-0.5,0,0.0,0,,1,0.0,0.0,0,0,0,0,0.0,0.0,,15.0,5.0,0.0,24.0,7.0,0.0,19.0,8.0,0.0,0.0,0.0,3.5,666.0,751.0,88.7,11038.0,2745.0,317.0,345.0,91.9,285.0,307.0,92.8,48.0,69.0,69.6,0,0.4,0.6,4.0,50.0,5.0,3.0,39.0,751.0,699.0,52.0,19.0,1.0,7.0,19,22.0,3.0,0.0,3.0,0.0,666.0,0.0,9.0,10.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5,1.0,7.0,3.0,5.0,10.0,50.0,5.0,9.0,2.0,7.0,8,19,6.0,0.0,64.0,831.0,37.0,120.0,539.0,177.0,11.0,831.0,32.0,16.0,50.0,16.0,50.0,517.0,2853.0,1590.0,19.0,14.0,3.0,15.0,13.0,656.0,37.0,2,0,0,17,16,0,19,8,5,0.0,0.0,0,39.0,3.0,9.0,25.0,1
2020-11-22,12:30 (03:30),Serie A,Matchweek 8,Sun,Home,L,0,1,Benevento,0,7,2,28.6,0.0,0.0,10.0,0.0,0,0,1.1,1.1,0.16,-1.1,-1.1,4,1.0,3,75.0,0,1.1,0.1,0,0,0,0,2.0,5.0,40.0,27.0,4.0,14.8,27.8,10.0,10.0,17.3,14.0,1.0,7.1,1.0,15.5,484.0,591.0,81.9,8267.0,2489.0,192.0,218.0,88.1,202.0,227.0,89.0,51.0,75.0,68.0,0,0.7,0.8,5.0,38.0,5.0,0.0,38.0,591.0,524.0,64.0,18.0,0.0,5.0,16,30.0,4.0,0.0,4.0,0.0,484.0,3.0,16.0,13.0,7.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8,2.0,8.0,6.0,3.0,11.0,27.3,8.0,10.0,2.0,8.0,7,23,16.0,2.0,62.0,692.0,61.0,147.0,383.0,170.0,21.0,692.0,13.0,9.0,69.2,4.0,30.8,418.0,2565.0,1501.0,24.0,21.0,4.0,25.0,10.0,481.0,38.0,2,0,0,14,17,3,16,7,8,0.0,0.0,0,53.0,13.0,16.0,44.8,1
2020-11-29,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,2,Milan,0,5,3,60.0,0.0,0.0,13.6,0.0,0,0,0.7,0.7,0.14,-0.7,-0.7,4,2.0,1,75.0,0,2.4,0.4,2,1,1,0,4.0,8.0,50.0,23.0,7.0,21.7,28.6,9.0,33.3,32.7,15.0,0.0,0.0,0.0,4.5,434.0,550.0,78.9,7687.0,2902.0,200.0,230.0,87.0,179.0,213.0,84.0,48.0,81.0,59.3,0,0.7,0.7,5.0,41.0,6.0,2.0,53.0,550.0,498.0,50.0,16.0,0.0,5.0,24,16.0,6.0,2.0,4.0,0.0,434.0,2.0,13.0,10.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5,5.0,4.0,2.0,5.0,15.0,33.3,10.0,11.0,4.0,7.0,9,20,16.0,0.0,56.0,659.0,61.0,188.0,323.0,158.0,19.0,659.0,17.0,7.0,41.2,10.0,58.8,293.0,1708.0,899.0,18.0,14.0,4.0,19.0,15.0,430.0,53.0,4,0,0,15,14,2,24,9,5,0.0,2.0,0,52.0,23.0,14.0,62.2,1
2020-12-07,20:45 (11:45),Serie A,Matchweek 10,Mon,Home,D,1,1,Genoa,1,19,6,31.6,0.05,0.17,14.3,0.0,0,0,2.6,2.6,0.17,-1.6,-1.6,3,1.0,2,66.7,0,1.4,0.4,0,0,0,0,0.0,4.0,0.0,16.0,6.0,25.0,30.6,1.0,0.0,23.0,14.0,0.0,0.0,0.0,11.0,515.0,642.0,80.2,9717.0,3101.0,179.0,207.0,86.5,273.0,305.0,89.5,56.0,96.0,58.3,0,1.0,1.0,12.0,49.0,11.0,5.0,50.0,642.0,586.0,55.0,22.0,0.0,4.0,34,25.0,5.0,0.0,5.0,0.0,515.0,1.0,19.0,35.0,24.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,8,5.0,5.0,0.0,5.0,10.0,50.0,5.0,4.0,1.0,3.0,9,19,12.0,0.0,61.0,735.0,38.0,170.0,373.0,202.0,28.0,735.0,20.0,12.0,60.0,8.0,40.0,505.0,2492.0,1284.0,17.0,19.0,1.0,16.0,7.0,514.0,50.0,2,0,0,7,20,1,34,9,8,0.0,0.0,0,65.0,18.0,18.0,50.0,1
