Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-26,18:00 (09:00),Serie A,Matchweek 2,Sat,Away,W,2,0,Cagliari,2,16,6,37.5,0.13,0.33,16.0,0.0,0,0,2.3,2.3,0.15,-0.3,-0.3,2,0.0,2,100.0,1,0.4,0.4,0,0,0,0,6.0,15.0,40.0,27.0,5.0,51.9,39.3,10.0,10.0,23.1,10.0,1.0,10.0,0.0,2.0,466.0,564.0,82.6,8102.0,3018.0,209.0,240.0,87.1,169.0,188.0,89.9,62.0,92.0,67.4,1,1.3,0.6,12.0,27.0,13.0,2.0,38.0,564.0,509.0,53.0,10.0,0.0,9.0,17,26.0,6.0,2.0,3.0,0.0,466.0,2.0,7.0,27.0,21.0,1.0,2.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,6,6.0,6.0,1.0,8.0,14.0,57.1,6.0,10.0,1.0,9.0,12,25,11.0,0.0,55,668.0,60.0,217.0,299.0,157.0,30.0,668.0,22.0,9.0,40.9,13.0,59.1,397.0,2314.0,1122.0,21.0,20.0,9.0,16.0,7.0,463.0,37.0,1,0,0,13,8,2,17,12,6,0.0,0.0,0,54.0,11.0,10.0,52.4,1
2020-09-30,20:45 (11:45),Serie A,Matchweek 1,Wed,Home,L,1,4,Atalanta,1,14,5,35.7,0.07,0.2,14.5,0.0,0,0,2.3,2.3,0.17,-1.3,-1.3,6,4.0,2,33.3,0,3.1,-0.9,0,0,0,0,3.0,10.0,30.0,53.0,5.0,18.9,23.7,4.0,0.0,11.5,9.0,0.0,0.0,0.0,16.5,560.0,691.0,81.0,8324.0,3251.0,304.0,338.0,89.9,190.0,225.0,84.4,32.0,70.0,45.7,1,1.2,0.8,8.0,38.0,8.0,4.0,45.0,691.0,642.0,49.0,11.0,0.0,2.0,20,22.0,7.0,4.0,2.0,0.0,560.0,0.0,10.0,25.0,22.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,6,1.0,7.0,1.0,2.0,11.0,18.2,9.0,15.0,3.0,12.0,14,23,14.0,0.0,61,796.0,66.0,234.0,425.0,144.0,29.0,796.0,15.0,8.0,53.3,7.0,46.7,509.0,2530.0,1115.0,16.0,10.0,6.0,15.0,15.0,554.0,44.0,7,0,0,16,11,0,20,14,6,0.0,0.0,0,74.0,12.0,15.0,44.4,1
2020-10-04,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,D,1,1,Inter,1,12,4,33.3,0.08,0.25,14.8,0.0,0,0,1.2,1.2,0.1,-0.2,-0.2,3,1.0,2,66.7,0,0.6,-0.4,0,0,0,0,7.0,19.0,36.8,41.0,8.0,41.5,32.8,9.0,22.2,33.6,22.0,1.0,4.5,0.0,5.0,356.0,437.0,81.5,6399.0,2504.0,148.0,171.0,86.5,165.0,186.0,88.7,36.0,65.0,55.4,1,1.2,0.9,12.0,20.0,7.0,4.0,25.0,437.0,393.0,44.0,13.0,0.0,3.0,15,13.0,7.0,3.0,2.0,0.0,356.0,0.0,8.0,22.0,17.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,9,8.0,7.0,1.0,9.0,22.0,40.9,13.0,9.0,3.0,6.0,15,31,30.0,0.0,40,558.0,92.0,234.0,230.0,97.0,19.0,558.0,15.0,7.0,46.7,8.0,53.3,352.0,1887.0,1044.0,19.0,14.0,9.0,8.0,7.0,352.0,25.0,3,1,0,14,13,0,15,15,9,0.0,0.0,0,41.0,13.0,8.0,61.9,1
2020-10-17,18:00 (09:00),Serie A,Matchweek 4,Sat,Away,L,0,3,Sampdoria,0,10,0,0.0,0.0,,23.9,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,7,3.0,4,57.1,0,2.4,-0.6,0,0,0,0,8.0,9.0,88.9,32.0,5.0,28.1,26.5,4.0,0.0,23.3,20.0,0.0,0.0,1.0,11.0,437.0,535.0,81.7,8097.0,3021.0,212.0,244.0,86.9,173.0,202.0,85.6,48.0,75.0,64.0,0,0.4,0.6,8.0,46.0,11.0,2.0,56.0,535.0,492.0,41.0,12.0,0.0,9.0,17,18.0,3.0,2.0,1.0,0.0,437.0,2.0,9.0,20.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8,5.0,4.0,1.0,4.0,15.0,26.7,11.0,9.0,1.0,8.0,25,35,23.0,1.0,48,653.0,73.0,186.0,322.0,147.0,20.0,653.0,11.0,4.0,36.4,7.0,63.6,350.0,1626.0,775.0,11.0,10.0,2.0,20.0,6.0,434.0,56.0,2,0,0,10,9,2,17,25,8,0.0,0.0,0,65.0,12.0,15.0,44.4,1
2020-10-20,21:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,1,de Dortmund,2,11,4,36.4,0.18,0.5,15.7,0.0,0,0,1.7,1.7,0.16,0.3,0.3,7,1.0,6,85.7,0,1.0,0.0,0,0,0,0,4.0,10.0,40.0,10.0,3.0,50.0,35.0,8.0,62.5,45.0,14.0,0.0,0.0,0.0,,314.0,414.0,75.8,5432.0,2041.0,150.0,172.0,87.2,111.0,141.0,78.7,36.0,71.0,50.7,2,1.4,1.1,8.0,29.0,6.0,0.0,26.0,414.0,372.0,38.0,8.0,5.0,2.0,16,13.0,7.0,5.0,2.0,0.0,314.0,4.0,3.0,21.0,16.0,1.0,0.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,5,9.0,1.0,1.0,6.0,20.0,30.0,14.0,11.0,2.0,9.0,19,30,30.0,0.0,36,529.0,61.0,173.0,234.0,129.0,15.0,529.0,10.0,5.0,50.0,5.0,50.0,241.0,1507.0,670.0,16.0,16.0,2.0,11.0,4.0,313.0,26.0,2,0,0,6,8,4,16,19,5,0.0,0.0,0,57.0,11.0,11.0,50.0,2
2020-10-24,20:45 (11:45),Serie A,Matchweek 5,Sat,Home,W,2,1,Bologna,2,10,3,30.0,0.2,0.67,18.1,0.0,0,0,1.5,1.5,0.15,0.5,0.5,5,1.0,4,80.0,0,1.7,0.7,0,0,0,0,7.0,21.0,33.3,43.0,0.0,46.5,35.1,13.0,7.7,15.3,21.0,1.0,4.8,0.0,5.5,389.0,491.0,79.2,7565.0,2380.0,144.0,165.0,87.3,179.0,204.0,87.7,57.0,96.0,59.4,1,1.1,0.7,8.0,30.0,7.0,3.0,35.0,491.0,430.0,58.0,18.0,0.0,3.0,22,17.0,8.0,5.0,3.0,0.0,389.0,3.0,7.0,17.0,13.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,27.0,18,17.0,9.0,1.0,9.0,22.0,40.9,13.0,13.0,4.0,9.0,18,45,25.0,0.0,48,607.0,95.0,229.0,270.0,112.0,16.0,607.0,14.0,9.0,64.3,5.0,35.7,276.0,1476.0,811.0,12.0,8.0,3.0,12.0,7.0,380.0,35.0,3,0,0,14,15,3,22,18,18,0.0,0.0,0,48.0,15.0,12.0,55.6,1
2020-10-28,21:00 (13:00),Champions Lg,Group stage,Wed,Away,D,1,1,be Club Brugge,1,8,3,37.5,0.13,0.33,14.9,0.0,0,0,0.8,0.8,0.1,0.2,0.2,3,1.0,2,100.0,0,1.2,0.2,1,1,0,0,6.0,14.0,42.9,31.0,4.0,38.7,36.0,11.0,18.2,25.6,22.0,0.0,0.0,0.0,3.7,327.0,424.0,77.1,6277.0,2307.0,132.0,149.0,88.6,132.0,154.0,85.7,54.0,95.0,56.8,1,0.8,0.8,8.0,23.0,5.0,2.0,18.0,424.0,379.0,45.0,19.0,3.0,5.0,11,11.0,2.0,1.0,1.0,0.0,327.0,0.0,8.0,15.0,12.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,10,15.0,3.0,2.0,9.0,21.0,42.9,12.0,13.0,3.0,10.0,15,35,40.0,0.0,40,541.0,81.0,268.0,199.0,78.0,10.0,541.0,8.0,5.0,62.5,3.0,37.5,228.0,1355.0,753.0,6.0,9.0,1.0,8.0,3.0,320.0,18.0,5,0,0,13,17,0,11,15,10,0.0,1.0,0,46.0,14.0,11.0,56.0,2
2020-11-01,15:00 (06:00),Serie A,Matchweek 6,Sun,Away,W,4,3,Torino,4,11,3,27.3,0.27,1.0,16.9,1.0,1,1,1.8,1.1,0.1,2.2,1.9,4,3.0,1,50.0,0,2.4,-0.6,1,1,0,0,1.0,2.0,50.0,18.0,4.0,5.6,23.5,5.0,20.0,22.6,10.0,0.0,0.0,1.0,22.0,494.0,581.0,85.0,8638.0,2536.0,227.0,249.0,91.2,197.0,219.0,90.0,53.0,78.0,67.9,1,0.7,0.8,6.0,43.0,10.0,3.0,48.0,581.0,542.0,36.0,11.0,0.0,10.0,19,15.0,1.0,1.0,0.0,0.0,494.0,3.0,9.0,20.0,16.0,1.0,0.0,1.0,2.0,0.0,7.0,4.0,0.0,0.0,1.0,2.0,0.0,26.0,11,6.0,18.0,2.0,11.0,22.0,50.0,11.0,7.0,4.0,3.0,16,42,13.0,1.0,55,688.0,49.0,148.0,372.0,173.0,22.0,687.0,7.0,3.0,42.9,4.0,57.1,497.0,2112.0,977.0,6.0,7.0,1.0,16.0,7.0,492.0,48.0,4,0,0,11,9,3,19,16,11,0.0,1.0,0,47.0,10.0,12.0,45.5,1
2020-11-04,20:55 (09:55),Champions Lg,Group stage,Wed,Away,D,1,1,ru Zenit,1,15,3,20.0,0.07,0.33,23.9,1.0,0,0,0.7,0.7,0.04,0.3,0.3,2,1.0,1,50.0,0,1.0,0.0,0,0,0,0,6.0,9.0,66.7,37.0,5.0,24.3,30.4,2.0,0.0,18.0,13.0,0.0,0.0,0.0,13.0,465.0,567.0,82.0,8978.0,3210.0,190.0,214.0,88.8,202.0,236.0,85.6,65.0,95.0,68.4,1,0.4,0.7,8.0,34.0,11.0,9.0,34.0,567.0,523.0,44.0,19.0,0.0,8.0,23,18.0,3.0,1.0,2.0,0.0,465.0,0.0,9.0,26.0,21.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,12,13.0,6.0,0.0,9.0,14.0,64.3,5.0,10.0,2.0,8.0,13,32,18.0,0.0,53,689.0,67.0,221.0,323.0,152.0,15.0,689.0,16.0,10.0,62.5,6.0,37.5,342.0,2014.0,1040.0,16.0,20.0,2.0,15.0,7.0,463.0,34.0,4,0,0,9,15,0,23,13,12,0.0,0.0,0,49.0,28.0,22.0,56.0,2
2020-11-08,12:30 (03:30),Serie A,Matchweek 7,Sun,Home,D,1,1,Juventus,1,14,4,28.6,0.07,0.25,18.2,1.0,0,0,1.0,1.0,0.07,0.0,0.0,5,1.0,4,80.0,0,2.0,1.0,0,0,0,0,7.0,8.0,87.5,27.0,3.0,25.9,29.2,7.0,14.3,20.7,4.0,0.0,0.0,0.0,5.0,533.0,632.0,84.3,9297.0,3043.0,263.0,284.0,92.6,181.0,209.0,86.6,69.0,94.0,73.4,1,0.9,1.0,12.0,66.0,9.0,2.0,69.0,632.0,585.0,47.0,12.0,1.0,8.0,23,22.0,4.0,2.0,0.0,0.0,533.0,0.0,17.0,24.0,20.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,4,3.0,5.0,3.0,6.0,23.0,26.1,17.0,7.0,1.0,6.0,7,18,5.0,1.0,54,703.0,46.0,121.0,336.0,251.0,23.0,703.0,19.0,13.0,68.4,6.0,31.6,440.0,2469.0,1440.0,23.0,23.0,4.0,13.0,7.0,532.0,69.0,2,0,0,12,11,0,23,7,4,0.0,0.0,0,50.0,8.0,9.0,47.1,1
