Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-20,18:00 (09:00),Serie A,Matchweek 1,Sun,Home,D,1,1,Cagliari,1,33,9,27.3,0.03,0.11,20.6,3.0,0,0,2.1,2.1,0.07,-1.1,-1.1,4,1.0,3,75.0,0,1.3,0.3,0,0,0,0,1.0,2.0,50.0,20.0,4.0,5.0,19.8,5.0,20.0,26.2,7.0,0.0,0.0,0.0,,624.0,699.0,89.3,9366.0,2925.0,360.0,384.0,93.8,203.0,224.0,90.6,39.0,57.0,68.4,0,1.7,1.7,23.0,52.0,20.0,2.0,63.0,699.0,651.0,46.0,17.0,2.0,6.0,19,15.0,7.0,0.0,7.0,0.0,624.0,2.0,6.0,58.0,44.0,1.0,4.0,5.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,13,12.0,5.0,2.0,12.0,19.0,63.2,7.0,6.0,0.0,6.0,7,26,10.0,0.0,67.0,807.0,50.0,230.0,384.0,203.0,32.0,807.0,20.0,12.0,60.0,8.0,40.0,590.0,3100.0,1727.0,33.0,27.0,4.0,10.0,9.0,621.0,62.0,1,0,0,9,18,2,19,7,13,0.0,0.0,0,54.0,9.0,11.0,45.0,1
2020-09-27,12:30 (03:30),Serie A,Matchweek 2,Sun,Away,W,4,1,Spezia,4,16,5,31.3,0.19,0.6,17.2,1.0,1,1,2.1,1.3,0.08,1.9,1.7,5,1.0,4,80.0,0,1.2,0.2,0,0,0,0,7.0,9.0,77.8,33.0,5.0,24.2,26.6,6.0,16.7,14.3,10.0,0.0,0.0,2.0,26.5,611.0,693.0,88.2,10019.0,3190.0,304.0,325.0,93.5,243.0,261.0,93.1,46.0,69.0,66.7,3,1.0,1.3,11.0,33.0,9.0,1.0,46.0,693.0,643.0,46.0,11.0,0.0,2.0,17,22.0,5.0,1.0,4.0,0.0,611.0,4.0,7.0,30.0,21.0,2.0,2.0,3.0,2.0,0.0,8.0,5.0,1.0,1.0,0.0,1.0,0.0,20.0,8,6.0,8.0,6.0,9.0,18.0,50.0,9.0,8.0,2.0,6.0,11,31,17.0,0.0,66.0,791.0,71.0,248.0,379.0,173.0,34.0,790.0,18.0,12.0,66.7,6.0,33.3,366.0,2197.0,1182.0,25.0,16.0,7.0,20.0,5.0,606.0,46.0,1,0,0,8,11,4,17,11,8,1.0,0.0,0,42.0,5.0,6.0,45.5,1
2020-10-03,15:00 (06:00),Serie A,Matchweek 3,Sat,Home,W,4,1,Crotone,4,6,3,50.0,0.5,1.0,15.8,0.0,1,1,1.8,1.0,0.17,2.2,2.0,6,1.0,5,100.0,0,2.1,1.1,1,1,0,0,5.0,26.0,19.2,43.0,8.0,51.2,37.5,7.0,57.1,39.1,9.0,0.0,0.0,1.0,20.5,416.0,511.0,81.4,7000.0,2285.0,215.0,231.0,93.1,151.0,177.0,85.3,38.0,74.0,51.4,2,1.0,0.6,5.0,29.0,3.0,0.0,28.0,511.0,467.0,42.0,17.0,1.0,5.0,7,13.0,3.0,2.0,1.0,0.0,416.0,2.0,13.0,13.0,11.0,1.0,0.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,24.0,16,13.0,7.0,4.0,8.0,16.0,50.0,8.0,13.0,4.0,9.0,14,38,20.0,0.0,54.0,622.0,84.0,242.0,278.0,110.0,15.0,621.0,8.0,6.0,75.0,2.0,25.0,333.0,1845.0,946.0,12.0,9.0,5.0,28.0,12.0,410.0,28.0,2,0,0,15,13,2,7,14,16,0.0,1.0,0,59.0,6.0,10.0,37.5,1
2020-10-18,12:30 (03:30),Serie A,Matchweek 4,Sun,Away,W,4,3,Bologna,3,25,12,48.0,0.12,0.25,15.2,0.0,0,0,2.7,2.7,0.11,0.3,0.3,6,3.0,3,50.0,0,2.1,-0.9,0,0,0,0,7.0,17.0,41.2,32.0,5.0,46.9,38.4,7.0,28.6,30.1,18.0,1.0,5.6,2.0,18.4,330.0,428.0,77.1,5750.0,2532.0,141.0,165.0,85.5,131.0,152.0,86.2,39.0,69.0,56.5,2,2.3,1.1,22.0,27.0,10.0,2.0,33.0,428.0,376.0,52.0,20.0,2.0,3.0,17,10.0,11.0,7.0,2.0,0.0,330.0,0.0,7.0,46.0,36.0,4.0,4.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,6,8.0,3.0,1.0,4.0,13.0,30.8,9.0,14.0,4.0,10.0,16,28,19.0,1.0,52.0,553.0,64.0,201.0,219.0,141.0,33.0,553.0,20.0,16.0,80.0,4.0,20.0,229.0,1554.0,945.0,26.0,16.0,9.0,14.0,13.0,324.0,33.0,2,0,0,11,17,0,17,16,6,0.0,0.0,0,61.0,22.0,12.0,64.7,1
2020-10-23,20:45 (11:45),Serie A,Matchweek 5,Fri,Home,D,3,3,Torino,3,17,6,35.3,0.18,0.5,16.7,2.0,0,0,2.1,2.1,0.12,0.9,0.9,10,3.0,7,70.0,0,2.2,-0.8,0,0,0,0,4.0,6.0,66.7,30.0,4.0,16.7,23.1,4.0,25.0,34.0,17.0,0.0,0.0,2.0,20.0,665.0,740.0,89.9,11232.0,3528.0,325.0,353.0,92.1,257.0,276.0,93.1,67.0,81.0,82.7,2,0.9,1.0,12.0,53.0,15.0,2.0,61.0,740.0,696.0,43.0,10.0,0.0,4.0,15,19.0,6.0,3.0,3.0,0.0,665.0,1.0,11.0,33.0,24.0,3.0,0.0,2.0,3.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,19.0,14,10.0,6.0,3.0,7.0,14.0,50.0,7.0,9.0,4.0,5.0,11,30,15.0,1.0,72.0,844.0,49.0,226.0,424.0,200.0,27.0,844.0,8.0,5.0,62.5,3.0,37.5,553.0,2384.0,1260.0,19.0,19.0,6.0,16.0,9.0,658.0,60.0,2,0,0,10,11,1,15,11,14,0.0,0.0,0,38.0,10.0,8.0,55.6,1
2020-11-01,18:00 (09:00),Serie A,Matchweek 6,Sun,Away,W,2,0,Napoli,2,7,3,42.9,0.14,0.33,17.2,0.0,1,1,1.8,1.0,0.14,0.2,0.0,6,0.0,6,100.0,1,1.0,1.0,0,0,0,0,6.0,9.0,66.7,38.0,13.0,13.2,24.8,14.0,28.6,23.6,24.0,4.0,16.7,1.0,11.4,582.0,651.0,89.4,9390.0,3245.0,309.0,326.0,94.8,211.0,234.0,90.2,49.0,68.0,72.1,1,1.0,0.4,7.0,27.0,3.0,0.0,37.0,651.0,615.0,36.0,9.0,0.0,3.0,4,9.0,3.0,1.0,1.0,0.0,582.0,0.0,6.0,16.0,11.0,1.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,12.0,5,9.0,2.0,1.0,7.0,16.0,43.8,9.0,15.0,6.0,9.0,15,27,17.0,2.0,56.0,761.0,109.0,327.0,350.0,89.0,14.0,760.0,24.0,13.0,54.2,11.0,45.8,479.0,1982.0,977.0,15.0,7.0,6.0,12.0,11.0,578.0,37.0,2,0,0,9,6,0,4,15,5,1.0,0.0,0,43.0,13.0,13.0,50.0,1
2020-11-06,20:45 (11:45),Serie A,Matchweek 7,Fri,Home,D,0,0,Udinese,0,4,1,25.0,0.0,0.0,21.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,0,0.0,0,,1,0.0,0.0,0,0,0,0,1.0,4.0,25.0,24.0,4.0,16.7,27.6,2.0,0.0,22.0,18.0,3.0,16.7,0.0,6.7,535.0,613.0,87.3,8824.0,2521.0,265.0,285.0,93.0,218.0,243.0,89.7,42.0,62.0,67.7,0,0.1,0.3,3.0,47.0,2.0,0.0,36.0,613.0,573.0,39.0,18.0,0.0,1.0,17,15.0,3.0,0.0,3.0,0.0,535.0,1.0,6.0,7.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11,11.0,3.0,3.0,7.0,12.0,58.3,5.0,10.0,1.0,9.0,17,34,16.0,0.0,62.0,714.0,60.0,182.0,389.0,145.0,9.0,714.0,17.0,9.0,52.9,8.0,47.1,381.0,2211.0,1155.0,14.0,7.0,3.0,8.0,9.0,529.0,36.0,2,0,0,15,12,1,17,17,11,0.0,0.0,0,37.0,12.0,5.0,70.6,1
2020-11-22,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,W,2,0,Hellas Verona,2,11,4,36.4,0.18,0.5,24.1,1.0,0,0,0.4,0.4,0.04,1.6,1.6,3,0.0,3,100.0,1,0.3,0.3,0,0,0,0,7.0,17.0,41.2,31.0,1.0,38.7,37.6,11.0,45.5,28.1,24.0,1.0,4.2,0.0,8.5,324.0,430.0,75.3,5127.0,2240.0,175.0,200.0,87.5,99.0,128.0,77.3,33.0,67.0,49.3,2,0.3,0.3,8.0,19.0,4.0,0.0,24.0,430.0,380.0,50.0,18.0,0.0,2.0,6,19.0,1.0,0.0,1.0,0.0,324.0,0.0,4.0,21.0,15.0,0.0,3.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,3,8.0,2.0,0.0,4.0,17.0,23.5,13.0,13.0,6.0,7.0,10,20,26.0,0.0,48.0,550.0,78.0,225.0,252.0,81.0,15.0,550.0,11.0,11.0,100.0,0.0,0.0,343.0,1751.0,700.0,13.0,10.0,5.0,18.0,11.0,320.0,24.0,3,0,0,20,13,0,6,10,3,0.0,0.0,0,57.0,16.0,19.0,45.7,1
2020-11-28,15:00 (06:00),Serie A,Matchweek 9,Sat,Home,L,0,3,Inter,0,13,3,23.1,0.0,0.0,16.6,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,4,3.0,2,25.0,0,2.3,0.3,0,0,0,0,3.0,5.0,60.0,14.0,2.0,21.4,27.4,5.0,40.0,30.4,6.0,1.0,16.7,2.0,22.7,664.0,737.0,90.1,10915.0,3229.0,314.0,334.0,94.0,300.0,321.0,93.5,40.0,55.0,72.7,0,0.6,1.1,12.0,58.0,15.0,1.0,60.0,737.0,692.0,44.0,18.0,0.0,2.0,16,11.0,6.0,3.0,2.0,0.0,664.0,1.0,12.0,23.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5,3.0,6.0,1.0,3.0,10.0,30.0,7.0,8.0,2.0,6.0,14,24,7.0,0.0,65.0,816.0,32.0,129.0,430.0,264.0,31.0,816.0,24.0,15.0,62.5,9.0,37.5,484.0,2354.0,1187.0,21.0,20.0,7.0,16.0,10.0,660.0,59.0,3,0,0,13,16,1,16,14,5,0.0,0.0,1,47.0,6.0,6.0,50.0,1
2020-12-06,15:00 (06:00),Serie A,Matchweek 10,Sun,Away,D,0,0,Roma,0,5,1,20.0,0.0,0.0,22.4,2.0,0,0,0.3,0.3,0.06,-0.3,-0.3,1,0.0,1,100.0,1,0.1,0.1,0,0,0,0,0.0,1.0,0.0,14.0,2.0,7.1,19.1,8.0,0.0,14.0,15.0,1.0,6.7,1.0,15.3,486.0,570.0,85.3,8698.0,2436.0,207.0,227.0,91.2,206.0,234.0,88.0,53.0,73.0,72.6,0,0.2,0.5,3.0,43.0,10.0,1.0,50.0,570.0,533.0,34.0,9.0,2.0,4.0,15,11.0,5.0,1.0,2.0,0.0,486.0,3.0,8.0,8.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6,8.0,4.0,1.0,9.0,22.0,40.9,13.0,14.0,7.0,7.0,7,20,21.0,0.0,57.0,656.0,73.0,185.0,336.0,138.0,12.0,656.0,12.0,6.0,50.0,6.0,50.0,391.0,2288.0,1435.0,13.0,15.0,3.0,10.0,4.0,483.0,49.0,3,0,0,11,9,3,15,7,6,0.0,0.0,0,45.0,9.0,7.0,56.3,1
