Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-21,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,2,1,Torino,2,7,2,28.6,0.29,1.0,14.9,0.0,0,0,0.7,0.7,0.1,1.3,1.3,7,1,6,85.7,0,0.7,-0.3,0,0,0,0,11.0,21.0,52.4,34.0,6.0,35.3,31.3,9.0,100.0,64.2,12.0,0.0,0.0,5.0,27.2,329.0,456.0,72.1,5952.0,2515.0,158.0,199.0,79.4,128.0,163.0,78.5,37.0,69.0,53.6,1,0.7,0.8,6.0,17.0,7.0,1.0,23.0,456.0,399.0,57.0,17.0,0.0,1.0,4,28.0,1.0,0.0,1.0,0.0,329.0,0.0,12.0,13.0,10.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,12,8.0,9.0,0.0,9.0,21.0,42.9,12.0,15.0,8.0,7.0,8,25,25.0,0.0,52,580.0,73.0,237.0,259.0,91.0,16.0,580.0,14.0,9.0,64.3,5.0,35.7,314.0,1239.0,481.0,4.0,8.0,1.0,23.0,9.0,325.0,23.0,2,0,0,13,17,0,4,8,12,0.0,0.0,0,61.0,43.0,23.0,65.2,1
2021-08-28,18:30 (09:30),Serie A,Matchweek 2,Sat,Home,D,0,0,Bologna,0,22,3,13.6,0.0,0.0,20.0,2.0,0,0,0.9,0.9,0.04,-0.9,-0.9,1,0,1,100.0,1,0.0,0.0,0,0,0,0,4.0,6.0,66.7,21.0,4.0,19.0,31.8,2.0,100.0,67.0,11.0,1.0,9.1,2.0,18.5,469.0,591.0,79.4,8113.0,3022.0,217.0,251.0,86.5,186.0,224.0,83.0,47.0,72.0,65.3,0,0.6,0.8,17.0,51.0,12.0,2.0,68.0,591.0,550.0,39.0,12.0,0.0,9.0,20,19.0,5.0,4.0,1.0,0.0,469.0,2.0,10.0,40.0,30.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5,6.0,3.0,3.0,5.0,20.0,25.0,15.0,11.0,1.0,10.0,9,21,10.0,0.0,59,712.0,34.0,160.0,297.0,260.0,39.0,712.0,20.0,14.0,70.0,6.0,30.0,404.0,2118.0,1071.0,23.0,17.0,9.0,21.0,15.0,465.0,67.0,2,0,0,11,11,2,20,9,5,0.0,0.0,0,77.0,29.0,12.0,70.7,1
2021-09-11,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,L,1,2,Fiorentina,1,12,4,33.3,0.0,0.0,10.7,0.0,1,1,2.2,1.4,0.12,-1.2,-1.4,2,2,0,100.0,0,2.0,0.0,2,2,0,0,3.0,3.0,100.0,16.0,6.0,6.3,28.3,2.0,100.0,62.0,5.0,0.0,0.0,1.0,14.0,460.0,551.0,83.5,8544.0,2894.0,206.0,232.0,88.8,203.0,230.0,88.3,46.0,70.0,65.7,0,1.4,1.2,12.0,45.0,11.0,3.0,55.0,551.0,493.0,56.0,19.0,3.0,7.0,29,22.0,10.0,6.0,2.0,0.0,460.0,2.0,4.0,26.0,18.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,6,3.0,5.0,3.0,7.0,16.0,43.8,9.0,8.0,2.0,6.0,8,19,9.0,0.0,55,638.0,36.0,155.0,303.0,185.0,30.0,637.0,19.0,7.0,36.8,12.0,63.2,325.0,1551.0,695.0,11.0,11.0,3.0,11.0,6.0,459.0,55.0,4,0,0,13,18,2,29,8,6,1.0,2.0,0,48.0,15.0,9.0,62.5,1
2021-09-14,21:00 (12:00),Champions Lg,Group stage,Tue,Away,D,2,2,es Villarreal,2,13,4,30.8,0.15,0.5,19.6,0.0,0,0,1.3,1.3,0.1,0.7,0.7,7,2,5,71.4,0,3.4,1.4,0,0,0,0,4.0,12.0,33.3,18.0,4.0,38.9,36.2,6.0,83.3,61.2,11.0,0.0,0.0,2.0,20.5,370.0,473.0,78.2,6193.0,2182.0,196.0,225.0,87.1,127.0,162.0,78.4,36.0,64.0,56.3,2,1.2,0.6,10.0,26.0,8.0,1.0,30.0,473.0,427.0,44.0,14.0,2.0,7.0,17,17.0,4.0,0.0,4.0,0.0,370.0,2.0,6.0,24.0,19.0,3.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,11,13.0,5.0,7.0,14.0,19.0,73.7,5.0,15.0,3.0,12.0,14,39,13.0,0.0,52,592.0,44.0,162.0,253.0,182.0,18.0,592.0,19.0,13.0,68.4,6.0,31.6,366.0,1890.0,912.0,20.0,18.0,5.0,20.0,4.0,369.0,30.0,1,0,0,11,13,2,17,14,11,0.0,0.0,0,65.0,13.0,15.0,46.4,2
2021-09-18,20:45 (11:45),Serie A,Matchweek 4,Sat,Away,W,1,0,Salernitana,1,10,3,30.0,0.1,0.33,15.6,1.0,0,0,1.6,1.6,0.16,-0.6,-0.6,1,0,1,100.0,1,0.2,0.2,0,0,0,0,5.0,11.0,45.5,24.0,4.0,25.0,29.6,8.0,62.5,46.5,11.0,1.0,9.1,0.0,7.0,475.0,573.0,82.9,7635.0,2656.0,221.0,252.0,87.7,187.0,205.0,91.2,34.0,71.0,47.9,1,1.0,1.0,8.0,30.0,9.0,0.0,39.0,573.0,514.0,58.0,22.0,0.0,9.0,14,23.0,4.0,1.0,3.0,0.0,475.0,1.0,5.0,17.0,13.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,7,6.0,3.0,3.0,5.0,11.0,45.5,6.0,8.0,2.0,6.0,13,25,23.0,0.0,58,666.0,51.0,176.0,319.0,177.0,20.0,666.0,9.0,2.0,22.2,7.0,77.8,459.0,2426.0,1235.0,19.0,18.0,5.0,18.0,6.0,472.0,39.0,4,0,0,13,17,1,14,13,7,0.0,0.0,0,57.0,17.0,18.0,48.6,1
2021-09-21,20:45 (11:45),Serie A,Matchweek 5,Tue,Home,W,2,1,Sassuolo,2,14,5,35.7,0.14,0.4,16.9,1.0,0,0,1.9,1.9,0.13,0.1,0.1,1,1,0,0.0,0,0.2,-0.8,0,0,0,0,4.0,8.0,50.0,19.0,4.0,15.8,26.6,7.0,71.4,42.0,17.0,1.0,5.9,0.0,9.8,395.0,491.0,80.4,6906.0,2412.0,185.0,216.0,85.6,147.0,165.0,89.1,44.0,72.0,61.1,2,1.8,1.7,12.0,23.0,10.0,3.0,29.0,491.0,444.0,45.0,15.0,2.0,8.0,18,16.0,5.0,3.0,2.0,0.0,395.0,2.0,9.0,22.0,16.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,10,11.0,5.0,5.0,13.0,25.0,52.0,12.0,12.0,3.0,9.0,9,30,17.0,0.0,48,624.0,52.0,196.0,248.0,182.0,31.0,624.0,20.0,8.0,40.0,12.0,60.0,401.0,1978.0,908.0,23.0,13.0,7.0,20.0,9.0,392.0,29.0,2,0,0,16,15,2,18,9,10,0.0,0.0,0,62.0,11.0,10.0,52.4,1
2021-09-25,18:00 (09:00),Serie A,Matchweek 6,Sat,Away,D,2,2,Inter,2,22,5,22.7,0.09,0.4,15.2,1.0,0,0,1.9,1.9,0.09,0.1,0.1,6,2,4,66.7,0,3.2,1.2,1,0,0,1,6.0,21.0,28.6,26.0,3.0,38.5,37.7,11.0,100.0,63.6,18.0,1.0,5.6,2.0,12.4,354.0,454.0,78.0,6368.0,2178.0,167.0,186.0,89.8,141.0,165.0,85.5,39.0,77.0,50.6,0,1.1,1.5,17.0,22.0,8.0,2.0,32.0,454.0,404.0,49.0,12.0,0.0,3.0,22,12.0,11.0,5.0,6.0,0.0,354.0,1.0,13.0,37.0,21.0,7.0,1.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,4,2.0,5.0,1.0,6.0,9.0,66.7,3.0,9.0,4.0,5.0,18,26,20.0,0.0,51,566.0,66.0,173.0,254.0,145.0,24.0,566.0,4.0,2.0,50.0,2.0,50.0,355.0,1560.0,769.0,15.0,20.0,3.0,13.0,6.0,353.0,32.0,5,0,0,11,11,1,22,18,4,0.0,1.0,0,45.0,25.0,20.0,55.6,1
2021-09-29,18:45 (09:45),Champions Lg,Group stage,Wed,Home,W,1,0,ch Young Boys,1,13,7,53.8,0.08,0.14,13.9,0.0,0,0,2.5,2.5,0.2,-1.5,-1.5,1,0,1,100.0,1,0.0,0.0,0,0,0,0,2.0,8.0,25.0,27.0,4.0,18.5,27.3,5.0,60.0,48.2,5.0,2.0,40.0,0.0,12.3,560.0,657.0,85.2,10357.0,3388.0,227.0,250.0,90.8,260.0,287.0,90.6,60.0,85.0,70.6,1,2.2,2.5,11.0,46.0,12.0,2.0,69.0,657.0,603.0,53.0,13.0,0.0,11.0,18,29.0,5.0,2.0,3.0,0.0,560.0,1.0,11.0,26.0,20.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,15,6.0,11.0,5.0,9.0,16.0,56.3,7.0,6.0,0.0,6.0,15,37,9.0,0.0,64,792.0,36.0,162.0,381.0,254.0,37.0,792.0,36.0,16.0,44.4,20.0,55.6,444.0,2460.0,1271.0,26.0,24.0,10.0,25.0,17.0,557.0,69.0,1,0,0,10,12,1,18,15,15,0.0,0.0,0,68.0,11.0,12.0,47.8,2
2021-10-03,20:45 (11:45),Serie A,Matchweek 7,Sun,Home,L,2,3,Milan,2,16,4,25.0,0.06,0.25,17.9,1.0,1,1,2.1,1.4,0.09,-0.1,-0.4,7,3,4,57.1,0,3.3,0.3,0,0,0,0,2.0,7.0,28.6,25.0,5.0,24.0,29.0,4.0,25.0,30.8,7.0,0.0,0.0,2.0,25.3,408.0,510.0,80.0,6961.0,2701.0,201.0,221.0,91.0,157.0,186.0,84.4,41.0,68.0,60.3,1,1.1,0.6,12.0,40.0,6.0,0.0,54.0,510.0,454.0,54.0,13.0,0.0,10.0,20,24.0,9.0,4.0,5.0,0.0,408.0,2.0,13.0,30.0,18.0,3.0,3.0,5.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,22.0,15,13.0,8.0,1.0,12.0,28.0,42.9,16.0,18.0,4.0,14.0,8,30,9.0,1.0,56,630.0,54.0,181.0,271.0,183.0,23.0,629.0,19.0,13.0,68.4,6.0,31.6,298.0,1740.0,921.0,20.0,17.0,6.0,22.0,10.0,404.0,54.0,1,0,0,13,13,2,20,8,15,0.0,0.0,0,62.0,10.0,8.0,55.6,1
2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,W,4,1,Empoli,3,21,7,33.3,0.14,0.43,17.6,0.0,0,1,3.9,3.2,0.15,-0.9,-0.2,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,8.0,13.0,61.5,34.0,8.0,26.5,31.0,9.0,44.4,43.2,16.0,0.0,0.0,0.0,4.0,400.0,499.0,80.2,7722.0,3032.0,170.0,184.0,92.4,148.0,176.0,84.1,69.0,105.0,65.7,3,3.0,3.2,16.0,31.0,10.0,1.0,46.0,499.0,453.0,44.0,15.0,3.0,15.0,10,14.0,4.0,4.0,0.0,0.0,400.0,2.0,10.0,41.0,28.0,3.0,2.0,6.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,5,6.0,7.0,3.0,10.0,18.0,55.6,8.0,15.0,8.0,7.0,15,31,17.0,0.0,52,636.0,88.0,235.0,251.0,153.0,32.0,635.0,17.0,8.0,47.1,9.0,52.9,378.0,1887.0,894.0,18.0,10.0,10.0,15.0,6.0,396.0,46.0,2,0,0,16,10,2,10,15,5,1.0,0.0,0,58.0,11.0,8.0,57.9,1
