Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-22,18:30 (09:30),Serie A,Matchweek 1,Sun,Home,D,2,2,Juventus,2,11,5,45.5,0.09,0.2,18.3,0.0,1,1,1.6,0.8,0.08,0.4,0.2,3,2,1,33.3,0,1.8,-0.2,0,0,0,0,3.0,7.0,42.9,16.0,2.0,37.5,33.0,6.0,16.7,29.0,6.0,0.0,0.0,1.0,22.0,357.0,436.0,81.9,6030.0,2005.0,173.0,197.0,87.8,148.0,173.0,85.5,30.0,51.0,58.8,1,0.4,0.4,8.0,26.0,4.0,1.0,28.0,436.0,387.0,47.0,16.0,0.0,1.0,17,19.0,3.0,2.0,0.0,0.0,357.0,2.0,2.0,20.0,15.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,6,5.0,5.0,1.0,5.0,11.0,45.5,6.0,18.0,0.0,18.0,8,19,6.0,0.0,44,519.0,35.0,119.0,281.0,123.0,14.0,518.0,7.0,5.0,71.4,2.0,28.6,275.0,1714.0,870.0,24.0,17.0,0.0,10.0,10.0,356.0,27.0,1,0,0,13,14,2,17,8,6,1.0,0.0,0,34.0,9.0,8.0,52.9,1
2021-08-27,18:30 (09:30),Serie A,Matchweek 2,Fri,Home,W,3,0,Venezia,3,21,10,47.6,0.14,0.3,17.3,1.0,0,0,2.2,2.2,0.11,0.8,0.8,3,0,3,100.0,1,0.9,0.9,0,0,0,0,7.0,11.0,63.6,12.0,3.0,50.0,34.9,12.0,41.7,33.9,12.0,0.0,0.0,0.0,,362.0,467.0,77.5,6366.0,2272.0,177.0,205.0,86.3,145.0,173.0,83.8,36.0,65.0,55.4,2,2.0,1.4,17.0,25.0,9.0,4.0,36.0,467.0,415.0,48.0,9.0,2.0,3.0,15,19.0,7.0,5.0,2.0,0.0,362.0,4.0,10.0,34.0,21.0,3.0,2.0,6.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,15.0,7,7.0,7.0,1.0,8.0,15.0,53.3,7.0,9.0,2.0,7.0,13,28,21.0,0.0,45,592.0,66.0,205.0,267.0,133.0,30.0,592.0,21.0,13.0,61.9,8.0,38.1,322.0,1807.0,996.0,24.0,21.0,8.0,11.0,9.0,360.0,36.0,2,0,0,11,6,4,15,13,7,0.0,0.0,0,58.0,7.0,12.0,36.8,1
2021-09-12,15:00 (06:00),Serie A,Matchweek 3,Sun,Away,W,1,0,Spezia,1,9,4,44.4,0.11,0.25,19.8,0.0,0,0,0.9,0.9,0.09,0.1,0.1,5,0,5,100.0,1,1.1,1.1,0,0,0,0,7.0,20.0,35.0,31.0,3.0,48.4,38.6,11.0,45.5,35.3,15.0,1.0,6.7,0.0,11.1,331.0,405.0,81.7,5902.0,1953.0,134.0,144.0,93.1,154.0,168.0,91.7,29.0,70.0,41.4,1,0.8,0.3,8.0,25.0,3.0,0.0,26.0,405.0,354.0,49.0,13.0,3.0,1.0,12,19.0,5.0,1.0,4.0,0.0,331.0,2.0,5.0,17.0,12.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,11,8.0,5.0,1.0,7.0,22.0,31.8,15.0,12.0,7.0,5.0,10,24,13.0,2.0,44,512.0,73.0,200.0,212.0,104.0,16.0,512.0,18.0,7.0,38.9,11.0,61.1,269.0,1626.0,974.0,18.0,16.0,8.0,19.0,13.0,323.0,25.0,2,0,0,14,12,2,12,10,11,0.0,0.0,0,52.0,6.0,11.0,35.3,1
2021-09-20,20:45 (11:45),Serie A,Matchweek 4,Mon,Home,L,0,4,Napoli,0,9,1,11.1,0.0,0.0,26.3,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,8,4,4,50.0,0,3.4,-0.6,0,0,0,0,4.0,5.0,80.0,11.0,1.0,27.3,30.6,7.0,28.6,36.0,10.0,0.0,0.0,0.0,10.5,349.0,409.0,85.3,6123.0,1939.0,160.0,177.0,90.4,154.0,166.0,92.8,29.0,46.0,63.0,0,0.2,0.3,6.0,28.0,3.0,1.0,25.0,409.0,368.0,38.0,14.0,0.0,5.0,11,10.0,2.0,1.0,1.0,0.0,349.0,3.0,5.0,14.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,2.0,0.0,1.0,2.0,17.0,11.8,15.0,12.0,2.0,10.0,8,11,16.0,0.0,38,494.0,44.0,147.0,248.0,103.0,10.0,494.0,11.0,7.0,63.6,4.0,36.4,251.0,1420.0,706.0,11.0,11.0,4.0,13.0,4.0,347.0,25.0,2,0,0,10,11,3,11,8,2,0.0,0.0,0,33.0,10.0,9.0,52.6,1
2021-09-23,20:45 (11:45),Serie A,Matchweek 5,Thu,Away,L,0,1,Roma,0,8,2,25.0,0.0,0.0,16.8,1.0,0,0,0.6,0.6,0.08,-0.6,-0.6,2,1,1,50.0,0,1.0,0.0,0,0,0,0,3.0,8.0,37.5,22.0,7.0,27.3,29.5,8.0,25.0,24.0,14.0,0.0,0.0,0.0,,418.0,512.0,81.6,7262.0,2316.0,177.0,202.0,87.6,184.0,200.0,92.0,39.0,71.0,54.9,0,0.3,0.3,6.0,27.0,7.0,2.0,36.0,512.0,454.0,56.0,22.0,0.0,5.0,16,18.0,6.0,2.0,4.0,0.0,418.0,2.0,8.0,16.0,13.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7,10.0,4.0,2.0,7.0,15.0,46.7,8.0,10.0,4.0,6.0,13,29,23.0,0.0,49,629.0,70.0,207.0,319.0,110.0,15.0,629.0,22.0,13.0,59.1,9.0,40.9,371.0,1864.0,963.0,13.0,8.0,3.0,21.0,10.0,418.0,36.0,1,0,0,8,21,2,16,13,7,0.0,0.0,0,48.0,8.0,12.0,40.0,1
2021-09-26,15:00 (06:00),Serie A,Matchweek 6,Sun,Home,L,0,1,Fiorentina,0,12,5,41.7,0.0,0.0,19.4,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,2,1,1,100.0,0,1.0,0.0,1,1,0,0,6.0,11.0,54.5,25.0,1.0,44.0,32.6,7.0,0.0,22.7,8.0,0.0,0.0,1.0,22.0,433.0,517.0,83.8,6980.0,2554.0,209.0,232.0,90.1,168.0,189.0,88.9,31.0,60.0,51.7,0,0.4,0.4,10.0,29.0,5.0,0.0,31.0,517.0,464.0,53.0,11.0,2.0,3.0,15,29.0,4.0,0.0,3.0,0.0,433.0,0.0,9.0,20.0,13.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10,8.0,11.0,2.0,10.0,14.0,71.4,4.0,8.0,1.0,7.0,4,25,12.0,0.0,46,633.0,59.0,206.0,295.0,145.0,16.0,633.0,33.0,21.0,63.6,12.0,36.4,370.0,2221.0,993.0,19.0,15.0,6.0,26.0,7.0,426.0,31.0,2,0,0,14,9,0,15,4,10,0.0,1.0,0,52.0,9.0,14.0,39.1,1
2021-10-03,15:00 (06:00),Serie A,Matchweek 7,Sun,Away,D,3,3,Sampdoria,3,18,7,38.9,0.17,0.43,14.8,0.0,0,0,2.3,2.3,0.15,0.7,0.7,3,3,1,33.3,0,1.6,-0.4,1,1,0,0,2.0,6.0,33.3,18.0,3.0,22.2,27.7,4.0,50.0,38.5,15.0,2.0,13.3,0.0,5.3,294.0,386.0,76.2,4810.0,1774.0,130.0,155.0,83.9,128.0,157.0,81.5,23.0,51.0,45.1,1,0.8,1.5,11.0,22.0,13.0,5.0,34.0,386.0,339.0,47.0,12.0,1.0,0.0,20,19.0,8.0,2.0,2.0,1.0,294.0,0.0,3.0,29.0,15.0,4.0,3.0,6.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,17.0,6,10.0,6.0,1.0,7.0,17.0,41.2,10.0,11.0,2.0,9.0,9,26,29.0,0.0,46,512.0,62.0,201.0,173.0,148.0,37.0,512.0,28.0,15.0,53.6,13.0,46.4,296.0,1740.0,871.0,23.0,14.0,9.0,12.0,7.0,292.0,34.0,5,0,0,15,12,0,20,9,6,0.0,1.0,1,51.0,15.0,12.0,55.6,1
2021-10-17,15:00 (06:00),Serie A,Matchweek 8,Sun,Home,D,1,1,Bologna,1,10,2,20.0,0.1,0.5,14.9,0.0,0,0,0.8,0.8,0.08,0.2,0.2,11,1,10,90.9,0,1.2,0.2,0,0,0,0,5.0,15.0,33.3,16.0,2.0,50.0,40.4,13.0,53.8,44.8,15.0,0.0,0.0,2.0,24.7,289.0,369.0,78.3,4683.0,1772.0,152.0,170.0,89.4,106.0,122.0,86.9,22.0,51.0,43.1,1,0.7,1.1,7.0,22.0,4.0,2.0,30.0,369.0,322.0,46.0,11.0,0.0,0.0,9,18.0,2.0,1.0,1.0,0.0,289.0,1.0,9.0,17.0,13.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,3,4.0,3.0,2.0,4.0,11.0,36.4,7.0,12.0,5.0,7.0,7,16,14.0,0.0,41,465.0,63.0,148.0,211.0,109.0,15.0,465.0,15.0,10.0,66.7,5.0,33.3,243.0,1456.0,753.0,19.0,9.0,7.0,17.0,10.0,287.0,30.0,3,1,1,15,10,1,9,7,3,0.0,0.0,0,30.0,8.0,11.0,42.1,1
2021-10-24,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,D,1,1,Atalanta,1,9,3,33.3,0.11,0.33,15.7,0.0,0,0,0.6,0.6,0.08,0.4,0.4,3,1,2,66.7,0,0.6,-0.4,0,0,0,0,9.0,22.0,40.9,24.0,0.0,79.2,46.0,9.0,33.3,35.3,12.0,0.0,0.0,0.0,2.0,236.0,330.0,71.5,4495.0,2099.0,106.0,127.0,83.5,99.0,128.0,77.3,27.0,63.0,42.9,1,0.7,0.3,9.0,21.0,2.0,2.0,20.0,330.0,290.0,40.0,16.0,2.0,0.0,16,10.0,3.0,2.0,1.0,0.0,236.0,0.0,8.0,16.0,13.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,12,8.0,9.0,2.0,5.0,9.0,55.6,4.0,16.0,3.0,13.0,14,33,21.0,1.0,32,446.0,59.0,171.0,194.0,85.0,11.0,446.0,2.0,1.0,50.0,1.0,50.0,269.0,1248.0,585.0,13.0,5.0,5.0,17.0,14.0,231.0,19.0,2,0,0,15,14,0,16,14,12,0.0,0.0,0,57.0,12.0,13.0,48.0,1
2021-10-27,18:30 (09:30),Serie A,Matchweek 10,Wed,Home,D,1,1,Hellas Verona,1,16,5,31.3,0.06,0.2,17.7,1.0,0,0,1.1,1.1,0.07,-0.1,-0.1,2,1,1,100.0,0,1.0,0.0,1,1,0,0,10.0,20.0,50.0,18.0,1.0,61.1,44.6,11.0,81.8,57.1,10.0,1.0,10.0,1.0,12.3,199.0,305.0,65.2,3984.0,2042.0,92.0,118.0,78.0,73.0,104.0,70.2,32.0,70.0,45.7,0,0.8,0.6,10.0,13.0,5.0,2.0,16.0,305.0,249.0,55.0,12.0,2.0,0.0,18,23.0,7.0,3.0,4.0,0.0,199.0,1.0,3.0,23.0,13.0,3.0,1.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,12,10.0,9.0,0.0,8.0,11.0,72.7,3.0,9.0,2.0,7.0,11,30,10.0,0.0,34,412.0,44.0,141.0,173.0,102.0,20.0,412.0,13.0,9.0,69.2,4.0,30.8,196.0,908.0,373.0,10.0,5.0,2.0,23.0,6.0,196.0,16.0,1,0,0,13,12,1,18,11,12,0.0,1.0,0,54.0,23.0,18.0,56.1,1
