Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-14,18:30 (09:30),Serie A,Matchweek 1,Sun,Away,L,2,3,Fiorentina,2,13,4,30.8,0.15,0.5,17.3,2.0,0,0,1.3,1.3,0.1,0.7,0.7,11,3,8,72.7,0,2.5,-0.5,0,0,0,0,5.0,26.0,19.2,26.0,4.0,76.9,55.3,9.0,66.7,49.9,23.0,1.0,4.3,0.0,9.9,132.0,219.0,60.3,2408.0,1132.0,63.0,80.0,78.8,54.0,75.0,72.0,12.0,50.0,24.0,1,0.6,0.3,6.0,13.0,7.0,2.0,21.0,219.0,182.0,36.0,9.0,0.0,0.0,13,10.0,4.0,2.0,1.0,0.0,132.0,1.0,3.0,18.0,8.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,24.0,10,13.0,10.0,1.0,9.0,16.0,56.3,7.0,13.0,9.0,4.0,7,31,25.0,2.0,26,334.0,74.0,162.0,113.0,63.0,21.0,334.0,14.0,6.0,42.9,8.0,57.1,125.0,756.0,408.0,9.0,4.0,3.0,6.0,4.0,130.0,21.0,3,1,0,19,9,1,13,7,10,0.0,0.0,0,41.0,13.0,27.0,32.5,1
2022-08-22,18:30 (09:30),Serie A,Matchweek 2,Mon,Away,L,0,1,Roma,0,14,3,21.4,0.0,0.0,24.8,1.0,0,0,0.7,0.7,0.05,-0.7,-0.7,11,1,10,90.9,0,2.5,1.5,0,0,0,0,3.0,9.0,33.3,26.0,7.0,34.6,36.8,6.0,0.0,11.7,8.0,0.0,0.0,1.0,23.0,340.0,445.0,76.4,5853.0,2545.0,160.0,181.0,88.4,136.0,169.0,80.5,37.0,71.0,52.1,0,0.5,0.6,9.0,37.0,8.0,4.0,41.0,445.0,407.0,37.0,7.0,0.0,1.0,27,16.0,6.0,3.0,3.0,0.0,340.0,1.0,6.0,26.0,22.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9,14.0,5.0,0.0,12.0,29.0,41.4,17.0,17.0,9.0,8.0,16,35,10.0,0.0,51,551.0,59.0,171.0,265.0,120.0,11.0,551.0,8.0,4.0,50.0,4.0,50.0,325.0,1784.0,973.0,21.0,15.0,2.0,8.0,12.0,335.0,41.0,3,0,0,14,7,1,27,16,9,0.0,0.0,0,60.0,6.0,20.0,23.1,1
2022-08-27,18:30 (09:30),Serie A,Matchweek 3,Sat,Home,L,1,2,Torino,1,16,6,37.5,0.06,0.17,17.0,1.0,0,0,0.8,0.8,0.05,0.2,0.2,5,2,3,60.0,0,2.8,0.8,0,0,0,0,2.0,15.0,13.3,26.0,3.0,46.2,37.1,6.0,50.0,45.3,10.0,2.0,20.0,0.0,4.5,292.0,427.0,68.4,5181.0,2452.0,126.0,157.0,80.3,116.0,152.0,76.3,35.0,84.0,41.7,0,0.5,0.7,11.0,32.0,9.0,4.0,40.0,427.0,373.0,53.0,20.0,0.0,0.0,25,21.0,3.0,1.0,1.0,0.0,292.0,1.0,13.0,27.0,15.0,4.0,1.0,2.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,13,6.0,12.0,3.0,12.0,26.0,46.2,14.0,14.0,5.0,9.0,10,31,21.0,1.0,53,565.0,67.0,161.0,266.0,143.0,26.0,565.0,16.0,5.0,31.3,6.0,37.5,282.0,1163.0,608.0,7.0,9.0,2.0,22.0,5.0,290.0,40.0,0,0,0,9,20,1,25,10,13,0.0,0.0,0,62.0,23.0,22.0,51.1,1
2022-08-30,20:45 (11:45),Serie A,Matchweek 4,Tue,Away,L,1,3,Inter,1,11,4,36.4,0.09,0.25,15.4,0.0,0,0,1.2,1.2,0.11,-0.2,-0.2,7,3,4,57.1,0,3.0,0.0,0,0,0,0,0.0,5.0,0.0,19.0,4.0,26.3,31.4,12.0,0.0,18.0,14.0,0.0,0.0,1.0,19.0,353.0,451.0,78.3,6012.0,2379.0,167.0,190.0,87.9,160.0,185.0,86.5,23.0,54.0,42.6,1,0.9,0.6,9.0,35.0,7.0,2.0,44.0,451.0,397.0,52.0,8.0,0.0,3.0,19,22.0,6.0,1.0,4.0,0.0,353.0,2.0,10.0,17.0,13.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,11,9.0,6.0,1.0,11.0,15.0,73.3,4.0,9.0,4.0,5.0,10,26,15.0,0.0,47,546.0,62.0,163.0,249.0,138.0,17.0,546.0,9.0,3.0,33.3,5.0,55.6,286.0,1592.0,926.0,13.0,10.0,1.0,12.0,5.0,353.0,44.0,3,0,0,14,5,2,19,10,11,0.0,0.0,0,36.0,6.0,15.0,28.6,1
2022-09-04,12:30 (03:30),Serie A,Matchweek 5,Sun,Home,D,0,0,Sassuolo,0,10,0,0.0,0.0,,20.6,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,7,0,7,100.0,1,0.9,0.9,0,0,0,0,3.0,12.0,25.0,34.0,6.0,26.5,32.0,9.0,33.3,38.3,15.0,0.0,0.0,2.0,28.5,327.0,427.0,76.6,6479.0,2725.0,111.0,134.0,82.8,171.0,197.0,86.8,42.0,75.0,56.0,0,0.3,0.7,7.0,30.0,11.0,4.0,30.0,427.0,388.0,36.0,7.0,1.0,1.0,19,17.0,2.0,1.0,1.0,0.0,327.0,3.0,12.0,20.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9,11.0,6.0,1.0,9.0,17.0,52.9,8.0,17.0,4.0,13.0,12,30,18.0,0.0,46,524.0,76.0,217.0,209.0,102.0,18.0,524.0,9.0,4.0,44.4,4.0,44.4,206.0,1036.0,569.0,9.0,7.0,2.0,10.0,9.0,321.0,30.0,1,0,0,16,6,3,19,12,9,0.0,0.0,0,47.0,8.0,8.0,50.0,1
2022-09-11,12:30 (03:30),Serie A,Matchweek 6,Sun,Away,D,1,1,Atalanta,1,7,4,57.1,0.14,0.25,18.2,0.0,0,0,0.6,0.6,0.08,0.4,0.4,6,1,5,83.3,0,0.8,-0.2,0,0,0,0,10.0,26.0,38.5,53.0,3.0,43.4,38.1,7.0,42.9,35.6,13.0,3.0,23.1,1.0,10.5,236.0,366.0,64.5,4420.0,1735.0,101.0,129.0,78.3,103.0,144.0,71.5,27.0,71.0,38.0,0,0.1,0.3,3.0,12.0,0.0,0.0,13.0,366.0,323.0,43.0,11.0,1.0,2.0,7,20.0,3.0,0.0,3.0,0.0,236.0,0.0,7.0,9.0,4.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,11,15.0,5.0,5.0,13.0,23.0,56.5,10.0,14.0,3.0,11.0,20,45,20.0,0.0,42,487.0,82.0,235.0,190.0,71.0,12.0,487.0,11.0,5.0,45.5,6.0,54.5,214.0,1104.0,577.0,6.0,6.0,0.0,15.0,7.0,230.0,12.0,5,0,0,17,8,0,7,20,11,0.0,0.0,0,61.0,16.0,27.0,37.2,1
2022-09-18,15:00 (06:00),Serie A,Matchweek 7,Sun,Home,L,0,4,Lazio,0,18,3,16.7,0.0,0.0,18.2,0.0,0,0,1.3,1.3,0.07,-1.3,-1.3,6,4,2,50.0,0,3.4,-0.6,1,1,0,0,4.0,9.0,44.4,33.0,2.0,21.2,26.0,10.0,20.0,30.6,6.0,0.0,0.0,1.0,13.5,330.0,426.0,77.5,6290.0,2370.0,132.0,156.0,84.6,144.0,166.0,86.7,43.0,79.0,54.4,0,0.9,1.0,12.0,28.0,11.0,4.0,30.0,426.0,365.0,58.0,9.0,3.0,3.0,24,26.0,8.0,1.0,7.0,0.0,330.0,3.0,7.0,30.0,20.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5,7.0,2.0,1.0,6.0,12.0,50.0,6.0,13.0,3.0,10.0,14,24,6.0,3.0,45,538.0,74.0,216.0,180.0,148.0,32.0,538.0,23.0,6.0,26.1,11.0,47.8,293.0,1437.0,716.0,21.0,11.0,8.0,20.0,5.0,330.0,30.0,1,0,0,12,8,3,24,14,5,0.0,1.0,0,57.0,10.0,8.0,55.6,1
2022-10-02,15:00 (06:00),Serie A,Matchweek 8,Sun,Away,D,1,1,Lecce,1,12,3,25.0,0.0,0.0,17.6,0.0,1,1,1.6,0.8,0.07,-0.6,-0.8,1,1,0,100.0,0,1.0,0.0,1,1,0,0,3.0,12.0,25.0,22.0,4.0,31.8,31.6,6.0,83.3,68.3,12.0,0.0,0.0,1.0,23.5,249.0,380.0,65.5,4318.0,1908.0,122.0,149.0,81.9,98.0,136.0,72.1,23.0,70.0,32.9,0,0.8,0.7,9.0,20.0,6.0,2.0,31.0,380.0,325.0,52.0,10.0,1.0,2.0,25,26.0,8.0,3.0,5.0,0.0,249.0,3.0,12.0,26.0,15.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,16,15.0,7.0,3.0,11.0,18.0,61.1,7.0,6.0,1.0,5.0,10,35,22.0,0.0,46,481.0,47.0,175.0,183.0,130.0,26.0,480.0,11.0,3.0,27.3,7.0,63.6,231.0,1227.0,594.0,16.0,12.0,6.0,12.0,5.0,244.0,30.0,1,0,0,15,11,3,25,10,16,1.0,1.0,0,66.0,8.0,13.0,38.1,1
2022-10-09,18:00 (09:00),Serie A,Matchweek 9,Sun,Home,L,1,4,Napoli,1,12,1,8.3,0.08,1.0,20.3,0.0,0,0,0.8,0.8,0.07,0.2,0.2,10,4,6,70.0,0,4.0,0.0,1,1,0,0,8.0,29.0,27.6,26.0,1.0,65.4,49.0,13.0,92.3,65.4,6.0,0.0,0.0,2.0,25.5,199.0,290.0,68.6,3795.0,1596.0,88.0,100.0,88.0,82.0,100.0,82.0,25.0,76.0,32.9,0,0.4,0.3,9.0,25.0,5.0,1.0,22.0,290.0,242.0,44.0,7.0,0.0,1.0,13,15.0,5.0,2.0,1.0,0.0,199.0,4.0,2.0,22.0,15.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,12,15.0,4.0,2.0,12.0,19.0,63.2,7.0,7.0,2.0,5.0,5,26,14.0,0.0,31,386.0,59.0,159.0,126.0,105.0,19.0,386.0,13.0,4.0,30.8,8.0,61.5,158.0,830.0,493.0,9.0,5.0,7.0,12.0,9.0,198.0,22.0,2,0,0,18,6,4,13,5,12,0.0,1.0,0,45.0,13.0,18.0,41.9,1
2022-10-16,15:00 (06:00),Serie A,Matchweek 10,Sun,Away,D,2,2,Spezia,2,24,4,16.7,0.08,0.5,18.1,1.0,0,0,2.1,2.1,0.1,-0.1,-0.1,6,2,4,66.7,0,1.4,-0.6,0,0,0,0,9.0,16.0,56.3,25.0,3.0,52.0,43.8,4.0,75.0,64.8,11.0,1.0,9.1,0.0,4.0,262.0,395.0,66.3,5094.0,2323.0,108.0,136.0,79.4,110.0,148.0,74.3,36.0,77.0,46.8,2,1.8,0.8,15.0,19.0,13.0,5.0,27.0,395.0,346.0,47.0,14.0,2.0,3.0,23,18.0,8.0,6.0,2.0,0.0,262.0,2.0,10.0,36.0,27.0,0.0,3.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,29.0,13,19.0,7.0,3.0,12.0,22.0,54.5,10.0,12.0,6.0,6.0,15,44,27.0,0.0,46,560.0,62.0,231.0,210.0,131.0,27.0,560.0,11.0,8.0,72.7,2.0,18.2,290.0,1614.0,798.0,18.0,12.0,4.0,21.0,11.0,260.0,27.0,0,0,0,11,12,2,23,15,13,0.0,0.0,0,65.0,23.0,15.0,60.5,1
