Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-13,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,W,2,1,Lecce,2,19,9,47.4,0.11,0.22,17.6,0.0,0,0,2.1,2.1,0.11,-0.1,-0.1,4,1,3,75.0,0,1.3,0.3,0,0,0,0,5.0,7.0,71.4,29.0,5.0,24.1,27.4,6.0,0.0,23.7,9.0,1.0,11.1,0.0,8.0,555.0,665.0,83.5,9686.0,3084.0,232.0,257.0,90.3,258.0,292.0,88.4,43.0,73.0,58.9,2,1.8,2.0,13.0,43.0,12.0,4.0,59.0,665.0,601.0,61.0,23.0,1.0,2.0,32,22.0,8.0,2.0,6.0,0.0,555.0,3.0,8.0,30.0,22.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,6,2.0,8.0,1.0,3.0,8.0,37.5,5.0,7.0,2.0,5.0,8,19,9.0,0.0,70,752.0,42.0,168.0,390.0,199.0,39.0,752.0,14.0,8.0,57.1,5.0,35.7,382.0,2375.0,1305.0,20.0,15.0,4.0,16.0,4.0,548.0,59.0,2,0,0,19,19,3,32,8,6,0.0,0.0,0.0,47.0,14.0,14.0,50.0,1.0
2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Home,W,3,0,Spezia,3,19,8,42.1,0.16,0.38,14.6,0.0,0,0,2.1,2.1,0.11,0.9,0.9,0,0,0,,1,0.0,0.0,0,0,0,0,0.0,1.0,0.0,33.0,4.0,3.0,25.3,7.0,0.0,24.0,8.0,1.0,12.5,0.0,9.0,472.0,551.0,85.7,9603.0,2968.0,159.0,172.0,92.4,236.0,256.0,92.2,68.0,96.0,70.8,2,1.4,1.9,11.0,34.0,13.0,1.0,45.0,551.0,502.0,44.0,8.0,3.0,8.0,21,18.0,10.0,1.0,7.0,0.0,472.0,5.0,6.0,32.0,22.0,4.0,2.0,3.0,1.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,17.0,11,6.0,9.0,2.0,6.0,8.0,75.0,2.0,12.0,1.0,11.0,8,25,8.0,0.0,54,655.0,52.0,213.0,299.0,147.0,35.0,655.0,16.0,7.0,43.8,7.0,43.8,350.0,1980.0,1205.0,15.0,7.0,5.0,17.0,7.0,469.0,45.0,0,0,0,11,7,5,21,8,11,0.0,0.0,0.0,57.0,5.0,6.0,45.5,1.0
2022-08-26,20:45 (11:45),Serie A,Matchweek 3,Fri,Away,L,1,3,Lazio,1,19,7,36.8,0.05,0.14,16.3,0.0,0,0,1.5,1.5,0.08,-0.5,-0.5,7,3,4,57.1,0,2.0,-1.0,0,0,0,0,2.0,4.0,50.0,30.0,4.0,13.3,20.7,5.0,0.0,20.0,10.0,0.0,0.0,1.0,13.0,507.0,579.0,87.6,8936.0,2694.0,223.0,239.0,93.3,237.0,256.0,92.6,39.0,60.0,65.0,1,1.3,1.5,17.0,36.0,11.0,5.0,47.0,579.0,548.0,31.0,5.0,0.0,4.0,23,13.0,4.0,4.0,0.0,0.0,507.0,0.0,12.0,32.0,22.0,4.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,7,5.0,7.0,3.0,7.0,15.0,46.7,8.0,6.0,1.0,5.0,6,21,9.0,0.0,52,674.0,53.0,213.0,307.0,160.0,27.0,674.0,13.0,5.0,38.5,6.0,46.2,452.0,2079.0,1105.0,14.0,13.0,2.0,11.0,11.0,502.0,46.0,1,0,0,12,5,0,23,6,7,0.0,0.0,0.0,52.0,13.0,8.0,61.9,1.0
2022-08-30,20:45 (11:45),Serie A,Matchweek 4,Tue,Home,W,3,1,Cremonese,3,18,7,38.9,0.17,0.43,15.4,1.0,0,0,2.2,2.2,0.14,0.8,0.8,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,8.0,10.0,80.0,47.0,8.0,17.0,29.9,10.0,30.0,23.9,14.0,0.0,0.0,0.0,13.0,433.0,510.0,84.9,8377.0,3322.0,190.0,212.0,89.6,160.0,179.0,89.4,69.0,94.0,73.4,2,1.4,1.3,15.0,23.0,9.0,2.0,37.0,510.0,455.0,53.0,15.0,1.0,7.0,18,20.0,6.0,1.0,5.0,0.0,433.0,2.0,7.0,34.0,23.0,5.0,0.0,5.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,10.0,8,4.0,6.0,0.0,5.0,8.0,62.5,3.0,10.0,3.0,7.0,12,22,26.0,1.0,53,626.0,90.0,242.0,242.0,146.0,25.0,626.0,18.0,4.0,22.2,11.0,61.1,361.0,1783.0,880.0,14.0,14.0,3.0,12.0,5.0,430.0,37.0,0,0,0,6,14,2,18,12,8,0.0,0.0,0.0,42.0,15.0,6.0,71.4,1.0
2022-09-03,18:00 (09:00),Serie A,Matchweek 5,Sat,Away,L,2,3,Milan,2,16,5,31.3,0.13,0.4,20.3,1.0,0,0,1.8,1.8,0.11,0.2,0.2,5,3,2,40.0,0,2.7,-0.3,0,0,0,0,4.0,10.0,40.0,33.0,5.0,30.3,30.5,12.0,0.0,24.0,9.0,0.0,0.0,2.0,31.0,361.0,454.0,79.5,6324.0,2662.0,151.0,171.0,88.3,172.0,196.0,87.8,28.0,60.0,46.7,2,1.6,0.8,13.0,18.0,8.0,2.0,28.0,454.0,396.0,56.0,11.0,2.0,0.0,15,24.0,5.0,0.0,5.0,0.0,361.0,2.0,8.0,29.0,21.0,3.0,0.0,3.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,7,4.0,3.0,1.0,6.0,15.0,40.0,9.0,7.0,4.0,3.0,8,16,3.0,1.0,53,526.0,62.0,202.0,226.0,104.0,17.0,526.0,15.0,7.0,46.7,5.0,33.3,346.0,1481.0,804.0,14.0,9.0,2.0,18.0,6.0,357.0,28.0,2,0,0,12,10,2,15,8,7,0.0,0.0,0.0,41.0,7.0,17.0,29.2,1.0
2022-09-07,21:00 (12:00),Champions Lg,Group stage,Wed,Home,L,0,2,de Bayern Munich,0,9,2,22.2,0.0,0.0,13.5,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7,11,2,10,81.8,0,3.5,2.5,0,0,0,0,4.0,18.0,22.2,36.0,10.0,38.9,38.7,7.0,57.1,48.7,9.0,3.0,33.3,0.0,8.0,428.0,522.0,82.0,7916.0,2733.0,187.0,210.0,89.0,194.0,216.0,89.8,43.0,73.0,58.9,0,0.4,0.6,4.0,24.0,5.0,1.0,41.0,522.0,476.0,42.0,12.0,0.0,5.0,15,15.0,5.0,2.0,3.0,0.0,428.0,4.0,13.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13,13.0,2.0,2.0,4.0,12.0,33.3,8.0,13.0,6.0,7.0,15,32,11.0,0.0,44,630.0,90.0,253.0,261.0,122.0,26.0,630.0,12.0,4.0,33.3,5.0,41.7,325.0,1280.0,561.0,14.0,8.0,7.0,18.0,14.0,425.0,41.0,1,0,0,9,11,4,15,15,13,0.0,0.0,1.0,44.0,13.0,10.0,56.5,2.0
2022-09-10,18:00 (09:00),Serie A,Matchweek 6,Sat,Home,W,1,0,Torino,1,16,3,18.8,0.06,0.33,19.5,1.0,0,0,1.5,1.5,0.1,-0.5,-0.5,7,0,7,100.0,1,1.6,1.6,0,0,0,0,6.0,14.0,42.9,39.0,5.0,35.9,30.3,5.0,0.0,14.4,13.0,0.0,0.0,0.0,3.0,440.0,540.0,81.5,7579.0,2349.0,189.0,208.0,90.9,210.0,237.0,88.6,32.0,71.0,45.1,1,1.4,1.0,13.0,27.0,9.0,2.0,36.0,540.0,494.0,45.0,17.0,3.0,3.0,25,16.0,6.0,2.0,4.0,0.0,440.0,1.0,6.0,23.0,17.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,7,5.0,8.0,4.0,7.0,18.0,38.9,11.0,11.0,2.0,9.0,9,26,14.0,1.0,57,652.0,77.0,244.0,260.0,154.0,22.0,652.0,13.0,6.0,46.2,7.0,53.8,405.0,1998.0,1061.0,21.0,18.0,4.0,19.0,6.0,432.0,36.0,1,0,0,8,16,1,25,9,7,0.0,0.0,0.0,48.0,13.0,10.0,56.5,1.0
2022-09-13,18:45 (09:45),Champions Lg,Group stage,Tue,Away,W,2,0,cz Viktoria Plzeň,2,19,8,42.1,0.11,0.25,15.1,1.0,0,0,1.9,1.9,0.1,0.1,0.1,1,0,1,100.0,1,0.4,0.4,0,0,0,0,2.0,8.0,25.0,28.0,1.0,25.0,29.2,4.0,25.0,40.5,12.0,0.0,0.0,1.0,23.5,653.0,730.0,89.5,12798.0,3853.0,216.0,228.0,94.7,361.0,382.0,94.5,74.0,102.0,72.5,2,1.5,1.3,14.0,67.0,10.0,1.0,65.0,730.0,691.0,37.0,9.0,1.0,3.0,23,17.0,6.0,1.0,5.0,0.0,653.0,2.0,12.0,34.0,24.0,3.0,1.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,7,6.0,5.0,3.0,5.0,10.0,50.0,5.0,7.0,5.0,2.0,5,19,17.0,0.0,71,825.0,49.0,157.0,444.0,230.0,33.0,825.0,10.0,4.0,40.0,6.0,60.0,530.0,2375.0,1287.0,20.0,27.0,3.0,14.0,6.0,649.0,64.0,2,0,0,9,10,2,23,5,7,0.0,0.0,0.0,43.0,15.0,10.0,60.0,2.0
2022-09-18,12:30 (03:30),Serie A,Matchweek 7,Sun,Away,L,1,3,Udinese,1,16,4,25.0,0.06,0.25,18.8,2.0,0,0,1.1,1.1,0.07,-0.1,-0.1,6,3,4,50.0,0,1.6,-0.4,0,0,0,0,2.0,6.0,33.3,26.0,5.0,23.1,26.5,7.0,0.0,15.6,10.0,0.0,0.0,2.0,14.8,364.0,471.0,77.3,6557.0,2213.0,162.0,193.0,83.9,158.0,191.0,82.7,38.0,68.0,55.9,0,0.8,0.7,10.0,24.0,10.0,6.0,41.0,471.0,425.0,44.0,10.0,0.0,3.0,24,19.0,4.0,1.0,2.0,0.0,364.0,2.0,3.0,25.0,19.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,8,9.0,6.0,1.0,7.0,14.0,50.0,7.0,17.0,9.0,8.0,6,22,16.0,1.0,56,588.0,72.0,197.0,285.0,113.0,24.0,588.0,21.0,6.0,28.6,12.0,57.1,312.0,1594.0,827.0,12.0,6.0,4.0,9.0,9.0,355.0,41.0,4,0,0,13,10,2,24,6,8,0.0,0.0,1.0,55.0,15.0,10.0,60.0,1.0
2022-10-01,18:00 (09:00),Serie A,Matchweek 8,Sat,Home,L,1,2,Roma,1,15,2,13.3,0.07,0.5,21.5,2.0,0,0,1.0,1.0,0.07,0.0,0.0,3,2,1,33.3,0,0.6,-1.4,0,0,0,0,0.0,0.0,,29.0,10.0,0.0,14.0,6.0,0.0,18.0,6.0,0.0,0.0,0.0,,501.0,592.0,84.6,8710.0,2867.0,222.0,249.0,89.2,228.0,251.0,90.8,39.0,67.0,58.2,1,0.9,0.8,13.0,36.0,8.0,3.0,44.0,592.0,544.0,47.0,12.0,0.0,6.0,20,21.0,5.0,1.0,4.0,0.0,501.0,1.0,8.0,30.0,22.0,4.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,8,4.0,7.0,0.0,5.0,7.0,71.4,2.0,5.0,1.0,4.0,6,17,7.0,0.0,58,663.0,45.0,171.0,344.0,156.0,16.0,663.0,14.0,2.0,14.3,7.0,50.0,423.0,2189.0,1168.0,15.0,17.0,1.0,9.0,6.0,494.0,44.0,4,0,0,15,14,1,20,6,8,0.0,0.0,0.0,37.0,12.0,7.0,63.2,1.0
