Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,1,0,Salernitana,1,20,4,20.0,0.05,0.25,14.7,2.0,0,0,2.4,2.4,0.13,-1.4,-1.4,2,0,2,100.0,1,0.1,0.1,0,0,0,0,2.0,8.0,25.0,20.0,4.0,25.0,29.6,8.0,37.5,42.0,9.0,1.0,11.1,0.0,7.0,370.0,453.0,81.7,6725.0,2339.0,143.0,158.0,90.5,173.0,197.0,87.8,43.0,73.0,58.9,0,1.4,1.1,13.0,20.0,11.0,0.0,29.0,453.0,403.0,47.0,17.0,3.0,4.0,9,19.0,2.0,0.0,2.0,0.0,370.0,3.0,6.0,30.0,21.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,6,7.0,8.0,2.0,10.0,16.0,62.5,6.0,14.0,6.0,8.0,9,26,9.0,0.0,49,562.0,59.0,198.0,253.0,120.0,34.0,562.0,17.0,8.0,47.1,6.0,35.3,277.0,2095.0,1323.0,28.0,18.0,8.0,15.0,10.0,367.0,29.0,2,0,0,9,18,3,9,9,6,0.0,0.0,0,53.0,11.0,7.0,61.1,1
2022-08-22,18:30 (09:30),Serie A,Matchweek 2,Mon,Home,W,1,0,Cremonese,1,27,11,40.7,0.04,0.09,16.4,0.0,0,0,2.7,2.7,0.11,-1.7,-1.7,3,0,3,100.0,1,0.2,0.2,0,0,0,0,8.0,15.0,53.3,20.0,3.0,45.0,37.5,14.0,42.9,42.1,22.0,2.0,9.1,1.0,12.3,328.0,425.0,77.2,6436.0,2785.0,141.0,165.0,85.5,120.0,146.0,82.2,60.0,88.0,68.2,1,2.1,1.4,20.0,28.0,11.0,1.0,44.0,425.0,371.0,53.0,15.0,0.0,6.0,14,18.0,5.0,1.0,4.0,0.0,328.0,1.0,9.0,47.0,30.0,7.0,3.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,16.0,10,7.0,8.0,1.0,4.0,8.0,50.0,4.0,8.0,2.0,6.0,6,22,20.0,0.0,49,552.0,64.0,194.0,209.0,159.0,34.0,552.0,31.0,17.0,54.8,12.0,38.7,299.0,1868.0,1043.0,31.0,20.0,9.0,12.0,7.0,323.0,44.0,0,0,0,7,13,1,14,6,10,0.0,0.0,0,60.0,20.0,6.0,76.9,1
2022-08-27,18:30 (09:30),Serie A,Matchweek 3,Sat,Away,D,1,1,Juventus,1,8,4,50.0,0.13,0.25,14.9,0.0,0,0,1.3,1.3,0.16,-0.3,-0.3,3,1,2,66.7,0,0.5,-0.5,0,0,0,0,2.0,6.0,33.3,14.0,3.0,21.4,26.1,9.0,33.3,32.8,19.0,0.0,0.0,0.0,1.0,342.0,425.0,80.5,6149.0,1833.0,146.0,159.0,91.8,160.0,194.0,82.5,31.0,58.0,53.4,1,1.0,0.4,5.0,24.0,2.0,0.0,24.0,425.0,372.0,52.0,16.0,1.0,3.0,9,20.0,5.0,3.0,2.0,0.0,342.0,1.0,4.0,13.0,8.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,6,4.0,6.0,2.0,9.0,16.0,56.3,7.0,9.0,3.0,6.0,16,28,33.0,0.0,43,541.0,77.0,209.0,233.0,106.0,10.0,541.0,20.0,5.0,25.0,14.0,70.0,270.0,1696.0,902.0,15.0,11.0,3.0,11.0,4.0,340.0,24.0,2,0,0,7,13,1,9,16,6,0.0,0.0,0,44.0,13.0,15.0,46.4,1
2022-08-30,20:45 (11:45),Serie A,Matchweek 4,Tue,Home,W,3,0,Monza,3,15,8,53.3,0.2,0.38,14.5,0.0,0,0,1.8,1.8,0.13,1.2,1.2,1,0,1,100.0,1,0.0,0.0,0,0,0,0,7.0,9.0,77.8,17.0,3.0,41.2,34.4,14.0,14.3,24.4,17.0,0.0,0.0,0.0,9.5,349.0,419.0,83.3,6434.0,2502.0,145.0,160.0,90.6,138.0,159.0,86.8,49.0,65.0,75.4,2,1.1,0.6,13.0,14.0,7.0,0.0,22.0,419.0,373.0,44.0,8.0,1.0,5.0,8,16.0,5.0,4.0,1.0,0.0,349.0,2.0,9.0,28.0,21.0,3.0,1.0,3.0,0.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,19.0,6,15.0,1.0,3.0,10.0,18.0,55.6,8.0,9.0,4.0,5.0,9,28,12.0,0.0,40,508.0,68.0,197.0,224.0,94.0,27.0,508.0,12.0,8.0,66.7,4.0,33.3,313.0,1835.0,1003.0,24.0,15.0,6.0,10.0,7.0,348.0,22.0,0,0,0,10,7,2,8,9,6,0.0,0.0,0,40.0,7.0,6.0,53.8,1
2022-09-04,20:45 (11:45),Serie A,Matchweek 5,Sun,Away,L,0,4,Udinese,0,12,2,16.7,0.0,0.0,13.4,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,5,4,1,20.0,0,1.7,-2.3,0,0,0,0,2.0,2.0,100.0,7.0,2.0,28.6,32.4,7.0,0.0,20.7,9.0,0.0,0.0,2.0,21.3,475.0,556.0,85.4,8650.0,2715.0,205.0,228.0,89.9,196.0,221.0,88.7,62.0,78.0,79.5,0,0.5,0.9,8.0,34.0,7.0,0.0,43.0,556.0,498.0,56.0,16.0,3.0,3.0,16,21.0,7.0,2.0,5.0,0.0,475.0,2.0,10.0,20.0,11.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3,6.0,2.0,0.0,6.0,14.0,42.9,8.0,6.0,1.0,5.0,7,15,9.0,2.0,57,644.0,36.0,126.0,384.0,140.0,22.0,644.0,21.0,8.0,38.1,12.0,57.1,387.0,2310.0,1264.0,22.0,17.0,1.0,15.0,6.0,474.0,43.0,2,0,0,13,16,2,16,7,3,0.0,0.0,0,41.0,5.0,8.0,38.5,1
2022-09-08,19:45 (09:45),Europa Lg,Group stage,Thu,Away,L,1,2,bg Ludogorets,1,19,5,26.3,0.05,0.2,15.1,1.0,0,0,1.3,1.3,0.08,-0.3,-0.3,3,2,1,33.3,0,1.7,-0.3,0,0,0,0,6.0,10.0,60.0,21.0,7.0,28.6,29.7,8.0,50.0,39.6,7.0,0.0,0.0,2.0,13.8,451.0,542.0,83.2,8232.0,2932.0,212.0,237.0,89.5,174.0,197.0,88.3,56.0,84.0,66.7,1,1.2,1.0,15.0,35.0,13.0,5.0,49.0,542.0,476.0,64.0,18.0,0.0,4.0,18,26.0,9.0,6.0,2.0,0.0,451.0,2.0,7.0,32.0,19.0,6.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,10,12.0,7.0,3.0,10.0,14.0,71.4,4.0,8.0,2.0,6.0,8,30,15.0,0.0,56,664.0,54.0,184.0,300.0,182.0,33.0,664.0,18.0,6.0,33.3,11.0,61.1,382.0,1894.0,1040.0,14.0,6.0,3.0,19.0,6.0,447.0,49.0,0,0,0,7,18,2,18,8,10,0.0,0.0,0,41.0,12.0,8.0,60.0,2
2022-09-12,20:45 (11:45),Serie A,Matchweek 6,Mon,Away,W,2,1,Empoli,2,12,6,50.0,0.17,0.33,14.2,0.0,0,1,3.0,2.2,0.19,-1.0,-0.2,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,1.0,6.0,16.7,13.0,4.0,30.8,32.5,9.0,22.2,26.1,25.0,0.0,0.0,0.0,,320.0,420.0,76.2,5487.0,1967.0,149.0,173.0,86.1,125.0,153.0,81.7,31.0,66.0,47.0,1,1.3,1.5,8.0,18.0,7.0,1.0,23.0,420.0,357.0,63.0,12.0,0.0,14.0,15,33.0,7.0,2.0,3.0,0.0,320.0,0.0,6.0,23.0,16.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,16,9.0,16.0,2.0,4.0,10.0,40.0,6.0,19.0,9.0,10.0,6,33,25.0,0.0,48,560.0,68.0,209.0,227.0,131.0,28.0,559.0,17.0,6.0,35.3,10.0,58.8,267.0,1509.0,831.0,18.0,11.0,7.0,25.0,13.0,311.0,23.0,1,0,0,12,12,0,15,6,16,1.0,0.0,0,52.0,11.0,11.0,50.0,1
2022-09-15,21:00 (12:00),Europa Lg,Group stage,Thu,Home,W,3,0,fi HJK,3,29,10,34.5,0.1,0.3,18.5,3.0,0,0,2.8,2.8,0.1,0.2,0.2,0,0,0,,1,0.0,0.0,0,0,0,0,2.0,3.0,66.7,8.0,2.0,25.0,30.5,4.0,25.0,27.0,5.0,0.0,0.0,0.0,1.0,577.0,655.0,88.1,9452.0,2851.0,295.0,319.0,92.5,221.0,241.0,91.7,46.0,62.0,74.2,2,2.3,3.0,23.0,53.0,23.0,2.0,72.0,655.0,611.0,44.0,7.0,1.0,4.0,18,25.0,7.0,0.0,6.0,0.0,577.0,0.0,11.0,56.0,49.0,2.0,1.0,1.0,3.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,12.0,9,3.0,3.0,6.0,5.0,9.0,55.6,4.0,5.0,1.0,4.0,9,21,6.0,0.0,68,760.0,21.0,104.0,331.0,330.0,51.0,760.0,18.0,8.0,44.4,7.0,38.9,593.0,3291.0,1839.0,30.0,41.0,6.0,21.0,5.0,572.0,72.0,2,0,0,19,9,0,18,9,9,0.0,0.0,0,53.0,10.0,6.0,62.5,2
2022-09-18,18:00 (09:00),Serie A,Matchweek 7,Sun,Home,L,0,1,Atalanta,0,21,5,23.8,0.0,0.0,17.7,0.0,0,0,2.4,2.4,0.12,-2.4,-2.4,1,1,0,0.0,0,0.4,-0.6,0,0,0,0,0.0,2.0,0.0,22.0,4.0,9.1,21.4,8.0,0.0,19.9,5.0,0.0,0.0,1.0,18.0,439.0,535.0,82.1,8162.0,2958.0,165.0,185.0,89.2,206.0,230.0,89.6,59.0,94.0,62.8,0,2.3,2.1,18.0,34.0,11.0,2.0,43.0,535.0,472.0,62.0,19.0,6.0,6.0,21,28.0,5.0,2.0,2.0,0.0,439.0,1.0,9.0,40.0,30.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7,9.0,3.0,1.0,10.0,14.0,71.4,4.0,11.0,2.0,9.0,18,31,11.0,0.0,56,655.0,54.0,242.0,298.0,124.0,24.0,655.0,30.0,16.0,53.3,10.0,33.3,432.0,2433.0,1437.0,19.0,15.0,3.0,18.0,13.0,432.0,41.0,0,0,0,9,19,1,21,18,7,0.0,0.0,0,67.0,17.0,10.0,63.0,1
2022-10-01,18:00 (09:00),Serie A,Matchweek 8,Sat,Away,W,2,1,Inter,2,10,3,30.0,0.2,0.67,19.8,1.0,0,0,1.0,1.0,0.1,1.0,1.0,2,1,1,50.0,0,0.4,-0.6,0,0,0,0,5.0,12.0,41.7,16.0,3.0,50.0,38.8,9.0,44.4,37.3,15.0,2.0,13.3,0.0,3.7,360.0,431.0,83.5,6359.0,2254.0,168.0,182.0,92.3,150.0,174.0,86.2,36.0,61.0,59.0,2,1.0,0.5,9.0,19.0,5.0,2.0,25.0,431.0,386.0,45.0,15.0,0.0,4.0,7,18.0,1.0,0.0,1.0,0.0,360.0,0.0,4.0,19.0,16.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,13.0,6,5.0,7.0,1.0,7.0,9.0,77.8,2.0,10.0,4.0,6.0,11,24,24.0,1.0,42,526.0,55.0,194.0,257.0,83.0,10.0,526.0,8.0,2.0,25.0,5.0,62.5,331.0,1917.0,934.0,17.0,23.0,2.0,13.0,6.0,355.0,24.0,3,0,0,14,13,0,7,11,6,0.0,0.0,0,35.0,7.0,12.0,36.8,1
