Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2022-08-14,20:45 (11:45),Serie A,Matchweek 1,Sun,Home,W,1,0,Empoli,1,9,2,22.2,0.11,0.5,20.1,0.0,0,0,0.5,0.5,0.05,0.5,0.5,5,0,5,100.0,1,0.3,0.3,0,0,0,0,7.0,15.0,46.7,24.0,3.0,45.8,36.5,8.0,50.0,38.9,18.0,1.0,5.6,1.0,9.7,292.0,400.0,73.0,5413.0,2087.0,131.0,156.0,84.0,109.0,137.0,79.6,45.0,84.0,53.6,1,0.4,0.5,6.0,19.0,6.0,2.0,28.0,400.0,356.0,41.0,8.0,2.0,2.0,21,18.0,6.0,2.0,4.0,0.0,292.0,3.0,7.0,15.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,10,5.0,12.0,6.0,9.0,20.0,45.0,11.0,16.0,5.0,11.0,17,40,32.0,0.0,41,541.0,72.0,223.0,209.0,116.0,11.0,541.0,14.0,5.0,35.7,8.0,57.1,315.0,1531.0,749.0,11.0,20.0,1.0,21.0,6.0,291.0,28.0,2,0,0,15,8,3,21,17,10,0.0,0.0,0,65.0,3.0,9.0,25.0,1
2022-08-20,20:45 (11:45),Serie A,Matchweek 2,Sat,Away,L,0,3,Inter,0,2,0,0.0,0.0,,7.7,0.0,0,0,0.5,0.5,0.25,-0.5,-0.5,8,3,5,62.5,0,2.7,-0.3,0,0,0,0,3.0,7.0,42.9,30.0,7.0,16.7,28.5,10.0,20.0,26.4,18.0,3.0,16.7,0.0,9.8,388.0,466.0,83.3,6453.0,2264.0,194.0,211.0,91.9,162.0,182.0,89.0,26.0,50.0,52.0,0,0.1,0.3,1.0,16.0,7.0,2.0,26.0,466.0,404.0,61.0,16.0,0.0,3.0,11,27.0,4.0,1.0,2.0,0.0,388.0,1.0,13.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8,9.0,3.0,2.0,7.0,14.0,50.0,7.0,8.0,3.0,5.0,7,21,17.0,0.0,46,564.0,79.0,222.0,239.0,108.0,13.0,564.0,10.0,2.0,20.0,6.0,60.0,374.0,1980.0,941.0,15.0,13.0,0.0,15.0,11.0,386.0,26.0,0,0,0,7,9,1,11,7,8,0.0,0.0,0,34.0,6.0,5.0,54.5,1
2022-08-27,20:45 (11:45),Serie A,Matchweek 3,Sat,Home,D,2,2,Sassuolo,2,6,1,16.7,0.17,1.0,17.7,0.0,1,1,1.2,0.4,0.07,0.8,0.6,8,2,6,75.0,0,2.2,0.2,0,0,0,0,5.0,23.0,21.7,40.0,8.0,37.5,31.1,13.0,61.5,46.2,18.0,0.0,0.0,3.0,18.0,330.0,440.0,75.0,5321.0,1954.0,173.0,196.0,88.3,119.0,146.0,81.5,26.0,69.0,37.7,0,0.3,0.6,5.0,14.0,6.0,3.0,18.0,440.0,389.0,48.0,10.0,1.0,4.0,10,20.0,2.0,2.0,0.0,0.0,330.0,3.0,9.0,13.0,12.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,14.0,8,5.0,9.0,0.0,8.0,17.0,47.1,9.0,7.0,4.0,3.0,5,19,26.0,2.0,43,544.0,93.0,250.0,215.0,84.0,12.0,543.0,11.0,6.0,54.5,5.0,45.5,308.0,1456.0,698.0,8.0,6.0,0.0,12.0,10.0,328.0,17.0,2,1,1,17,9,3,10,5,8,1.0,0.0,0,57.0,6.0,15.0,28.6,1
2022-08-31,20:45 (11:45),Serie A,Matchweek 4,Wed,Away,L,0,2,Juventus,0,9,0,0.0,0.0,,28.8,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2,3,2,1,33.3,0,0.8,-1.2,0,0,0,0,4.0,12.0,33.3,17.0,1.0,52.9,38.1,9.0,33.3,34.1,10.0,0.0,0.0,2.0,31.5,395.0,499.0,79.2,6907.0,2499.0,193.0,220.0,87.7,155.0,186.0,83.3,39.0,69.0,56.5,0,0.2,0.2,7.0,37.0,6.0,2.0,35.0,499.0,439.0,58.0,12.0,1.0,3.0,18,31.0,3.0,3.0,0.0,0.0,395.0,2.0,6.0,16.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12,7.0,11.0,3.0,5.0,13.0,38.5,8.0,12.0,5.0,7.0,6,27,13.0,0.0,50,613.0,51.0,175.0,335.0,108.0,16.0,613.0,23.0,8.0,34.8,13.0,56.5,305.0,1523.0,709.0,16.0,11.0,3.0,22.0,9.0,395.0,35.0,2,0,0,10,10,2,18,6,12,0.0,0.0,0,55.0,16.0,10.0,61.5,1
2022-09-04,15:00 (06:00),Serie A,Matchweek 5,Sun,Home,D,2,2,Bologna,1,15,5,33.3,0.07,0.2,18.5,0.0,0,0,0.9,0.9,0.06,0.1,0.1,6,2,4,66.7,0,1.1,-0.9,0,0,0,0,6.0,14.0,42.9,20.0,8.0,20.0,24.5,12.0,83.3,57.6,8.0,1.0,12.5,2.0,16.2,304.0,408.0,74.5,5334.0,2305.0,161.0,179.0,89.9,103.0,128.0,80.5,36.0,75.0,48.0,0,0.7,0.5,10.0,27.0,11.0,2.0,41.0,408.0,351.0,57.0,10.0,0.0,5.0,24,25.0,7.0,3.0,2.0,0.0,304.0,0.0,14.0,25.0,20.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,5,4.0,4.0,3.0,7.0,16.0,43.8,9.0,16.0,0.0,16.0,10,21,17.0,0.0,45,523.0,49.0,136.0,208.0,184.0,30.0,523.0,14.0,3.0,21.4,10.0,71.4,267.0,1447.0,806.0,15.0,17.0,3.0,15.0,11.0,303.0,41.0,4,0,0,12,4,0,24,10,5,0.0,0.0,0,53.0,12.0,7.0,63.2,1
2022-09-10,15:00 (06:00),Serie A,Matchweek 6,Sat,Away,L,0,1,Napoli,0,10,1,10.0,0.0,0.0,17.6,1.0,0,0,0.5,0.5,0.05,-0.5,-0.5,6,1,5,83.3,0,1.0,0.0,0,0,0,0,10.0,27.0,37.0,32.0,6.0,65.6,43.6,14.0,50.0,40.2,17.0,0.0,0.0,0.0,,247.0,330.0,74.8,4587.0,1824.0,109.0,125.0,87.2,102.0,119.0,85.7,31.0,70.0,44.3,0,0.4,0.2,7.0,13.0,2.0,1.0,13.0,330.0,285.0,44.0,10.0,0.0,2.0,10,13.0,5.0,2.0,2.0,0.0,247.0,1.0,10.0,13.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10,9.0,6.0,0.0,10.0,18.0,55.6,8.0,17.0,14.0,3.0,5,20,21.0,0.0,37,440.0,98.0,210.0,158.0,76.0,15.0,440.0,14.0,7.0,50.0,6.0,42.9,207.0,1235.0,661.0,17.0,11.0,6.0,11.0,7.0,245.0,13.0,2,0,0,14,6,1,10,5,10,0.0,0.0,0,40.0,10.0,10.0,50.0,1
2022-09-17,18:00 (09:00),Serie A,Matchweek 7,Sat,Home,W,2,1,Sampdoria,1,6,3,50.0,0.17,0.33,14.0,0.0,0,0,0.7,0.7,0.11,0.3,0.3,8,1,7,87.5,0,1.0,0.0,0,0,0,0,6.0,15.0,40.0,27.0,5.0,51.9,40.5,4.0,25.0,26.8,11.0,0.0,0.0,0.0,14.7,312.0,435.0,71.7,6174.0,2279.0,113.0,144.0,78.5,152.0,183.0,83.1,39.0,80.0,48.8,1,0.7,0.8,6.0,23.0,8.0,3.0,29.0,435.0,377.0,54.0,15.0,0.0,9.0,22,30.0,3.0,0.0,2.0,0.0,312.0,4.0,7.0,12.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,19,14.0,12.0,6.0,12.0,18.0,66.7,6.0,14.0,1.0,13.0,6,38,26.0,0.0,52,563.0,67.0,218.0,216.0,136.0,19.0,563.0,12.0,5.0,41.7,6.0,50.0,274.0,1693.0,792.0,14.0,8.0,5.0,14.0,9.0,311.0,29.0,4,0,0,17,14,4,22,6,19,0.0,0.0,0,48.0,25.0,18.0,58.1,1
2022-10-02,12:30 (03:30),Serie A,Matchweek 8,Sun,Away,L,0,4,Lazio,0,14,1,7.1,0.0,0.0,18.4,0.0,0,0,1.1,1.1,0.08,-1.1,-1.1,6,4,2,33.3,0,2.8,-1.2,1,0,0,1,5.0,8.0,62.5,34.0,6.0,17.6,24.1,7.0,28.6,19.7,9.0,0.0,0.0,2.0,12.6,312.0,402.0,77.6,5382.0,1894.0,143.0,161.0,88.8,142.0,167.0,85.0,22.0,49.0,44.9,0,0.7,0.3,9.0,13.0,4.0,0.0,20.0,402.0,354.0,42.0,5.0,2.0,3.0,13,19.0,6.0,2.0,3.0,0.0,312.0,6.0,11.0,25.0,15.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5,3.0,5.0,3.0,2.0,16.0,12.5,14.0,8.0,2.0,6.0,5,16,13.0,0.0,39,487.0,68.0,201.0,204.0,89.0,11.0,487.0,16.0,8.0,50.0,6.0,37.5,297.0,1541.0,686.0,12.0,9.0,1.0,10.0,9.0,310.0,20.0,2,0,0,14,3,6,13,5,5,0.0,1.0,0,50.0,12.0,10.0,54.5,1
2022-10-09,15:00 (06:00),Serie A,Matchweek 9,Sun,Away,L,0,2,Monza,0,10,1,10.0,0.0,0.0,16.3,1.0,0,0,0.5,0.5,0.05,-0.5,-0.5,4,2,2,50.0,0,1.0,-1.0,0,0,0,0,0.0,1.0,0.0,28.0,6.0,3.6,25.0,4.0,0.0,28.0,8.0,0.0,0.0,2.0,24.3,389.0,493.0,78.9,7053.0,2605.0,172.0,193.0,89.1,159.0,192.0,82.8,53.0,86.0,61.6,0,0.4,0.8,9.0,33.0,10.0,2.0,46.0,493.0,437.0,52.0,12.0,0.0,4.0,17,27.0,6.0,5.0,1.0,0.0,389.0,4.0,7.0,18.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12,10.0,4.0,2.0,4.0,11.0,36.4,7.0,8.0,1.0,7.0,13,29,8.0,0.0,53,580.0,54.0,190.0,269.0,127.0,20.0,580.0,13.0,8.0,61.5,3.0,23.1,339.0,2114.0,1169.0,27.0,11.0,5.0,12.0,16.0,385.0,46.0,2,0,0,20,10,4,17,13,12,0.0,0.0,0,65.0,15.0,15.0,50.0,1
2022-10-16,15:00 (06:00),Serie A,Matchweek 10,Sun,Home,D,2,2,Cremonese,2,15,6,40.0,0.13,0.33,19.6,0.0,0,0,1.5,1.5,0.11,0.5,0.5,4,2,2,50.0,0,2.1,0.1,0,0,0,0,2.0,10.0,20.0,24.0,5.0,29.2,32.6,11.0,27.3,30.0,21.0,0.0,0.0,1.0,12.3,321.0,466.0,68.9,5817.0,2256.0,136.0,177.0,76.8,140.0,184.0,76.1,34.0,79.0,43.0,1,1.4,0.9,10.0,24.0,7.0,2.0,41.0,466.0,401.0,62.0,13.0,1.0,3.0,20,29.0,6.0,6.0,0.0,0.0,321.0,3.0,7.0,24.0,16.0,1.0,1.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,13.0,4,3.0,6.0,4.0,2.0,10.0,20.0,8.0,19.0,8.0,11.0,15,28,29.0,0.0,54,613.0,71.0,209.0,241.0,172.0,20.0,613.0,24.0,10.0,41.7,13.0,54.2,316.0,1806.0,915.0,14.0,10.0,3.0,13.0,17.0,319.0,41.0,2,0,0,12,10,3,20,15,4,0.0,0.0,0,59.0,15.0,23.0,39.5,1
