Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-19,18:30 (09:30),Serie A,Matchweek 1,Sat,Home,L,0,1,Hellas Verona,0,10,4,40.0,0.0,0.0,22.8,2.0,0,0,0.7,0.7,0.07,-0.7,-0.7,4,1,3,75.0,0,0.4,-0.6,0,0,0,0,4.0,20.0,20.0,37.0,9.0,48.6,42.6,7.0,28.6,32.0,10.0,2.0,20.0,2.0,12.4,234.0,367.0,63.8,4446.0,1722.0,93.0,120.0,77.5,110.0,142.0,77.5,27.0,80.0,33.8,0,0.4,0.2,5.0,8.0,3.0,0.0,15.0,367.0,298.0,67.0,19.0,2.0,1.0,5,37.0,2.0,2.0,0.0,0.0,234.0,2.0,12.0,17.0,12.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6,6.0,5.0,1.0,7.0,11.0,63.6,4.0,10.0,1.0,9.0,5,17,13.0,1.0,48.0,457.0,50.0,157.0,217.0,87.0,13.0,457.0,21.0,4.0,19.0,13.0,61.9,206.0,1176.0,529.0,9.0,9.0,3.0,6.0,7.0,227.0,15.0,2,0,0,17,18,2,5,5,6,0.0,0.0,0,49.0,11.0,29.0,27.5,1
2023-08-26,18:30 (09:30),Serie A,Matchweek 2,Sat,Away,L,0,2,Monza,0,18,6,33.3,0.0,0.0,18.8,0.0,0,0,1.0,1.0,0.05,-1.0,-1.0,5,2,3,60.0,0,0.7,-1.3,0,0,0,0,1.0,8.0,12.5,22.0,8.0,27.3,26.3,12.0,16.7,29.6,18.0,0.0,0.0,1.0,21.0,371.0,459.0,80.8,6280.0,2222.0,166.0,190.0,87.4,155.0,168.0,92.3,33.0,67.0,49.3,0,0.6,0.5,12.0,25.0,7.0,3.0,40.0,459.0,403.0,55.0,16.0,3.0,1.0,14,19.0,5.0,1.0,2.0,0.0,371.0,1.0,9.0,28.0,20.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9,6.0,6.0,3.0,11.0,16.0,68.8,5.0,15.0,6.0,9.0,3,18,16.0,0.0,46.0,564.0,71.0,183.0,248.0,137.0,27.0,564.0,16.0,7.0,43.8,8.0,50.0,326.0,2074.0,1051.0,25.0,12.0,6.0,12.0,17.0,370.0,40.0,2,0,0,7,13,1,14,3,9,0.0,0.0,0,43.0,15.0,8.0,65.2,1
2023-09-03,20:45 (11:45),Serie A,Matchweek 3,Sun,Home,L,0,2,Juventus,0,7,0,0.0,0.0,,21.2,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,5,2,2,60.0,0,1.8,-0.2,1,0,1,0,2.0,12.0,16.7,32.0,8.0,31.3,29.7,8.0,25.0,25.6,17.0,0.0,0.0,2.0,16.6,419.0,503.0,83.3,7194.0,2222.0,189.0,207.0,91.3,170.0,200.0,85.0,43.0,66.0,65.2,0,0.1,0.6,4.0,39.0,5.0,0.0,38.0,503.0,456.0,45.0,14.0,1.0,1.0,27,17.0,3.0,1.0,1.0,0.0,419.0,2.0,7.0,13.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4,5.0,3.0,0.0,6.0,14.0,42.9,8.0,17.0,5.0,12.0,4,12,11.0,0.0,50.0,590.0,89.0,202.0,246.0,148.0,10.0,590.0,19.0,7.0,36.8,12.0,63.2,399.0,2544.0,1310.0,26.0,14.0,3.0,14.0,5.0,417.0,38.0,3,0,0,14,13,2,27,4,4,0.0,1.0,0,39.0,4.0,5.0,44.4,1
2023-09-17,20:45 (11:45),Serie A,Matchweek 4,Sun,Away,L,0,7,Roma,0,8,2,25.0,0.0,0.0,23.0,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,9,7,3,33.3,0,4.0,-2.0,1,1,0,0,1.0,2.0,50.0,22.0,5.0,9.1,24.3,2.0,0.0,23.5,6.0,1.0,16.7,0.0,13.5,456.0,526.0,86.7,7385.0,2221.0,224.0,237.0,94.5,196.0,212.0,92.5,26.0,47.0,55.3,0,0.1,0.4,6.0,36.0,5.0,3.0,35.0,526.0,478.0,46.0,17.0,0.0,2.0,25,13.0,6.0,2.0,3.0,0.0,456.0,2.0,12.0,15.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13,3.0,12.0,4.0,8.0,15.0,53.3,7.0,11.0,2.0,9.0,10,29,9.0,1.0,47.0,625.0,46.0,166.0,297.0,169.0,9.0,625.0,23.0,7.0,30.4,15.0,65.2,411.0,2397.0,1068.0,17.0,13.0,2.0,10.0,10.0,450.0,35.0,2,0,0,5,15,2,25,10,13,0.0,1.0,1,45.0,9.0,12.0,42.9,1
2023-09-24,12:30 (03:30),Serie A,Matchweek 5,Sun,Home,L,0,1,Inter,0,7,1,14.3,0.0,0.0,21.2,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,5,1,4,80.0,0,1.2,0.2,0,0,0,0,6.0,16.0,37.5,29.0,7.0,27.6,30.3,13.0,61.5,44.8,20.0,0.0,0.0,1.0,9.8,308.0,390.0,79.0,5400.0,2288.0,133.0,154.0,86.4,138.0,152.0,90.8,28.0,58.0,48.3,0,0.2,0.3,5.0,26.0,7.0,3.0,38.0,390.0,344.0,46.0,11.0,1.0,2.0,15,17.0,3.0,1.0,2.0,0.0,308.0,0.0,11.0,13.0,8.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10,7.0,7.0,0.0,7.0,16.0,43.8,9.0,16.0,7.0,9.0,4,18,27.0,0.0,39.0,507.0,90.0,202.0,214.0,94.0,17.0,507.0,11.0,4.0,36.4,6.0,54.5,296.0,1397.0,706.0,16.0,8.0,3.0,13.0,8.0,307.0,38.0,2,0,0,15,11,0,15,4,10,0.0,0.0,0,42.0,4.0,14.0,22.2,1
2023-09-27,18:30 (09:30),Serie A,Matchweek 6,Wed,Home,W,1,0,Salernitana,1,13,6,46.2,0.08,0.17,16.0,2.0,0,0,3.2,3.2,0.25,-2.2,-2.2,2,0,2,100.0,1,0.1,0.1,0,0,0,0,2.0,18.0,11.1,23.0,2.0,60.9,45.3,7.0,57.1,38.6,7.0,1.0,14.3,0.0,9.0,244.0,358.0,68.2,4280.0,1744.0,123.0,141.0,87.2,81.0,122.0,66.4,31.0,66.0,47.0,1,2.7,1.5,8.0,20.0,4.0,0.0,29.0,358.0,288.0,65.0,12.0,2.0,2.0,21,35.0,10.0,5.0,2.0,0.0,244.0,5.0,10.0,22.0,12.0,4.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,9,7.0,5.0,3.0,7.0,18.0,38.9,11.0,16.0,7.0,9.0,15,30,12.0,0.0,42.0,499.0,48.0,162.0,203.0,138.0,26.0,499.0,25.0,9.0,36.0,12.0,48.0,268.0,1352.0,547.0,12.0,7.0,5.0,19.0,13.0,242.0,28.0,2,0,0,18,13,5,21,15,9,0.0,0.0,0,63.0,17.0,14.0,54.8,1
2023-10-01,12:30 (03:30),Serie A,Matchweek 7,Sun,Away,L,0,3,Bologna,0,12,4,33.3,0.0,0.0,15.9,1.0,0,0,0.9,0.9,0.07,-0.9,-0.9,9,3,6,66.7,0,3.0,0.0,0,0,0,0,1.0,5.0,20.0,26.0,8.0,15.4,25.4,9.0,11.1,19.6,9.0,0.0,0.0,3.0,28.3,309.0,404.0,76.5,5637.0,2116.0,153.0,178.0,86.0,108.0,136.0,79.4,39.0,66.0,59.1,0,0.7,0.8,9.0,31.0,9.0,4.0,39.0,404.0,361.0,42.0,12.0,2.0,4.0,25,11.0,6.0,2.0,4.0,0.0,309.0,1.0,9.0,21.0,13.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13,7.0,6.0,8.0,13.0,23.0,56.5,10.0,21.0,2.0,19.0,5,26,11.0,1.0,42.0,518.0,50.0,146.0,228.0,152.0,18.0,518.0,20.0,11.0,55.0,4.0,20.0,279.0,2017.0,1183.0,19.0,18.0,4.0,20.0,6.0,308.0,39.0,4,0,0,16,11,1,25,5,13,0.0,0.0,0,57.0,4.0,4.0,50.0,1
2023-10-06,18:30 (09:30),Serie A,Matchweek 8,Fri,Home,D,0,0,Udinese,0,18,3,16.7,0.0,0.0,17.6,0.0,0,0,1.3,1.3,0.07,-1.3,-1.3,1,0,1,100.0,1,0.4,0.4,0,0,0,0,6.0,14.0,42.9,31.0,9.0,35.5,33.9,10.0,30.0,30.0,19.0,1.0,5.3,0.0,8.2,385.0,501.0,76.8,6716.0,2398.0,165.0,182.0,90.7,158.0,191.0,82.7,43.0,90.0,47.8,0,1.2,1.3,16.0,25.0,13.0,4.0,33.0,501.0,432.0,66.0,15.0,1.0,3.0,20,35.0,5.0,1.0,2.0,0.0,385.0,3.0,10.0,30.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7,7.0,5.0,3.0,7.0,9.0,77.8,2.0,11.0,3.0,8.0,5,20,21.0,0.0,60.0,609.0,79.0,213.0,220.0,180.0,29.0,609.0,15.0,11.0,73.3,3.0,20.0,338.0,1646.0,843.0,18.0,7.0,5.0,19.0,12.0,382.0,33.0,1,0,0,11,15,3,20,5,7,0.0,0.0,0,49.0,16.0,17.0,48.5,1
2023-10-23,20:45 (11:45),Serie A,Matchweek 9,Mon,Away,W,2,0,Fiorentina,2,7,3,42.9,0.29,0.67,12.5,0.0,0,0,1.5,1.5,0.21,0.5,0.5,7,0,7,100.0,1,0.9,0.9,0,0,0,0,4.0,25.0,16.0,33.0,3.0,57.6,44.2,9.0,66.7,47.2,38.0,1.0,2.6,0.0,7.0,177.0,272.0,65.1,3428.0,1726.0,75.0,89.0,84.3,78.0,99.0,78.8,21.0,65.0,32.3,2,1.5,0.9,7.0,9.0,4.0,2.0,14.0,272.0,220.0,47.0,15.0,1.0,1.0,8,19.0,3.0,2.0,1.0,0.0,177.0,5.0,7.0,14.0,11.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,14,16.0,4.0,1.0,12.0,20.0,60.0,8.0,14.0,5.0,9.0,5,26,46.0,0.0,29.0,409.0,96.0,228.0,125.0,60.0,12.0,409.0,9.0,0.0,0.0,8.0,88.9,173.0,1059.0,441.0,6.0,9.0,2.0,12.0,6.0,174.0,14.0,3,0,0,17,12,5,8,5,14,0.0,0.0,0,55.0,11.0,23.0,32.4,1
2023-10-30,18:30 (10:30),Serie A,Matchweek 10,Mon,Home,L,0,3,Atalanta,0,9,2,22.2,0.0,0.0,27.2,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,6,3,3,50.0,0,1.0,-2.0,0,0,0,0,3.0,15.0,20.0,34.0,4.0,44.1,37.5,9.0,0.0,22.0,11.0,1.0,9.1,0.0,9.0,355.0,473.0,75.1,5399.0,2136.0,197.0,225.0,87.6,119.0,142.0,83.8,23.0,62.0,37.1,0,0.3,0.4,7.0,23.0,3.0,1.0,30.0,473.0,409.0,61.0,14.0,0.0,0.0,16,31.0,3.0,0.0,3.0,0.0,355.0,3.0,13.0,15.0,12.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14,11.0,6.0,4.0,7.0,12.0,58.3,5.0,16.0,4.0,12.0,11,32,14.0,0.0,44.0,583.0,65.0,199.0,261.0,131.0,16.0,583.0,19.0,6.0,31.6,9.0,47.4,357.0,1838.0,735.0,14.0,7.0,5.0,15.0,5.0,352.0,30.0,4,0,0,10,12,3,16,11,14,0.0,0.0,0,62.0,2.0,13.0,13.3,1
