Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-19,20:45 (11:45),Serie A,Matchweek 1,Sat,Away,L,0,2,Inter,0,12,2,16.7,0.0,0.0,17.8,0.0,0,0,0.8,0.8,0.06,-0.8,-0.8,3,2,1,33.3,0,1.4,-0.6,0,0,0,0,2.0,9.0,22.2,29.0,9.0,24.1,29.5,17.0,11.8,22.4,16.0,0.0,0.0,0.0,9.3,508.0,567.0,89.6,9415.0,2922.0,200.0,214.0,93.5,240.0,260.0,92.3,59.0,72.0,81.9,0,0.5,0.7,9.0,32.0,14.0,3.0,43.0,567.0,519.0,47.0,9.0,0.0,3.0,14,15.0,3.0,0.0,3.0,0.0,508.0,1.0,9.0,20.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10,10.0,2.0,1.0,8.0,14.0,57.1,6.0,11.0,7.0,4.0,13,26,12.0,0.0,53.0,655.0,83.0,206.0,302.0,149.0,24.0,655.0,16.0,6.0,37.5,10.0,62.5,395.0,2206.0,1121.0,23.0,21.0,5.0,10.0,7.0,504.0,43.0,1,0,0,13,8,1,14,13,10,0.0,0.0,0,27.0,6.0,9.0,40.0,1
2023-08-26,18:30 (09:30),Serie A,Matchweek 2,Sat,Home,W,2,0,Empoli,2,20,5,25.0,0.1,0.4,17.7,1.0,0,0,2.0,2.0,0.1,0.0,0.0,6,0,6,100.0,1,1.0,1.0,0,0,0,0,3.0,12.0,25.0,27.0,4.0,18.5,29.5,12.0,58.3,48.1,12.0,2.0,16.7,2.0,12.7,456.0,541.0,84.3,8907.0,2608.0,175.0,191.0,91.6,218.0,239.0,91.2,57.0,90.0,63.3,2,1.9,1.4,17.0,39.0,15.0,8.0,45.0,541.0,486.0,53.0,7.0,1.0,7.0,22,27.0,6.0,1.0,3.0,0.0,456.0,2.0,10.0,38.0,32.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,25.0,13,12.0,10.0,3.0,8.0,15.0,53.3,7.0,13.0,4.0,9.0,7,32,15.0,1.0,54.0,668.0,70.0,184.0,309.0,177.0,27.0,668.0,17.0,5.0,29.4,11.0,64.7,386.0,1769.0,891.0,18.0,9.0,5.0,15.0,4.0,454.0,45.0,1,0,0,14,7,2,22,7,13,0.0,0.0,0,43.0,8.0,15.0,34.8,1
2023-09-02,20:45 (11:45),Serie A,Matchweek 3,Sat,Away,L,0,3,Atalanta,0,8,2,25.0,0.0,0.0,18.9,1.0,0,0,0.4,0.4,0.05,-0.4,-0.4,8,3,5,62.5,0,1.9,-1.1,0,0,0,0,2.0,11.0,18.2,55.0,3.0,20.0,27.9,6.0,0.0,15.8,17.0,0.0,0.0,0.0,,567.0,667.0,85.0,9498.0,2725.0,277.0,296.0,93.6,233.0,257.0,90.7,47.0,85.0,55.3,0,0.3,0.5,6.0,37.0,5.0,2.0,26.0,667.0,617.0,49.0,14.0,2.0,2.0,14,22.0,3.0,2.0,1.0,0.0,567.0,1.0,15.0,14.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11,10.0,9.0,1.0,11.0,20.0,55.0,9.0,9.0,5.0,4.0,7,27,14.0,1.0,59.0,755.0,93.0,297.0,334.0,130.0,12.0,755.0,7.0,3.0,42.9,3.0,42.9,465.0,2268.0,1210.0,22.0,14.0,3.0,10.0,11.0,559.0,26.0,3,0,0,9,10,1,14,7,11,0.0,0.0,0,52.0,13.0,13.0,50.0,1
2023-09-17,15:00 (06:00),Serie A,Matchweek 4,Sun,Home,D,1,1,Lecce,1,25,5,20.0,0.04,0.2,17.1,0.0,0,0,2.2,2.2,0.09,-1.2,-1.2,3,1,2,100.0,0,1.6,0.6,1,1,0,0,1.0,2.0,50.0,25.0,8.0,8.0,21.0,3.0,0.0,17.7,8.0,1.0,12.5,0.0,9.0,487.0,580.0,84.0,9106.0,2563.0,194.0,214.0,90.7,237.0,264.0,89.8,49.0,71.0,69.0,1,1.7,1.8,18.0,40.0,15.0,2.0,62.0,580.0,527.0,52.0,11.0,0.0,5.0,29,26.0,10.0,4.0,3.0,0.0,487.0,1.0,16.0,42.0,33.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,10,7.0,10.0,2.0,6.0,10.0,60.0,4.0,2.0,0.0,2.0,6,25,10.0,0.0,61.0,677.0,44.0,135.0,250.0,297.0,41.0,677.0,15.0,8.0,53.3,6.0,40.0,419.0,2462.0,1528.0,25.0,26.0,3.0,18.0,8.0,484.0,62.0,6,1,1,17,10,1,29,6,10,0.0,1.0,0,53.0,10.0,8.0,55.6,1
2023-09-23,20:45 (11:45),Serie A,Matchweek 5,Sat,Away,D,1,1,Lazio,1,16,4,25.0,0.06,0.25,18.2,0.0,0,0,1.2,1.2,0.07,-0.2,-0.2,1,1,0,100.0,0,1.0,0.0,1,1,0,0,5.0,19.0,26.3,34.0,5.0,38.2,36.7,9.0,66.7,57.7,12.0,0.0,0.0,0.0,8.0,486.0,579.0,83.9,9025.0,2573.0,179.0,200.0,89.5,235.0,267.0,88.0,53.0,81.0,65.4,0,0.9,1.2,12.0,25.0,9.0,2.0,33.0,579.0,530.0,47.0,16.0,1.0,9.0,8,17.0,3.0,0.0,2.0,0.0,486.0,2.0,6.0,28.0,26.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,10,9.0,6.0,2.0,7.0,11.0,63.6,4.0,12.0,2.0,10.0,10,27,21.0,1.0,51.0,683.0,83.0,262.0,295.0,129.0,19.0,683.0,11.0,4.0,36.4,7.0,63.6,359.0,1950.0,945.0,15.0,15.0,4.0,11.0,6.0,484.0,32.0,2,0,0,7,11,2,8,10,10,0.0,1.0,0,41.0,9.0,11.0,45.0,1
2023-09-28,18:30 (09:30),Serie A,Matchweek 6,Thu,Home,D,0,0,Bologna,0,10,3,30.0,0.0,0.0,18.7,1.0,0,0,0.7,0.7,0.07,-0.7,-0.7,5,0,5,100.0,1,0.7,0.7,0,0,0,0,5.0,10.0,50.0,28.0,8.0,25.0,29.2,4.0,75.0,56.0,16.0,0.0,0.0,0.0,,412.0,505.0,81.6,7176.0,2381.0,191.0,214.0,89.3,183.0,205.0,89.3,33.0,64.0,51.6,0,0.6,0.7,6.0,25.0,5.0,2.0,32.0,505.0,466.0,37.0,16.0,2.0,2.0,24,9.0,7.0,1.0,5.0,0.0,412.0,2.0,6.0,18.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6,5.0,5.0,2.0,8.0,17.0,47.1,9.0,8.0,3.0,5.0,7,19,15.0,0.0,47.0,600.0,65.0,200.0,269.0,136.0,20.0,600.0,14.0,6.0,42.9,5.0,35.7,344.0,1987.0,1075.0,19.0,14.0,5.0,18.0,9.0,407.0,32.0,5,0,0,9,15,2,24,7,6,0.0,0.0,0,41.0,9.0,19.0,32.1,1
2023-10-02,18:30 (09:30),Serie A,Matchweek 7,Mon,Away,W,1,0,Sassuolo,1,13,4,30.8,0.08,0.25,15.7,0.0,0,0,1.5,1.5,0.12,-0.5,-0.5,7,0,7,100.0,1,2.0,2.0,0,0,0,0,10.0,13.0,76.9,37.0,6.0,21.6,27.3,11.0,45.5,43.0,14.0,1.0,7.1,0.0,9.0,469.0,542.0,86.5,8992.0,2794.0,188.0,197.0,95.4,220.0,245.0,89.8,55.0,75.0,73.3,1,1.5,1.1,11.0,30.0,6.0,0.0,39.0,542.0,498.0,40.0,9.0,0.0,5.0,14,15.0,4.0,0.0,3.0,0.0,469.0,4.0,10.0,22.0,15.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,7,8.0,3.0,1.0,4.0,11.0,36.4,7.0,9.0,5.0,4.0,7,19,12.0,0.0,56.0,634.0,89.0,248.0,232.0,159.0,34.0,634.0,16.0,10.0,62.5,4.0,25.0,458.0,2590.0,1328.0,28.0,18.0,11.0,15.0,8.0,464.0,39.0,0,0,0,10,8,4,14,7,7,0.0,0.0,0,37.0,10.0,8.0,55.6,1
2023-10-08,12:30 (03:30),Serie A,Matchweek 8,Sun,Home,W,3,0,Salernitana,3,15,6,40.0,0.13,0.33,17.4,0.0,1,1,2.8,2.2,0.15,0.2,-0.2,5,0,5,100.0,1,1.1,1.1,0,0,0,0,1.0,9.0,11.1,40.0,6.0,20.0,30.1,2.0,50.0,46.0,8.0,1.0,12.5,0.0,10.0,441.0,519.0,85.0,7490.0,2395.0,199.0,211.0,94.3,216.0,236.0,91.5,23.0,55.0,41.8,2,1.6,1.2,12.0,18.0,5.0,0.0,29.0,519.0,476.0,43.0,17.0,1.0,2.0,9,16.0,7.0,1.0,4.0,0.0,441.0,0.0,9.0,22.0,20.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,17.0,11,8.0,8.0,1.0,7.0,13.0,53.8,6.0,9.0,1.0,8.0,9,26,15.0,0.0,57.0,638.0,69.0,271.0,298.0,78.0,24.0,637.0,12.0,4.0,33.3,6.0,50.0,455.0,2541.0,1190.0,20.0,16.0,9.0,18.0,5.0,434.0,28.0,1,0,0,8,13,0,9,9,11,0.0,0.0,0,56.0,9.0,10.0,47.4,1
2023-10-22,12:30 (03:30),Serie A,Matchweek 9,Sun,Away,L,0,1,Roma,0,11,4,36.4,0.0,0.0,22.6,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,4,1,3,75.0,0,1.2,0.2,0,0,0,0,9.0,20.0,45.0,29.0,2.0,44.8,33.9,9.0,77.8,55.3,25.0,1.0,4.0,0.0,5.0,393.0,461.0,85.2,7779.0,2401.0,145.0,163.0,89.0,197.0,211.0,93.4,51.0,80.0,63.8,0,0.3,0.3,8.0,26.0,9.0,1.0,33.0,461.0,420.0,39.0,13.0,0.0,5.0,14,10.0,5.0,0.0,5.0,0.0,393.0,2.0,5.0,21.0,13.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7,8.0,6.0,2.0,10.0,14.0,71.4,4.0,16.0,11.0,5.0,6,22,27.0,0.0,48.0,579.0,91.0,193.0,273.0,121.0,19.0,579.0,12.0,6.0,50.0,5.0,41.7,327.0,1756.0,1008.0,20.0,19.0,4.0,15.0,5.0,387.0,33.0,4,1,1,11,10,2,14,6,7,0.0,0.0,0,51.0,11.0,12.0,47.8,1
2023-10-29,15:00 (07:00),Serie A,Matchweek 10,Sun,Home,D,1,1,Udinese,1,10,4,40.0,0.1,0.25,17.0,0.0,0,0,0.5,0.5,0.05,0.5,0.5,3,1,2,66.7,0,1.8,0.8,0,0,0,0,2.0,5.0,40.0,22.0,7.0,22.7,29.1,7.0,0.0,20.0,10.0,1.0,10.0,3.0,14.4,526.0,618.0,85.1,9681.0,2925.0,225.0,240.0,93.8,245.0,279.0,87.8,54.0,81.0,66.7,1,0.4,0.5,8.0,50.0,10.0,3.0,42.0,618.0,566.0,50.0,11.0,1.0,5.0,29,20.0,10.0,0.0,7.0,0.0,526.0,2.0,13.0,19.0,16.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,9,9.0,6.0,3.0,7.0,13.0,53.8,6.0,9.0,4.0,5.0,6,24,13.0,0.0,61.0,713.0,60.0,198.0,337.0,187.0,29.0,713.0,17.0,9.0,52.9,7.0,41.2,536.0,2944.0,1468.0,26.0,10.0,12.0,16.0,6.0,522.0,42.0,2,0,0,15,11,2,29,6,9,0.0,0.0,0,45.0,10.0,17.0,37.0,1
