Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-05,17:15 (08:15),Ligue 1,Matchweek 1,Sat,Away,L,0,2,Paris S-G,0,7.0,1.0,14.3,0.0,0.0,21.3,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,5.0,2,3.0,60.0,0,3.0,1.0,0,0,0,0,6.0,17.0,35.3,23.0,7.0,34.8,34.2,13.0,69.2,48.9,13.0,1.0,7.7,0.0,11.3,269.0,366.0,73.5,4597.0,2080.0,115.0,139.0,82.7,98.0,117.0,83.8,33.0,74.0,44.6,0,0.3,0.2,6.0,13.0,2.0,0.0,19.0,366.0,327.0,39.0,12.0,1.0,4.0,13.0,8.0,3.0,3.0,0.0,0.0,269.0,0.0,10.0,10.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,9.0,8.0,1.0,7.0,16.0,43.8,9.0,15.0,4.0,11.0,22.0,40,25.0,0.0,32.0,481.0,77.0,226.0,194.0,72.0,5.0,481.0,15.0,7.0,46.7,8.0,53.3,232.0,1530.0,758.0,14.0,13.0,2.0,18.0,12.0,266.0,19.0,1,0,0,12.0,8.0,0.0,13.0,22.0,17.0,0.0,0.0,0,56.0,5.0,6.0,45.5,1
2017-08-12,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Home,L,0,2,Angers,0,10.0,1.0,10.0,0.0,0.0,18.8,0.0,0,0,0.9,0.9,0.09,-0.9,-0.9,6.0,2,4.0,66.7,0,1.1,-0.9,0,0,0,0,5.0,9.0,55.6,21.0,7.0,38.1,36.9,5.0,20.0,35.4,12.0,2.0,16.7,3.0,16.5,448.0,568.0,78.9,7340.0,2609.0,230.0,267.0,86.1,151.0,184.0,82.1,48.0,82.0,58.5,0,0.9,0.7,9.0,39.0,6.0,0.0,56.0,568.0,506.0,58.0,18.0,1.0,7.0,26.0,27.0,5.0,2.0,3.0,0.0,448.0,4.0,7.0,20.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,5.0,6.0,1.0,6.0,10.0,60.0,4.0,10.0,4.0,6.0,18.0,30,20.0,0.0,59.0,668.0,55.0,166.0,375.0,138.0,13.0,668.0,18.0,16.0,88.9,2.0,11.1,474.0,2624.0,1565.0,27.0,22.0,4.0,21.0,16.0,447.0,56.0,3,0,0,8.0,17.0,4.0,26.0,18.0,10.0,0.0,0.0,0,61.0,14.0,18.0,43.8,1
2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Away,L,0,3,Saint-Étienne,0,16.0,1.0,6.3,0.0,0.0,17.0,0.0,0,0,1.2,1.2,0.07,-1.2,-1.2,5.0,3,2.0,80.0,0,2.2,-0.8,2,2,0,0,9.0,16.0,56.3,21.0,5.0,52.4,36.5,5.0,100.0,56.6,9.0,0.0,0.0,1.0,15.5,387.0,509.0,76.0,6772.0,2757.0,205.0,234.0,87.6,125.0,152.0,82.2,47.0,94.0,50.0,0,1.1,1.3,14.0,24.0,11.0,4.0,45.0,509.0,447.0,61.0,13.0,1.0,5.0,28.0,28.0,11.0,5.0,3.0,0.0,387.0,1.0,11.0,31.0,18.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,5.0,9.0,2.0,5.0,8.0,62.5,3.0,13.0,5.0,8.0,14.0,30,19.0,1.0,53.0,625.0,43.0,163.0,308.0,161.0,31.0,625.0,25.0,18.0,72.0,7.0,28.0,287.0,1475.0,764.0,22.0,14.0,11.0,19.0,19.0,385.0,45.0,2,0,0,12.0,11.0,1.0,28.0,14.0,15.0,0.0,2.0,0,62.0,14.0,19.0,42.4,1
2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,W,3,0,Nice,3,12.0,4.0,33.3,0.25,0.75,17.9,1.0,0,0,1.3,1.3,0.11,1.7,1.7,3.0,0,3.0,100.0,1,0.1,0.1,0,0,0,0,11.0,29.0,37.9,27.0,1.0,77.8,46.4,8.0,100.0,60.3,10.0,0.0,0.0,0.0,13.0,237.0,338.0,70.1,4222.0,2012.0,121.0,147.0,82.3,79.0,104.0,76.0,30.0,71.0,42.3,2,1.1,0.9,8.0,24.0,5.0,0.0,25.0,338.0,302.0,34.0,7.0,0.0,4.0,11.0,15.0,3.0,1.0,2.0,0.0,237.0,2.0,3.0,21.0,12.0,4.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,28.0,18.0,19.0,7.0,2.0,12.0,22.0,54.5,10.0,15.0,4.0,11.0,12.0,40,27.0,0.0,35.0,453.0,57.0,161.0,185.0,108.0,17.0,453.0,13.0,10.0,76.9,3.0,23.1,191.0,1107.0,549.0,14.0,11.0,4.0,13.0,14.0,236.0,25.0,3,0,0,14.0,7.0,2.0,11.0,12.0,18.0,0.0,0.0,0,65.0,10.0,12.0,45.5,1
2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,W,1,0,Strasbourg,1,8.0,3.0,37.5,0.13,0.33,21.7,0.0,0,0,0.4,0.4,0.04,0.6,0.6,3.0,0,3.0,100.0,1,0.3,0.3,0,0,0,0,6.0,31.0,19.4,24.0,3.0,83.3,50.5,11.0,100.0,62.9,19.0,0.0,0.0,1.0,19.5,244.0,374.0,65.2,4336.0,2185.0,112.0,139.0,80.6,100.0,132.0,75.8,22.0,70.0,31.4,1,0.3,0.2,7.0,20.0,2.0,1.0,29.0,374.0,320.0,54.0,23.0,0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,244.0,0.0,10.0,14.0,9.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,8.0,8.0,2.0,6.0,20.0,30.0,14.0,8.0,2.0,6.0,12.0,30,36.0,1.0,42.0,483.0,62.0,177.0,228.0,86.0,6.0,483.0,13.0,12.0,92.3,1.0,7.7,214.0,1411.0,788.0,24.0,21.0,1.0,16.0,19.0,241.0,29.0,3,0,0,14.0,20.0,0.0,11.0,12.0,14.0,0.0,0.0,0,63.0,21.0,19.0,52.5,1
2017-09-17,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,0,2,Marseille,0,8.0,3.0,37.5,0.0,0.0,20.7,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5,6.0,2,4.0,66.7,0,1.2,-0.8,0,0,0,0,10.0,26.0,38.5,24.0,8.0,58.3,40.0,12.0,100.0,56.7,8.0,1.0,12.5,3.0,23.8,289.0,425.0,68.0,5443.0,2463.0,122.0,159.0,76.7,120.0,152.0,78.9,37.0,77.0,48.1,0,0.4,0.6,3.0,21.0,3.0,1.0,33.0,425.0,351.0,72.0,15.0,0.0,5.0,20.0,36.0,6.0,1.0,2.0,0.0,289.0,2.0,20.0,14.0,8.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,17.0,15.0,3.0,8.0,20.0,40.0,12.0,14.0,8.0,6.0,6.0,41,15.0,1.0,49.0,538.0,49.0,159.0,255.0,128.0,12.0,538.0,14.0,9.0,64.3,5.0,35.7,221.0,993.0,471.0,15.0,8.0,2.0,17.0,18.0,287.0,32.0,2,0,0,11.0,15.0,2.0,20.0,6.0,25.0,0.0,0.0,0,53.0,11.0,20.0,35.5,1
2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,L,0,1,Caen,0,2.0,0.0,0.0,0.0,,34.4,0.0,0,0,0.0,0.0,0.02,0.0,0.0,5.0,1,4.0,100.0,0,1.8,0.8,1,1,0,0,17.0,37.0,45.9,31.0,3.0,77.4,47.5,13.0,100.0,64.2,20.0,3.0,15.0,1.0,11.6,249.0,390.0,63.8,5060.0,2719.0,106.0,143.0,74.1,84.0,119.0,70.6,48.0,98.0,49.0,0,0.0,0.1,2.0,18.0,2.0,0.0,21.0,390.0,335.0,54.0,16.0,0.0,0.0,12.0,20.0,3.0,0.0,3.0,0.0,249.0,1.0,7.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,13.0,3.0,1.0,7.0,13.0,53.8,6.0,12.0,5.0,7.0,21.0,38,42.0,0.0,44.0,514.0,73.0,219.0,217.0,80.0,5.0,514.0,8.0,6.0,75.0,2.0,25.0,195.0,963.0,434.0,7.0,7.0,2.0,18.0,11.0,248.0,21.0,2,0,0,19.0,14.0,1.0,12.0,21.0,13.0,0.0,1.0,0,54.0,21.0,28.0,42.9,1
2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,0,1,Toulouse,0,7.0,2.0,28.6,0.0,0.0,22.1,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,5.0,1,4.0,80.0,0,1.3,0.3,0,0,0,0,5.0,23.0,21.7,36.0,8.0,44.4,36.7,8.0,87.5,58.8,13.0,1.0,7.7,0.0,14.8,342.0,453.0,75.5,6075.0,2378.0,158.0,175.0,90.3,126.0,157.0,80.3,40.0,77.0,51.9,0,0.3,0.3,6.0,23.0,3.0,0.0,24.0,453.0,395.0,49.0,18.0,1.0,3.0,13.0,21.0,0.0,0.0,0.0,0.0,342.0,9.0,11.0,11.0,6.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,4.0,4.0,1.0,1.0,14.0,7.1,13.0,10.0,4.0,6.0,12.0,21,27.0,0.0,44.0,543.0,59.0,199.0,264.0,88.0,5.0,543.0,7.0,6.0,85.7,1.0,14.3,277.0,1315.0,736.0,11.0,10.0,3.0,14.0,19.0,340.0,24.0,5,1,1,21.0,14.0,9.0,13.0,12.0,7.0,0.0,0.0,0,56.0,12.0,19.0,38.7,1
2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,1,0,Bordeaux,1,13.0,4.0,30.8,0.08,0.25,15.9,0.0,0,0,1.1,1.1,0.09,-0.1,-0.1,4.0,0,4.0,100.0,1,0.9,0.9,0,0,0,0,11.0,28.0,39.3,31.0,2.0,54.8,40.7,11.0,100.0,61.7,18.0,2.0,11.1,0.0,10.2,298.0,405.0,73.6,5920.0,3089.0,121.0,147.0,82.3,134.0,164.0,81.7,40.0,82.0,48.8,1,1.1,1.2,12.0,29.0,7.0,0.0,36.0,405.0,362.0,43.0,14.0,1.0,0.0,14.0,13.0,4.0,1.0,3.0,0.0,298.0,0.0,6.0,24.0,13.0,6.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,7.0,8.0,8.0,4.0,7.0,16.0,43.8,9.0,10.0,5.0,5.0,16.0,36,38.0,0.0,41.0,536.0,71.0,207.0,231.0,102.0,23.0,536.0,12.0,7.0,58.3,5.0,41.7,223.0,1259.0,643.0,12.0,12.0,0.0,21.0,11.0,292.0,34.0,3,0,0,12.0,12.0,0.0,14.0,16.0,7.0,0.0,0.0,0,64.0,19.0,13.0,59.4,1
2017-10-28,20:00 (11:00),Ligue 1,Matchweek 11,Sat,Away,D,1,1,Guingamp,1,7.0,1.0,14.3,0.14,1.0,22.5,0.0,0,0,0.3,0.3,0.05,0.7,0.7,4.0,1,3.0,75.0,0,0.5,-0.5,0,0,0,0,15.0,36.0,41.7,30.0,1.0,90.0,56.7,9.0,100.0,64.9,21.0,0.0,0.0,0.0,6.0,178.0,290.0,61.4,3653.0,2062.0,73.0,92.0,79.3,64.0,97.0,66.0,34.0,75.0,45.3,1,0.3,0.5,5.0,14.0,3.0,0.0,16.0,290.0,232.0,57.0,21.0,0.0,0.0,10.0,20.0,5.0,2.0,3.0,0.0,178.0,1.0,6.0,12.0,9.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,12.0,1.0,1.0,9.0,22.0,40.9,13.0,8.0,1.0,7.0,14.0,28,38.0,0.0,33.0,402.0,59.0,166.0,173.0,65.0,16.0,402.0,12.0,6.0,50.0,6.0,50.0,197.0,842.0,397.0,9.0,6.0,1.0,16.0,6.0,176.0,16.0,5,1,1,20.0,13.0,1.0,10.0,14.0,12.0,0.0,0.0,0,45.0,18.0,20.0,47.4,1
