Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-04,20:45 (11:45),Ligue 1,Matchweek 1,Fri,Home,W,3,2,Toulouse,3,17.0,7.0,41.2,0.18,0.43,15.9,3.0,0,0,2.0,2.0,0.12,1.0,1.0,3.0,2.0,1.0,33.3,0.0,1.3,-0.7,0,0,0,0,5.0,9.0,55.6,10.0,2.0,70.0,45.5,5.0,40.0,43.2,2.0,1.0,50.0,0.0,12.2,440.0,550.0,80.0,7900.0,2941.0,205.0,237.0,86.5,162.0,193.0,83.9,55.0,84.0,65.5,3,1.8,1.2,14.0,52.0,10.0,2.0,54.0,550.0,485.0,60.0,21.0,0.0,8.0,28.0,23.0,8.0,3.0,0.0,1.0,440.0,5.0,7.0,34.0,22.0,4.0,1.0,1.0,6.0,0.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,15.0,11.0,4.0,8.0,3.0,5.0,10.0,50.0,5.0,8.0,2.0,6.0,6.0,21,15.0,0.0,70.0,639.0,26.0,119.0,349.0,178.0,26.0,639.0,21.0,10.0,47.6,11.0,52.4,373.0,1935.0,1128.0,25.0,7.0,9.0,6.0,6.0,431.0,52.0,1,0,0,12.0,21.0,5.0,28.0,6.0,11.0,0.0,0.0,0,56.0,28.0,20.0,58.3,1.0
2017-08-13,17:00 (08:00),Ligue 1,Matchweek 2,Sun,Away,W,4,1,Dijon,4,16.0,6.0,37.5,0.25,0.67,17.0,1.0,0,0,1.6,1.6,0.1,2.4,2.4,3.0,1.0,2.0,66.7,0.0,0.7,-0.3,0,0,0,0,10.0,21.0,47.6,25.0,4.0,60.0,42.4,11.0,54.5,43.6,16.0,3.0,18.8,1.0,12.2,368.0,465.0,79.1,7818.0,2881.0,120.0,135.0,88.9,174.0,210.0,82.9,69.0,107.0,64.5,4,1.5,0.9,13.0,25.0,5.0,0.0,41.0,465.0,406.0,56.0,11.0,1.0,3.0,22.0,22.0,10.0,6.0,3.0,0.0,368.0,3.0,5.0,23.0,13.0,5.0,3.0,1.0,1.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,17.0,10.0,4.0,12.0,1.0,8.0,17.0,47.1,9.0,13.0,5.0,8.0,9.0,26,23.0,0.0,53.0,571.0,51.0,167.0,295.0,115.0,15.0,571.0,15.0,7.0,46.7,8.0,53.3,307.0,1430.0,848.0,14.0,11.0,2.0,10.0,14.0,367.0,41.0,2,0,0,12.0,10.0,3.0,22.0,9.0,10.0,0.0,0.0,0,46.0,17.0,12.0,58.6,1.0
2017-08-18,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Away,W,1,0,Metz,1,22.0,5.0,22.7,0.05,0.2,18.7,3.0,0,0,2.2,2.2,0.1,-1.2,-1.2,5.0,0.0,5.0,100.0,1.0,0.7,0.7,0,0,0,0,6.0,9.0,66.7,21.0,8.0,38.1,34.8,6.0,16.7,34.8,15.0,1.0,6.7,0.0,5.0,445.0,548.0,81.2,8723.0,3263.0,182.0,203.0,89.7,184.0,212.0,86.8,69.0,100.0,69.0,1,1.6,1.2,15.0,37.0,17.0,4.0,63.0,548.0,491.0,56.0,19.0,2.0,11.0,26.0,24.0,6.0,2.0,4.0,0.0,445.0,1.0,10.0,37.0,24.0,2.0,5.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,6.0,6.0,4.0,3.0,4.0,13.0,30.8,9.0,9.0,1.0,8.0,13.0,26,29.0,0.0,56.0,662.0,37.0,135.0,336.0,200.0,30.0,662.0,27.0,21.0,77.8,6.0,22.2,363.0,2180.0,1267.0,28.0,22.0,4.0,17.0,8.0,440.0,61.0,1,0,0,16.0,16.0,1.0,26.0,13.0,6.0,0.0,0.0,0,49.0,20.0,24.0,45.5,1.0
2017-08-27,21:00 (12:00),Ligue 1,Matchweek 4,Sun,Home,W,6,1,Marseille,6,12.0,6.0,50.0,0.33,0.67,15.6,0.0,2,2,3.8,2.2,0.19,2.2,1.8,3.0,1.0,2.0,66.7,0.0,1.8,0.8,0,0,0,0,6.0,12.0,50.0,19.0,3.0,26.3,30.8,12.0,58.3,45.7,10.0,1.0,10.0,0.0,6.3,352.0,421.0,83.6,6403.0,2332.0,159.0,180.0,88.3,139.0,153.0,90.8,44.0,67.0,65.7,3,2.1,2.0,10.0,21.0,12.0,2.0,34.0,421.0,374.0,46.0,14.0,1.0,3.0,10.0,17.0,1.0,0.0,0.0,0.0,352.0,1.0,6.0,27.0,15.0,4.0,2.0,1.0,5.0,0.0,11.0,5.0,2.0,0.0,1.0,3.0,0.0,21.0,16.0,5.0,14.0,2.0,7.0,11.0,63.6,4.0,10.0,2.0,8.0,10.0,31,18.0,0.0,46.0,526.0,45.0,126.0,318.0,87.0,22.0,524.0,13.0,7.0,53.8,7.0,53.8,309.0,1717.0,1015.0,16.0,11.0,2.0,12.0,14.0,352.0,34.0,2,0,0,11.0,14.0,1.0,10.0,10.0,16.0,2.0,0.0,0,36.0,9.0,12.0,42.9,1.0
2017-09-09,17:00 (08:00),Ligue 1,Matchweek 5,Sat,Away,L,0,4,Nice,0,11.0,1.0,9.1,0.0,0.0,17.6,0.0,0,0,0.9,0.9,0.08,-0.9,-0.9,5.0,4.0,1.0,40.0,0.0,3.4,-0.6,1,1,0,0,3.0,7.0,42.9,18.0,4.0,38.9,31.8,5.0,0.0,24.8,6.0,0.0,0.0,2.0,17.5,415.0,514.0,80.7,7767.0,2722.0,168.0,192.0,87.5,189.0,213.0,88.7,50.0,79.0,63.3,0,0.8,0.6,8.0,42.0,11.0,5.0,59.0,514.0,458.0,54.0,21.0,0.0,8.0,31.0,12.0,11.0,3.0,4.0,0.0,415.0,2.0,13.0,20.0,15.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,4.0,8.0,4.0,7.0,13.0,53.8,6.0,3.0,1.0,2.0,18.0,34,11.0,0.0,54.0,605.0,30.0,99.0,328.0,180.0,25.0,605.0,14.0,5.0,35.7,9.0,64.3,340.0,1961.0,1065.0,20.0,17.0,4.0,13.0,15.0,410.0,57.0,2,0,0,14.0,19.0,2.0,31.0,18.0,13.0,0.0,1.0,0,53.0,14.0,17.0,45.2,1.0
2017-09-13,20:45 (11:45),Champions Lg,Group stage,Wed,Away,D,1,1,de RB Leipzig,1,7.0,2.0,28.6,0.14,0.5,17.0,0.0,0,0,1.1,1.1,0.24,-0.1,-0.1,2.0,1.0,1.0,50.0,0.0,0.2,-0.8,0,0,0,0,4.0,17.0,23.5,21.0,3.0,61.9,43.2,6.0,66.7,47.5,11.0,0.0,0.0,4.0,25.0,263.0,419.0,62.8,4752.0,2112.0,123.0,161.0,76.4,94.0,141.0,66.7,37.0,89.0,41.6,0,0.8,0.6,5.0,22.0,6.0,2.0,34.0,419.0,353.0,64.0,19.0,0.0,4.0,18.0,33.0,4.0,2.0,1.0,0.0,263.0,2.0,12.0,11.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,14.0,10.0,7.0,0.0,5.0,6.0,83.3,1.0,11.0,3.0,8.0,16.0,33,29.0,0.0,41.0,539.0,48.0,178.0,255.0,109.0,18.0,539.0,15.0,7.0,46.7,8.0,53.3,244.0,1205.0,473.0,8.0,8.0,2.0,23.0,10.0,260.0,33.0,3,0,0,20.0,10.0,2.0,18.0,16.0,14.0,0.0,0.0,0,74.0,27.0,15.0,64.3,2.0
2017-09-16,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Home,W,3,0,Strasbourg,3,14.0,5.0,35.7,0.21,0.6,17.5,3.0,0,0,2.5,2.5,0.18,0.5,0.5,1.0,0.0,1.0,100.0,1.0,0.4,0.4,0,0,0,0,4.0,4.0,100.0,12.0,5.0,8.3,19.3,10.0,30.0,32.1,23.0,1.0,4.3,1.0,18.5,445.0,549.0,81.1,7330.0,2775.0,219.0,257.0,85.2,189.0,222.0,85.1,31.0,54.0,57.4,2,2.1,1.6,9.0,35.0,10.0,3.0,48.0,549.0,493.0,54.0,10.0,1.0,0.0,21.0,28.0,5.0,5.0,0.0,0.0,445.0,2.0,12.0,24.0,19.0,1.0,0.0,1.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,3.0,10.0,0.0,7.0,14.0,50.0,7.0,10.0,4.0,6.0,14.0,27,40.0,0.0,59.0,678.0,55.0,171.0,345.0,170.0,30.0,678.0,20.0,10.0,50.0,10.0,50.0,367.0,1909.0,1221.0,20.0,13.0,8.0,13.0,8.0,442.0,48.0,2,0,0,13.0,12.0,2.0,21.0,14.0,3.0,0.0,0.0,0,58.0,10.0,13.0,43.5,1.0
2017-09-22,20:45 (11:45),Ligue 1,Matchweek 7,Fri,Away,W,4,0,Lille,4,11.0,6.0,54.5,0.27,0.5,18.2,0.0,1,1,2.7,2.0,0.2,1.3,1.0,2.0,0.0,2.0,100.0,1.0,0.9,0.9,0,0,0,0,4.0,13.0,30.8,18.0,6.0,44.4,35.4,9.0,55.6,48.4,8.0,0.0,0.0,0.0,,265.0,375.0,70.7,4834.0,2210.0,124.0,147.0,84.4,99.0,138.0,71.7,36.0,72.0,50.0,0,1.5,0.2,9.0,23.0,3.0,0.0,35.0,375.0,319.0,53.0,19.0,3.0,5.0,5.0,23.0,1.0,1.0,0.0,0.0,265.0,3.0,9.0,19.0,12.0,0.0,5.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,25.0,19.0,11.0,13.0,1.0,9.0,26.0,34.6,17.0,8.0,2.0,6.0,10.0,35,27.0,0.0,38.0,484.0,45.0,166.0,244.0,85.0,10.0,483.0,21.0,14.0,66.7,7.0,33.3,252.0,1484.0,877.0,19.0,12.0,4.0,15.0,11.0,264.0,34.0,2,0,0,14.0,18.0,3.0,5.0,10.0,19.0,1.0,0.0,0,59.0,11.0,16.0,40.7,1.0
2017-09-26,20:45 (11:45),Champions Lg,Group stage,Tue,Home,L,0,3,pt Porto,0,11.0,2.0,18.2,0.0,0.0,16.4,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,8.0,3.0,5.0,62.5,0.0,3.0,0.0,0,0,0,0,0.0,2.0,0.0,19.0,5.0,10.5,23.7,4.0,0.0,20.8,8.0,0.0,0.0,0.0,16.0,426.0,529.0,80.5,7740.0,2799.0,190.0,216.0,88.0,183.0,218.0,83.9,46.0,78.0,59.0,0,0.6,0.8,10.0,48.0,9.0,4.0,59.0,529.0,469.0,59.0,17.0,0.0,8.0,26.0,26.0,8.0,2.0,4.0,1.0,426.0,1.0,6.0,18.0,9.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,11.0,12.0,2.0,11.0,25.0,44.0,14.0,12.0,4.0,8.0,12.0,37,21.0,0.0,56.0,661.0,55.0,151.0,342.0,176.0,22.0,661.0,22.0,12.0,54.5,10.0,45.5,428.0,2155.0,1253.0,17.0,15.0,5.0,15.0,15.0,423.0,58.0,3,0,0,14.0,15.0,1.0,26.0,12.0,14.0,0.0,0.0,0,57.0,15.0,18.0,45.5,2.0
2017-09-29,20:45 (11:45),Ligue 1,Matchweek 8,Fri,Home,D,1,1,Montpellier,1,8.0,1.0,12.5,0.13,1.0,19.0,1.0,0,0,0.9,0.9,0.12,0.1,0.1,3.0,1.0,2.0,66.7,0.0,1.0,0.0,0,0,0,0,6.0,22.0,27.3,26.0,6.0,50.0,40.3,11.0,81.8,56.9,19.0,1.0,5.3,0.0,14.7,377.0,480.0,78.5,7019.0,2488.0,168.0,195.0,86.2,149.0,176.0,84.7,51.0,86.0,59.3,1,0.8,0.9,5.0,35.0,3.0,0.0,42.0,480.0,430.0,49.0,12.0,2.0,2.0,17.0,21.0,3.0,0.0,3.0,0.0,377.0,1.0,10.0,14.0,9.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0,13.0,9.0,3.0,13.0,26.0,50.0,13.0,6.0,3.0,3.0,14.0,39,36.0,2.0,51.0,594.0,70.0,166.0,310.0,123.0,13.0,594.0,10.0,8.0,80.0,2.0,20.0,354.0,1823.0,996.0,18.0,12.0,3.0,12.0,11.0,374.0,42.0,3,0,0,19.0,12.0,1.0,17.0,14.0,9.0,0.0,0.0,0,52.0,13.0,14.0,48.1,1.0
