Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,D,1,1,Troyes,1,17.0,3.0,17.6,0.06,0.33,14.7,0.0,0,0,2.2,2.2,0.13,-1.2,-1.2,4.0,1,3.0,75.0,0,2.0,1.0,0,0,0,0,2.0,6.0,33.3,18.0,7.0,11.1,27.4,4.0,100.0,69.8,11.0,3.0,27.3,0.0,7.7,470.0,603.0,77.9,9008.0,2963.0,179.0,201.0,89.1,227.0,269.0,84.4,56.0,111.0,50.5,1,1.9,1.7,14.0,37.0,8.0,2.0,52.0,603.0,543.0,59.0,14.0,0.0,11.0,29.0,32.0,7.0,6.0,1.0,0.0,470.0,1.0,10.0,31.0,20.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,16.0,6.0,9.0,5.0,7.0,14.0,50.0,7.0,12.0,2.0,10.0,14.0,34,33.0,1.0,63.0,731.0,41.0,164.0,382.0,193.0,24.0,731.0,21.0,14.0,66.7,7.0,33.3,447.0,1896.0,1032.0,21.0,14.0,4.0,20.0,12.0,470.0,52.0,0,0,0,8.0,12.0,1.0,29.0,14.0,16.0,0.0,0.0,0,68.0,27.0,15.0,64.3,1
2017-08-11,20:45 (11:45),Ligue 1,Matchweek 2,Fri,Home,L,1,2,Lyon,1,17.0,5.0,29.4,0.06,0.2,18.1,1.0,0,0,1.0,1.0,0.06,0.0,0.0,7.0,2,5.0,71.4,0,2.4,0.4,0,0,0,0,8.0,17.0,47.1,22.0,2.0,45.5,33.3,8.0,87.5,52.0,9.0,0.0,0.0,3.0,17.1,357.0,466.0,76.6,6549.0,2496.0,161.0,184.0,87.5,129.0,162.0,79.6,54.0,93.0,58.1,0,0.9,0.6,14.0,23.0,5.0,4.0,42.0,466.0,406.0,60.0,17.0,1.0,4.0,35.0,18.0,14.0,8.0,4.0,0.0,357.0,0.0,8.0,30.0,19.0,4.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,26.0,19.0,15.0,9.0,2.0,13.0,28.0,46.4,15.0,11.0,6.0,5.0,6.0,32,20.0,2.0,51.0,580.0,53.0,150.0,282.0,157.0,23.0,580.0,19.0,12.0,63.2,7.0,36.8,275.0,1693.0,800.0,20.0,19.0,7.0,15.0,18.0,355.0,42.0,1,0,0,9.0,13.0,0.0,35.0,6.0,19.0,0.0,0.0,0,57.0,13.0,18.0,41.9,1
2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,D,2,2,Dijon,2,14.0,7.0,50.0,0.14,0.29,18.1,1.0,0,0,1.2,1.2,0.09,0.8,0.8,4.0,2,2.0,75.0,0,1.4,-0.6,1,1,0,0,8.0,15.0,53.3,18.0,4.0,50.0,32.0,8.0,75.0,52.3,9.0,0.0,0.0,1.0,13.0,268.0,407.0,65.8,4625.0,2090.0,130.0,163.0,79.8,90.0,126.0,71.4,33.0,76.0,43.4,2,1.0,0.4,11.0,27.0,1.0,0.0,28.0,407.0,348.0,58.0,17.0,2.0,2.0,17.0,23.0,7.0,3.0,4.0,0.0,268.0,1.0,19.0,23.0,15.0,3.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,10.0,7.0,1.0,5.0,17.0,29.4,12.0,13.0,3.0,10.0,12.0,30,28.0,0.0,40.0,529.0,42.0,166.0,277.0,92.0,14.0,529.0,22.0,15.0,68.2,7.0,31.8,219.0,1408.0,718.0,21.0,13.0,8.0,16.0,20.0,267.0,28.0,2,0,0,9.0,11.0,1.0,17.0,12.0,11.0,0.0,1.0,0,80.0,26.0,19.0,57.8,1
2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,2,3,Toulouse,2,14.0,3.0,21.4,0.14,0.67,16.6,0.0,0,0,1.3,1.3,0.09,0.7,0.7,6.0,3,3.0,83.3,0,2.3,-0.7,2,2,0,0,3.0,14.0,21.4,20.0,2.0,55.0,44.0,4.0,75.0,57.0,9.0,0.0,0.0,0.0,12.0,303.0,420.0,72.1,4945.0,1976.0,150.0,172.0,87.2,97.0,128.0,75.8,32.0,75.0,42.7,2,1.2,0.7,10.0,31.0,3.0,0.0,33.0,420.0,361.0,56.0,20.0,1.0,5.0,16.0,24.0,4.0,1.0,2.0,0.0,303.0,3.0,9.0,28.0,18.0,4.0,2.0,1.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,14.0,8.0,5.0,9.0,0.0,8.0,15.0,53.3,7.0,14.0,2.0,12.0,9.0,23,27.0,0.0,55.0,528.0,35.0,135.0,252.0,144.0,14.0,528.0,10.0,6.0,60.0,4.0,40.0,250.0,1170.0,647.0,16.0,9.0,4.0,19.0,9.0,303.0,33.0,5,1,1,22.0,19.0,3.0,16.0,9.0,8.0,0.0,2.0,0,49.0,12.0,22.0,35.3,1
2017-09-10,21:00 (12:00),Ligue 1,Matchweek 5,Sun,Away,W,3,1,Marseille,3,16.0,4.0,25.0,0.19,0.75,20.8,2.0,0,1,2.1,1.4,0.09,0.9,1.6,4.0,1,3.0,75.0,0,1.6,0.6,0,0,0,0,3.0,21.0,14.3,19.0,2.0,73.7,46.6,7.0,100.0,66.7,12.0,2.0,16.7,1.0,11.0,221.0,320.0,69.1,3488.0,1643.0,111.0,132.0,84.1,74.0,96.0,77.1,20.0,59.0,33.9,3,0.6,0.8,9.0,19.0,6.0,1.0,31.0,320.0,271.0,49.0,17.0,0.0,1.0,15.0,21.0,2.0,1.0,1.0,0.0,221.0,0.0,3.0,28.0,12.0,3.0,4.0,1.0,5.0,3.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,23.0,13.0,14.0,8.0,1.0,7.0,21.0,33.3,14.0,11.0,2.0,9.0,17.0,40,27.0,0.0,35.0,447.0,43.0,149.0,191.0,114.0,22.0,446.0,23.0,17.0,73.9,6.0,26.1,178.0,1163.0,657.0,16.0,9.0,6.0,14.0,11.0,220.0,31.0,1,0,0,14.0,18.0,0.0,15.0,17.0,13.0,1.0,0.0,0,53.0,18.0,17.0,51.4,1
2017-09-17,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Home,L,0,1,Nice,0,17.0,4.0,23.5,0.0,0.0,18.6,2.0,0,0,1.0,1.0,0.06,-1.0,-1.0,3.0,1,2.0,66.7,0,0.7,-0.3,0,0,0,0,5.0,13.0,38.5,17.0,2.0,64.7,43.4,2.0,100.0,70.5,8.0,0.0,0.0,4.0,21.6,452.0,536.0,84.3,7085.0,2640.0,236.0,255.0,92.5,151.0,175.0,86.3,37.0,70.0,52.9,0,0.7,1.0,13.0,40.0,11.0,4.0,56.0,536.0,486.0,50.0,19.0,1.0,2.0,28.0,21.0,6.0,2.0,3.0,0.0,452.0,0.0,7.0,32.0,25.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,6.0,5.0,3.0,6.0,23.0,26.1,17.0,8.0,1.0,7.0,5.0,19,24.0,0.0,49.0,654.0,37.0,141.0,324.0,191.0,27.0,654.0,20.0,13.0,65.0,7.0,35.0,319.0,1530.0,780.0,21.0,15.0,3.0,16.0,9.0,451.0,55.0,1,0,0,17.0,14.0,0.0,28.0,5.0,6.0,0.0,0.0,0,63.0,12.0,9.0,57.1,1
2017-09-24,15:00 (06:00),Ligue 1,Matchweek 7,Sun,Away,D,2,2,Saint-Étienne,2,8.0,3.0,37.5,0.13,0.33,22.0,2.0,1,1,1.4,0.6,0.08,0.6,0.4,4.0,2,2.0,75.0,0,2.6,0.6,1,1,0,0,7.0,21.0,33.3,25.0,5.0,64.0,46.6,6.0,83.3,57.0,16.0,0.0,0.0,1.0,13.3,268.0,375.0,71.5,4693.0,1831.0,136.0,159.0,85.5,79.0,110.0,71.8,38.0,72.0,52.8,0,0.5,0.2,4.0,19.0,2.0,1.0,26.0,375.0,328.0,44.0,10.0,0.0,9.0,15.0,20.0,5.0,4.0,0.0,0.0,268.0,3.0,8.0,15.0,7.0,2.0,0.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,15.0,13.0,8.0,2.0,9.0,18.0,50.0,9.0,10.0,1.0,9.0,14.0,37,39.0,0.0,43.0,504.0,46.0,182.0,223.0,103.0,9.0,503.0,12.0,5.0,41.7,7.0,58.3,238.0,1332.0,575.0,15.0,14.0,4.0,19.0,17.0,265.0,26.0,3,0,0,14.0,11.0,3.0,15.0,14.0,15.0,1.0,1.0,0,58.0,14.0,12.0,53.8,1
2017-09-30,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,L,0,1,Caen,0,9.0,2.0,22.2,0.0,0.0,22.0,1.0,0,0,0.6,0.6,0.07,-0.6,-0.6,3.0,1,3.0,66.7,0,1.7,1.7,0,0,0,0,5.0,18.0,27.8,29.0,1.0,48.3,37.8,7.0,57.1,49.0,8.0,2.0,25.0,5.0,22.8,434.0,571.0,76.0,7333.0,2991.0,192.0,233.0,82.4,168.0,200.0,84.0,45.0,89.0,50.6,0,0.5,0.8,6.0,31.0,5.0,0.0,48.0,571.0,494.0,75.0,26.0,1.0,1.0,23.0,32.0,8.0,6.0,1.0,0.0,434.0,2.0,10.0,16.0,10.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,7.0,9.0,4.0,4.0,8.0,50.0,4.0,9.0,3.0,6.0,5.0,25,17.0,1.0,63.0,681.0,34.0,160.0,361.0,166.0,24.0,681.0,21.0,10.0,47.6,11.0,52.4,319.0,1574.0,844.0,14.0,11.0,4.0,23.0,20.0,431.0,48.0,4,0,0,14.0,24.0,2.0,23.0,5.0,13.0,0.0,0.0,1,70.0,26.0,12.0,68.4,1
2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,L,0,2,Guingamp,0,11.0,0.0,0.0,0.0,,24.2,3.0,0,0,0.5,0.5,0.05,-0.5,-0.5,9.0,2,7.0,77.8,0,3.2,1.2,0,0,0,0,5.0,23.0,21.7,28.0,2.0,53.6,44.3,8.0,100.0,66.8,15.0,0.0,0.0,8.0,25.4,275.0,390.0,70.5,4524.0,2005.0,133.0,156.0,85.3,82.0,117.0,70.1,35.0,80.0,43.8,0,0.3,0.5,7.0,29.0,5.0,2.0,22.0,390.0,325.0,64.0,25.0,0.0,2.0,15.0,23.0,5.0,5.0,0.0,0.0,275.0,1.0,6.0,20.0,13.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,7.0,3.0,0.0,1.0,15.0,6.7,14.0,6.0,0.0,6.0,13.0,23,41.0,2.0,52.0,509.0,61.0,146.0,258.0,110.0,11.0,509.0,20.0,13.0,65.0,7.0,35.0,208.0,1081.0,536.0,17.0,9.0,2.0,19.0,14.0,274.0,22.0,5,1,0,15.0,16.0,1.0,15.0,13.0,5.0,0.0,0.0,0,43.0,22.0,25.0,46.8,1
2017-10-21,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,1,0,Lille,1,9.0,6.0,66.7,0.11,0.17,26.2,0.0,0,0,0.7,0.7,0.08,0.3,0.3,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,4.0,22.0,18.2,23.0,2.0,78.3,49.3,4.0,100.0,68.3,15.0,1.0,6.7,2.0,14.9,233.0,337.0,69.1,3795.0,2161.0,120.0,146.0,82.2,80.0,116.0,69.0,21.0,56.0,37.5,1,0.7,0.3,8.0,20.0,3.0,1.0,30.0,337.0,271.0,65.0,24.0,0.0,0.0,6.0,34.0,2.0,1.0,1.0,0.0,233.0,1.0,4.0,15.0,13.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,11.0,7.0,2.0,8.0,24.0,33.3,16.0,16.0,4.0,12.0,16.0,36,32.0,0.0,36.0,472.0,41.0,159.0,198.0,117.0,6.0,472.0,15.0,5.0,33.3,10.0,66.7,211.0,1097.0,446.0,7.0,8.0,1.0,24.0,17.0,232.0,30.0,1,0,0,13.0,17.0,1.0,6.0,16.0,13.0,0.0,0.0,0,50.0,9.0,17.0,34.6,1
