Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2017-08-05,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,D,1,1,Rennes,1,12.0,4.0,33.3,0.08,0.25,19.1,0.0,0,0,1.9,1.9,0.16,-0.9,-0.9,3.0,1,2.0,66.7,0,1.2,0.2,0,0,0,0,5.0,26.0,19.2,23.0,4.0,56.5,43.0,13.0,100.0,63.0,22.0,2.0,9.1,2.0,16.4,220.0,353.0,62.3,3741.0,1791.0,110.0,136.0,80.9,68.0,100.0,68.0,27.0,83.0,32.5,1,1.4,0.5,7.0,15.0,5.0,2.0,22.0,353.0,296.0,55.0,9.0,1.0,2.0,14.0,25.0,6.0,4.0,1.0,0.0,220.0,2.0,13.0,16.0,11.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,15.0,13.0,5.0,1.0,7.0,21.0,33.3,14.0,11.0,5.0,6.0,17.0,36,35.0,1.0,37.0,485.0,63.0,219.0,169.0,104.0,14.0,485.0,14.0,7.0,50.0,7.0,50.0,213.0,1017.0,458.0,7.0,4.0,4.0,15.0,13.0,220.0,22.0,1,0,0,13.0,8.0,2.0,14.0,17.0,15.0,0.0,0.0,0,65.0,15.0,27.0,35.7,1
2017-08-11,19:00 (10:00),Ligue 1,Matchweek 2,Fri,Away,W,2,1,Nice,2,10.0,4.0,40.0,0.2,0.5,17.0,0.0,0,0,0.5,0.5,0.05,1.5,1.5,6.0,1,5.0,100.0,0,2.0,1.0,1,1,0,0,5.0,23.0,21.7,16.0,2.0,75.0,45.7,11.0,100.0,64.3,20.0,2.0,10.0,3.0,16.8,245.0,355.0,69.0,4222.0,1900.0,126.0,145.0,86.9,75.0,98.0,76.5,32.0,76.0,42.1,2,0.5,0.5,10.0,22.0,8.0,2.0,30.0,355.0,308.0,45.0,11.0,0.0,1.0,15.0,17.0,4.0,0.0,0.0,0.0,245.0,2.0,12.0,18.0,17.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,16.0,11.0,10.0,2.0,4.0,24.0,16.7,20.0,12.0,6.0,6.0,17.0,40,33.0,1.0,31.0,462.0,60.0,176.0,199.0,96.0,16.0,462.0,10.0,7.0,70.0,3.0,30.0,225.0,1150.0,593.0,12.0,7.0,4.0,11.0,2.0,244.0,30.0,3,0,0,8.0,11.0,2.0,15.0,17.0,16.0,0.0,1.0,0,59.0,6.0,17.0,26.1,1
2017-08-19,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,1,Nantes,0,8.0,1.0,12.5,0.0,0.0,19.3,0.0,0,0,0.8,0.8,0.11,-0.8,-0.8,4.0,1,3.0,75.0,0,1.4,0.4,0,0,0,0,2.0,9.0,22.2,28.0,7.0,28.6,33.4,4.0,25.0,27.0,19.0,3.0,15.8,2.0,17.2,557.0,683.0,81.6,10312.0,3349.0,229.0,259.0,88.4,245.0,277.0,88.4,73.0,116.0,62.9,0,0.8,0.9,7.0,47.0,13.0,4.0,69.0,683.0,635.0,47.0,14.0,1.0,6.0,28.0,25.0,2.0,1.0,0.0,0.0,557.0,1.0,11.0,15.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,12.0,4.0,1.0,7.0,16.0,43.8,9.0,9.0,3.0,6.0,10.0,27,30.0,0.0,64.0,795.0,60.0,219.0,405.0,176.0,16.0,795.0,16.0,9.0,56.3,7.0,43.8,483.0,2426.0,1313.0,21.0,14.0,4.0,10.0,19.0,557.0,69.0,1,0,0,7.0,8.0,1.0,28.0,10.0,11.0,0.0,0.0,0,62.0,18.0,23.0,43.9,1
2017-08-26,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,1,2,Bordeaux,1,5.0,2.0,40.0,0.2,0.5,16.4,0.0,0,0,0.7,0.7,0.14,0.3,0.3,7.0,2,5.0,71.4,0,2.6,0.6,0,0,0,0,12.0,25.0,48.0,32.0,4.0,62.5,43.5,7.0,71.4,54.0,11.0,2.0,18.2,1.0,11.0,362.0,461.0,78.5,7028.0,2853.0,132.0,152.0,86.8,168.0,195.0,86.2,49.0,85.0,57.6,1,0.7,0.6,5.0,29.0,6.0,1.0,32.0,461.0,407.0,51.0,12.0,0.0,1.0,21.0,25.0,4.0,3.0,0.0,0.0,362.0,3.0,6.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,9.0,1.0,4.0,7.0,16.0,43.8,9.0,10.0,3.0,7.0,11.0,25,22.0,2.0,44.0,547.0,59.0,187.0,252.0,113.0,11.0,547.0,6.0,2.0,33.3,4.0,66.7,274.0,1407.0,715.0,13.0,12.0,2.0,12.0,16.0,360.0,32.0,1,0,0,17.0,8.0,3.0,21.0,11.0,10.0,0.0,0.0,0,45.0,11.0,17.0,39.3,1
2017-09-09,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,D,0,0,Toulouse,0,11.0,3.0,27.3,0.0,0.0,23.5,1.0,0,0,0.6,0.6,0.06,-0.6,-0.6,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,3.0,22.0,13.6,24.0,4.0,54.2,42.4,10.0,90.0,63.6,9.0,0.0,0.0,0.0,,346.0,465.0,74.4,6582.0,2306.0,148.0,174.0,85.1,137.0,161.0,85.1,50.0,101.0,49.5,0,0.5,0.5,8.0,31.0,7.0,2.0,38.0,465.0,407.0,52.0,13.0,1.0,10.0,22.0,24.0,4.0,1.0,2.0,0.0,346.0,6.0,7.0,21.0,16.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,9.0,2.0,2.0,6.0,13.0,46.2,7.0,9.0,2.0,7.0,7.0,20,20.0,0.0,47.0,554.0,44.0,183.0,248.0,125.0,12.0,554.0,6.0,3.0,50.0,3.0,50.0,278.0,1694.0,921.0,21.0,8.0,4.0,14.0,9.0,344.0,38.0,2,0,0,12.0,12.0,6.0,22.0,7.0,9.0,0.0,0.0,0,45.0,12.0,25.0,32.4,1
2017-09-16,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,L,0,1,Montpellier,0,7.0,0.0,0.0,0.0,,21.0,1.0,0,0,0.7,0.7,0.11,-0.7,-0.7,3.0,1,2.0,66.7,0,1.1,0.1,0,0,0,0,6.0,12.0,50.0,15.0,3.0,26.7,29.1,10.0,80.0,55.0,13.0,0.0,0.0,0.0,,405.0,528.0,76.7,7538.0,2893.0,152.0,177.0,85.9,188.0,215.0,87.4,50.0,96.0,52.1,0,0.3,0.5,5.0,33.0,6.0,2.0,43.0,528.0,469.0,58.0,13.0,0.0,1.0,19.0,31.0,2.0,0.0,1.0,0.0,405.0,1.0,12.0,12.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,6.0,8.0,0.0,9.0,21.0,42.9,12.0,3.0,1.0,2.0,8.0,22,23.0,0.0,49.0,619.0,44.0,170.0,319.0,132.0,8.0,619.0,10.0,5.0,50.0,5.0,50.0,412.0,1985.0,751.0,13.0,14.0,0.0,11.0,18.0,405.0,43.0,5,1,1,19.0,10.0,1.0,19.0,8.0,11.0,0.0,0.0,0,51.0,14.0,20.0,41.2,1
2017-09-23,20:00 (11:00),Ligue 1,Matchweek 7,Sat,Away,W,1,0,Metz,1,9.0,3.0,33.3,0.11,0.33,25.2,0.0,0,0,0.6,0.6,0.07,0.4,0.4,7.0,0,7.0,100.0,1,0.4,0.4,0,0,0,0,5.0,22.0,22.7,28.0,7.0,50.0,45.1,9.0,88.9,62.6,28.0,3.0,10.7,0.0,4.8,284.0,403.0,70.5,5446.0,2345.0,115.0,147.0,78.2,102.0,135.0,75.6,53.0,99.0,53.5,1,0.6,0.5,8.0,29.0,6.0,1.0,35.0,403.0,357.0,46.0,15.0,3.0,3.0,17.0,17.0,4.0,2.0,2.0,0.0,284.0,0.0,7.0,15.0,13.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,16.0,18.0,5.0,2.0,12.0,18.0,66.7,6.0,12.0,2.0,10.0,7.0,32,37.0,0.0,38.0,527.0,71.0,217.0,210.0,109.0,11.0,527.0,13.0,8.0,61.5,5.0,38.5,257.0,1595.0,911.0,16.0,11.0,1.0,17.0,10.0,284.0,35.0,3,1,1,12.0,11.0,0.0,17.0,7.0,16.0,0.0,0.0,0,66.0,22.0,10.0,68.8,1
2017-10-01,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,2,1,Saint-Étienne,2,9.0,7.0,77.8,0.22,0.29,20.6,1.0,0,0,0.8,0.8,0.09,1.2,1.2,3.0,1,2.0,66.7,0,1.0,0.0,0,0,0,0,7.0,28.0,25.0,23.0,5.0,65.2,47.6,13.0,100.0,64.1,29.0,3.0,10.3,0.0,7.3,164.0,254.0,64.6,3352.0,1723.0,62.0,76.0,81.6,61.0,80.0,76.3,29.0,71.0,40.8,1,0.6,0.6,6.0,16.0,6.0,0.0,23.0,254.0,194.0,59.0,20.0,1.0,3.0,14.0,19.0,5.0,4.0,0.0,0.0,164.0,1.0,13.0,11.0,9.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,15.0,7.0,10.0,3.0,2.0,4.0,9.0,44.4,5.0,16.0,4.0,12.0,9.0,24,43.0,1.0,29.0,372.0,70.0,187.0,126.0,66.0,11.0,372.0,15.0,7.0,46.7,8.0,53.3,161.0,1017.0,614.0,11.0,9.0,1.0,11.0,7.0,162.0,22.0,3,1,0,7.0,15.0,1.0,14.0,9.0,7.0,0.0,0.0,0,43.0,7.0,15.0,31.8,1
2017-10-14,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Lille,2,10.0,1.0,10.0,0.1,1.0,23.7,1.0,1,1,1.5,0.7,0.07,0.5,0.3,6.0,2,4.0,66.7,0,1.6,-0.4,0,0,0,0,8.0,31.0,25.8,18.0,1.0,83.3,51.6,16.0,100.0,61.8,13.0,0.0,0.0,0.0,14.0,194.0,294.0,66.0,3694.0,2044.0,88.0,107.0,82.2,73.0,89.0,82.0,28.0,77.0,36.4,1,0.6,0.9,6.0,14.0,3.0,1.0,20.0,294.0,237.0,54.0,17.0,0.0,2.0,9.0,17.0,1.0,0.0,1.0,0.0,194.0,3.0,4.0,20.0,16.0,1.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,17.0,10.0,10.0,5.0,2.0,5.0,23.0,21.7,18.0,4.0,2.0,2.0,16.0,33,20.0,0.0,29.0,391.0,51.0,152.0,167.0,76.0,9.0,390.0,6.0,4.0,66.7,2.0,33.3,204.0,1344.0,511.0,7.0,12.0,0.0,13.0,9.0,194.0,20.0,2,0,0,12.0,15.0,3.0,9.0,16.0,10.0,1.0,0.0,0,43.0,11.0,16.0,40.7,1
2017-10-22,17:00 (08:00),Ligue 1,Matchweek 10,Sun,Home,L,0,5,Lyon,0,9.0,3.0,33.3,0.0,0.0,25.7,2.0,0,0,0.4,0.4,0.04,-0.4,-0.4,9.0,5,4.0,55.6,0,4.3,-0.7,1,1,0,0,2.0,9.0,22.2,18.0,3.0,33.3,35.1,3.0,100.0,66.3,8.0,0.0,0.0,2.0,12.8,351.0,450.0,78.0,6398.0,1993.0,156.0,176.0,88.6,147.0,172.0,85.5,39.0,72.0,54.2,0,0.2,0.3,5.0,27.0,6.0,1.0,47.0,450.0,399.0,49.0,14.0,0.0,9.0,18.0,22.0,4.0,0.0,0.0,0.0,351.0,2.0,14.0,13.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,16.0,16.0,6.0,1.0,6.0,27.0,22.2,21.0,8.0,2.0,6.0,12.0,35,15.0,0.0,43.0,549.0,47.0,154.0,248.0,153.0,15.0,549.0,16.0,7.0,43.8,9.0,56.3,316.0,1673.0,880.0,15.0,16.0,4.0,15.0,7.0,350.0,46.0,2,1,0,12.0,12.0,2.0,18.0,12.0,16.0,0.0,1.0,0,52.0,6.0,14.0,30.0,1
