Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-11,17:00 (08:00),Ligue 1,Matchweek 1,Sat,Home,L,1,3,Monaco,1,16.0,4.0,25.0,0.06,0.25,18.2,0.0,0,0,1.4,1.4,0.09,-0.4,-0.4,6.0,3,3.0,50.0,0,3.4,0.4,0,0,0,0,8.0,10.0,80.0,30.0,5.0,30.0,31.5,8.0,12.5,28.5,11.0,1.0,9.1,7.0,20.6,440.0,551.0,79.9,8183.0,3203.0,189.0,221.0,85.5,171.0,202.0,84.7,61.0,92.0,66.3,1,1.0,1.2,11.0,37.0,15.0,4.0,55.0,551.0,481.0,69.0,19.0,0.0,13.0,27.0,31.0,7.0,5.0,0.0,0.0,440.0,1.0,13.0,27.0,22.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,4.0,7.0,4.0,2.0,8.0,25.0,6.0,7.0,1.0,6.0,18.0,33,15.0,0.0,65.0,673.0,50.0,143.0,312.0,221.0,31.0,673.0,17.0,6.0,35.3,11.0,64.7,326.0,1443.0,697.0,18.0,12.0,6.0,29.0,10.0,437.0,55.0,1,0,0,8.0,14.0,1.0,27.0,18.0,7.0,0.0,0.0,0,51.0,13.0,18.0,41.9,1
2018-08-18,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,2,Dijon,0,7.0,0.0,0.0,0.0,,23.6,1.0,0,0,0.3,0.3,0.04,-0.3,-0.3,7.0,2,5.0,71.4,0,2.9,0.9,0,0,0,0,8.0,13.0,61.5,37.0,13.0,27.0,30.9,6.0,50.0,42.3,10.0,0.0,0.0,1.0,21.5,550.0,662.0,83.1,9706.0,3313.0,249.0,273.0,91.2,218.0,252.0,86.5,57.0,89.0,64.0,0,0.2,0.6,5.0,40.0,5.0,3.0,47.0,662.0,591.0,69.0,23.0,0.0,12.0,17.0,33.0,4.0,2.0,0.0,0.0,550.0,2.0,12.0,14.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,3.0,5.0,6.0,19.0,31.6,13.0,10.0,1.0,9.0,10.0,20,8.0,0.0,68.0,751.0,48.0,174.0,373.0,210.0,11.0,751.0,22.0,12.0,54.5,10.0,45.5,499.0,2007.0,975.0,12.0,14.0,2.0,22.0,12.0,545.0,47.0,1,1,0,13.0,18.0,2.0,17.0,10.0,6.0,0.0,0.0,0,49.0,12.0,12.0,50.0,1
2018-08-25,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,D,1,1,Caen,1,15.0,2.0,13.3,0.0,0.0,26.5,4.0,1,1,1.8,1.0,0.07,-0.8,-1.0,2.0,1,1.0,50.0,0,0.7,-0.3,0,0,0,0,0.0,1.0,0.0,25.0,5.0,4.0,24.6,3.0,0.0,26.3,13.0,0.0,0.0,2.0,25.3,445.0,575.0,77.4,7396.0,2976.0,216.0,251.0,86.1,170.0,218.0,78.0,43.0,74.0,58.1,0,0.5,0.6,7.0,28.0,7.0,3.0,58.0,575.0,510.0,63.0,14.0,1.0,6.0,27.0,41.0,3.0,2.0,0.0,0.0,445.0,2.0,10.0,30.0,22.0,0.0,1.0,0.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,5.0,4.0,7.0,3.0,3.0,6.0,50.0,3.0,9.0,0.0,9.0,8.0,22,21.0,0.0,65.0,675.0,46.0,155.0,338.0,190.0,14.0,674.0,16.0,8.0,50.0,8.0,50.0,390.0,1709.0,965.0,14.0,11.0,2.0,14.0,14.0,443.0,58.0,2,0,0,16.0,16.0,2.0,27.0,8.0,5.0,1.0,0.0,0,59.0,31.0,24.0,56.4,1
2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,W,3,2,Strasbourg,2,14.0,5.0,35.7,0.14,0.4,20.8,1.0,0,0,1.2,1.2,0.08,0.8,0.8,5.0,2,3.0,60.0,0,2.0,0.0,0,0,0,0,2.0,12.0,16.7,21.0,2.0,47.6,37.3,6.0,33.3,37.8,19.0,2.0,10.5,0.0,10.7,408.0,526.0,77.6,6821.0,2480.0,196.0,223.0,87.9,144.0,176.0,81.8,44.0,82.0,53.7,2,1.1,0.7,12.0,26.0,9.0,3.0,45.0,526.0,474.0,52.0,12.0,0.0,5.0,21.0,28.0,3.0,2.0,0.0,0.0,408.0,0.0,16.0,23.0,22.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,11.0,7.0,3.0,6.0,11.0,54.5,5.0,12.0,3.0,9.0,7.0,28,32.0,1.0,51.0,651.0,55.0,188.0,309.0,156.0,12.0,651.0,13.0,6.0,46.2,7.0,53.8,328.0,1468.0,770.0,18.0,17.0,3.0,17.0,11.0,403.0,44.0,2,0,0,12.0,10.0,0.0,21.0,7.0,14.0,0.0,0.0,0,62.0,17.0,17.0,50.0,1
2018-09-16,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,D,0,0,Reims,0,12.0,6.0,50.0,0.0,0.0,17.4,1.0,0,0,0.9,0.9,0.08,-0.9,-0.9,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,3.0,7.0,42.9,28.0,8.0,17.9,25.0,6.0,33.3,33.2,16.0,2.0,12.5,3.0,16.3,485.0,593.0,81.8,8464.0,2824.0,226.0,259.0,87.3,181.0,211.0,85.8,56.0,87.0,64.4,0,0.4,1.0,6.0,45.0,8.0,5.0,53.0,593.0,533.0,58.0,18.0,0.0,9.0,29.0,26.0,7.0,1.0,5.0,0.0,485.0,2.0,5.0,16.0,6.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,6.0,5.0,8.0,9.0,16.0,56.3,7.0,7.0,2.0,5.0,16.0,35,18.0,0.0,66.0,697.0,55.0,156.0,343.0,202.0,18.0,697.0,18.0,10.0,55.6,8.0,44.4,425.0,2201.0,1308.0,21.0,13.0,1.0,17.0,19.0,483.0,53.0,3,0,0,13.0,11.0,2.0,29.0,16.0,14.0,0.0,0.0,0,49.0,27.0,14.0,65.9,1
2018-09-22,17:00 (08:00),Ligue 1,Matchweek 6,Sat,Away,L,1,2,Lille,1,11.0,4.0,36.4,0.09,0.25,15.8,0.0,0,0,1.8,1.8,0.16,-0.8,-0.8,8.0,2,6.0,75.0,0,1.8,-0.2,0,0,0,0,3.0,5.0,60.0,23.0,8.0,13.0,22.9,4.0,50.0,37.0,7.0,0.0,0.0,3.0,30.7,404.0,521.0,77.5,6700.0,2813.0,193.0,228.0,84.6,157.0,189.0,83.1,35.0,67.0,52.2,0,1.1,0.6,8.0,32.0,8.0,1.0,51.0,521.0,470.0,48.0,15.0,1.0,5.0,19.0,25.0,1.0,0.0,0.0,0.0,404.0,3.0,12.0,18.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,16.0,16.0,0.0,17.0,27.0,63.0,10.0,7.0,1.0,6.0,16.0,48,17.0,0.0,57.0,647.0,53.0,186.0,328.0,141.0,21.0,647.0,6.0,4.0,66.7,2.0,33.3,367.0,1873.0,1050.0,22.0,16.0,7.0,15.0,13.0,402.0,51.0,4,0,0,12.0,15.0,3.0,19.0,16.0,19.0,0.0,0.0,0,69.0,20.0,13.0,60.6,1
2018-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Home,L,1,2,Nice,1,10.0,3.0,30.0,0.1,0.33,23.9,1.0,0,0,1.0,1.0,0.1,0.0,0.0,5.0,2,3.0,60.0,0,1.8,-0.2,0,0,0,0,8.0,18.0,44.4,28.0,3.0,46.4,39.4,7.0,71.4,46.0,9.0,1.0,11.1,3.0,20.5,385.0,521.0,73.9,6633.0,2467.0,172.0,207.0,83.1,143.0,183.0,78.1,46.0,83.0,55.4,1,0.9,1.0,8.0,24.0,8.0,1.0,39.0,521.0,457.0,62.0,15.0,2.0,5.0,29.0,29.0,8.0,3.0,5.0,0.0,385.0,2.0,16.0,19.0,15.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,17.0,12.0,10.0,2.0,10.0,19.0,52.6,9.0,10.0,4.0,6.0,12.0,36,16.0,1.0,51.0,636.0,65.0,182.0,277.0,185.0,18.0,636.0,11.0,5.0,45.5,6.0,54.5,340.0,1711.0,891.0,24.0,20.0,4.0,18.0,11.0,382.0,39.0,1,0,0,12.0,15.0,2.0,29.0,12.0,17.0,0.0,0.0,0,72.0,19.0,17.0,52.8,1
2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,D,1,1,Lyon,1,19.0,4.0,21.1,0.05,0.25,21.0,1.0,0,0,1.2,1.2,0.06,-0.2,-0.2,7.0,1,5.0,85.7,0,1.9,0.9,1,0,1,0,11.0,19.0,57.9,21.0,1.0,42.9,37.8,10.0,100.0,54.3,16.0,3.0,18.8,2.0,12.4,388.0,481.0,80.7,6569.0,2426.0,196.0,224.0,87.5,127.0,148.0,85.8,48.0,78.0,61.5,1,1.1,0.6,16.0,29.0,2.0,0.0,41.0,481.0,427.0,53.0,15.0,1.0,3.0,20.0,16.0,10.0,2.0,6.0,0.0,388.0,1.0,6.0,31.0,23.0,4.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,14.0,6.0,15.0,5.0,11.0,22.0,50.0,11.0,16.0,4.0,12.0,6.0,32,16.0,0.0,50.0,610.0,54.0,144.0,308.0,164.0,17.0,610.0,17.0,6.0,35.3,11.0,64.7,368.0,1848.0,969.0,23.0,21.0,7.0,18.0,9.0,387.0,41.0,3,0,0,12.0,14.0,1.0,20.0,6.0,14.0,0.0,1.0,0,48.0,19.0,16.0,54.3,1
2018-10-07,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,L,0,3,Bordeaux,0,12.0,2.0,16.7,0.0,0.0,20.2,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,7.0,3,4.0,71.4,0,2.9,-0.1,1,1,0,0,5.0,14.0,35.7,18.0,4.0,38.9,36.4,7.0,100.0,57.3,11.0,0.0,0.0,1.0,11.3,342.0,490.0,69.8,5996.0,2553.0,166.0,203.0,81.8,110.0,169.0,65.1,50.0,82.0,61.0,0,0.5,0.7,9.0,34.0,4.0,2.0,41.0,490.0,420.0,69.0,20.0,0.0,3.0,26.0,32.0,6.0,4.0,1.0,0.0,342.0,1.0,13.0,21.0,14.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,5.0,7.0,4.0,5.0,12.0,41.7,7.0,13.0,3.0,10.0,10.0,26,12.0,1.0,46.0,595.0,40.0,127.0,298.0,172.0,22.0,595.0,12.0,2.0,16.7,10.0,83.3,296.0,1445.0,774.0,19.0,12.0,2.0,19.0,11.0,339.0,41.0,1,0,0,15.0,19.0,1.0,26.0,10.0,10.0,0.0,1.0,0,67.0,27.0,17.0,61.4,1
2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,4,0,Toulouse,4,17.0,9.0,52.9,0.24,0.44,20.7,0.0,0,0,2.5,2.5,0.15,1.5,1.5,2.0,0,2.0,100.0,1,0.5,0.5,0,0,0,0,4.0,9.0,44.4,15.0,4.0,33.3,35.3,5.0,80.0,53.2,7.0,0.0,0.0,1.0,11.5,364.0,498.0,73.1,5902.0,2593.0,181.0,211.0,85.8,117.0,154.0,76.0,41.0,79.0,51.9,2,0.9,0.6,11.0,22.0,8.0,4.0,35.0,498.0,448.0,46.0,16.0,0.0,9.0,20.0,20.0,4.0,3.0,0.0,0.0,364.0,4.0,12.0,25.0,20.0,1.0,0.0,2.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,24.0,23.0,11.0,10.0,3.0,14.0,19.0,73.7,5.0,15.0,2.0,13.0,16.0,40,19.0,0.0,48.0,629.0,36.0,179.0,303.0,151.0,19.0,629.0,12.0,5.0,41.7,7.0,58.3,313.0,1320.0,645.0,15.0,9.0,5.0,18.0,6.0,364.0,35.0,3,0,0,12.0,11.0,4.0,20.0,16.0,23.0,0.0,0.0,0,77.0,23.0,12.0,65.7,1
