Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2018-08-12,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Away,W,2,0,Bordeaux,2,17.0,6.0,35.3,0.12,0.33,21.6,2.0,0,0,1.5,1.5,0.09,0.5,0.5,2.0,0,2.0,100.0,1,0.2,0.2,0,0,0,0,3.0,8.0,37.5,18.0,3.0,22.2,30.6,6.0,66.7,47.3,11.0,1.0,9.1,0.0,7.7,527.0,632.0,83.4,9548.0,2814.0,235.0,263.0,89.4,206.0,232.0,88.8,64.0,100.0,64.0,2,1.3,1.5,12.0,30.0,12.0,4.0,60.0,632.0,579.0,51.0,4.0,1.0,10.0,23.0,30.0,10.0,3.0,2.0,0.0,527.0,2.0,6.0,29.0,20.0,3.0,2.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,20.0,17.0,10.0,9.0,1.0,11.0,19.0,57.9,8.0,8.0,1.0,7.0,6.0,26,15.0,0.0,66.0,735.0,35.0,162.0,373.0,206.0,21.0,735.0,19.0,9.0,47.4,10.0,52.6,490.0,2235.0,1290.0,21.0,23.0,6.0,15.0,16.0,522.0,59.0,0,0,0,12.0,5.0,2.0,23.0,6.0,17.0,0.0,0.0,0,49.0,24.0,17.0,58.5,1
2018-08-19,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Saint-Étienne,1,11.0,5.0,45.5,0.09,0.2,19.4,1.0,0,0,0.6,0.6,0.06,0.4,0.4,2.0,1,1.0,50.0,0,0.6,-0.4,0,0,0,0,4.0,9.0,44.4,17.0,7.0,17.6,27.4,7.0,85.7,53.7,5.0,0.0,0.0,1.0,14.0,500.0,597.0,83.8,8983.0,2588.0,225.0,247.0,91.1,199.0,229.0,86.9,62.0,89.0,69.7,1,0.5,0.6,10.0,41.0,10.0,3.0,58.0,597.0,547.0,49.0,7.0,3.0,8.0,27.0,26.0,7.0,4.0,1.0,0.0,500.0,1.0,13.0,20.0,15.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,7.0,6.0,3.0,2.0,3.0,7.0,42.9,4.0,14.0,2.0,12.0,11.0,22,9.0,0.0,58.0,686.0,36.0,129.0,344.0,215.0,22.0,686.0,13.0,8.0,61.5,5.0,38.5,468.0,2070.0,1271.0,25.0,24.0,5.0,16.0,4.0,497.0,58.0,1,0,0,11.0,7.0,1.0,27.0,11.0,7.0,0.0,0.0,0,38.0,17.0,12.0,58.6,1
2018-08-24,20:45 (11:45),Ligue 1,Matchweek 3,Fri,Away,L,0,2,Lyon,0,9.0,1.0,11.1,0.0,0.0,20.5,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,10.0,2,8.0,80.0,0,2.0,0.0,0,0,0,0,9.0,24.0,37.5,21.0,4.0,57.1,40.8,13.0,92.3,61.2,11.0,1.0,9.1,0.0,8.5,297.0,395.0,75.2,5216.0,2060.0,149.0,165.0,90.3,111.0,131.0,84.7,28.0,72.0,38.9,0,0.4,0.5,8.0,23.0,3.0,1.0,28.0,395.0,345.0,48.0,13.0,0.0,5.0,13.0,15.0,4.0,2.0,0.0,1.0,297.0,2.0,8.0,18.0,14.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,9.0,8.0,4.0,7.0,18.0,38.9,11.0,18.0,5.0,13.0,14.0,35,15.0,0.0,39.0,503.0,58.0,175.0,236.0,100.0,12.0,503.0,13.0,8.0,61.5,5.0,38.5,297.0,1772.0,1092.0,25.0,17.0,4.0,15.0,12.0,295.0,28.0,2,0,0,13.0,12.0,2.0,13.0,14.0,15.0,0.0,0.0,0,58.0,9.0,14.0,39.1,1
2018-09-01,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Home,L,2,3,Nantes,2,10.0,5.0,50.0,0.2,0.4,14.1,0.0,0,0,1.4,1.4,0.14,0.6,0.6,5.0,3,3.0,40.0,0,0.7,-1.3,0,0,0,0,13.0,26.0,50.0,24.0,3.0,70.8,46.8,10.0,90.0,52.5,16.0,1.0,6.3,1.0,20.0,372.0,505.0,73.7,7484.0,2986.0,148.0,183.0,80.9,140.0,173.0,80.9,66.0,110.0,60.0,2,1.3,1.3,8.0,29.0,5.0,3.0,36.0,505.0,449.0,55.0,12.0,1.0,14.0,23.0,28.0,1.0,0.0,1.0,0.0,372.0,1.0,11.0,14.0,10.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,8.0,9.0,1.0,7.0,13.0,53.8,6.0,17.0,3.0,14.0,12.0,30,16.0,1.0,49.0,614.0,54.0,193.0,288.0,141.0,22.0,614.0,11.0,5.0,45.5,6.0,54.5,364.0,1773.0,840.0,21.0,14.0,5.0,17.0,15.0,371.0,36.0,1,0,0,12.0,11.0,1.0,23.0,12.0,16.0,0.0,0.0,1,66.0,17.0,17.0,50.0,1
2018-09-15,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Away,D,1,1,Montpellier,1,7.0,1.0,14.3,0.14,1.0,18.7,0.0,0,0,0.5,0.5,0.07,0.5,0.5,3.0,1,2.0,66.7,0,0.4,-0.6,0,0,0,0,8.0,14.0,57.1,22.0,6.0,40.9,37.1,6.0,83.3,47.8,17.0,1.0,5.9,1.0,11.8,434.0,535.0,81.1,8525.0,2785.0,174.0,202.0,86.1,171.0,196.0,87.2,73.0,101.0,72.3,1,0.4,0.6,5.0,24.0,10.0,5.0,43.0,535.0,480.0,55.0,17.0,0.0,19.0,20.0,25.0,5.0,0.0,3.0,0.0,434.0,0.0,12.0,12.0,9.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,11.0,7.0,0.0,4.0,13.0,30.8,9.0,4.0,4.0,0.0,10.0,28,25.0,0.0,58.0,634.0,42.0,181.0,314.0,143.0,13.0,634.0,14.0,3.0,21.4,11.0,78.6,397.0,1867.0,876.0,16.0,16.0,2.0,14.0,6.0,432.0,43.0,2,0,0,14.0,15.0,0.0,20.0,10.0,14.0,0.0,0.0,0,40.0,14.0,15.0,48.3,1
2018-09-22,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Home,W,3,1,Amiens,2,13.0,6.0,46.2,0.15,0.33,20.7,1.0,0,0,1.3,1.3,0.1,0.7,0.7,3.0,1,2.0,66.7,0,1.3,0.3,0,0,0,0,6.0,21.0,28.6,22.0,6.0,63.6,45.9,8.0,87.5,57.4,10.0,0.0,0.0,0.0,6.0,407.0,511.0,79.6,7385.0,2371.0,181.0,199.0,91.0,151.0,181.0,83.4,54.0,94.0,57.4,1,1.1,0.9,9.0,34.0,6.0,2.0,44.0,511.0,453.0,55.0,12.0,0.0,8.0,18.0,32.0,1.0,1.0,0.0,0.0,407.0,3.0,6.0,22.0,18.0,1.0,1.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,20.0,13.0,7.0,8.0,5.0,7.0,11.0,63.6,4.0,6.0,2.0,4.0,17.0,37,13.0,3.0,53.0,619.0,49.0,158.0,278.0,189.0,17.0,619.0,12.0,7.0,58.3,5.0,41.7,381.0,1740.0,1060.0,19.0,20.0,4.0,25.0,14.0,402.0,43.0,1,0,0,16.0,13.0,3.0,18.0,17.0,13.0,0.0,0.0,0,49.0,13.0,12.0,52.0,1
2018-09-26,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,2,3,Marseille,2,9.0,5.0,55.6,0.22,0.4,21.1,0.0,0,0,0.8,0.8,0.09,1.2,1.2,5.0,3,2.0,60.0,0,2.3,-0.7,1,1,0,0,5.0,16.0,31.3,27.0,4.0,40.7,36.6,7.0,71.4,55.4,14.0,2.0,14.3,1.0,11.0,376.0,480.0,78.3,6781.0,2478.0,174.0,202.0,86.1,143.0,173.0,82.7,50.0,75.0,66.7,2,0.8,0.5,7.0,16.0,4.0,0.0,33.0,480.0,426.0,48.0,12.0,1.0,10.0,7.0,23.0,2.0,0.0,1.0,0.0,376.0,6.0,11.0,17.0,15.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,8.0,10.0,2.0,5.0,11.0,45.5,6.0,8.0,3.0,5.0,11.0,31,14.0,0.0,47.0,572.0,59.0,209.0,283.0,82.0,9.0,572.0,8.0,5.0,62.5,3.0,37.5,374.0,1704.0,952.0,16.0,6.0,2.0,18.0,10.0,374.0,33.0,3,0,0,13.0,11.0,6.0,7.0,11.0,10.0,0.0,1.0,0,49.0,12.0,14.0,46.2,1
2018-09-29,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Home,W,3,0,Dijon,3,7.0,5.0,71.4,0.43,0.6,15.2,0.0,0,0,1.0,1.0,0.14,2.0,2.0,0.0,0,0.0,,1,0.0,0.0,0,0,0,0,13.0,30.0,43.3,36.0,8.0,61.1,42.4,11.0,72.7,54.2,7.0,1.0,14.3,0.0,10.0,354.0,475.0,74.5,6418.0,2670.0,144.0,172.0,83.7,139.0,167.0,83.2,47.0,85.0,55.3,3,1.0,0.4,7.0,16.0,3.0,2.0,20.0,475.0,417.0,55.0,19.0,2.0,2.0,7.0,24.0,0.0,0.0,0.0,0.0,354.0,3.0,13.0,12.0,8.0,1.0,2.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,16.0,8.0,3.0,11.0,2.0,2.0,9.0,22.2,7.0,16.0,7.0,9.0,16.0,32,17.0,0.0,49.0,584.0,63.0,211.0,283.0,97.0,9.0,584.0,14.0,8.0,57.1,6.0,42.9,360.0,1655.0,803.0,24.0,19.0,4.0,21.0,15.0,353.0,20.0,1,0,0,11.0,17.0,3.0,7.0,16.0,8.0,0.0,0.0,0,51.0,18.0,28.0,39.1,1
2018-10-06,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Away,D,2,2,Angers,2,9.0,4.0,44.4,0.22,0.5,16.2,0.0,0,0,1.3,1.3,0.15,0.7,0.7,6.0,2,3.0,66.7,0,2.8,0.8,1,0,1,0,6.0,27.0,22.2,19.0,3.0,68.4,49.6,14.0,100.0,65.6,36.0,3.0,8.3,2.0,10.5,261.0,361.0,72.3,4634.0,1910.0,100.0,115.0,87.0,99.0,126.0,78.6,35.0,80.0,43.8,2,1.4,0.9,9.0,15.0,5.0,0.0,22.0,361.0,317.0,44.0,11.0,2.0,2.0,7.0,15.0,1.0,1.0,0.0,0.0,261.0,0.0,11.0,16.0,14.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,10.0,5.0,1.0,6.0,13.0,46.2,7.0,14.0,7.0,7.0,8.0,24,40.0,0.0,38.0,482.0,84.0,199.0,187.0,101.0,13.0,482.0,11.0,4.0,36.4,7.0,63.6,239.0,1310.0,682.0,14.0,13.0,3.0,9.0,9.0,259.0,22.0,5,0,0,13.0,10.0,0.0,7.0,8.0,11.0,0.0,1.0,0,44.0,6.0,21.0,22.2,1
2018-10-20,20:00 (11:00),Ligue 1,Matchweek 10,Sat,Home,W,2,1,Monaco,2,8.0,5.0,62.5,0.25,0.4,20.2,0.0,0,0,0.9,0.9,0.11,1.1,1.1,3.0,1,2.0,100.0,0,1.2,0.2,1,1,0,0,1.0,12.0,8.3,22.0,8.0,31.8,35.3,8.0,62.5,50.3,14.0,0.0,0.0,3.0,22.3,335.0,430.0,77.9,6533.0,2154.0,137.0,166.0,82.5,133.0,154.0,86.4,52.0,87.0,59.8,2,0.9,0.6,8.0,23.0,4.0,3.0,26.0,430.0,383.0,47.0,15.0,2.0,11.0,16.0,18.0,4.0,2.0,2.0,0.0,335.0,0.0,8.0,15.0,10.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,8.0,7.0,1.0,4.0,8.0,50.0,4.0,13.0,4.0,9.0,11.0,27,20.0,0.0,47.0,531.0,58.0,201.0,234.0,100.0,11.0,531.0,11.0,6.0,54.5,5.0,45.5,328.0,1564.0,857.0,15.0,9.0,2.0,14.0,6.0,333.0,24.0,2,0,0,13.0,11.0,0.0,16.0,11.0,9.0,0.0,1.0,0,36.0,10.0,17.0,37.0,1
