Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-10,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Home,L,1,2,Saint-Étienne,1,14,5,35.7,0.0,0.0,18.3,0.0,1,1,2.1,1.5,0.11,-1.1,-1.5,4,2,2,50.0,0,0.8,-1.2,0,0,0,0,6.0,10.0,60.0,24.0,6.0,29.2,28.5,7.0,42.9,41.1,11.0,0.0,0.0,0.0,15.0,411.0,518.0,79.3,8566.0,3345.0,135.0,158.0,85.4,213.0,252.0,84.5,60.0,97.0,61.9,0,1.4,1.0,12.0,39.0,9.0,4.0,46.0,518.0,459.0,59.0,10.0,2.0,7.0,28,27.0,12.0,9.0,3.0,0.0,411.0,0.0,8.0,26.0,19.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,12,6.0,7.0,3.0,3.0,8.0,37.5,5.0,9.0,2.0,7.0,13,29,15.0,1.0,53.0,617.0,54.0,182.0,297.0,144.0,25.0,616.0,14.0,9.0,64.3,5.0,35.7,319.0,1800.0,926.0,18.0,15.0,2.0,16.0,13.0,405.0,45.0,0,0,0,17,8,0,28,13,12,0.0,0.0,0,49.0,22.0,15.0,59.5,1
2019-08-17,20:00 (11:00),Ligue 1,Matchweek 2,Sat,Away,L,0,1,Toulouse,0,18,5,27.8,0.0,0.0,20.1,1.0,0,0,1.3,1.3,0.07,-1.3,-1.3,6,1,5,83.3,0,1.6,0.6,0,0,0,0,7.0,9.0,77.8,27.0,9.0,14.8,23.2,13.0,38.5,39.2,20.0,1.0,5.0,1.0,11.0,373.0,466.0,80.0,7008.0,2883.0,150.0,168.0,89.3,173.0,202.0,85.6,44.0,81.0,54.3,0,1.1,0.8,11.0,19.0,7.0,1.0,34.0,466.0,411.0,55.0,13.0,1.0,4.0,15,22.0,5.0,1.0,4.0,0.0,373.0,0.0,9.0,31.0,21.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9,8.0,11.0,1.0,8.0,24.0,33.3,16.0,11.0,4.0,7.0,12,32,24.0,1.0,47.0,586.0,85.0,224.0,258.0,110.0,19.0,586.0,18.0,13.0,72.2,5.0,27.8,331.0,1859.0,939.0,15.0,18.0,3.0,12.0,12.0,371.0,34.0,0,0,0,5,11,0,15,12,9,0.0,0.0,0,43.0,18.0,15.0,54.5,1
2019-08-24,20:00 (11:00),Ligue 1,Matchweek 3,Sat,Home,L,0,2,Bordeaux,0,10,1,10.0,0.0,0.0,23.3,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,3,2,1,33.3,0,0.7,-1.3,0,0,0,0,0.0,8.0,0.0,23.0,3.0,26.1,28.3,5.0,40.0,36.4,16.0,0.0,0.0,2.0,20.0,422.0,514.0,82.1,7559.0,2258.0,184.0,212.0,86.8,172.0,200.0,86.0,53.0,74.0,71.6,0,0.4,0.6,8.0,26.0,5.0,1.0,35.0,514.0,455.0,58.0,19.0,0.0,5.0,17,28.0,3.0,1.0,1.0,0.0,422.0,1.0,8.0,16.0,9.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16,11.0,9.0,4.0,11.0,25.0,44.0,14.0,6.0,4.0,2.0,12,36,25.0,2.0,48.0,634.0,57.0,188.0,314.0,139.0,14.0,634.0,29.0,17.0,58.6,12.0,41.4,421.0,2390.0,1271.0,27.0,25.0,6.0,14.0,14.0,421.0,35.0,0,0,0,12,17,1,17,12,16,0.0,0.0,0,58.0,14.0,13.0,51.9,1
2019-08-31,20:00 (11:00),Ligue 1,Matchweek 4,Sat,Away,L,0,2,Angers,0,5,2,40.0,0.0,0.0,15.9,0.0,0,0,0.7,0.7,0.15,-0.7,-0.7,3,2,2,33.3,0,1.2,0.2,0,0,0,0,1.0,10.0,10.0,22.0,4.0,27.3,30.2,8.0,50.0,43.3,14.0,2.0,14.3,0.0,9.8,455.0,544.0,83.6,8923.0,2949.0,167.0,188.0,88.8,224.0,249.0,90.0,60.0,92.0,65.2,0,0.7,0.5,4.0,30.0,3.0,0.0,48.0,544.0,483.0,61.0,13.0,1.0,8.0,10,34.0,3.0,1.0,2.0,0.0,455.0,0.0,6.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15,12.0,7.0,3.0,4.0,11.0,36.4,7.0,16.0,6.0,10.0,15,37,30.0,1.0,56.0,680.0,65.0,235.0,345.0,102.0,13.0,680.0,14.0,6.0,42.9,8.0,57.1,307.0,1956.0,976.0,13.0,10.0,4.0,26.0,11.0,450.0,48.0,2,0,0,17,9,0,10,15,15,0.0,0.0,1,48.0,21.0,16.0,56.8,1
2019-09-14,20:00 (11:00),Ligue 1,Matchweek 5,Sat,Home,D,0,0,Nîmes,0,17,2,11.8,0.0,0.0,22.4,0.0,0,0,1.3,1.3,0.07,-1.3,-1.3,3,0,3,100.0,1,0.4,0.4,0,0,0,0,5.0,17.0,29.4,45.0,10.0,31.1,32.2,6.0,50.0,39.7,10.0,1.0,10.0,2.0,17.0,428.0,561.0,76.3,8682.0,3154.0,155.0,187.0,82.9,201.0,236.0,85.2,66.0,116.0,56.9,0,0.8,0.5,11.0,31.0,4.0,1.0,36.0,561.0,515.0,44.0,13.0,2.0,2.0,18,18.0,6.0,1.0,3.0,1.0,428.0,2.0,5.0,22.0,13.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7,8.0,8.0,1.0,8.0,12.0,66.7,4.0,10.0,1.0,9.0,5,22,17.0,0.0,58.0,682.0,57.0,225.0,345.0,123.0,20.0,682.0,22.0,15.0,68.2,7.0,31.8,301.0,1803.0,908.0,22.0,11.0,6.0,21.0,9.0,425.0,34.0,3,0,0,14,9,2,18,5,7,0.0,0.0,0,56.0,30.0,35.0,46.2,1
2019-09-21,20:00 (11:00),Ligue 1,Matchweek 6,Sat,Away,L,1,2,Nice,1,13,7,53.8,0.08,0.14,18.5,0.0,0,0,1.2,1.2,0.09,-0.2,-0.2,6,2,4,66.7,0,1.1,-0.9,0,0,0,0,13.0,23.0,56.5,30.0,2.0,60.0,39.9,8.0,62.5,49.3,7.0,0.0,0.0,0.0,10.7,258.0,340.0,75.9,5047.0,2335.0,113.0,125.0,90.4,94.0,124.0,75.8,43.0,76.0,56.6,1,1.2,0.4,12.0,22.0,9.0,1.0,29.0,340.0,294.0,46.0,10.0,0.0,3.0,9,22.0,3.0,0.0,2.0,0.0,258.0,0.0,4.0,25.0,22.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,13,15.0,10.0,0.0,14.0,34.0,41.2,20.0,16.0,5.0,11.0,13,38,17.0,0.0,34.0,466.0,62.0,184.0,198.0,87.0,15.0,466.0,13.0,10.0,76.9,3.0,23.1,237.0,1201.0,615.0,14.0,11.0,5.0,16.0,15.0,257.0,29.0,3,0,0,13,5,0,9,13,13,0.0,0.0,0,47.0,9.0,7.0,56.3,1
2019-09-24,19:00 (10:00),Ligue 1,Matchweek 7,Tue,Home,D,0,0,Marseille,0,18,6,33.3,0.0,0.0,16.6,1.0,0,0,1.4,1.4,0.08,-1.4,-1.4,2,0,2,100.0,1,0.1,0.1,0,0,0,0,9.0,20.0,45.0,37.0,5.0,37.8,33.4,8.0,75.0,48.4,10.0,0.0,0.0,3.0,27.7,337.0,448.0,75.2,6510.0,2622.0,137.0,162.0,84.6,149.0,177.0,84.2,46.0,82.0,56.1,0,0.9,0.6,11.0,19.0,5.0,1.0,33.0,448.0,388.0,60.0,14.0,1.0,5.0,15,29.0,8.0,0.0,8.0,0.0,337.0,0.0,12.0,31.0,20.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9,10.0,4.0,2.0,11.0,21.0,52.4,10.0,8.0,1.0,7.0,17,33,14.0,0.0,45.0,569.0,56.0,199.0,260.0,117.0,23.0,569.0,24.0,14.0,58.3,10.0,41.7,268.0,1819.0,890.0,19.0,17.0,3.0,22.0,11.0,336.0,32.0,3,0,0,9,11,0,15,17,9,0.0,0.0,0,48.0,19.0,27.0,41.3,1
2019-09-28,20:00 (11:00),Ligue 1,Matchweek 8,Sat,Away,W,2,1,Reims,2,11,3,27.3,0.18,0.67,16.2,0.0,0,0,1.8,1.8,0.17,0.2,0.2,2,1,1,50.0,0,0.2,-0.8,0,0,0,0,12.0,31.0,38.7,36.0,5.0,58.3,41.4,10.0,100.0,62.9,24.0,2.0,8.3,0.0,7.7,306.0,418.0,73.2,5816.0,2539.0,133.0,159.0,83.6,125.0,150.0,83.3,40.0,82.0,48.8,2,1.8,0.9,10.0,20.0,7.0,2.0,23.0,418.0,366.0,52.0,9.0,1.0,1.0,10,27.0,4.0,1.0,1.0,0.0,306.0,0.0,11.0,20.0,17.0,1.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,6,6.0,6.0,4.0,8.0,23.0,34.8,15.0,7.0,3.0,4.0,10,26,37.0,0.0,44.0,546.0,73.0,249.0,202.0,99.0,15.0,546.0,7.0,3.0,42.9,4.0,57.1,244.0,1450.0,757.0,13.0,6.0,4.0,22.0,14.0,305.0,23.0,2,0,0,21,7,0,10,10,6,0.0,0.0,0,55.0,25.0,20.0,55.6,1
2019-10-05,20:00 (11:00),Ligue 1,Matchweek 9,Sat,Home,W,1,0,Strasbourg,1,8,3,37.5,0.13,0.33,15.4,0.0,0,0,1.1,1.1,0.16,-0.1,-0.1,2,0,2,100.0,1,0.2,0.2,0,0,0,0,6.0,20.0,30.0,37.0,6.0,40.5,37.8,7.0,71.4,54.9,20.0,2.0,10.0,0.0,7.8,353.0,459.0,76.9,6398.0,2207.0,148.0,165.0,89.7,131.0,154.0,85.1,50.0,102.0,49.0,0,0.7,1.4,6.0,17.0,3.0,0.0,21.0,459.0,412.0,45.0,14.0,0.0,6.0,14,17.0,6.0,3.0,1.0,0.0,353.0,2.0,3.0,13.0,10.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,10,9.0,4.0,1.0,7.0,10.0,70.0,3.0,10.0,7.0,3.0,10,24,22.0,1.0,43.0,554.0,68.0,181.0,246.0,135.0,15.0,554.0,15.0,7.0,46.7,8.0,53.3,301.0,2052.0,1167.0,28.0,20.0,3.0,12.0,8.0,351.0,20.0,3,0,0,7,11,2,14,10,10,0.0,0.0,0,50.0,11.0,13.0,45.8,1
2019-10-19,17:30 (08:30),Ligue 1,Matchweek 10,Sat,Away,D,0,0,Lyon,0,6,1,16.7,0.0,0.0,21.2,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,10,0,10,100.0,1,1.6,1.6,0,0,0,0,10.0,25.0,40.0,34.0,4.0,44.1,37.9,16.0,62.5,42.7,34.0,1.0,2.9,2.0,13.2,271.0,376.0,72.1,4853.0,2124.0,114.0,137.0,83.2,116.0,145.0,80.0,29.0,72.0,40.3,0,0.3,0.4,3.0,12.0,3.0,1.0,20.0,376.0,331.0,45.0,11.0,0.0,4.0,9,16.0,1.0,0.0,0.0,0.0,271.0,0.0,5.0,11.0,7.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7,8.0,5.0,1.0,5.0,20.0,25.0,15.0,9.0,4.0,5.0,6,20,40.0,0.0,35.0,513.0,104.0,234.0,219.0,65.0,8.0,513.0,13.0,7.0,53.8,6.0,46.2,223.0,1329.0,745.0,14.0,8.0,4.0,16.0,9.0,270.0,20.0,0,0,0,11,10,0,9,6,7,0.0,0.0,0,50.0,16.0,23.0,41.0,1
