Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-10,20:00 (11:00),Ligue 1,Matchweek 1,Sat,Away,W,2,1,Dijon,2,12,4,33.3,0.17,0.5,22.4,0.0,0,0,1.0,1.0,0.08,1.0,1.0,6,1,5,100.0,0,2.5,1.5,1,1,0,0,1.0,15.0,6.7,18.0,4.0,61.1,43.8,10.0,40.0,32.9,22.0,0.0,0.0,1.0,13.0,361.0,457.0,79.0,5790.0,2032.0,194.0,211.0,91.9,121.0,150.0,80.7,33.0,70.0,47.1,2,0.9,0.7,10.0,18.0,7.0,0.0,30.0,457.0,405.0,51.0,17.0,1.0,3.0,13,17.0,5.0,4.0,0.0,0.0,361.0,1.0,7.0,21.0,11.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,18.0,13,6.0,10.0,2.0,5.0,14.0,35.7,9.0,9.0,4.0,5.0,10,28,30.0,0.0,47.0,568.0,74.0,245.0,229.0,99.0,17.0,568.0,8.0,5.0,62.5,3.0,37.5,255.0,1624.0,831.0,12.0,9.0,3.0,15.0,13.0,358.0,30.0,2,0,0,10,17,1,13,10,13,0.0,1.0,0,59.0,15.0,22.0,40.5,1
2019-08-18,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,1,1,Brest,1,19,5,26.3,0.05,0.2,14.2,0.0,0,0,2.3,2.3,0.12,-1.3,-1.3,3,1,2,66.7,0,1.0,0.0,0,0,0,0,5.0,7.0,71.4,15.0,5.0,40.0,33.7,4.0,25.0,29.3,7.0,2.0,28.6,1.0,11.3,405.0,508.0,79.7,6822.0,2367.0,209.0,235.0,88.9,155.0,184.0,84.2,34.0,66.0,51.5,0,1.4,1.2,12.0,22.0,9.0,2.0,42.0,508.0,461.0,44.0,10.0,0.0,9.0,19,24.0,4.0,2.0,2.0,0.0,405.0,3.0,5.0,31.0,19.0,6.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,18,7.0,13.0,4.0,5.0,13.0,38.5,8.0,6.0,3.0,3.0,12,36,7.0,1.0,55.0,615.0,35.0,126.0,360.0,135.0,29.0,615.0,15.0,6.0,40.0,9.0,60.0,298.0,2017.0,1047.0,25.0,18.0,6.0,19.0,11.0,403.0,42.0,1,0,0,16,7,3,19,12,18,0.0,0.0,0,49.0,24.0,9.0,72.7,1
2019-08-28,19:00 (10:00),Ligue 1,Matchweek 3,Wed,Away,L,0,3,Lille,0,9,3,33.3,0.0,0.0,16.0,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8,7,3,4,71.4,0,3.2,0.2,1,1,0,0,3.0,14.0,21.4,13.0,1.0,61.5,41.2,10.0,60.0,42.9,8.0,0.0,0.0,0.0,,408.0,491.0,83.1,7091.0,2373.0,183.0,203.0,90.1,163.0,184.0,88.6,43.0,77.0,55.8,0,0.7,0.5,7.0,31.0,5.0,2.0,39.0,491.0,454.0,36.0,8.0,0.0,3.0,13,11.0,3.0,2.0,1.0,0.0,408.0,1.0,5.0,18.0,15.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12,8.0,7.0,2.0,4.0,8.0,50.0,4.0,6.0,3.0,3.0,14,31,11.0,1.0,49.0,605.0,51.0,211.0,298.0,97.0,16.0,605.0,12.0,5.0,41.7,7.0,58.3,300.0,1650.0,707.0,18.0,4.0,5.0,22.0,5.0,404.0,38.0,0,0,0,12,8,1,13,14,12,0.0,1.0,0,52.0,19.0,13.0,59.4,1
2019-09-01,21:00 (12:00),Ligue 1,Matchweek 4,Sun,Away,L,0,1,Marseille,0,12,3,25.0,0.0,0.0,17.5,0.0,0,0,0.8,0.8,0.06,-0.8,-0.8,2,1,1,50.0,0,0.5,-0.5,0,0,0,0,1.0,9.0,11.1,19.0,3.0,31.6,32.9,4.0,75.0,51.5,9.0,1.0,11.1,2.0,12.5,389.0,490.0,79.4,7293.0,2483.0,157.0,181.0,86.7,178.0,207.0,86.0,45.0,73.0,61.6,0,0.6,0.4,8.0,25.0,10.0,1.0,48.0,490.0,437.0,50.0,16.0,1.0,8.0,21,22.0,6.0,6.0,0.0,0.0,389.0,3.0,7.0,20.0,13.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,14,6.0,15.0,6.0,8.0,18.0,44.4,10.0,10.0,5.0,5.0,19,46,11.0,0.0,50.0,601.0,39.0,168.0,300.0,140.0,20.0,601.0,18.0,13.0,72.2,5.0,27.8,282.0,1804.0,927.0,18.0,12.0,3.0,17.0,15.0,388.0,48.0,2,0,0,7,14,3,21,19,14,0.0,0.0,0,51.0,10.0,18.0,35.7,1
2019-09-15,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Home,D,2,2,Toulouse,2,14,4,28.6,0.14,0.5,19.9,0.0,0,0,1.1,1.1,0.08,0.9,0.9,7,2,5,85.7,0,2.9,0.9,1,1,0,0,1.0,1.0,100.0,14.0,2.0,7.1,24.4,4.0,0.0,20.0,8.0,0.0,0.0,0.0,6.0,417.0,511.0,81.6,8451.0,2829.0,125.0,144.0,86.8,222.0,244.0,91.0,56.0,89.0,62.9,2,1.0,1.2,10.0,49.0,8.0,4.0,62.0,511.0,454.0,53.0,16.0,1.0,5.0,37,21.0,9.0,2.0,5.0,1.0,417.0,4.0,11.0,25.0,17.0,3.0,3.0,1.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,7,6.0,4.0,3.0,6.0,16.0,37.5,10.0,6.0,1.0,5.0,13,26,21.0,0.0,59.0,613.0,49.0,149.0,306.0,161.0,18.0,613.0,16.0,9.0,56.3,7.0,43.8,260.0,1501.0,841.0,17.0,7.0,3.0,10.0,12.0,415.0,61.0,3,0,0,15,13,4,37,13,7,0.0,1.0,0,39.0,16.0,14.0,53.3,1
2019-09-19,21:00 (12:00),Europa Lg,Group stage,Thu,Away,L,2,3,be Gent,1,11,3,27.3,0.09,0.33,19.2,2.0,0,0,0.6,0.6,0.06,0.4,0.4,2,3,0,-50.0,0,1.0,-1.0,0,0,0,0,9.0,11.0,81.8,18.0,1.0,33.3,27.7,6.0,83.3,51.2,12.0,0.0,0.0,1.0,14.4,401.0,502.0,79.9,7353.0,2650.0,179.0,206.0,86.9,154.0,181.0,85.1,51.0,80.0,63.8,1,0.5,0.5,9.0,33.0,9.0,2.0,40.0,502.0,441.0,59.0,12.0,0.0,6.0,23,30.0,7.0,2.0,3.0,0.0,401.0,2.0,14.0,21.0,17.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,8,2.0,6.0,3.0,4.0,9.0,44.4,5.0,5.0,0.0,5.0,11,22,21.0,0.0,53.0,601.0,52.0,155.0,294.0,154.0,18.0,601.0,11.0,7.0,63.6,4.0,36.4,329.0,1464.0,683.0,18.0,12.0,2.0,13.0,11.0,397.0,40.0,4,0,0,13,12,2,23,11,8,0.0,0.0,1,51.0,16.0,17.0,48.5,2
2019-09-22,17:00 (08:00),Ligue 1,Matchweek 6,Sun,Away,L,1,4,Angers,1,6,2,33.3,0.17,0.5,16.6,0.0,0,0,0.8,0.8,0.13,0.2,0.2,5,4,1,20.0,0,2.7,-1.3,0,0,0,0,5.0,14.0,35.7,18.0,4.0,44.4,37.7,8.0,75.0,51.4,12.0,1.0,8.3,1.0,12.3,394.0,504.0,78.2,6603.0,2285.0,181.0,209.0,86.6,159.0,186.0,85.5,35.0,72.0,48.6,1,0.8,0.6,6.0,24.0,7.0,4.0,33.0,504.0,455.0,46.0,14.0,1.0,2.0,17,16.0,4.0,3.0,1.0,0.0,394.0,3.0,7.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,10,6.0,8.0,2.0,4.0,16.0,25.0,12.0,11.0,4.0,7.0,12,28,13.0,0.0,50.0,595.0,46.0,180.0,312.0,108.0,14.0,595.0,22.0,14.0,63.6,8.0,36.4,253.0,1703.0,996.0,26.0,12.0,5.0,11.0,10.0,392.0,33.0,1,0,0,12,13,3,17,12,10,0.0,0.0,0,57.0,12.0,16.0,42.9,1
2019-09-25,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Home,L,0,1,Metz,0,15,3,20.0,0.0,0.0,15.0,1.0,0,0,1.3,1.3,0.09,-1.3,-1.3,2,1,1,50.0,0,0.1,-0.9,0,0,0,0,1.0,2.0,50.0,11.0,4.0,0.0,18.1,8.0,25.0,28.8,12.0,0.0,0.0,5.0,27.2,379.0,500.0,75.8,6968.0,2851.0,148.0,176.0,84.1,165.0,199.0,82.9,49.0,83.0,59.0,0,1.2,0.8,12.0,33.0,7.0,3.0,45.0,500.0,431.0,68.0,12.0,1.0,2.0,34,38.0,8.0,3.0,5.0,0.0,379.0,1.0,12.0,22.0,16.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12,7.0,9.0,3.0,8.0,23.0,34.8,15.0,14.0,3.0,11.0,19,38,16.0,0.0,53.0,628.0,34.0,157.0,289.0,187.0,28.0,628.0,18.0,12.0,66.7,6.0,33.3,267.0,1768.0,961.0,15.0,11.0,2.0,14.0,13.0,378.0,45.0,4,0,0,12,11,1,34,19,12,0.0,0.0,0,58.0,23.0,33.0,41.1,1
2019-09-29,17:00 (08:00),Ligue 1,Matchweek 8,Sun,Away,W,1,0,Nîmes,1,6,4,66.7,0.17,0.25,18.6,0.0,0,0,0.7,0.7,0.12,0.3,0.3,8,0,8,100.0,1,1.4,1.4,0,0,0,0,8.0,25.0,32.0,27.0,4.0,63.0,45.9,10.0,80.0,60.0,28.0,2.0,7.1,0.0,8.8,189.0,296.0,63.9,3969.0,1794.0,71.0,92.0,77.2,81.0,107.0,75.7,34.0,85.0,40.0,1,0.6,0.5,2.0,11.0,2.0,0.0,18.0,296.0,244.0,51.0,12.0,2.0,2.0,12,23.0,5.0,1.0,3.0,0.0,189.0,1.0,4.0,11.0,5.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,9,9.0,3.0,0.0,6.0,17.0,35.3,11.0,13.0,5.0,8.0,19,31,40.0,0.0,35.0,435.0,88.0,206.0,164.0,67.0,8.0,435.0,12.0,5.0,41.7,7.0,58.3,168.0,880.0,477.0,8.0,8.0,3.0,15.0,14.0,188.0,18.0,4,1,1,15,11,1,12,19,9,0.0,0.0,0,33.0,31.0,28.0,52.5,1
2019-10-03,18:55 (09:55),Europa Lg,Group stage,Thu,Home,D,1,1,de Wolfsburg,1,9,4,44.4,0.11,0.25,23.1,1.0,0,0,0.5,0.5,0.06,0.5,0.5,2,1,1,50.0,0,1.0,0.0,0,0,0,0,5.0,16.0,31.3,31.0,4.0,38.7,36.4,8.0,50.0,44.6,6.0,0.0,0.0,0.0,6.7,371.0,482.0,77.0,7165.0,2753.0,146.0,178.0,82.0,156.0,180.0,86.7,57.0,95.0,60.0,0,0.4,0.3,4.0,19.0,5.0,2.0,27.0,482.0,412.0,67.0,16.0,1.0,6.0,16,38.0,3.0,1.0,2.0,0.0,371.0,3.0,9.0,16.0,8.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,14,12.0,6.0,5.0,7.0,12.0,58.3,5.0,6.0,0.0,6.0,12,35,6.0,0.0,53.0,593.0,54.0,209.0,268.0,119.0,14.0,593.0,34.0,24.0,70.6,10.0,29.4,336.0,1681.0,812.0,17.0,11.0,6.0,20.0,13.0,371.0,27.0,1,0,0,9,15,3,16,12,14,0.0,0.0,0,45.0,6.0,15.0,28.6,2
