Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,W,2,0,Strasbourg,2,9,2,22.2,0.22,1.0,14.6,0.0,0,0,0.9,0.9,0.1,1.1,1.1,1,0,1,100.0,1,0.2,0.2,0,0,0,0,12.0,20.0,60.0,23.0,5.0,52.2,40.3,9.0,88.9,56.6,22.0,3.0,13.6,7.0,16.7,326.0,427.0,76.3,6496.0,2658.0,109.0,139.0,78.4,171.0,188.0,91.0,37.0,76.0,48.7,2,0.6,1.5,7.0,22.0,0.0,0.0,29.0,427.0,371.0,54.0,20.0,1.0,2.0,9,20.0,4.0,0.0,3.0,0.0,326.0,2.0,11.0,16.0,12.0,3.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,18.0,13,11.0,7.0,0.0,9.0,15.0,60.0,6.0,6.0,2.0,4.0,11,29,28.0,0.0,43.0,554.0,67.0,211.0,246.0,104.0,18.0,554.0,27.0,9.0,33.3,18.0,66.7,294.0,1417.0,607.0,14.0,12.0,4.0,17.0,9.0,323.0,28.0,3,0,0,18,14,2,9,11,13,0.0,0.0,0,55.0,13.0,16.0,44.8,1
2021-08-15,13:00 (04:00),Ligue 1,Matchweek 2,Sun,Home,W,3,0,Lyon,2,13,6,46.2,0.15,0.33,19.7,1.0,0,0,1.8,1.8,0.14,0.2,0.2,3,0,3,100.0,1,0.3,0.3,0,0,0,0,3.0,9.0,33.3,15.0,8.0,40.0,33.2,4.0,75.0,52.0,16.0,1.0,6.3,0.0,16.0,318.0,408.0,77.9,5284.0,2311.0,143.0,155.0,92.3,115.0,140.0,82.1,34.0,67.0,50.7,2,1.7,1.0,10.0,23.0,4.0,0.0,37.0,408.0,364.0,43.0,15.0,3.0,6.0,17,17.0,6.0,2.0,4.0,0.0,318.0,1.0,8.0,25.0,16.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,28.0,15,13.0,10.0,5.0,9.0,22.0,40.9,13.0,11.0,2.0,9.0,11,39,13.0,0.0,43.0,530.0,39.0,165.0,217.0,152.0,23.0,530.0,35.0,17.0,48.6,18.0,51.4,317.0,1526.0,861.0,24.0,17.0,7.0,18.0,10.0,317.0,36.0,1,0,0,11,17,1,17,11,15,0.0,0.0,0,64.0,9.0,12.0,42.9,1
2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,D,1,1,Bordeaux,1,6,3,50.0,0.17,0.33,13.9,0.0,0,0,0.9,0.9,0.15,0.1,0.1,5,1,4,80.0,0,0.9,-0.1,0,0,0,0,1.0,7.0,14.3,19.0,7.0,26.3,31.5,4.0,50.0,46.8,19.0,0.0,0.0,0.0,6.0,415.0,485.0,85.6,7500.0,2476.0,173.0,190.0,91.1,187.0,207.0,90.3,44.0,66.0,66.7,1,0.5,0.3,4.0,17.0,4.0,3.0,22.0,485.0,439.0,45.0,20.0,1.0,9.0,10,16.0,3.0,1.0,2.0,0.0,415.0,1.0,3.0,9.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,14,14.0,9.0,2.0,12.0,22.0,54.5,10.0,16.0,4.0,12.0,12,37,31.0,0.0,46.0,630.0,55.0,210.0,340.0,89.0,9.0,630.0,25.0,9.0,36.0,16.0,64.0,350.0,1835.0,808.0,15.0,20.0,1.0,25.0,13.0,415.0,22.0,0,0,0,5,19,1,10,12,14,0.0,0.0,0,58.0,9.0,13.0,40.9,1
2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Home,W,2,0,Rennes,2,16,4,25.0,0.13,0.5,14.9,2.0,0,0,2.2,2.2,0.17,-0.2,-0.2,2,0,2,100.0,1,0.4,0.4,0,0,0,0,0.0,0.0,,14.0,4.0,0.0,21.8,7.0,0.0,22.9,9.0,1.0,11.1,0.0,9.0,507.0,575.0,88.2,9641.0,3167.0,197.0,210.0,93.8,240.0,260.0,92.3,62.0,82.0,75.6,0,0.7,1.6,8.0,45.0,7.0,3.0,40.0,575.0,546.0,28.0,9.0,1.0,6.0,25,8.0,3.0,1.0,1.0,0.0,507.0,1.0,3.0,24.0,16.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,12,8.0,9.0,2.0,7.0,11.0,63.6,4.0,8.0,2.0,6.0,6,25,12.0,0.0,52.0,675.0,48.0,218.0,277.0,187.0,30.0,675.0,18.0,7.0,38.9,11.0,61.1,335.0,1620.0,957.0,24.0,14.0,3.0,16.0,5.0,504.0,39.0,1,0,0,14,10,1,25,6,12,0.0,0.0,0,48.0,10.0,7.0,58.8,1
2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,D,1,1,Brest,1,7,1,14.3,0.0,0.0,21.1,0.0,1,1,1.2,0.4,0.05,-0.2,-0.4,6,1,5,100.0,0,2.5,1.5,1,1,0,0,2.0,4.0,50.0,21.0,7.0,4.8,25.2,8.0,37.5,31.0,12.0,0.0,0.0,0.0,,446.0,534.0,83.5,8903.0,2928.0,166.0,178.0,93.3,199.0,232.0,85.8,75.0,102.0,73.5,0,0.4,0.2,7.0,25.0,2.0,1.0,28.0,534.0,484.0,50.0,20.0,0.0,5.0,14,17.0,3.0,2.0,0.0,0.0,446.0,0.0,8.0,16.0,10.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,14,9.0,10.0,2.0,12.0,28.0,42.9,16.0,14.0,2.0,12.0,10,31,17.0,0.0,51.0,655.0,52.0,265.0,308.0,86.0,10.0,654.0,26.0,13.0,50.0,13.0,50.0,381.0,1590.0,841.0,16.0,8.0,2.0,18.0,6.0,445.0,28.0,2,0,0,9,18,0,14,10,14,1.0,1.0,0,53.0,6.0,12.0,33.3,1
2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,L,1,4,Nantes,1,10,5,50.0,0.1,0.2,16.6,1.0,0,0,0.9,0.9,0.1,0.1,0.1,4,4,0,25.0,0,2.5,-1.5,1,1,0,0,1.0,5.0,20.0,23.0,8.0,13.0,27.1,7.0,28.6,32.3,11.0,2.0,18.2,0.0,6.0,525.0,619.0,84.8,10105.0,3585.0,195.0,213.0,91.5,262.0,299.0,87.6,64.0,93.0,68.8,1,0.5,0.7,6.0,47.0,7.0,2.0,53.0,619.0,557.0,61.0,16.0,0.0,4.0,19,23.0,10.0,4.0,3.0,0.0,525.0,1.0,6.0,18.0,12.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,14,17.0,7.0,2.0,13.0,27.0,48.1,14.0,8.0,0.0,8.0,11,37,10.0,0.0,65.0,729.0,47.0,248.0,327.0,159.0,19.0,729.0,31.0,11.0,35.5,20.0,64.5,429.0,2022.0,977.0,20.0,8.0,6.0,18.0,5.0,525.0,53.0,2,0,0,10,15,1,19,11,14,0.0,1.0,0,46.0,14.0,18.0,43.8,1
2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Home,D,0,0,Marseille,0,9,1,11.1,0.0,0.0,21.6,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,1,0,1,100.0,1,0.7,0.7,0,0,0,0,2.0,6.0,33.3,13.0,3.0,46.2,40.5,7.0,0.0,24.0,10.0,1.0,10.0,1.0,14.2,418.0,501.0,83.4,7916.0,2542.0,174.0,199.0,87.4,184.0,204.0,90.2,54.0,77.0,70.1,0,0.4,0.5,8.0,34.0,1.0,0.0,38.0,501.0,464.0,36.0,8.0,2.0,9.0,13,16.0,4.0,0.0,3.0,0.0,418.0,1.0,10.0,18.0,12.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11,13.0,9.0,1.0,7.0,24.0,29.2,17.0,11.0,3.0,8.0,13,36,13.0,0.0,40.0,615.0,48.0,228.0,269.0,123.0,14.0,615.0,26.0,14.0,53.8,12.0,46.2,292.0,1756.0,1008.0,25.0,11.0,8.0,21.0,7.0,418.0,38.0,1,0,0,9,6,1,13,13,11,0.0,0.0,0,62.0,10.0,14.0,41.7,1
2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,D,1,1,Troyes,1,16,5,31.3,0.0,0.0,23.2,0.0,1,1,1.3,0.5,0.03,-0.3,-0.5,3,1,2,66.7,0,2.1,1.1,0,0,0,0,1.0,1.0,100.0,13.0,5.0,0.0,20.5,6.0,16.7,24.3,12.0,0.0,0.0,0.0,12.0,530.0,603.0,87.9,9499.0,2807.0,219.0,233.0,94.0,244.0,265.0,92.1,53.0,76.0,69.7,0,0.3,0.3,12.0,43.0,3.0,1.0,51.0,603.0,566.0,37.0,9.0,1.0,5.0,24,11.0,9.0,4.0,3.0,0.0,530.0,0.0,9.0,28.0,19.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,10,8.0,7.0,3.0,11.0,23.0,47.8,12.0,10.0,0.0,10.0,5,23,9.0,0.0,63.0,692.0,45.0,153.0,391.0,154.0,13.0,691.0,15.0,9.0,60.0,6.0,40.0,499.0,2471.0,1268.0,22.0,10.0,4.0,11.0,14.0,528.0,51.0,2,0,0,8,9,0,24,5,10,1.0,0.0,0,49.0,7.0,12.0,36.8,1
2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Home,W,3,2,Metz,3,18,5,27.8,0.17,0.6,15.8,2.0,0,0,2.3,2.3,0.14,0.7,0.7,2,2,0,0.0,0,1.2,-0.8,0,0,0,0,0.0,0.0,,22.0,8.0,0.0,21.7,3.0,0.0,28.7,8.0,2.0,25.0,2.0,15.3,522.0,616.0,84.7,9760.0,3302.0,187.0,212.0,88.2,273.0,300.0,91.0,54.0,75.0,72.0,3,1.3,0.6,13.0,41.0,9.0,3.0,55.0,616.0,569.0,46.0,10.0,2.0,4.0,26,18.0,12.0,2.0,7.0,0.0,522.0,1.0,8.0,30.0,16.0,5.0,3.0,3.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,14.0,7,3.0,10.0,1.0,7.0,20.0,35.0,13.0,13.0,0.0,13.0,6,20,6.0,1.0,57.0,719.0,39.0,206.0,360.0,165.0,24.0,719.0,23.0,6.0,26.1,17.0,73.9,539.0,3254.0,1794.0,35.0,22.0,7.0,14.0,8.0,519.0,55.0,1,0,0,16,10,1,26,6,7,0.0,0.0,0,52.0,16.0,10.0,61.5,1
2021-10-15,21:00 (12:00),Ligue 1,Matchweek 10,Fri,Away,L,1,2,Paris S-G,1,7,2,28.6,0.14,0.5,13.7,0.0,0,0,1.1,1.1,0.16,-0.1,-0.1,2,2,0,50.0,0,1.3,-0.7,1,1,0,0,5.0,14.0,35.7,19.0,7.0,42.1,36.7,12.0,50.0,37.4,17.0,3.0,17.6,2.0,10.4,233.0,297.0,78.5,4332.0,1749.0,115.0,130.0,88.5,69.0,83.0,83.1,39.0,64.0,60.9,1,1.1,0.8,5.0,12.0,4.0,3.0,21.0,297.0,249.0,45.0,11.0,0.0,8.0,13,14.0,5.0,0.0,3.0,0.0,233.0,3.0,7.0,14.0,11.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,14,18.0,8.0,0.0,15.0,30.0,50.0,15.0,13.0,2.0,11.0,10,36,23.0,0.0,28.0,416.0,70.0,189.0,172.0,64.0,13.0,416.0,22.0,9.0,40.9,13.0,59.1,252.0,1458.0,811.0,18.0,10.0,8.0,14.0,8.0,232.0,20.0,0,0,0,10,8,3,13,10,14,0.0,1.0,0,46.0,7.0,2.0,77.8,1
