Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,L,0,2,Clermont Foot,0,10,6,60.0,0.0,0.0,20.7,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,10,2.0,8,80.0,0,2.6,0.6,0,0,0,0,6.0,17.0,35.3,27.0,2.0,48.1,38.8,6.0,66.7,45.7,14.0,0.0,0.0,0.0,14.0,394.0,478.0,82.4,7434.0,2744.0,152.0,173.0,87.9,201.0,226.0,88.9,37.0,69.0,53.6,0,0.7,0.5,10.0,25.0,5.0,4.0,34.0,478.0,434.0,44.0,11.0,1.0,4.0,18,19.0,5.0,4.0,1.0,0.0,394.0,0.0,3.0,19.0,14.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12,7.0,9.0,3.0,7.0,16.0,43.8,9.0,10.0,5.0,5.0,11,30,24.0,1.0,44.0,601.0,71.0,219.0,285.0,103.0,12.0,601.0,15.0,6.0,40.0,9.0,60.0,392.0,1933.0,788.0,10.0,14.0,4.0,13.0,9.0,392.0,34.0,1,0,0,13,9,0,18,11,12,0.0,0.0,0,44.0,10.0,18.0,35.7,1
2021-08-15,20:45 (11:45),Ligue 1,Matchweek 2,Sun,Away,D,2,2,Marseille,2,8,2,25.0,0.25,1.0,21.8,0.0,0,0,0.3,0.3,0.03,1.7,1.7,2,2.0,0,0.0,0,1.1,-0.9,0,0,0,0,13.0,24.0,54.2,23.0,2.0,78.3,45.3,7.0,85.7,56.4,9.0,1.0,11.1,1.0,11.5,298.0,369.0,80.8,6043.0,2419.0,124.0,136.0,91.2,118.0,137.0,86.1,53.0,78.0,67.9,2,0.2,0.3,7.0,19.0,5.0,2.0,27.0,369.0,322.0,46.0,7.0,2.0,6.0,14,25.0,4.0,1.0,2.0,0.0,298.0,1.0,9.0,13.0,10.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,15.0,9,5.0,10.0,0.0,6.0,16.0,37.5,10.0,8.0,3.0,5.0,14,29,11.0,0.0,34.0,455.0,51.0,162.0,210.0,86.0,14.0,455.0,10.0,4.0,40.0,6.0,60.0,310.0,1451.0,601.0,9.0,9.0,2.0,16.0,8.0,297.0,26.0,2,0,0,11,6,1,14,14,9,0.0,0.0,0,45.0,3.0,11.0,21.4,1
2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,D,1,1,Angers,1,14,5,35.7,0.07,0.2,22.5,1.0,0,0,0.5,0.5,0.04,0.5,0.5,3,1.0,2,66.7,0,1.1,0.1,0,0,0,0,3.0,6.0,50.0,14.0,2.0,28.6,32.6,3.0,66.7,52.7,9.0,0.0,0.0,0.0,,483.0,566.0,85.3,9202.0,3129.0,203.0,223.0,91.0,207.0,229.0,90.4,61.0,82.0,74.4,1,0.5,0.9,11.0,43.0,8.0,1.0,58.0,566.0,520.0,45.0,5.0,2.0,7.0,26,32.0,3.0,3.0,0.0,0.0,483.0,1.0,15.0,23.0,17.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,20,7.0,21.0,1.0,16.0,25.0,64.0,9.0,3.0,0.0,3.0,9,38,10.0,1.0,54.0,688.0,25.0,123.0,414.0,160.0,19.0,688.0,22.0,10.0,45.5,12.0,54.5,416.0,2016.0,1060.0,20.0,15.0,2.0,28.0,13.0,477.0,58.0,2,0,0,19,4,1,26,9,20,0.0,0.0,0,52.0,13.0,9.0,59.1,1
2021-08-28,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Away,L,0,4,Nice,0,13,4,30.8,0.0,0.0,19.6,1.0,0,0,1.1,1.1,0.08,-1.1,-1.1,5,4.0,1,40.0,0,2.6,-1.4,1,1,0,0,7.0,8.0,87.5,20.0,4.0,20.0,28.2,5.0,80.0,42.2,8.0,0.0,0.0,1.0,15.5,476.0,567.0,84.0,9189.0,3089.0,180.0,202.0,89.1,226.0,257.0,87.9,64.0,92.0,69.6,0,0.9,0.8,8.0,41.0,6.0,2.0,44.0,567.0,509.0,57.0,19.0,1.0,4.0,15,28.0,0.0,0.0,0.0,0.0,476.0,1.0,5.0,25.0,18.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5,6.0,5.0,1.0,6.0,19.0,31.6,13.0,6.0,2.0,4.0,12,24,7.0,0.0,57.0,652.0,46.0,166.0,372.0,119.0,13.0,652.0,21.0,10.0,47.6,11.0,52.4,391.0,2078.0,1000.0,14.0,11.0,4.0,15.0,11.0,474.0,43.0,2,0,0,11,18,1,15,12,5,0.0,1.0,0,47.0,11.0,11.0,50.0,1
2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,L,2,3,Lens,2,10,3,30.0,0.2,0.67,15.9,1.0,0,0,0.8,0.8,0.08,1.2,1.2,5,3.0,2,60.0,0,3.7,0.7,1,1,0,0,7.0,13.0,53.8,25.0,3.0,32.0,29.7,6.0,83.3,53.7,14.0,0.0,0.0,1.0,18.0,455.0,550.0,82.7,7903.0,2610.0,216.0,241.0,89.6,194.0,224.0,86.6,36.0,63.0,57.1,0,0.3,0.6,5.0,22.0,4.0,0.0,27.0,550.0,496.0,52.0,11.0,0.0,2.0,8,29.0,2.0,0.0,1.0,0.0,455.0,2.0,4.0,17.0,11.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,5,6.0,1.0,2.0,6.0,18.0,33.3,12.0,6.0,3.0,3.0,11,20,16.0,0.0,56.0,636.0,46.0,171.0,364.0,107.0,14.0,636.0,13.0,8.0,61.5,5.0,38.5,447.0,1868.0,1002.0,9.0,12.0,2.0,11.0,9.0,450.0,26.0,3,0,0,8,11,2,8,11,5,0.0,1.0,0,47.0,11.0,9.0,55.0,1
2021-09-18,21:00 (12:00),Ligue 1,Matchweek 6,Sat,Away,W,2,1,Saint-Étienne,2,13,3,23.1,0.15,0.67,17.7,0.0,0,0,2.3,2.3,0.18,-0.3,-0.3,4,1.0,3,75.0,0,0.7,-0.3,0,0,0,0,3.0,27.0,11.1,20.0,1.0,80.0,53.7,11.0,100.0,67.0,23.0,1.0,4.3,0.0,9.0,281.0,389.0,72.2,4548.0,1690.0,138.0,156.0,88.5,95.0,124.0,76.6,28.0,71.0,39.4,2,2.2,1.1,11.0,19.0,6.0,5.0,17.0,389.0,340.0,49.0,11.0,1.0,1.0,10,23.0,2.0,1.0,0.0,0.0,281.0,0.0,11.0,21.0,15.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,17,14.0,8.0,2.0,14.0,31.0,45.2,17.0,11.0,2.0,9.0,14,38,29.0,1.0,45.0,522.0,69.0,195.0,237.0,98.0,23.0,522.0,33.0,20.0,60.6,13.0,39.4,279.0,1484.0,788.0,19.0,9.0,6.0,16.0,14.0,278.0,16.0,4,0,0,12,8,0,10,14,17,0.0,0.0,0,62.0,14.0,5.0,73.7,1
2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,D,3,3,Montpellier,3,15,7,46.7,0.2,0.43,21.3,0.0,0,0,1.2,1.2,0.08,1.8,1.8,6,3.0,3,50.0,0,2.3,-0.7,0,0,0,0,10.0,23.0,43.5,27.0,3.0,55.6,41.1,10.0,80.0,51.3,22.0,0.0,0.0,1.0,13.5,346.0,448.0,77.2,6578.0,2669.0,149.0,178.0,83.7,134.0,160.0,83.8,53.0,88.0,60.2,1,0.8,0.8,10.0,24.0,4.0,0.0,34.0,448.0,396.0,51.0,11.0,3.0,4.0,16,20.0,6.0,3.0,1.0,0.0,346.0,1.0,8.0,27.0,17.0,4.0,5.0,1.0,0.0,0.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,14.0,8,9.0,4.0,1.0,11.0,27.0,40.7,16.0,8.0,1.0,7.0,12,26,26.0,0.0,45.0,557.0,74.0,219.0,221.0,127.0,16.0,557.0,32.0,24.0,75.0,8.0,25.0,284.0,1640.0,793.0,16.0,8.0,7.0,17.0,2.0,344.0,34.0,2,0,0,8,10,1,16,12,8,0.0,0.0,0,47.0,15.0,13.0,53.6,1
2021-09-26,13:00 (04:00),Ligue 1,Matchweek 8,Sun,Home,D,1,1,Rennes,1,10,3,30.0,0.1,0.33,17.0,1.0,0,0,0.7,0.7,0.07,0.3,0.3,8,1.0,7,87.5,0,1.6,0.6,0,0,0,0,12.0,26.0,46.2,29.0,3.0,58.6,41.9,10.0,90.0,57.7,12.0,0.0,0.0,2.0,13.3,277.0,371.0,74.7,5547.0,2153.0,120.0,139.0,86.3,100.0,116.0,86.2,50.0,96.0,52.1,1,0.6,0.5,9.0,23.0,4.0,2.0,30.0,371.0,310.0,58.0,21.0,4.0,8.0,22,17.0,8.0,3.0,3.0,0.0,277.0,3.0,8.0,18.0,13.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,7,4.0,9.0,2.0,9.0,20.0,45.0,11.0,5.0,2.0,3.0,6,21,18.0,0.0,47.0,463.0,66.0,138.0,224.0,106.0,12.0,463.0,17.0,10.0,58.8,7.0,41.2,210.0,1218.0,690.0,10.0,8.0,3.0,17.0,7.0,274.0,30.0,1,0,0,6,20,3,22,6,7,0.0,0.0,0,42.0,12.0,13.0,48.0,1
2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,L,0,3,Monaco,0,4,0,0.0,0.0,,18.7,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,4,3.0,1,50.0,0,2.2,-0.8,1,1,0,0,2.0,13.0,15.4,24.0,3.0,41.7,33.3,5.0,60.0,47.2,16.0,1.0,6.3,2.0,17.4,314.0,397.0,79.1,5609.0,2136.0,136.0,152.0,89.5,136.0,159.0,85.5,33.0,59.0,55.9,0,0.1,0.2,2.0,20.0,3.0,0.0,32.0,397.0,344.0,51.0,17.0,1.0,5.0,9,23.0,2.0,0.0,0.0,1.0,314.0,2.0,10.0,6.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6,3.0,5.0,1.0,8.0,19.0,42.1,11.0,15.0,5.0,10.0,8,17,21.0,0.0,43.0,511.0,55.0,182.0,256.0,81.0,8.0,511.0,33.0,15.0,45.5,18.0,54.5,293.0,1551.0,630.0,6.0,5.0,3.0,23.0,11.0,312.0,31.0,1,0,0,13,12,2,9,8,6,0.0,1.0,0,47.0,11.0,11.0,50.0,1
2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,D,1,1,Nantes,1,8,1,12.5,0.13,1.0,16.2,0.0,0,0,0.5,0.5,0.06,0.5,0.5,7,1.0,6,85.7,0,1.4,0.4,0,0,0,0,7.0,25.0,28.0,48.0,8.0,39.6,33.5,11.0,54.5,42.7,12.0,0.0,0.0,1.0,31.0,420.0,537.0,78.2,7176.0,2634.0,181.0,213.0,85.0,168.0,196.0,85.7,45.0,84.0,53.6,1,0.3,0.3,5.0,23.0,3.0,0.0,35.0,537.0,479.0,57.0,19.0,0.0,4.0,15,23.0,2.0,2.0,0.0,0.0,420.0,1.0,7.0,13.0,7.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,7,7.0,5.0,2.0,9.0,15.0,60.0,6.0,7.0,0.0,7.0,6,20,16.0,0.0,59.0,626.0,64.0,252.0,278.0,103.0,14.0,626.0,20.0,14.0,70.0,6.0,30.0,403.0,2218.0,1074.0,22.0,13.0,6.0,18.0,5.0,418.0,34.0,2,0,0,10,15,1,15,6,7,0.0,0.0,0,48.0,24.0,23.0,51.1,1
