Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-08,17:00 (08:00),Ligue 1,Matchweek 1,Sun,Home,D,3,3,Lille,3,12,5,41.7,0.25,0.6,24.0,0.0,0,0,0.9,0.9,0.07,2.1,2.1,6,3,4,50.0,0,0.9,-1.1,0,0,0,0,4.0,21.0,19.0,20.0,4.0,60.0,46.9,10.0,90.0,65.3,16.0,0.0,0.0,0.0,7.0,270.0,379.0,71.2,5144.0,2028.0,107.0,130.0,82.3,121.0,151.0,80.1,35.0,77.0,45.5,2,0.8,0.4,9.0,23.0,3.0,1.0,33.0,379.0,328.0,51.0,12.0,1.0,7.0,18,22.0,4.0,2.0,1.0,0.0,270.0,0.0,6.0,20.0,18.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,12,4.0,7.0,5.0,8.0,16.0,50.0,8.0,15.0,4.0,11.0,19,35,14.0,0.0,39.0,512.0,49.0,164.0,229.0,126.0,15.0,512.0,16.0,6.0,37.5,10.0,62.5,239.0,1451.0,642.0,16.0,12.0,4.0,21.0,11.0,268.0,33.0,1,1,0,9,9,0,18,19,12,0.0,0.0,1,70.0,15.0,16.0,48.4,1
2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Away,L,0,2,Nantes,0,10,5,50.0,0.0,0.0,19.8,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6,6,2,4,66.7,0,2.0,0.0,0,0,0,0,3.0,7.0,42.9,24.0,9.0,25.0,29.8,3.0,33.3,37.7,13.0,1.0,7.7,3.0,21.2,499.0,623.0,80.1,8601.0,3055.0,230.0,259.0,88.8,219.0,259.0,84.6,43.0,81.0,53.1,0,0.3,0.6,8.0,34.0,4.0,1.0,33.0,623.0,563.0,60.0,20.0,2.0,4.0,16,28.0,6.0,2.0,2.0,0.0,499.0,0.0,14.0,19.0,11.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17,11.0,11.0,1.0,6.0,20.0,30.0,14.0,10.0,4.0,6.0,5,28,20.0,0.0,64.0,745.0,53.0,240.0,395.0,116.0,13.0,745.0,21.0,14.0,66.7,7.0,33.3,495.0,2112.0,917.0,9.0,10.0,2.0,21.0,10.0,497.0,33.0,0,0,0,11,18,0,16,5,17,0.0,0.0,0,51.0,18.0,24.0,42.9,1
2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Home,D,1,1,Reims,1,10,4,40.0,0.1,0.25,24.9,1.0,0,0,0.5,0.5,0.05,0.5,0.5,3,1,2,66.7,0,0.8,-0.2,0,0,0,0,3.0,15.0,20.0,29.0,11.0,37.9,34.0,9.0,44.4,41.8,24.0,1.0,4.2,1.0,12.5,398.0,489.0,81.4,6873.0,2345.0,181.0,196.0,92.3,179.0,205.0,87.3,29.0,64.0,45.3,1,0.4,0.2,8.0,31.0,4.0,2.0,27.0,489.0,448.0,39.0,13.0,1.0,4.0,17,10.0,5.0,2.0,1.0,0.0,398.0,2.0,6.0,18.0,16.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,10,9.0,8.0,0.0,10.0,14.0,71.4,4.0,15.0,3.0,12.0,9,26,23.0,0.0,57.0,602.0,72.0,230.0,285.0,91.0,5.0,602.0,10.0,9.0,90.0,1.0,10.0,342.0,1727.0,843.0,12.0,5.0,1.0,24.0,10.0,396.0,27.0,4,0,0,19,13,2,17,9,10,0.0,0.0,0,45.0,22.0,20.0,52.4,1
2021-08-29,15:00 (06:00),Ligue 1,Matchweek 4,Sun,Away,D,2,2,Clermont Foot,1,11,3,27.3,0.0,0.0,18.0,0.0,1,1,1.4,0.6,0.05,-0.4,-0.6,4,2,3,50.0,0,1.0,0.0,0,0,0,0,8.0,28.0,28.6,26.0,3.0,65.4,45.5,11.0,100.0,61.8,19.0,2.0,10.5,3.0,15.2,279.0,387.0,72.1,5033.0,1909.0,116.0,136.0,85.3,118.0,142.0,83.1,32.0,75.0,42.7,0,0.6,0.7,10.0,19.0,2.0,0.0,27.0,387.0,341.0,46.0,12.0,1.0,3.0,19,17.0,3.0,1.0,2.0,0.0,279.0,0.0,12.0,24.0,16.0,4.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,16,11.0,8.0,1.0,8.0,20.0,40.0,12.0,10.0,2.0,8.0,16,36,20.0,0.0,40.0,502.0,59.0,158.0,242.0,107.0,15.0,501.0,11.0,5.0,45.5,6.0,54.5,225.0,1170.0,633.0,15.0,14.0,4.0,14.0,9.0,275.0,26.0,2,0,0,15,10,0,19,16,16,1.0,0.0,1,49.0,12.0,11.0,52.2,1
2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Home,L,0,2,Troyes,0,17,2,11.8,0.0,0.0,19.0,0.0,0,0,0.7,0.7,0.04,-0.7,-0.7,5,2,3,60.0,0,1.6,-0.4,0,0,0,0,0.0,2.0,0.0,12.0,7.0,16.7,30.4,5.0,0.0,28.0,8.0,3.0,37.5,7.0,22.9,557.0,645.0,86.4,10251.0,2908.0,208.0,230.0,90.4,271.0,295.0,91.9,60.0,85.0,70.6,0,0.6,0.8,14.0,37.0,10.0,6.0,46.0,645.0,598.0,47.0,14.0,4.0,5.0,15,23.0,2.0,0.0,1.0,0.0,557.0,0.0,6.0,27.0,24.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12,6.0,11.0,0.0,3.0,10.0,30.0,7.0,13.0,1.0,12.0,10,27,5.0,0.0,62.0,750.0,21.0,122.0,501.0,132.0,16.0,750.0,9.0,4.0,44.4,5.0,55.6,526.0,2896.0,1402.0,19.0,25.0,3.0,25.0,14.0,556.0,46.0,2,0,0,15,13,0,15,10,12,0.0,0.0,0,52.0,25.0,12.0,67.6,1
2021-09-17,21:00 (12:00),Ligue 1,Matchweek 6,Fri,Away,L,0,3,Strasbourg,0,15,5,33.3,0.0,0.0,24.4,2.0,0,0,0.6,0.6,0.04,-0.6,-0.6,5,3,2,60.0,0,3.1,0.1,1,1,0,0,4.0,6.0,66.7,11.0,4.0,27.3,30.4,4.0,75.0,54.8,10.0,0.0,0.0,0.0,5.0,392.0,485.0,80.8,6933.0,2299.0,160.0,189.0,84.7,180.0,209.0,86.1,39.0,59.0,66.1,0,0.2,0.4,8.0,33.0,2.0,0.0,44.0,485.0,435.0,49.0,14.0,1.0,2.0,22,20.0,7.0,2.0,3.0,0.0,392.0,1.0,11.0,24.0,14.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10,7.0,9.0,1.0,3.0,13.0,23.1,10.0,8.0,2.0,6.0,15,32,8.0,1.0,54.0,601.0,29.0,119.0,337.0,148.0,11.0,601.0,17.0,11.0,64.7,6.0,35.3,370.0,2424.0,1207.0,28.0,16.0,0.0,21.0,17.0,390.0,44.0,4,0,0,8,16,1,22,15,10,0.0,1.0,0,65.0,8.0,10.0,44.4,1
2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Home,L,1,2,Paris S-G,1,6,2,33.3,0.17,0.5,17.0,0.0,0,0,0.9,0.9,0.15,0.1,0.1,4,2,2,50.0,0,0.8,-1.2,0,0,0,0,9.0,20.0,45.0,12.0,4.0,66.7,44.9,13.0,92.3,61.0,11.0,3.0,27.3,2.0,14.2,184.0,271.0,67.9,3522.0,1861.0,99.0,118.0,83.9,57.0,88.0,64.8,28.0,56.0,50.0,1,0.8,0.4,4.0,13.0,2.0,2.0,19.0,271.0,226.0,41.0,11.0,4.0,3.0,12,12.0,3.0,1.0,2.0,0.0,184.0,4.0,3.0,12.0,9.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,7,10.0,2.0,0.0,8.0,20.0,40.0,12.0,11.0,6.0,5.0,17,29,15.0,0.0,26.0,368.0,50.0,176.0,150.0,46.0,7.0,368.0,11.0,4.0,36.4,7.0,63.6,211.0,896.0,412.0,6.0,6.0,1.0,13.0,6.0,183.0,19.0,6,1,1,12,10,4,12,17,7,0.0,0.0,0,55.0,7.0,8.0,46.7,1
2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Away,W,2,1,Brest,2,6,4,66.7,0.33,0.5,17.6,0.0,0,0,0.6,0.6,0.1,1.4,1.4,2,1,1,100.0,0,1.0,0.0,1,1,0,0,12.0,32.0,37.5,27.0,6.0,77.8,52.0,12.0,91.7,63.8,22.0,1.0,4.5,0.0,10.0,174.0,279.0,62.4,3647.0,1978.0,71.0,91.0,78.0,70.0,95.0,73.7,29.0,80.0,36.3,2,0.3,0.6,5.0,14.0,2.0,0.0,17.0,279.0,227.0,51.0,20.0,0.0,1.0,11,14.0,3.0,1.0,2.0,0.0,174.0,1.0,3.0,10.0,6.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,19.0,16,13.0,4.0,2.0,12.0,25.0,48.0,13.0,7.0,4.0,3.0,15,34,36.0,0.0,34.0,410.0,62.0,189.0,144.0,85.0,14.0,410.0,15.0,7.0,46.7,8.0,53.3,194.0,1138.0,518.0,13.0,9.0,2.0,17.0,9.0,171.0,17.0,2,0,0,16,16,1,11,15,16,0.0,1.0,0,58.0,32.0,25.0,56.1,1
2021-10-03,15:00 (06:00),Ligue 1,Matchweek 9,Sun,Away,L,2,3,Angers,2,2,2,100.0,1.0,1.0,10.3,0.0,0,0,1.1,1.1,0.57,0.9,0.9,5,3,2,40.0,0,2.2,-0.8,0,0,0,0,8.0,21.0,38.1,35.0,11.0,51.4,41.1,3.0,100.0,66.0,16.0,1.0,6.3,3.0,20.3,368.0,457.0,80.5,6296.0,2483.0,189.0,207.0,91.3,137.0,157.0,87.3,33.0,69.0,47.8,1,0.4,0.5,1.0,19.0,4.0,2.0,18.0,457.0,409.0,47.0,17.0,1.0,4.0,11,22.0,2.0,1.0,0.0,0.0,368.0,1.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,12,16.0,7.0,2.0,17.0,23.0,73.9,6.0,15.0,9.0,6.0,18,43,16.0,1.0,43.0,581.0,71.0,235.0,272.0,81.0,7.0,581.0,20.0,13.0,65.0,7.0,35.0,403.0,2128.0,970.0,9.0,11.0,2.0,18.0,7.0,366.0,18.0,3,0,0,11,15,1,11,18,12,0.0,0.0,0,47.0,10.0,16.0,38.5,1
2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Home,L,0,3,Rennes,0,9,2,22.2,0.0,0.0,21.4,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9,8,3,5,62.5,0,2.6,-0.4,0,0,0,0,11.0,23.0,47.8,27.0,8.0,59.3,47.2,8.0,87.5,59.3,17.0,4.0,23.5,0.0,9.6,296.0,383.0,77.3,5626.0,2146.0,116.0,136.0,85.3,116.0,134.0,86.6,45.0,77.0,58.4,0,0.8,0.8,6.0,17.0,3.0,2.0,23.0,383.0,338.0,43.0,11.0,0.0,2.0,19,16.0,4.0,1.0,2.0,0.0,296.0,2.0,8.0,15.0,11.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7,5.0,7.0,2.0,6.0,14.0,42.9,8.0,15.0,5.0,10.0,7,21,21.0,0.0,35.0,494.0,68.0,181.0,227.0,92.0,7.0,494.0,17.0,8.0,47.1,9.0,52.9,265.0,1533.0,722.0,15.0,8.0,3.0,17.0,4.0,295.0,23.0,3,0,0,14,9,2,19,7,7,0.0,0.0,0,43.0,13.0,13.0,50.0,1
2021-10-24,15:00 (06:00),Ligue 1,Matchweek 11,Sun,Away,L,1,4,Lens,1,9,4,44.4,0.11,0.25,20.9,0.0,0,0,0.8,0.8,0.09,0.2,0.2,5,4,1,20.0,0,3.0,-0.3,0,0,0,0,6.0,8.0,75.0,14.0,4.0,28.6,29.1,5.0,80.0,53.2,13.0,1.0,7.7,1.0,14.2,338.0,425.0,79.5,6323.0,2093.0,133.0,154.0,86.4,160.0,187.0,85.6,39.0,68.0,57.4,0,0.5,0.7,7.0,15.0,1.0,1.0,27.0,425.0,374.0,51.0,10.0,1.0,1.0,18,25.0,6.0,1.0,4.0,0.0,338.0,0.0,7.0,14.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,10,10.0,3.0,1.0,9.0,16.0,56.3,7.0,10.0,3.0,7.0,10,24,15.0,0.0,45.0,527.0,38.0,174.0,257.0,100.0,10.0,527.0,15.0,9.0,60.0,6.0,40.0,316.0,1435.0,723.0,9.0,6.0,3.0,14.0,7.0,335.0,27.0,3,0,0,13,9,0,18,10,10,0.0,0.0,0,44.0,16.0,18.0,47.1,1
