Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Home,D,0,0,Reims,0,12,2,16.7,0.0,0.0,14.9,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,0,0,0,,1,0.0,0.0,0,0,0,0,0.0,6.0,0.0,19.0,4.0,31.6,28.1,4.0,0.0,24.3,4.0,0.0,0.0,0.0,15.0,501.0,590.0,84.9,8251.0,2374.0,240.0,264.0,90.9,206.0,229.0,90.0,40.0,68.0,58.8,0,0.5,1.7,7.0,25.0,9.0,3.0,41.0,590.0,555.0,35.0,8.0,0.0,5.0,14,18.0,4.0,2.0,2.0,0.0,501.0,0.0,8.0,23.0,17.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8,9.0,8.0,4.0,10.0,14.0,71.4,4.0,11.0,3.0,8.0,11,32,7.0,0.0,61,685.0,28.0,129.0,418.0,144.0,23.0,685.0,27.0,18.0,66.7,9.0,33.3,456.0,2495.0,1311.0,29.0,22.0,3.0,12.0,9.0,490.0,41.0,1,0,0,10,8,0,14,11,8,0.0,0.0,0,53.0,14.0,12.0,53.8,1
2021-08-14,17:00 (08:00),Ligue 1,Matchweek 2,Sat,Away,W,4,0,Lille,4,10,6,60.0,0.3,0.5,13.8,0.0,1,1,1.9,1.4,0.15,2.1,1.6,2,0,2,100.0,1,0.8,0.8,0,0,0,0,5.0,12.0,41.7,13.0,4.0,23.1,31.7,9.0,100.0,65.3,16.0,0.0,0.0,1.0,23.0,300.0,392.0,76.5,5576.0,2157.0,125.0,154.0,81.2,129.0,145.0,89.0,39.0,68.0,57.4,1,0.4,0.3,5.0,18.0,1.0,1.0,18.0,392.0,347.0,44.0,9.0,0.0,2.0,11,18.0,7.0,0.0,2.0,0.0,300.0,1.0,14.0,16.0,7.0,1.0,3.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,21.0,13,8.0,13.0,0.0,12.0,20.0,60.0,8.0,15.0,2.0,13.0,17,38,21.0,1.0,38,517.0,53.0,186.0,240.0,98.0,17.0,516.0,18.0,15.0,83.3,3.0,16.7,227.0,1470.0,743.0,22.0,14.0,2.0,17.0,11.0,295.0,18.0,1,0,0,13,8,1,11,17,13,0.0,0.0,0,48.0,16.0,13.0,55.2,1
2021-08-28,17:00 (08:00),Ligue 1,Matchweek 4,Sat,Home,W,4,0,Bordeaux,4,10,4,40.0,0.3,0.75,15.0,0.0,1,1,3.2,2.4,0.24,0.8,0.6,4,0,4,100.0,1,1.4,1.4,0,0,0,0,4.0,20.0,20.0,19.0,3.0,63.2,43.7,14.0,57.1,45.2,12.0,0.0,0.0,0.0,13.0,339.0,426.0,79.6,5962.0,2332.0,161.0,185.0,87.0,136.0,153.0,88.9,33.0,68.0,48.5,3,2.2,1.0,9.0,18.0,4.0,1.0,25.0,426.0,385.0,39.0,11.0,0.0,0.0,9,10.0,3.0,1.0,2.0,0.0,339.0,2.0,4.0,21.0,14.0,1.0,3.0,1.0,2.0,0.0,8.0,6.0,0.0,1.0,0.0,1.0,0.0,22.0,12,7.0,14.0,1.0,11.0,21.0,52.4,10.0,8.0,4.0,4.0,11,33,12.0,0.0,43,530.0,52.0,183.0,263.0,89.0,17.0,529.0,19.0,13.0,68.4,6.0,31.6,325.0,1847.0,1011.0,19.0,16.0,6.0,19.0,6.0,332.0,23.0,3,0,0,18,11,2,9,11,12,1.0,0.0,0,52.0,11.0,11.0,50.0,1
2021-09-12,17:00 (08:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Nantes,2,9,3,33.3,0.22,0.67,15.2,0.0,0,0,2.1,2.1,0.24,-0.1,-0.1,6,0,6,100.0,1,1.0,1.0,0,0,0,0,5.0,16.0,31.3,14.0,2.0,50.0,35.9,9.0,100.0,61.6,24.0,2.0,8.3,1.0,11.8,373.0,462.0,80.7,6024.0,2149.0,185.0,206.0,89.8,150.0,173.0,86.7,26.0,55.0,47.3,2,2.1,2.2,8.0,25.0,5.0,2.0,28.0,462.0,420.0,41.0,7.0,1.0,1.0,13,21.0,3.0,1.0,1.0,1.0,373.0,1.0,6.0,17.0,12.0,1.0,2.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,8,14.0,3.0,1.0,10.0,17.0,58.8,7.0,14.0,5.0,9.0,9,27,27.0,0.0,49,581.0,63.0,218.0,267.0,99.0,18.0,581.0,17.0,8.0,47.1,9.0,52.9,367.0,1922.0,859.0,18.0,13.0,4.0,24.0,7.0,371.0,28.0,3,0,0,13,7,1,13,9,8,0.0,0.0,0,45.0,9.0,18.0,33.3,1
2021-09-19,13:00 (04:00),Ligue 1,Matchweek 6,Sun,Home,D,2,2,Monaco,2,11,3,27.3,0.18,0.67,19.3,0.0,0,1,1.7,1.0,0.09,0.3,1.0,3,2,1,66.7,0,2.5,0.5,1,1,0,0,5.0,10.0,50.0,25.0,6.0,24.0,30.3,7.0,57.1,49.6,5.0,2.0,40.0,1.0,11.3,374.0,458.0,81.7,7514.0,2505.0,140.0,159.0,88.1,183.0,205.0,89.3,48.0,80.0,60.0,1,0.7,0.8,9.0,18.0,8.0,4.0,22.0,458.0,415.0,42.0,12.0,0.0,10.0,16,15.0,5.0,1.0,4.0,0.0,374.0,1.0,5.0,20.0,12.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,6,5.0,3.0,1.0,5.0,11.0,45.5,6.0,6.0,3.0,3.0,16,25,10.0,0.0,49,551.0,56.0,219.0,247.0,94.0,17.0,550.0,20.0,9.0,45.0,11.0,55.0,325.0,1434.0,633.0,10.0,13.0,2.0,13.0,6.0,374.0,22.0,2,0,0,17,11,1,16,16,6,0.0,1.0,0,54.0,5.0,6.0,45.5,1
2021-09-22,21:00 (12:00),Ligue 1,Matchweek 7,Wed,Away,L,0,1,Lorient,0,12,1,8.3,0.0,0.0,17.2,0.0,0,1,2.2,1.4,0.12,-2.2,-1.4,1,1,0,0.0,0,0.2,-0.8,0,0,0,0,1.0,2.0,50.0,13.0,4.0,15.4,26.5,3.0,0.0,15.0,8.0,3.0,37.5,1.0,11.5,497.0,601.0,82.7,8205.0,2499.0,215.0,243.0,88.5,179.0,210.0,85.2,56.0,82.0,68.3,0,1.0,1.1,9.0,34.0,7.0,2.0,41.0,601.0,549.0,52.0,14.0,2.0,2.0,28,28.0,5.0,1.0,2.0,0.0,497.0,0.0,8.0,21.0,15.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11,8.0,10.0,0.0,9.0,20.0,45.0,11.0,18.0,5.0,13.0,10,28,12.0,0.0,63,722.0,45.0,181.0,369.0,176.0,25.0,721.0,24.0,13.0,54.2,11.0,45.8,494.0,2657.0,1415.0,23.0,20.0,1.0,17.0,6.0,492.0,41.0,4,0,0,16,11,0,28,10,11,0.0,0.0,0,56.0,18.0,6.0,75.0,1
2021-09-25,17:00 (08:00),Ligue 1,Matchweek 8,Sat,Away,W,3,0,Saint-Étienne,3,14,9,64.3,0.21,0.33,15.9,1.0,0,0,2.2,2.2,0.16,0.8,0.8,5,0,5,100.0,1,0.5,0.5,0,0,0,0,6.0,14.0,42.9,21.0,5.0,47.6,38.8,5.0,80.0,59.0,14.0,1.0,7.1,1.0,14.3,266.0,389.0,68.4,4673.0,2511.0,122.0,151.0,80.8,106.0,142.0,74.6,28.0,64.0,43.8,2,1.8,1.4,10.0,20.0,6.0,1.0,31.0,389.0,325.0,62.0,13.0,2.0,0.0,16,34.0,9.0,6.0,3.0,0.0,266.0,2.0,10.0,24.0,17.0,1.0,2.0,3.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,19.0,13,9.0,8.0,2.0,9.0,23.0,39.1,14.0,10.0,3.0,7.0,9,28,21.0,0.0,41,521.0,54.0,201.0,225.0,107.0,21.0,521.0,25.0,19.0,76.0,6.0,24.0,277.0,1424.0,694.0,15.0,12.0,5.0,29.0,13.0,265.0,31.0,2,0,0,13,8,2,16,9,13,0.0,0.0,0,65.0,17.0,16.0,51.5,1
2021-10-02,21:00 (12:00),Ligue 1,Matchweek 9,Sat,Home,W,2,1,Brest,2,20,9,45.0,0.1,0.22,13.9,1.0,0,0,3.8,3.8,0.21,-1.8,-1.8,2,1,1,50.0,0,1.1,0.1,0,0,0,0,1.0,4.0,25.0,18.0,2.0,16.7,23.7,2.0,50.0,40.0,7.0,0.0,0.0,0.0,,702.0,805.0,87.2,12174.0,3961.0,280.0,306.0,91.5,352.0,381.0,92.4,52.0,84.0,61.9,1,2.9,2.8,17.0,60.0,16.0,3.0,74.0,805.0,766.0,36.0,12.0,4.0,0.0,21,14.0,6.0,3.0,3.0,0.0,702.0,3.0,9.0,35.0,25.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,15.0,10,6.0,8.0,1.0,7.0,16.0,43.8,9.0,8.0,1.0,7.0,9,24,11.0,0.0,70,896.0,34.0,131.0,586.0,183.0,34.0,896.0,12.0,7.0,58.3,5.0,41.7,572.0,2563.0,1321.0,19.0,12.0,7.0,16.0,11.0,699.0,74.0,1,0,0,8,12,3,21,9,10,0.0,0.0,0,73.0,23.0,25.0,47.9,1
2021-10-17,13:00 (04:00),Ligue 1,Matchweek 10,Sun,Away,L,0,1,Troyes,0,11,3,27.3,0.0,0.0,18.3,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,3,1,2,66.7,0,1.5,0.5,0,0,0,0,0.0,0.0,,20.0,2.0,0.0,15.2,4.0,0.0,15.8,19.0,1.0,5.3,2.0,13.8,516.0,608.0,84.9,9153.0,2888.0,219.0,242.0,90.5,243.0,273.0,89.0,50.0,76.0,65.8,0,0.4,1.2,8.0,42.0,4.0,2.0,49.0,608.0,573.0,35.0,12.0,2.0,1.0,17,14.0,3.0,2.0,1.0,0.0,516.0,0.0,8.0,22.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,6.0,4.0,2.0,5.0,12.0,41.7,7.0,11.0,2.0,9.0,17,29,18.0,0.0,61,714.0,55.0,214.0,339.0,169.0,13.0,714.0,18.0,8.0,44.4,10.0,55.6,503.0,2608.0,1341.0,16.0,20.0,1.0,16.0,6.0,514.0,49.0,1,0,0,20,9,0,17,17,8,0.0,0.0,0,61.0,14.0,11.0,56.0,1
2021-10-24,13:00 (04:00),Ligue 1,Matchweek 11,Sun,Home,W,3,2,Lyon,3,16,6,37.5,0.13,0.33,17.7,0.0,1,1,2.4,1.6,0.1,0.6,0.4,8,2,6,75.0,0,2.0,0.0,0,0,0,0,5.0,12.0,41.7,23.0,7.0,34.8,33.1,6.0,66.7,45.2,9.0,0.0,0.0,0.0,13.0,363.0,454.0,80.0,6259.0,2740.0,165.0,185.0,89.2,144.0,168.0,85.7,39.0,69.0,56.5,2,1.5,0.7,14.0,23.0,4.0,0.0,32.0,454.0,411.0,42.0,8.0,1.0,3.0,7,22.0,3.0,2.0,1.0,0.0,363.0,1.0,8.0,27.0,16.0,5.0,1.0,3.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,24.0,14,12.0,11.0,1.0,12.0,18.0,66.7,6.0,6.0,2.0,4.0,16,40,13.0,0.0,43,590.0,55.0,215.0,286.0,97.0,21.0,589.0,25.0,11.0,44.0,14.0,56.0,396.0,1855.0,840.0,21.0,11.0,6.0,15.0,13.0,362.0,32.0,1,0,0,11,7,1,7,16,14,1.0,0.0,0,63.0,9.0,3.0,75.0,1
