Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2021-08-08,15:00 (06:00),Ligue 1,Matchweek 1,Sun,Away,D,0,0,Nice,0,5,0,0.0,0.0,,24.8,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,2,0,2,100.0,1,0.1,0.1,0,0,0,0,2.0,15.0,13.3,20.0,6.0,40.0,35.2,10.0,70.0,56.9,13.0,0.0,0.0,1.0,15.0,289.0,380.0,76.1,5072.0,1769.0,125.0,148.0,84.5,118.0,135.0,87.4,32.0,71.0,45.1,0,0.1,0.6,3.0,9.0,3.0,1.0,14.0,380.0,337.0,43.0,10.0,0.0,8.0,8,20.0,2.0,1.0,1.0,0.0,289.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12,10.0,8.0,0.0,9.0,27.0,33.3,18.0,12.0,4.0,8.0,11,29,19.0,0.0,39,479.0,53.0,197.0,214.0,72.0,8.0,479.0,14.0,4.0,28.6,10.0,71.4,211.0,993.0,452.0,6.0,10.0,0.0,15.0,11.0,286.0,14.0,1,0,0,8,10,0,8,11,12,0.0,0.0,0,45.0,12.0,14.0,46.2,1
2021-08-15,15:00 (06:00),Ligue 1,Matchweek 2,Sun,Home,D,3,3,Montpellier,3,19,9,47.4,0.16,0.33,17.9,0.0,0,0,1.8,1.8,0.1,1.2,1.2,5,3,2,40.0,0,3.0,0.0,0,0,0,0,3.0,6.0,50.0,20.0,3.0,20.0,29.9,5.0,40.0,34.4,17.0,0.0,0.0,0.0,7.0,421.0,522.0,80.7,8304.0,2850.0,157.0,181.0,86.7,186.0,210.0,88.6,65.0,99.0,65.7,1,1.6,1.6,16.0,30.0,13.0,5.0,48.0,522.0,469.0,53.0,13.0,0.0,13.0,31,23.0,8.0,6.0,2.0,0.0,421.0,0.0,12.0,35.0,31.0,1.0,2.0,1.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,12.0,10,6.0,4.0,2.0,5.0,12.0,41.7,7.0,19.0,6.0,13.0,11,23,14.0,2.0,56,627.0,49.0,188.0,255.0,189.0,27.0,627.0,17.0,11.0,64.7,6.0,35.3,359.0,1873.0,1170.0,33.0,24.0,4.0,6.0,7.0,420.0,47.0,2,0,0,12,12,0,31,11,10,0.0,0.0,0,51.0,19.0,18.0,51.4,1
2021-08-22,15:00 (06:00),Ligue 1,Matchweek 3,Sun,Away,D,1,1,Metz,1,13,3,23.1,0.08,0.33,14.5,0.0,0,0,0.9,0.9,0.07,0.1,0.1,4,1,3,75.0,0,0.5,-0.5,0,0,0,0,4.0,14.0,28.6,21.0,6.0,52.4,41.6,6.0,50.0,45.5,15.0,0.0,0.0,0.0,12.7,252.0,372.0,67.7,4829.0,2169.0,121.0,142.0,85.2,86.0,122.0,70.5,41.0,82.0,50.0,1,0.8,1.5,10.0,21.0,11.0,3.0,41.0,372.0,307.0,65.0,21.0,0.0,11.0,32,28.0,8.0,2.0,5.0,0.0,252.0,0.0,13.0,24.0,17.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,7,5.0,5.0,1.0,1.0,10.0,10.0,9.0,8.0,3.0,5.0,4,15,16.0,0.0,43,455.0,43.0,125.0,182.0,152.0,28.0,455.0,14.0,4.0,28.6,10.0,71.4,187.0,910.0,469.0,11.0,6.0,4.0,12.0,7.0,249.0,41.0,2,0,0,14,17,0,32,4,7,0.0,0.0,0,43.0,20.0,22.0,47.6,1
2021-08-29,20:45 (11:45),Ligue 1,Matchweek 4,Sun,Home,L,0,2,Paris S-G,0,11,4,36.4,0.0,0.0,16.8,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,3,2,1,33.3,0,1.5,-0.5,0,0,0,0,2.0,7.0,28.6,15.0,2.0,46.7,38.5,3.0,0.0,19.7,8.0,1.0,12.5,1.0,20.0,300.0,381.0,78.7,4774.0,1689.0,158.0,181.0,87.3,103.0,123.0,83.7,25.0,46.0,54.3,0,0.6,0.5,9.0,21.0,5.0,2.0,22.0,381.0,339.0,37.0,13.0,1.0,10.0,16,15.0,3.0,1.0,1.0,0.0,300.0,5.0,6.0,17.0,10.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10,12.0,6.0,3.0,9.0,19.0,47.4,10.0,16.0,7.0,9.0,17,38,17.0,0.0,33,500.0,55.0,190.0,194.0,128.0,12.0,500.0,15.0,10.0,66.7,5.0,33.3,285.0,1476.0,774.0,13.0,18.0,2.0,19.0,13.0,297.0,21.0,1,0,0,13,13,5,16,17,10,0.0,0.0,0,59.0,7.0,12.0,36.8,1
2021-09-12,15:00 (06:00),Ligue 1,Matchweek 5,Sun,Away,W,2,0,Rennes,2,7,3,42.9,0.29,0.67,16.1,0.0,0,0,0.5,0.5,0.07,1.5,1.5,1,0,1,100.0,1,0.3,0.3,0,0,0,0,7.0,21.0,33.3,23.0,1.0,60.9,45.4,10.0,70.0,53.0,16.0,0.0,0.0,1.0,11.7,247.0,362.0,68.2,5007.0,2034.0,100.0,129.0,77.5,97.0,126.0,77.0,46.0,85.0,54.1,2,0.5,0.7,6.0,7.0,6.0,1.0,16.0,362.0,300.0,60.0,19.0,0.0,3.0,17,24.0,6.0,1.0,1.0,0.0,247.0,2.0,10.0,14.0,12.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,9,7.0,6.0,3.0,8.0,16.0,50.0,8.0,13.0,1.0,12.0,12,28,16.0,1.0,37,460.0,56.0,197.0,173.0,94.0,15.0,460.0,9.0,7.0,77.8,2.0,22.2,199.0,1161.0,526.0,16.0,15.0,4.0,19.0,9.0,245.0,16.0,2,0,0,11,16,2,17,12,9,0.0,0.0,0,52.0,14.0,12.0,53.8,1
2021-09-19,15:00 (06:00),Ligue 1,Matchweek 6,Sun,Home,D,0,0,Lorient,0,10,2,20.0,0.0,0.0,24.1,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,3,0,3,100.0,1,0.3,0.3,0,0,0,0,2.0,7.0,28.6,29.0,7.0,20.7,29.7,5.0,20.0,20.8,16.0,2.0,12.5,0.0,4.3,346.0,443.0,78.1,5900.0,2137.0,149.0,167.0,89.2,144.0,173.0,83.2,39.0,69.0,56.5,0,0.3,0.4,6.0,22.0,6.0,0.0,32.0,443.0,383.0,55.0,15.0,2.0,3.0,14,29.0,5.0,1.0,4.0,0.0,346.0,5.0,7.0,16.0,9.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6,3.0,5.0,3.0,7.0,14.0,50.0,7.0,12.0,2.0,10.0,8,19,13.0,0.0,44,540.0,51.0,192.0,198.0,162.0,18.0,540.0,31.0,17.0,54.8,14.0,45.2,349.0,1940.0,1143.0,18.0,13.0,4.0,12.0,7.0,345.0,32.0,2,0,0,12,14,5,14,8,6,0.0,0.0,0,45.0,7.0,6.0,53.8,1
2021-09-22,19:00 (10:00),Ligue 1,Matchweek 7,Wed,Away,L,1,2,Lille,1,10,4,40.0,0.0,0.0,19.5,0.0,1,1,1.3,0.5,0.05,-0.3,-0.5,4,2,2,50.0,0,1.0,-1.0,0,0,0,0,3.0,11.0,27.3,25.0,6.0,36.0,32.6,4.0,50.0,47.3,12.0,0.0,0.0,2.0,30.0,318.0,404.0,78.7,5623.0,2197.0,137.0,154.0,89.0,130.0,153.0,85.0,38.0,68.0,55.9,0,0.4,0.5,8.0,20.0,7.0,1.0,30.0,404.0,353.0,50.0,16.0,0.0,3.0,15,23.0,4.0,2.0,0.0,0.0,318.0,1.0,6.0,21.0,12.0,4.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,8,8.0,5.0,1.0,7.0,13.0,53.8,6.0,13.0,1.0,12.0,12,26,17.0,0.0,47,523.0,52.0,192.0,244.0,95.0,18.0,522.0,17.0,11.0,64.7,6.0,35.3,297.0,1518.0,723.0,15.0,9.0,2.0,23.0,11.0,315.0,30.0,1,0,0,14,16,1,15,12,8,1.0,0.0,0,50.0,11.0,12.0,47.8,1
2021-09-26,15:00 (06:00),Ligue 1,Matchweek 8,Sun,Home,W,3,1,Nantes,3,9,5,55.6,0.33,0.6,18.7,0.0,0,0,1.1,1.1,0.13,1.9,1.9,2,1,1,50.0,0,0.3,-0.7,0,0,0,0,5.0,20.0,25.0,28.0,3.0,46.4,36.1,12.0,58.3,47.1,18.0,0.0,0.0,2.0,21.7,284.0,385.0,73.8,5301.0,2112.0,113.0,136.0,83.1,129.0,157.0,82.2,33.0,70.0,47.1,3,1.1,1.1,8.0,28.0,5.0,1.0,30.0,385.0,332.0,52.0,12.0,1.0,2.0,13,23.0,3.0,1.0,2.0,0.0,284.0,1.0,4.0,17.0,13.0,1.0,2.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,18.0,14,12.0,5.0,1.0,8.0,18.0,44.4,10.0,15.0,4.0,11.0,10,28,19.0,0.0,45,512.0,66.0,205.0,214.0,98.0,15.0,512.0,15.0,7.0,46.7,8.0,53.3,207.0,1232.0,582.0,12.0,10.0,3.0,27.0,9.0,283.0,30.0,1,0,0,14,9,1,13,10,14,0.0,0.0,0,51.0,17.0,26.0,39.5,1
2021-10-01,21:00 (12:00),Ligue 1,Matchweek 9,Fri,Away,L,0,2,Lens,0,3,0,0.0,0.0,,19.8,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,7,2,5,85.7,0,2.0,0.0,1,1,0,0,4.0,12.0,33.3,32.0,7.0,34.4,34.2,5.0,20.0,28.6,19.0,0.0,0.0,0.0,8.0,367.0,457.0,80.3,6298.0,2004.0,145.0,157.0,92.4,160.0,185.0,86.5,34.0,64.0,53.1,0,0.1,0.3,1.0,8.0,3.0,1.0,17.0,457.0,407.0,48.0,15.0,1.0,4.0,9,22.0,3.0,0.0,2.0,1.0,367.0,2.0,10.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7,9.0,3.0,0.0,7.0,14.0,50.0,7.0,5.0,2.0,3.0,19,31,17.0,0.0,39,558.0,83.0,233.0,253.0,76.0,9.0,558.0,14.0,7.0,50.0,7.0,50.0,302.0,1643.0,889.0,15.0,5.0,1.0,21.0,7.0,364.0,17.0,1,1,0,13,11,2,9,19,7,0.0,1.0,0,47.0,8.0,7.0,53.3,1
2021-10-17,15:00 (06:00),Ligue 1,Matchweek 10,Sun,Away,D,1,1,Brest,1,13,2,15.4,0.08,0.5,19.8,0.0,0,0,0.8,0.8,0.06,0.2,0.2,4,1,3,75.0,0,0.4,-0.6,0,0,0,0,5.0,21.0,23.8,36.0,8.0,47.2,45.3,5.0,80.0,48.4,27.0,0.0,0.0,1.0,19.0,294.0,413.0,71.2,5430.0,2411.0,138.0,173.0,79.8,112.0,131.0,85.5,38.0,87.0,43.7,1,0.6,0.6,9.0,25.0,7.0,3.0,31.0,413.0,357.0,55.0,18.0,0.0,1.0,21,23.0,7.0,1.0,6.0,0.0,294.0,1.0,8.0,21.0,13.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,15,11.0,7.0,3.0,7.0,12.0,58.3,5.0,9.0,3.0,6.0,12,33,26.0,0.0,45,542.0,74.0,228.0,223.0,104.0,20.0,542.0,15.0,10.0,66.7,5.0,33.3,312.0,1725.0,705.0,15.0,9.0,2.0,19.0,9.0,289.0,31.0,4,0,0,13,18,1,21,12,15,0.0,0.0,0,67.0,17.0,26.0,39.5,1
